日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,宁波华翔,1002048,20.40,21.20,20.30,20.86,0.31,1.51,"105,407","21,993",4.38,1.99
2017-06-29,宁波华翔,1002048,21.00,21.00,20.18,20.55,-0.40,-1.91,"135,452","27,772",3.91,2.56
2017-06-28,宁波华翔,1002048,21.03,21.22,20.87,20.95,-0.10,-0.48,"64,793","13,622",1.66,1.22
2017-06-27,宁波华翔,1002048,21.21,21.56,20.86,21.05,-0.29,-1.36,"95,149","20,112",3.28,1.80
2017-06-26,宁波华翔,1002048,20.60,21.35,20.51,21.34,0.75,3.64,"110,280","23,159",4.08,2.08
2017-06-23,宁波华翔,1002048,20.66,20.66,20.15,20.59,-0.01,-0.05,"70,983","14,474",2.48,1.34
2017-06-22,宁波华翔,1002048,21.15,21.21,20.60,20.60,-0.56,-2.65,"65,131","13,565",2.88,1.23
2017-06-21,宁波华翔,1002048,21.30,21.44,20.94,21.16,-0.10,-0.47,"34,948","7,406",2.35,0.66
2017-06-20,宁波华翔,1002048,21.08,21.61,20.96,21.26,0.18,0.85,"66,697","14,208",3.08,1.26
2017-06-19,宁波华翔,1002048,20.58,21.16,20.58,21.08,0.34,1.64,"37,248","7,807",2.80,0.70
2017-06-16,宁波华翔,1002048,20.84,20.97,20.70,20.74,0.00,0.00,"27,974","5,829",1.30,0.53
2017-06-15,宁波华翔,1002048,20.83,21.02,20.56,20.74,-0.11,-0.53,"53,548","11,098",2.21,1.01
2017-06-14,宁波华翔,1002048,21.13,21.13,20.78,20.85,-0.21,-1.00,"32,021","6,688",1.66,0.60
2017-06-13,宁波华翔,1002048,21.02,21.26,20.90,21.06,-0.01,-0.05,"44,319","9,352",1.71,0.84
2017-06-12,宁波华翔,1002048,20.48,21.36,20.44,21.07,0.43,2.08,"106,046","22,422",4.46,2.00
2017-06-09,宁波华翔,1002048,20.15,20.80,20.01,20.64,0.48,2.38,"76,463","15,612",3.92,1.44
