日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,安凯客车,1000868,9.07,9.07,8.21,8.32,-0.50,-5.67,"1,281,994","109,837",9.75,18.43
2017-12-28,安凯客车,1000868,8.77,8.82,8.53,8.82,0.80,9.98,"712,195","62,166",3.62,10.24
2017-12-27,安凯客车,1000868,7.23,8.02,7.21,8.02,0.73,10.01,"654,933","49,806",11.11,9.42
2017-12-26,安凯客车,1000868,7.12,7.49,6.88,7.29,0.22,3.11,"412,190","29,477",8.63,5.93
2017-12-25,安凯客车,1000868,7.26,7.30,7.03,7.07,-0.10,-1.39,"229,317","16,435",3.77,3.30
2017-12-22,安凯客车,1000868,7.22,7.37,7.14,7.17,-0.06,-0.83,"279,777","20,305",3.18,4.02
2017-12-21,安凯客车,1000868,7.02,7.25,7.01,7.23,0.11,1.54,"300,883","21,512",3.37,4.33
2017-12-20,安凯客车,1000868,7.60,7.63,7.05,7.12,-0.46,-6.07,"456,361","32,944",7.65,6.56
2017-12-19,安凯客车,1000868,7.58,7.67,7.46,7.58,0.00,0.00,"257,965","19,471",2.77,3.71
2017-12-18,安凯客车,1000868,7.51,7.68,7.45,7.58,-0.11,-1.43,"289,484","21,864",2.99,4.16
2017-12-15,安凯客车,1000868,7.84,7.84,7.67,7.69,-0.26,-3.27,"478,489","37,057",2.14,6.88
2017-12-14,安凯客车,1000868,7.60,8.06,7.57,7.95,0.28,3.65,"827,535","65,225",6.39,11.90
2017-12-13,安凯客车,1000868,7.60,7.79,7.50,7.67,-0.05,-0.65,"465,694","35,587",3.76,6.70
2017-12-12,安凯客车,1000868,7.52,7.83,7.45,7.72,0.09,1.18,"847,829","64,816",4.98,12.19
2017-12-11,安凯客车,1000868,7.08,7.81,7.07,7.63,0.53,7.46,"916,320","69,572",10.42,13.17
2017-12-08,安凯客车,1000868,6.98,7.15,6.93,7.10,0.14,2.01,"324,766","22,975",3.16,4.67
2017-12-07,安凯客车,1000868,7.00,7.08,6.92,6.96,-0.04,-0.57,"253,986","17,759",2.29,3.65
2017-12-06,安凯客车,1000868,6.87,7.02,6.82,7.00,0.15,2.19,"316,859","21,893",2.92,4.56
2017-12-05,安凯客车,1000868,7.07,7.09,6.68,6.85,-0.35,-4.86,"510,542","35,171",5.69,7.34
2017-12-04,安凯客车,1000868,7.71,7.76,7.20,7.20,-0.21,-2.83,"506,372","37,930",7.56,7.28
2017-12-01,安凯客车,1000868,7.23,7.58,7.21,7.41,0.16,2.21,"449,903","33,364",5.10,6.47
2017-11-30,安凯客车,1000868,7.41,7.48,7.18,7.25,-0.26,-3.46,"394,764","28,893",3.99,5.68
2017-11-29,安凯客车,1000868,7.42,7.79,7.27,7.51,0.09,1.21,"580,799","43,650",7.01,8.35
2017-11-28,安凯客车,1000868,7.23,7.43,7.22,7.42,0.22,3.06,"328,832","24,118",2.92,4.73
2017-11-27,安凯客车,1000868,7.29,7.49,7.10,7.20,-0.10,-1.37,"318,551","23,373",5.34,4.58
2017-11-24,安凯客车,1000868,7.27,7.45,7.01,7.30,0.10,1.39,"437,433","31,780",6.11,6.29
2017-11-23,安凯客车,1000868,7.89,7.97,7.14,7.20,-0.73,-9.21,"544,938","41,325",10.47,7.83
2017-11-22,安凯客车,1000868,7.88,7.96,7.71,7.93,0.04,0.51,"347,973","27,312",3.17,5.00
2017-11-21,安凯客车,1000868,7.95,8.07,7.71,7.89,0.02,0.25,"419,003","33,097",4.57,6.02
2017-11-20,安凯客车,1000868,7.77,7.98,7.52,7.87,0.14,1.81,"395,746","30,899",5.95,5.69
2017-11-17,安凯客车,1000868,8.30,8.52,7.68,7.73,-0.68,-8.09,"656,890","53,593",9.99,9.44
2017-11-16,安凯客车,1000868,9.06,9.10,8.35,8.41,-0.87,-9.38,"926,376","80,144",8.08,13.32
2017-11-15,安凯客车,1000868,9.12,9.64,9.02,9.28,0.18,1.98,"880,591","82,570",6.81,12.66
2017-11-14,安凯客车,1000868,9.23,9.47,9.03,9.10,-0.15,-1.62,"527,834","48,809",4.76,7.59
2017-11-13,安凯客车,1000868,9.00,9.28,9.00,9.25,-0.01,-0.11,"517,830","47,457",3.02,7.44
2017-11-10,安凯客车,1000868,9.65,9.70,9.08,9.26,-0.59,-5.99,"940,537","88,051",6.29,13.52
2017-11-09,安凯客车,1000868,9.80,10.20,9.71,9.85,-0.13,-1.30,"926,508","91,980",4.91,13.32
2017-11-08,安凯客车,1000868,9.55,10.30,9.45,9.98,0.43,4.50,"1,502,409","149,559",8.90,21.60
2017-11-07,安凯客车,1000868,9.43,9.70,9.32,9.55,0.06,0.63,"750,816","71,199",4.00,10.79
2017-11-06,安凯客车,1000868,9.12,9.56,8.98,9.49,0.40,4.40,"784,307","73,306",6.38,11.28
2017-11-03,安凯客车,1000868,8.95,9.28,8.90,9.09,0.08,0.89,"477,143","43,470",4.22,6.86
2017-11-02,安凯客车,1000868,9.20,9.27,8.97,9.01,-0.30,-3.22,"582,397","52,806",3.22,8.37
2017-11-01,安凯客车,1000868,9.43,9.77,9.31,9.31,-0.14,-1.48,"799,047","76,053",4.87,11.49
2017-10-31,安凯客车,1000868,9.17,9.49,9.05,9.45,0.25,2.72,"652,056","60,470",4.78,9.37
2017-10-30,安凯客车,1000868,8.98,9.34,8.92,9.20,0.04,0.44,"589,113","53,849",4.59,8.47
2017-10-27,安凯客车,1000868,9.42,9.77,9.16,9.16,-0.41,-4.28,"688,151","65,266",6.37,9.89
2017-10-26,安凯客车,1000868,9.37,9.65,9.21,9.57,0.03,0.31,"686,692","64,752",4.61,9.87
2017-10-25,安凯客车,1000868,9.38,9.77,9.24,9.54,0.16,1.71,"796,812","75,513",5.65,11.46
2017-10-24,安凯客车,1000868,9.60,9.71,9.20,9.38,-0.24,-2.49,"729,845","68,621",5.30,10.49
2017-10-23,安凯客车,1000868,9.99,9.99,9.41,9.62,-0.58,-5.69,"976,133","94,480",5.69,14.03
2017-10-20,安凯客车,1000868,9.89,10.48,9.78,10.20,0.30,3.03,"1,276,763","129,596",7.07,18.36
2017-10-19,安凯客车,1000868,9.80,9.95,9.66,9.90,0.12,1.23,"673,983","66,272",2.97,9.69
2017-10-18,安凯客车,1000868,10.27,10.32,9.69,9.78,-0.51,-4.96,"955,249","95,100",6.12,13.73
2017-10-17,安凯客车,1000868,10.31,10.45,10.00,10.29,0.12,1.18,"921,224","94,578",4.42,13.24
2017-10-16,安凯客车,1000868,10.60,10.68,9.99,10.17,-0.86,-7.80,"1,142,117","117,929",6.26,16.42
2017-10-13,安凯客车,1000868,11.29,11.43,10.95,11.03,-0.65,-5.57,"1,011,139","113,017",4.11,14.54
2017-10-12,安凯客车,1000868,11.04,11.99,10.74,11.68,0.53,4.75,"1,616,185","182,885",11.21,23.24
2017-10-11,安凯客车,1000868,11.70,11.99,11.00,11.15,-1.05,-8.61,"1,578,614","180,133",8.11,22.70
2017-10-10,安凯客车,1000868,11.57,12.70,11.30,12.20,0.63,5.45,"2,006,336","242,096",12.10,28.84
2017-10-09,安凯客车,1000868,10.94,11.57,10.93,11.57,1.05,9.98,"977,361","110,878",6.08,14.05
2017-03-31,安凯客车,1000868,6.71,6.78,6.70,6.76,0.05,0.75,"47,738","3,215",1.19,0.69
2017-03-30,安凯客车,1000868,6.87,6.91,6.68,6.71,-0.16,-2.33,"107,061","7,234",3.35,1.54
2017-03-29,安凯客车,1000868,7.01,7.04,6.87,6.87,-0.15,-2.14,"108,094","7,494",2.42,1.55
2017-03-28,安凯客车,1000868,6.98,7.09,6.94,7.02,0.06,0.86,"98,141","6,874",2.16,1.41
2017-03-27,安凯客车,1000868,6.99,7.00,6.95,6.96,-0.01,-0.14,"58,648","4,088",0.72,0.84
2017-03-24,安凯客车,1000868,6.94,7.00,6.94,6.97,-0.01,-0.14,"65,471","4,557",0.86,0.94
2017-03-23,安凯客车,1000868,7.01,7.04,6.90,6.98,-0.08,-1.13,"92,612","6,476",1.98,1.33
2017-03-22,安凯客车,1000868,7.09,7.14,6.95,7.06,0.05,0.71,"195,887","13,831",2.71,2.82
2017-03-21,安凯客车,1000868,6.97,7.05,6.95,7.01,0.04,0.57,"67,660","4,744",1.43,0.97
2017-03-20,安凯客车,1000868,6.98,7.01,6.92,6.97,-0.01,-0.14,"69,003","4,803",1.29,0.99
2017-03-17,安凯客车,1000868,7.04,7.07,6.97,6.98,-0.05,-0.71,"92,926","6,530",1.42,1.34
2017-03-16,安凯客车,1000868,6.96,7.07,6.95,7.03,0.05,0.72,"61,588","4,324",1.72,0.89
2017-03-15,安凯客车,1000868,6.94,7.01,6.94,6.98,0.01,0.14,"46,141","3,218",1.00,0.66
2017-03-14,安凯客车,1000868,7.02,7.03,6.95,6.97,-0.04,-0.57,"40,479","2,827",1.14,0.58
2017-03-13,安凯客车,1000868,6.94,7.02,6.89,7.01,0.05,0.72,"91,484","6,358",1.87,1.32
2017-03-10,安凯客车,1000868,7.09,7.12,6.96,6.96,-0.13,-1.83,"119,522","8,382",2.26,1.72
2017-03-09,安凯客车,1000868,7.08,7.13,7.05,7.09,0.01,0.14,"61,007","4,322",1.13,0.88
2017-03-08,安凯客车,1000868,7.12,7.16,7.06,7.08,-0.06,-0.84,"51,623","3,664",1.40,0.74
2017-03-07,安凯客车,1000868,7.16,7.18,7.11,7.14,-0.06,-0.83,"74,759","5,337",0.97,1.07
2017-03-06,安凯客车,1000868,7.03,7.22,7.00,7.20,0.16,2.27,"141,954","10,149",3.13,2.04
2017-03-03,安凯客车,1000868,7.04,7.08,6.97,7.04,0.00,0.00,"57,926","4,080",1.56,0.83
2017-03-02,安凯客车,1000868,7.19,7.22,7.03,7.04,-0.15,-2.09,"103,065","7,336",2.64,1.48
2017-03-01,安凯客车,1000868,7.17,7.25,7.14,7.19,0.03,0.42,"84,630","6,093",1.54,1.22
2017-02-28,安凯客车,1000868,7.12,7.17,7.10,7.16,0.03,0.42,"60,597","4,322",0.98,0.87
2017-02-27,安凯客车,1000868,7.24,7.26,7.12,7.13,-0.11,-1.52,"79,994","5,746",1.93,1.15
2017-02-24,安凯客车,1000868,7.22,7.24,7.16,7.24,0.01,0.14,"92,742","6,682",1.11,1.33
2017-02-23,安凯客车,1000868,7.35,7.35,7.15,7.23,-0.12,-1.63,"174,654","12,640",2.72,2.51
2017-02-22,安凯客车,1000868,7.18,7.46,7.18,7.35,0.16,2.23,"303,087","22,139",3.89,4.36
2017-02-21,安凯客车,1000868,7.17,7.28,7.13,7.19,0.02,0.28,"119,147","8,583",2.09,1.71
2017-02-20,安凯客车,1000868,7.07,7.21,7.06,7.17,0.07,0.99,"119,633","8,530",2.11,1.72
2017-02-17,安凯客车,1000868,7.09,7.34,7.06,7.10,-0.01,-0.14,"232,828","16,698",3.94,3.35
2017-02-16,安凯客车,1000868,6.98,7.11,6.94,7.11,0.14,2.01,"121,525","8,551",2.44,1.75
2017-02-15,安凯客车,1000868,7.05,7.09,6.95,6.97,-0.09,-1.27,"89,107","6,262",1.98,1.28
2017-02-14,安凯客车,1000868,7.09,7.11,7.02,7.06,-0.05,-0.70,"73,064","5,155",1.27,1.05
2017-02-13,安凯客车,1000868,6.99,7.14,6.98,7.11,0.13,1.86,"146,691","10,383",2.29,2.11
2017-02-10,安凯客车,1000868,7.06,7.09,6.98,6.98,-0.09,-1.27,"121,439","8,544",1.56,1.75
2017-02-09,安凯客车,1000868,7.02,7.09,6.99,7.07,0.05,0.71,"108,106","7,620",1.42,1.55
2017-02-08,安凯客车,1000868,6.97,7.03,6.95,7.02,0.01,0.14,"70,290","4,919",1.14,1.01
2017-02-07,安凯客车,1000868,6.99,7.05,6.94,7.01,0.01,0.14,"94,458","6,601",1.57,1.36
2017-02-06,安凯客车,1000868,6.85,7.01,6.82,7.00,0.17,2.49,"136,450","9,501",2.78,1.96
2017-02-03,安凯客车,1000868,6.84,6.90,6.80,6.83,0.00,0.00,"45,121","3,091",1.46,0.65
2017-01-26,安凯客车,1000868,6.87,6.91,6.80,6.83,-0.04,-0.58,"72,548","4,968",1.60,1.04
2017-01-25,安凯客车,1000868,6.87,6.90,6.80,6.87,-0.07,-1.01,"85,406","5,854",1.44,1.23
2017-01-24,安凯客车,1000868,6.76,7.12,6.62,6.94,0.08,1.17,"202,020","13,918",7.29,2.90
2017-01-12,安凯客车,1000868,6.73,7.24,6.73,6.86,0.09,1.33,"190,849","13,310",7.53,2.74
2017-01-11,安凯客车,1000868,6.83,6.86,6.76,6.77,-0.08,-1.17,"45,359","3,085",1.46,0.65
2017-01-10,安凯客车,1000868,6.88,6.90,6.84,6.85,-0.05,-0.72,"45,589","3,133",0.87,0.66
2017-01-09,安凯客车,1000868,6.80,6.92,6.79,6.90,0.10,1.47,"82,827","5,687",1.91,1.19
2017-01-06,安凯客车,1000868,6.81,6.85,6.75,6.80,-0.01,-0.15,"62,877","4,270",1.47,0.90
2017-01-05,安凯客车,1000868,6.79,6.87,6.76,6.81,0.03,0.44,"78,337","5,345",1.62,1.13
2017-01-04,安凯客车,1000868,6.72,6.81,6.71,6.78,0.06,0.89,"83,262","5,636",1.49,1.20
2017-01-03,安凯客车,1000868,6.70,6.74,6.68,6.72,0.07,1.05,"56,453","3,787",0.90,0.81
2017-06-30,安凯客车,1000868,5.32,5.37,5.27,5.32,-0.02,-0.37,"30,941","1,645",1.87,0.44
2017-06-29,安凯客车,1000868,5.31,5.36,5.30,5.34,0.02,0.38,"30,538","1,630",1.13,0.44
2017-06-28,安凯客车,1000868,5.32,5.36,5.30,5.32,-0.01,-0.19,"26,518","1,413",1.13,0.38
2017-06-27,安凯客车,1000868,5.34,5.41,5.29,5.33,0.00,0.00,"57,086","3,057",2.25,0.82
2017-06-26,安凯客车,1000868,5.25,5.33,5.25,5.33,0.09,1.72,"34,254","1,815",1.53,0.49
2017-06-23,安凯客车,1000868,5.24,5.28,5.14,5.24,-0.01,-0.19,"38,892","2,026",2.67,0.56
2017-06-22,安凯客车,1000868,5.34,5.37,5.25,5.25,-0.10,-1.87,"43,102","2,295",2.24,0.62
2017-06-21,安凯客车,1000868,5.36,5.39,5.30,5.35,-0.01,-0.19,"33,058","1,765",1.68,0.48
2017-06-20,安凯客车,1000868,5.38,5.41,5.35,5.36,0.00,0.00,"36,434","1,959",1.12,0.52
2017-06-19,安凯客车,1000868,5.35,5.38,5.32,5.36,0.02,0.37,"29,175","1,560",1.12,0.42
2017-06-16,安凯客车,1000868,5.37,5.42,5.32,5.34,-0.06,-1.11,"48,713","2,610",1.85,0.70
2017-06-15,安凯客车,1000868,5.36,5.43,5.32,5.40,0.00,0.00,"78,857","4,240",2.04,1.13
2017-06-14,安凯客车,1000868,5.28,5.70,5.25,5.40,0.15,2.86,"169,993","9,301",8.57,2.44
2017-06-13,安凯客车,1000868,5.15,5.30,5.13,5.25,0.10,1.94,"42,602","2,233",3.30,0.61
2017-06-12,安凯客车,1000868,5.25,5.25,5.14,5.15,-0.12,-2.28,"29,676","1,539",2.09,0.43
2017-06-09,安凯客车,1000868,5.23,5.28,5.18,5.27,0.03,0.57,"34,358","1,795",1.91,0.49
2017-06-08,安凯客车,1000868,5.25,5.28,5.21,5.24,-0.01,-0.19,"44,524","2,337",1.33,0.64
2017-06-07,安凯客车,1000868,5.15,5.27,5.12,5.25,0.10,1.94,"52,026","2,715",2.91,0.75
2017-06-06,安凯客车,1000868,5.11,5.17,5.09,5.15,0.04,0.78,"30,470","1,566",1.57,0.44
2017-06-05,安凯客车,1000868,5.08,5.14,5.08,5.11,0.03,0.59,"28,128","1,436",1.18,0.40
2017-06-02,安凯客车,1000868,5.01,5.09,4.95,5.08,0.06,1.20,"39,749","2,001",2.79,0.57
2017-06-01,安凯客车,1000868,5.08,5.11,4.98,5.02,-0.08,-1.57,"36,198","1,828",2.55,0.52
2017-05-31,安凯客车,1000868,5.15,5.17,5.10,5.10,0.02,0.39,"32,842","1,687",1.38,0.47
2017-05-26,安凯客车,1000868,5.15,5.16,5.08,5.08,-0.04,-0.78,"32,832","1,678",1.56,0.47
2017-05-25,安凯客车,1000868,5.06,5.19,5.00,5.12,0.07,1.39,"52,619","2,685",3.76,0.76
2017-05-24,安凯客车,1000868,5.00,5.09,4.91,5.05,0.02,0.40,"44,812","2,244",3.58,0.64
2017-05-23,安凯客车,1000868,5.21,5.29,5.00,5.03,-0.15,-2.90,"54,528","2,796",5.60,0.78
2017-05-22,安凯客车,1000868,5.30,5.34,5.13,5.18,-0.15,-2.81,"44,458","2,316",3.94,0.64
2017-05-19,安凯客车,1000868,5.34,5.35,5.29,5.33,0.00,0.00,"29,048","1,545",1.13,0.42
2017-05-18,安凯客车,1000868,5.29,5.40,5.27,5.33,-0.02,-0.37,"32,712","1,754",2.43,0.47
2017-05-17,安凯客车,1000868,5.30,5.40,5.25,5.35,0.05,0.94,"59,631","3,195",2.83,0.86
2017-05-16,安凯客车,1000868,5.18,5.32,5.07,5.30,0.13,2.51,"66,941","3,474",4.84,0.96
2017-05-15,安凯客车,1000868,5.26,5.29,5.15,5.17,-0.07,-1.34,"35,697","1,864",2.67,0.51
2017-05-12,安凯客车,1000868,5.32,5.32,5.18,5.24,-0.05,-0.95,"32,562","1,706",2.65,0.47
2017-05-11,安凯客车,1000868,5.40,5.42,5.10,5.29,-0.11,-2.04,"72,593","3,819",5.93,1.04
2017-05-10,安凯客车,1000868,5.57,5.61,5.40,5.40,-0.17,-3.05,"32,854","1,815",3.77,0.47
2017-05-09,安凯客车,1000868,5.55,5.59,5.48,5.57,0.05,0.91,"36,119","1,999",1.99,0.52
2017-05-08,安凯客车,1000868,5.70,5.73,5.51,5.52,-0.17,-2.99,"43,976","2,471",3.87,0.63
2017-05-05,安凯客车,1000868,5.82,5.84,5.68,5.69,-0.16,-2.74,"43,742","2,516",2.74,0.63
2017-05-04,安凯客车,1000868,5.91,5.91,5.80,5.85,-0.04,-0.68,"32,849","1,925",1.87,0.47
2017-05-03,安凯客车,1000868,5.94,5.97,5.80,5.89,-0.08,-1.34,"48,543","2,860",2.85,0.70
2017-05-02,安凯客车,1000868,6.01,6.06,5.95,5.97,0.01,0.17,"29,237","1,754",1.85,0.42
2017-04-28,安凯客车,1000868,5.82,5.98,5.82,5.96,0.08,1.36,"47,689","2,824",2.72,0.69
2017-04-27,安凯客车,1000868,5.92,5.92,5.60,5.88,-0.05,-0.84,"78,566","4,539",5.40,1.13
2017-04-26,安凯客车,1000868,6.00,6.00,5.92,5.93,-0.03,-0.50,"25,763","1,534",1.34,0.37
2017-04-25,安凯客车,1000868,5.94,6.03,5.93,5.96,0.02,0.34,"44,092","2,635",1.68,0.63
2017-04-24,安凯客车,1000868,6.12,6.17,5.92,5.94,-0.19,-3.10,"58,388","3,512",4.08,0.84
2017-04-21,安凯客车,1000868,6.28,6.28,6.09,6.13,-0.09,-1.45,"56,845","3,509",3.05,0.82
2017-04-20,安凯客车,1000868,6.32,6.32,6.19,6.22,-0.06,-0.96,"61,391","3,839",2.07,0.88
