日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,常青股份,0603768,37.85,37.85,37.85,37.85,3.44,10.00,821,311,0.00,0.16
2017-03-30,常青股份,0603768,34.41,34.41,34.41,34.41,3.13,10.01,394,136,0.00,0.08
2017-03-29,常青股份,0603768,31.28,31.28,31.28,31.28,2.84,9.99,109,34,0.00,0.02
2017-03-28,常青股份,0603768,28.44,28.44,28.44,28.44,2.59,10.02,121,34,0.00,0.02
2017-03-27,常青股份,0603768,25.85,25.85,25.85,25.85,2.35,10.00,113,29,0.00,0.02
2017-03-24,常青股份,0603768,19.58,23.50,19.58,23.50,7.18,44.00,185,44,24.02,0.04
2017-12-29,常青股份,0603768,18.37,18.39,18.11,18.36,0.14,0.77,"9,288","1,695",1.54,1.82
2017-12-28,常青股份,0603768,18.05,18.30,17.99,18.22,0.11,0.61,"10,436","1,900",1.71,2.05
2017-12-27,常青股份,0603768,18.01,18.26,17.90,18.11,0.03,0.17,"9,378","1,695",1.99,1.84
2017-12-26,常青股份,0603768,17.55,18.16,17.50,18.08,0.56,3.20,"12,425","2,225",3.77,2.44
2017-12-25,常青股份,0603768,17.85,18.09,17.50,17.52,-0.45,-2.50,"7,934","1,400",3.28,1.56
2017-12-22,常青股份,0603768,18.08,18.20,17.93,17.97,-0.14,-0.77,"6,077","1,097",1.49,1.19
2017-12-21,常青股份,0603768,18.06,18.20,17.81,18.11,-0.01,-0.06,"8,075","1,457",2.15,1.58
2017-12-20,常青股份,0603768,18.44,18.44,18.07,18.12,-0.31,-1.68,"6,368","1,159",2.01,1.25
2017-12-19,常青股份,0603768,18.49,18.49,18.38,18.43,0.04,0.22,"5,903","1,088",0.60,1.16
2017-12-18,常青股份,0603768,18.35,18.40,18.11,18.39,0.05,0.27,"6,604","1,209",1.58,1.30
2017-12-15,常青股份,0603768,18.65,18.72,18.29,18.34,-0.36,-1.93,"9,564","1,763",2.30,1.88
2017-12-14,常青股份,0603768,19.05,19.05,18.50,18.70,-0.38,-1.99,"16,142","3,011",2.88,3.17
2017-12-13,常青股份,0603768,19.26,19.85,18.72,19.08,-0.19,-0.99,"28,923","5,504",5.86,5.67
2017-12-12,常青股份,0603768,19.25,19.42,19.11,19.27,-0.21,-1.08,"13,295","2,555",1.59,2.61
2017-12-11,常青股份,0603768,18.28,19.68,18.25,19.48,1.21,6.62,"27,185","5,131",7.83,5.33
2017-12-08,常青股份,0603768,18.18,18.34,18.05,18.27,0.29,1.61,"9,004","1,641",1.61,1.77
2017-12-07,常青股份,0603768,18.19,18.19,17.93,17.98,-0.23,-1.26,"8,775","1,584",1.43,1.72
2017-12-06,常青股份,0603768,18.05,18.25,17.72,18.21,0.10,0.55,"12,679","2,290",2.93,2.49
2017-12-05,常青股份,0603768,19.08,19.23,18.06,18.11,-0.97,-5.08,"15,862","2,932",6.13,3.11
2017-12-04,常青股份,0603768,19.50,19.58,19.05,19.08,-0.57,-2.90,"9,713","1,871",2.70,1.90
2017-12-01,常青股份,0603768,19.45,19.76,19.30,19.65,0.12,0.61,"8,116","1,590",2.36,1.59
2017-11-30,常青股份,0603768,19.45,19.77,19.40,19.53,0.05,0.26,"9,791","1,920",1.90,1.92
2017-11-29,常青股份,0603768,19.79,19.90,19.10,19.48,-0.39,-1.96,"14,500","2,821",4.03,2.84
2017-11-28,常青股份,0603768,19.65,19.88,19.60,19.87,0.22,1.12,"10,601","2,094",1.42,2.08
2017-11-27,常青股份,0603768,19.71,19.88,19.58,19.65,-0.01,-0.05,"8,944","1,761",1.53,1.75
2017-11-24,常青股份,0603768,19.60,19.81,19.58,19.66,0.01,0.05,"9,218","1,815",1.17,1.81
2017-11-23,常青股份,0603768,20.32,20.32,19.63,19.65,-0.62,-3.06,"11,456","2,292",3.40,2.25
2017-11-22,常青股份,0603768,20.11,20.45,20.11,20.27,-0.02,-0.10,"10,481","2,126",1.68,2.06
2017-11-21,常青股份,0603768,20.54,20.76,20.13,20.29,-0.28,-1.36,"10,366","2,110",3.06,2.03
2017-11-20,常青股份,0603768,20.86,20.87,19.92,20.57,-0.26,-1.25,"15,108","3,069",4.56,2.96
2017-11-17,常青股份,0603768,22.01,22.20,20.71,20.83,-1.53,-6.84,"32,339","6,924",6.66,6.34
2017-11-16,常青股份,0603768,23.11,23.14,22.29,22.36,-0.92,-3.95,"34,230","7,764",3.65,6.71
2017-11-15,常青股份,0603768,22.81,25.00,22.75,23.28,0.35,1.53,"61,959","14,373",9.81,12.15
2017-11-14,常青股份,0603768,22.96,23.19,22.73,22.93,-0.25,-1.08,"16,857","3,855",1.98,3.31
2017-11-13,常青股份,0603768,22.30,23.36,22.02,23.18,0.93,4.18,"48,429","11,065",6.02,9.50
2017-11-10,常青股份,0603768,22.20,22.37,22.06,22.25,0.07,0.32,"14,611","3,247",1.40,2.86
2017-11-09,常青股份,0603768,22.08,22.24,21.90,22.18,0.13,0.59,"6,642","1,467",1.54,1.30
2017-11-08,常青股份,0603768,21.86,22.26,21.82,22.05,0.16,0.73,"9,281","2,051",2.01,1.82
2017-11-07,常青股份,0603768,21.89,21.94,21.60,21.89,-0.07,-0.32,"6,297","1,371",1.55,1.23
2017-11-06,常青股份,0603768,21.70,21.98,21.54,21.96,0.47,2.19,"6,019","1,310",2.05,1.18
2017-11-03,常青股份,0603768,21.80,21.87,21.30,21.49,-0.24,-1.10,"7,576","1,633",2.62,1.49
2017-11-02,常青股份,0603768,22.23,22.24,21.10,21.73,-0.49,-2.21,"9,831","2,144",5.13,1.93
2017-11-01,常青股份,0603768,22.45,22.46,22.18,22.22,-0.05,-0.22,"7,669","1,711",1.26,1.50
2017-10-31,常青股份,0603768,22.00,22.27,21.96,22.27,0.26,1.18,"6,064","1,342",1.41,1.19
2017-10-30,常青股份,0603768,22.92,22.98,21.60,22.01,-0.91,-3.97,"12,379","2,742",6.02,2.43
2017-10-27,常青股份,0603768,23.29,23.29,22.75,22.92,-0.06,-0.26,"10,339","2,374",2.35,2.03
2017-10-26,常青股份,0603768,22.88,23.10,22.73,22.98,0.06,0.26,"11,298","2,592",1.61,2.22
2017-10-25,常青股份,0603768,22.68,22.96,22.51,22.92,0.32,1.42,"10,283","2,344",1.99,2.02
2017-10-24,常青股份,0603768,22.77,22.85,22.34,22.60,-0.17,-0.75,"8,175","1,845",2.24,1.60
2017-10-23,常青股份,0603768,22.63,22.88,22.63,22.77,0.14,0.62,"6,458","1,471",1.10,1.27
2017-10-20,常青股份,0603768,22.44,22.74,22.42,22.63,0.21,0.94,"6,056","1,366",1.43,1.19
2017-10-19,常青股份,0603768,22.45,22.78,22.32,22.42,-0.31,-1.36,"8,525","1,918",2.02,1.67
2017-10-18,常青股份,0603768,23.30,23.50,22.71,22.73,-0.55,-2.36,"11,615","2,684",3.39,2.28
2017-10-17,常青股份,0603768,23.38,23.57,23.15,23.28,0.13,0.56,"11,209","2,616",1.81,2.20
2017-10-16,常青股份,0603768,24.60,24.64,23.06,23.15,-1.25,-5.12,"33,711","7,919",6.48,6.61
2017-10-13,常青股份,0603768,24.00,24.47,23.94,24.40,0.40,1.67,"13,620","3,311",2.21,2.67
2017-10-12,常青股份,0603768,24.38,24.38,23.81,24.00,-0.41,-1.68,"9,381","2,261",2.34,1.84
2017-10-11,常青股份,0603768,24.85,24.85,24.17,24.41,-0.21,-0.85,"15,573","3,809",2.76,3.05
2017-10-10,常青股份,0603768,24.13,24.79,23.94,24.62,0.58,2.41,"19,696","4,792",3.54,3.86
2017-10-09,常青股份,0603768,24.30,24.30,23.85,24.04,0.25,1.05,"14,332","3,448",1.89,2.81
2017-09-29,常青股份,0603768,23.40,23.84,23.36,23.79,0.42,1.80,"12,733","3,003",2.05,2.50
2017-09-28,常青股份,0603768,23.51,23.90,23.32,23.37,-0.21,-0.89,"14,753","3,485",2.46,2.89
2017-09-27,常青股份,0603768,23.65,23.65,23.25,23.58,0.18,0.77,"13,096","3,070",1.71,2.57
2017-09-26,常青股份,0603768,23.75,23.86,23.30,23.40,-0.36,-1.52,"13,497","3,175",2.36,2.65
2017-09-25,常青股份,0603768,24.15,24.32,23.73,23.76,-0.41,-1.70,"11,826","2,845",2.44,2.32
2017-09-22,常青股份,0603768,24.37,24.68,24.10,24.17,-0.53,-2.15,"19,208","4,667",2.35,3.77
2017-09-21,常青股份,0603768,25.22,25.71,24.68,24.70,-0.78,-3.06,"23,778","6,005",4.04,4.66
2017-09-20,常青股份,0603768,24.88,25.57,24.57,25.48,0.52,2.08,"35,026","8,775",4.01,6.87
2017-09-19,常青股份,0603768,24.81,25.11,24.68,24.96,-0.32,-1.27,"25,171","6,261",1.70,4.94
2017-09-18,常青股份,0603768,26.00,26.00,24.72,25.28,0.60,2.43,"69,018","17,421",5.19,13.53
2017-09-15,常青股份,0603768,24.06,24.73,23.85,24.68,0.51,2.11,"54,219","13,207",3.64,10.63
2017-09-14,常青股份,0603768,24.18,24.40,23.70,24.17,0.01,0.04,"42,310","10,223",2.90,8.30
2017-09-13,常青股份,0603768,23.50,24.22,23.40,24.16,0.52,2.20,"40,251","9,622",3.47,7.89
2017-09-12,常青股份,0603768,23.81,24.28,23.44,23.64,-0.16,-0.67,"39,406","9,397",3.53,7.73
2017-09-11,常青股份,0603768,23.49,23.98,23.41,23.80,0.26,1.10,"29,694","7,047",2.42,5.82
2017-09-08,常青股份,0603768,23.11,23.68,23.00,23.54,0.40,1.73,"26,961","6,301",2.94,5.29
2017-09-07,常青股份,0603768,22.92,23.46,22.92,23.14,0.17,0.74,"21,771","5,051",2.35,4.27
2017-09-06,常青股份,0603768,23.26,23.26,22.82,22.97,-0.32,-1.37,"19,965","4,585",1.89,3.91
2017-09-05,常青股份,0603768,23.27,23.50,23.21,23.29,-0.13,-0.56,"14,848","3,462",1.24,2.91
2017-09-04,常青股份,0603768,23.62,24.20,23.40,23.42,-0.12,-0.51,"23,485","5,572",3.40,4.60
2017-09-01,常青股份,0603768,23.68,24.08,23.31,23.54,-0.12,-0.51,"25,202","5,946",3.25,4.94
2017-08-31,常青股份,0603768,23.08,23.71,23.08,23.66,0.49,2.11,"30,894","7,249",2.72,6.06
2017-08-30,常青股份,0603768,23.46,23.52,23.05,23.17,-0.80,-3.34,"40,777","9,494",1.96,8.00
2017-08-29,常青股份,0603768,23.54,24.34,23.24,23.97,0.31,1.31,"48,642","11,555",4.65,9.54
2017-08-28,常青股份,0603768,23.10,23.86,23.05,23.66,0.67,2.91,"41,586","9,776",3.52,8.15
2017-08-25,常青股份,0603768,22.63,23.00,22.53,22.99,0.33,1.46,"32,753","7,483",2.07,6.42
2017-08-24,常青股份,0603768,22.57,23.05,22.41,22.66,0.13,0.58,"37,772","8,580",2.84,7.41
2017-08-23,常青股份,0603768,22.49,22.60,22.21,22.53,0.03,0.13,"17,288","3,880",1.73,3.39
2017-08-22,常青股份,0603768,22.59,22.67,22.33,22.50,0.02,0.09,"17,121","3,848",1.51,3.36
2017-08-21,常青股份,0603768,22.16,22.50,22.15,22.48,0.24,1.08,"16,161","3,620",1.57,3.17
2017-08-18,常青股份,0603768,22.28,22.32,22.15,22.24,-0.15,-0.67,"10,749","2,389",0.76,2.11
2017-08-17,常青股份,0603768,22.32,22.45,22.25,22.39,-0.01,-0.04,"16,297","3,639",0.89,3.20
2017-08-16,常青股份,0603768,22.04,22.47,21.93,22.40,0.38,1.73,"23,208","5,167",2.45,4.55
2017-08-15,常青股份,0603768,21.98,22.20,21.86,22.02,-0.05,-0.23,"13,792","3,038",1.54,2.70
2017-08-14,常青股份,0603768,21.86,22.25,21.71,22.07,0.23,1.05,"15,419","3,398",2.47,3.02
2017-08-11,常青股份,0603768,21.40,22.26,21.29,21.84,0.28,1.30,"23,830","5,197",4.50,4.67
2017-08-10,常青股份,0603768,22.12,22.25,21.37,21.56,-0.65,-2.93,"23,083","5,028",3.96,4.53
2017-08-09,常青股份,0603768,22.12,22.30,22.12,22.21,-0.03,-0.13,"8,878","1,971",0.81,1.74
2017-08-08,常青股份,0603768,22.22,22.29,22.04,22.24,-0.09,-0.40,"9,767","2,166",1.12,1.92
2017-08-07,常青股份,0603768,22.13,22.36,22.13,22.33,0.18,0.81,"10,851","2,416",1.04,2.13
2017-08-04,常青股份,0603768,22.35,22.37,22.11,22.15,-0.12,-0.54,"10,764","2,389",1.17,2.11
2017-08-03,常青股份,0603768,22.13,22.47,22.06,22.27,0.19,0.86,"11,021","2,455",1.86,2.16
2017-08-02,常青股份,0603768,22.35,22.47,22.03,22.08,-0.39,-1.74,"13,434","2,983",1.96,2.63
2017-08-01,常青股份,0603768,22.43,22.52,22.22,22.47,0.04,0.18,"11,463","2,566",1.34,2.25
2017-07-31,常青股份,0603768,22.52,22.66,22.29,22.43,0.01,0.04,"10,923","2,450",1.65,2.14
2017-07-28,常青股份,0603768,22.54,22.70,22.40,22.42,-0.26,-1.15,"12,678","2,853",1.32,2.49
2017-07-27,常青股份,0603768,22.15,22.79,22.06,22.68,0.50,2.25,"20,251","4,564",3.29,3.97
2017-07-26,常青股份,0603768,22.40,22.45,22.00,22.18,-0.19,-0.85,"13,239","2,939",2.01,2.60
2017-07-25,常青股份,0603768,22.55,22.64,22.25,22.37,-0.14,-0.62,"10,928","2,447",1.73,2.14
2017-07-24,常青股份,0603768,22.21,22.55,22.03,22.51,0.36,1.63,"14,611","3,266",2.35,2.87
2017-07-21,常青股份,0603768,22.33,22.55,22.11,22.15,-0.24,-1.07,"13,111","2,922",1.97,2.57
2017-07-20,常青股份,0603768,22.58,22.89,22.38,22.39,-0.21,-0.93,"16,617","3,756",2.26,3.26
2017-07-19,常青股份,0603768,22.25,22.63,22.13,22.60,0.18,0.80,"16,332","3,656",2.23,3.20
2017-07-18,常青股份,0603768,22.27,22.54,21.93,22.42,0.16,0.72,"17,172","3,820",2.74,3.37
2017-07-17,常青股份,0603768,24.55,24.56,22.25,22.26,-2.46,-9.95,"33,643","7,727",9.34,6.60
2017-07-14,常青股份,0603768,24.85,25.00,24.60,24.72,-0.13,-0.52,"9,841","2,443",1.61,1.93
2017-07-13,常青股份,0603768,25.06,25.10,24.65,24.85,-0.25,-1.00,"12,528","3,113",1.79,2.46
2017-07-12,常青股份,0603768,24.84,25.15,24.50,25.10,0.26,1.05,"16,628","4,129",2.62,3.26
2017-07-11,常青股份,0603768,25.21,25.35,24.75,24.84,-0.41,-1.62,"22,176","5,553",2.38,4.35
2017-07-10,常青股份,0603768,26.40,26.44,25.22,25.25,-1.36,-5.11,"40,195","10,359",4.58,7.88
2017-07-07,常青股份,0603768,26.35,26.85,26.20,26.61,0.25,0.95,"39,616","10,564",2.47,7.77
2017-07-06,常青股份,0603768,26.40,26.54,26.06,26.36,-0.07,-0.26,"30,306","7,980",1.82,5.94
2017-07-05,常青股份,0603768,26.50,26.64,26.16,26.43,0.34,1.30,"34,842","9,187",1.84,6.83
