日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,广汽集团,0601238,25.97,26.33,25.85,26.26,0.29,1.12,"23,839","6,213",1.85,0.06
2017-03-30,广汽集团,0601238,26.56,26.66,25.81,25.97,-0.60,-2.26,"34,753","9,063",3.20,0.08
2017-03-29,广汽集团,0601238,26.67,26.78,26.43,26.57,-0.11,-0.41,"28,845","7,663",1.31,0.07
2017-03-28,广汽集团,0601238,26.70,26.77,26.39,26.68,0.11,0.41,"34,155","9,062",1.43,0.08
2017-03-27,广汽集团,0601238,26.35,26.87,26.35,26.57,0.35,1.33,"56,853","15,151",1.98,0.13
2017-03-24,广汽集团,0601238,25.81,26.35,25.81,26.22,0.43,1.67,"66,347","17,389",2.09,0.16
2017-03-23,广汽集团,0601238,25.62,25.81,25.52,25.79,0.12,0.47,"19,724","5,068",1.13,0.05
2017-03-22,广汽集团,0601238,25.88,25.88,25.50,25.67,-0.22,-0.85,"29,383","7,537",1.47,0.07
2017-03-21,广汽集团,0601238,25.91,26.03,25.70,25.89,-0.01,-0.04,"17,535","4,530",1.27,0.04
2017-03-20,广汽集团,0601238,25.76,26.00,25.69,25.90,0.00,0.00,"20,929","5,414",1.20,0.05
2017-03-17,广汽集团,0601238,25.95,26.00,25.39,25.90,0.02,0.08,"48,399","12,446",2.36,0.11
2017-03-16,广汽集团,0601238,25.90,26.16,25.74,25.88,-0.03,-0.12,"25,238","6,537",1.62,0.06
2017-03-15,广汽集团,0601238,26.00,26.15,25.82,25.91,-0.20,-0.77,"28,665","7,445",1.26,0.07
2017-03-14,广汽集团,0601238,26.05,26.37,26.01,26.11,0.05,0.19,"21,369","5,581",1.38,0.05
2017-03-13,广汽集团,0601238,26.20,26.54,26.04,26.06,-0.18,-0.69,"50,319","13,206",1.91,0.12
2017-03-10,广汽集团,0601238,25.81,26.28,25.81,26.24,0.32,1.23,"22,753","5,925",1.81,0.05
2017-03-09,广汽集团,0601238,26.16,26.29,25.87,25.92,-0.27,-1.03,"35,297","9,189",1.60,0.08
2017-03-08,广汽集团,0601238,26.22,26.46,26.10,26.19,-0.06,-0.23,"51,288","13,475",1.37,0.12
2017-03-07,广汽集团,0601238,25.60,26.27,25.48,26.25,0.77,3.02,"104,462","27,102",3.10,0.25
2017-03-06,广汽集团,0601238,25.60,26.10,25.45,25.48,-0.04,-0.16,"73,911","18,988",2.55,0.17
2017-03-03,广汽集团,0601238,25.39,25.70,25.25,25.52,0.12,0.47,"46,892","11,941",1.77,0.11
2017-03-02,广汽集团,0601238,25.61,26.19,25.38,25.40,-0.16,-0.63,"81,258","20,908",3.17,0.19
2017-03-01,广汽集团,0601238,25.60,25.99,25.52,25.56,-0.19,-0.74,"64,375","16,581",1.83,0.15
2017-02-28,广汽集团,0601238,25.25,25.78,25.25,25.75,0.44,1.74,"51,585","13,200",2.09,0.12
2017-02-27,广汽集团,0601238,25.53,25.77,25.26,25.31,0.02,0.08,"74,097","18,875",2.02,0.17
2017-02-24,广汽集团,0601238,25.39,25.50,25.10,25.29,-0.05,-0.20,"42,226","10,688",1.58,0.10
2017-02-23,广汽集团,0601238,25.87,25.87,25.27,25.34,-0.40,-1.55,"59,312","15,153",2.33,0.14
2017-02-22,广汽集团,0601238,26.55,26.64,25.53,25.74,-1.24,-4.60,"151,013","39,308",4.11,0.36
