日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,日上集团,1002593,6.58,6.66,6.57,6.66,0.11,1.68,"52,628","3,481",1.37,0.75
2017-03-30,日上集团,1002593,6.74,6.78,6.51,6.55,-0.23,-3.39,"71,582","4,735",3.98,1.02
2017-03-29,日上集团,1002593,6.89,6.93,6.75,6.78,-0.12,-1.74,"54,327","3,711",2.61,0.78
2017-03-28,日上集团,1002593,6.90,6.97,6.85,6.90,-0.05,-0.72,"44,615","3,086",1.73,0.64
2017-03-27,日上集团,1002593,7.10,7.17,6.93,6.95,-0.19,-2.66,"82,200","5,758",3.36,1.18
2017-03-24,日上集团,1002593,6.88,7.20,6.87,7.14,0.24,3.48,"84,574","5,946",4.78,1.21
2017-03-23,日上集团,1002593,6.95,7.01,6.84,6.90,-0.06,-0.86,"55,742","3,861",2.44,0.80
2017-03-22,日上集团,1002593,7.07,7.09,6.94,6.96,-0.14,-1.97,"52,431","3,668",2.11,0.75
2017-03-21,日上集团,1002593,7.14,7.18,7.08,7.10,-0.04,-0.56,"37,400","2,661",1.40,0.53
2017-03-20,日上集团,1002593,7.08,7.17,7.05,7.14,0.03,0.42,"61,290","4,344",1.69,0.88
2017-03-17,日上集团,1002593,7.20,7.26,7.08,7.11,-0.07,-0.97,"63,612","4,573",2.51,0.91
2017-03-16,日上集团,1002593,7.13,7.27,7.13,7.18,0.05,0.70,"55,036","3,965",1.96,0.79
2017-03-15,日上集团,1002593,7.10,7.21,7.06,7.13,-0.04,-0.56,"48,651","3,473",2.09,0.70
2017-03-14,日上集团,1002593,7.08,7.34,7.08,7.17,0.09,1.27,"89,395","6,469",3.67,1.28
2017-03-13,日上集团,1002593,7.06,7.11,6.94,7.08,0.05,0.71,"37,030","2,612",2.42,0.53
2017-03-10,日上集团,1002593,7.09,7.11,7.02,7.03,-0.04,-0.57,"26,159","1,848",1.27,0.37
2017-03-09,日上集团,1002593,7.16,7.17,7.06,7.07,-0.09,-1.26,"40,991","2,912",1.54,0.59
2017-03-08,日上集团,1002593,7.10,7.22,7.08,7.16,0.06,0.85,"77,308","5,548",1.97,1.11
2017-03-07,日上集团,1002593,7.08,7.13,7.03,7.10,0.02,0.28,"42,664","3,024",1.41,0.61
2017-03-06,日上集团,1002593,7.00,7.10,6.96,7.08,0.09,1.29,"75,766","5,342",2.00,1.08
2017-03-03,日上集团,1002593,6.87,7.00,6.87,6.99,0.09,1.30,"41,963","2,909",1.88,0.60
2017-03-02,日上集团,1002593,7.00,7.03,6.90,6.90,-0.10,-1.43,"44,159","3,069",1.86,0.63
2017-03-01,日上集团,1002593,7.00,7.05,6.95,7.00,-0.01,-0.14,"58,640","4,105",1.43,0.84
2017-02-28,日上集团,1002593,6.96,7.05,6.96,7.01,0.04,0.57,"45,918","3,222",1.29,0.66
2017-02-27,日上集团,1002593,6.94,7.01,6.93,6.97,0.02,0.29,"57,535","4,017",1.15,0.82
2017-02-24,日上集团,1002593,6.90,6.97,6.90,6.95,0.01,0.14,"49,863","3,456",1.01,0.71
2017-02-23,日上集团,1002593,6.96,7.00,6.90,6.94,-0.04,-0.57,"48,994","3,399",1.43,0.70
2017-02-22,日上集团,1002593,7.01,7.06,6.95,6.98,-0.01,-0.14,"42,543","2,971",1.57,0.61
2017-02-21,日上集团,1002593,6.93,6.99,6.91,6.99,0.08,1.16,"56,407","3,926",1.16,0.81
2017-02-20,日上集团,1002593,6.86,6.94,6.83,6.91,0.08,1.17,"47,120","3,247",1.61,0.67
2017-02-17,日上集团,1002593,6.92,6.92,6.81,6.83,-0.08,-1.16,"40,299","2,764",1.59,0.58
