日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,正裕工业,0603089,29.39,30.09,29.11,29.94,0.45,1.53,"8,491","2,532",3.32,3.18
2017-06-29,正裕工业,0603089,29.27,29.85,29.24,29.49,0.22,0.75,"5,512","1,627",2.08,2.07
2017-06-28,正裕工业,0603089,29.80,29.80,29.15,29.27,-0.66,-2.21,"8,460","2,485",2.17,3.17
2017-06-27,正裕工业,0603089,29.72,30.18,29.57,29.93,0.13,0.44,"9,603","2,868",2.05,3.60
2017-06-26,正裕工业,0603089,29.94,29.99,29.33,29.80,0.21,0.71,"8,585","2,553",2.23,3.22
2017-06-23,正裕工业,0603089,29.98,30.56,29.15,29.59,-0.59,-1.95,"14,230","4,218",4.67,5.34
2017-06-22,正裕工业,0603089,31.07,31.50,30.10,30.18,-0.92,-2.96,"9,029","2,780",4.50,3.39
2017-06-21,正裕工业,0603089,31.60,31.70,30.97,31.10,-0.34,-1.08,"7,659","2,389",2.32,2.87
2017-06-20,正裕工业,0603089,31.77,31.93,31.35,31.44,0.02,0.06,"7,832","2,477",1.85,2.94
2017-06-19,正裕工业,0603089,30.97,31.46,30.97,31.42,0.29,0.93,"4,540","1,415",1.57,1.70
2017-06-16,正裕工业,0603089,31.41,31.55,30.90,31.13,-0.32,-1.02,"7,214","2,244",2.07,2.70
2017-06-15,正裕工业,0603089,30.84,31.80,30.56,31.45,0.61,1.98,"13,160","4,146",4.02,4.93
2017-06-14,正裕工业,0603089,30.79,31.13,30.40,30.84,0.02,0.06,"6,508","2,004",2.37,2.44
2017-06-13,正裕工业,0603089,29.70,30.89,29.60,30.82,1.05,3.53,"9,341","2,850",4.33,3.50
2017-06-12,正裕工业,0603089,30.35,30.69,29.70,29.77,-1.53,-4.89,"9,759","2,950",3.16,3.66
2017-06-09,正裕工业,0603089,30.77,31.49,30.63,31.30,0.56,1.82,"11,322","3,526",2.80,4.25
2017-06-08,正裕工业,0603089,30.55,31.19,30.49,30.74,-0.05,-0.16,"9,688","2,987",2.27,3.63
2017-06-07,正裕工业,0603089,29.66,30.95,29.66,30.79,0.98,3.29,"11,469","3,499",4.33,4.30
2017-06-06,正裕工业,0603089,29.67,29.91,29.23,29.81,0.13,0.44,"4,615","1,370",2.29,1.73
2017-06-05,正裕工业,0603089,29.78,30.13,29.51,29.68,0.32,1.09,"6,427","1,917",2.11,2.41
2017-06-02,正裕工业,0603089,28.30,29.63,28.30,29.36,0.72,2.51,"7,397","2,142",4.64,2.77
2017-06-01,正裕工业,0603089,30.39,30.65,28.51,28.64,-2.07,-6.74,"10,053","2,984",6.97,3.77
2017-05-31,正裕工业,0603089,31.45,32.29,30.31,30.71,0.09,0.29,"12,478","3,936",6.47,4.68
2017-05-26,正裕工业,0603089,30.23,30.99,30.01,30.62,0.39,1.29,"7,788","2,374",3.24,2.92
2017-05-25,正裕工业,0603089,30.00,30.47,29.05,30.23,0.00,0.00,"10,062","3,002",4.70,3.77
2017-05-24,正裕工业,0603089,29.99,30.44,29.00,30.23,0.25,0.83,"9,231","2,758",4.80,3.46
2017-05-23,正裕工业,0603089,30.27,31.38,29.90,29.98,-1.38,-4.40,"10,373","3,155",4.72,3.89
2017-05-22,正裕工业,0603089,33.55,33.64,31.13,31.36,-2.21,-6.58,"10,961","3,560",7.48,4.11
2017-05-19,正裕工业,0603089,34.60,34.74,33.50,33.57,-0.89,-2.58,"9,368","3,189",3.60,3.51
2017-05-18,正裕工业,0603089,34.55,35.30,34.27,34.46,-0.17,-0.49,"8,746","3,041",2.97,3.28
2017-05-17,正裕工业,0603089,34.10,35.19,34.02,34.63,0.46,1.35,"14,570","5,048",3.42,5.46
2017-05-16,正裕工业,0603089,33.38,34.20,32.90,34.17,0.70,2.09,"12,873","4,314",3.88,4.83
2017-05-15,正裕工业,0603089,33.65,34.35,33.40,33.47,-0.22,-0.65,"5,999","2,016",2.82,2.25
2017-05-12,正裕工业,0603089,33.50,34.00,33.27,33.69,0.19,0.57,"10,354","3,483",2.18,3.88
2017-05-11,正裕工业,0603089,32.68,33.53,32.00,33.50,0.37,1.12,"11,207","3,680",4.62,4.20
2017-05-10,正裕工业,0603089,33.47,34.35,33.10,33.13,-0.34,-1.02,"11,040","3,738",3.73,4.14
2017-05-09,正裕工业,0603089,33.00,33.80,32.70,33.47,0.49,1.49,"7,753","2,584",3.34,2.91
