日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,江  铃Ｂ,1200550,16.31,16.44,16.27,16.42,0.14,0.86,665,109,1.04,0.02
2017-06-29,江  铃Ｂ,1200550,16.28,16.32,16.27,16.28,0.06,0.37,916,149,0.31,0.03
2017-06-28,江  铃Ｂ,1200550,16.25,16.30,16.21,16.22,-0.04,-0.25,"1,192",194,0.55,0.03
2017-06-27,江  铃Ｂ,1200550,16.30,16.39,16.26,16.26,-0.04,-0.25,"1,216",198,0.80,0.04
2017-06-26,江  铃Ｂ,1200550,16.30,16.30,16.20,16.30,0.03,0.18,"1,952",317,0.61,0.06
2017-06-23,江  铃Ｂ,1200550,16.32,16.32,16.16,16.27,-0.06,-0.37,"1,221",198,0.98,0.04
2017-06-22,江  铃Ｂ,1200550,16.19,16.38,16.19,16.33,0.11,0.68,"2,908",473,1.17,0.08
2017-06-21,江  铃Ｂ,1200550,16.38,16.38,16.22,16.22,-0.04,-0.25,675,110,0.98,0.02
2017-06-20,江  铃Ｂ,1200550,16.14,16.39,16.14,16.26,0.06,0.37,338,55,1.54,0.01
2017-06-19,江  铃Ｂ,1200550,16.45,16.47,16.20,16.20,-0.15,-0.92,577,94,1.65,0.02
2017-06-16,江  铃Ｂ,1200550,16.40,16.40,16.18,16.35,-0.04,-0.24,955,155,1.34,0.03
2017-06-15,江  铃Ｂ,1200550,16.55,16.55,16.30,16.39,0.07,0.43,521,85,1.53,0.02
2017-06-14,江  铃Ｂ,1200550,16.35,16.42,16.32,16.32,-0.09,-0.55,354,58,0.61,0.01
2017-06-13,江  铃Ｂ,1200550,16.44,16.44,16.33,16.41,0.02,0.12,473,78,0.67,0.01
2017-06-12,江  铃Ｂ,1200550,16.56,16.66,16.31,16.39,-0.05,-0.30,973,160,2.13,0.03
2017-06-09,江  铃Ｂ,1200550,16.30,16.56,16.30,16.44,0.20,1.23,"1,337",219,1.60,0.04
2017-06-08,江  铃Ｂ,1200550,16.15,16.27,16.10,16.24,0.10,0.62,229,37,1.05,0.01
2017-06-07,江  铃Ｂ,1200550,16.09,16.21,16.01,16.14,0.19,1.19,108,17,1.25,0.00
2017-06-06,江  铃Ｂ,1200550,15.88,15.95,15.88,15.95,0.06,0.38,232,37,0.44,0.01
2017-06-05,江  铃Ｂ,1200550,15.80,15.89,15.75,15.89,0.09,0.57,259,41,0.89,0.01
2017-06-02,江  铃Ｂ,1200550,15.80,16.00,15.79,15.80,-0.18,-1.13,443,70,1.31,0.01
2017-06-01,江  铃Ｂ,1200550,15.85,16.09,15.70,15.98,-0.13,-0.81,128,20,2.42,0.00
2017-05-31,江  铃Ｂ,1200550,16.18,16.18,15.85,16.11,0.32,2.03,107,17,2.09,0.00
2017-05-26,江  铃Ｂ,1200550,16.28,16.28,15.76,15.79,-0.03,-0.19,66,10,3.29,0.00
2017-05-25,江  铃Ｂ,1200550,15.63,15.82,15.63,15.82,0.05,0.32,134,21,1.20,0.00
2017-05-24,江  铃Ｂ,1200550,15.77,15.86,15.52,15.77,0.00,0.00,223,35,2.16,0.01
2017-05-23,江  铃Ｂ,1200550,15.65,15.94,15.60,15.77,-0.14,-0.88,310,49,2.14,0.01
2017-05-22,江  铃Ｂ,1200550,15.92,15.95,15.75,15.91,-0.04,-0.25,337,53,1.25,0.01
2017-05-19,江  铃Ｂ,1200550,16.09,16.09,15.95,15.95,-0.03,-0.19,187,30,0.88,0.01
2017-05-18,江  铃Ｂ,1200550,16.14,16.14,15.85,15.98,-0.17,-1.05,211,34,1.80,0.01
2017-05-17,江  铃Ｂ,1200550,15.99,16.27,15.99,16.15,-0.15,-0.92,344,55,1.72,0.01
2017-05-16,江  铃Ｂ,1200550,16.16,16.32,15.60,16.30,0.13,0.80,771,123,4.45,0.02
2017-05-15,江  铃Ｂ,1200550,16.04,16.18,15.91,16.17,0.07,0.43,711,114,1.68,0.02
2017-05-12,江  铃Ｂ,1200550,15.79,16.11,15.70,16.10,0.24,1.51,743,119,2.59,0.02
2017-05-11,江  铃Ｂ,1200550,15.76,15.99,15.64,15.86,0.06,0.38,548,87,2.22,0.02
2017-05-10,江  铃Ｂ,1200550,15.61,16.18,15.61,15.80,-0.19,-1.19,348,55,3.56,0.01
2017-05-09,江  铃Ｂ,1200550,16.13,16.31,15.52,15.99,-0.37,-2.26,828,131,4.83,0.02
2017-05-08,江  铃Ｂ,1200550,16.28,16.49,16.25,16.36,0.13,0.80,332,54,1.48,0.01
2017-05-05,江  铃Ｂ,1200550,16.28,16.46,16.23,16.23,-0.17,-1.04,290,47,1.40,0.01
2017-05-04,江  铃Ｂ,1200550,16.90,16.90,16.22,16.40,0.01,0.06,393,65,4.15,0.01
2017-05-03,江  铃Ｂ,1200550,16.30,16.39,16.24,16.39,0.16,0.99,227,37,0.92,0.01
2017-05-02,江  铃Ｂ,1200550,16.12,16.47,16.12,16.23,-0.27,-1.64,974,158,2.12,0.03
2017-04-28,江  铃Ｂ,1200550,16.62,16.70,16.48,16.50,-0.20,-1.20,810,134,1.32,0.02
2017-04-27,江  铃Ｂ,1200550,17.65,17.65,16.50,16.70,-1.35,-7.48,"5,313",888,6.37,0.15
2017-04-26,江  铃Ｂ,1200550,18.00,18.20,17.93,18.05,0.09,0.50,421,76,1.50,0.01
2017-04-25,江  铃Ｂ,1200550,18.28,18.28,17.93,17.96,0.03,0.17,942,169,1.95,0.03
2017-04-24,江  铃Ｂ,1200550,18.60,18.60,17.93,17.93,-0.12,-0.66,679,122,3.71,0.02
2017-04-21,江  铃Ｂ,1200550,18.08,18.08,18.01,18.05,0.05,0.28,666,120,0.39,0.02
2017-04-20,江  铃Ｂ,1200550,18.38,18.38,17.99,18.00,0.00,0.00,294,53,2.17,0.01
2017-04-19,江  铃Ｂ,1200550,18.09,18.09,17.94,18.00,-0.13,-0.72,350,63,0.83,0.01
2017-04-18,江  铃Ｂ,1200550,18.42,18.42,18.13,18.13,-0.03,-0.17,"1,162",211,1.60,0.03
2017-04-17,江  铃Ｂ,1200550,18.45,18.45,18.14,18.16,-0.29,-1.57,925,169,1.68,0.03
2017-04-14,江  铃Ｂ,1200550,18.59,18.60,18.42,18.45,-0.14,-0.75,635,118,0.97,0.02
2017-04-13,江  铃Ｂ,1200550,18.48,18.68,18.40,18.59,0.04,0.22,"1,183",220,1.51,0.03
2017-04-12,江  铃Ｂ,1200550,18.56,18.72,18.49,18.55,-0.02,-0.11,864,160,1.24,0.03
2017-04-11,江  铃Ｂ,1200550,18.96,18.96,18.52,18.57,-0.08,-0.43,599,111,2.36,0.02
2017-04-10,江  铃Ｂ,1200550,18.87,18.88,18.50,18.65,-0.21,-1.11,792,148,2.01,0.02
2017-04-07,江  铃Ｂ,1200550,18.71,18.87,18.68,18.86,0.12,0.64,369,69,1.01,0.01
2017-04-06,江  铃Ｂ,1200550,18.61,18.75,18.60,18.74,-0.01,-0.05,404,75,0.80,0.01
2017-04-05,江  铃Ｂ,1200550,18.59,18.75,18.46,18.75,0.20,1.08,"1,273",236,1.56,0.04
