日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,爱柯迪,0600933,15.40,15.67,15.18,15.37,-0.04,-0.26,"91,887","14,140",3.18,6.65
2017-12-28,爱柯迪,0600933,15.09,15.58,15.09,15.41,0.14,0.92,"136,591","20,958",3.21,9.88
2017-12-27,爱柯迪,0600933,14.87,15.53,14.84,15.27,0.27,1.80,"150,494","22,896",4.60,10.89
2017-12-26,爱柯迪,0600933,14.40,15.27,14.27,15.00,0.62,4.31,"148,674","22,234",6.95,10.75
2017-12-25,爱柯迪,0600933,14.63,14.66,14.11,14.38,-0.25,-1.71,"79,709","11,401",3.76,5.77
2017-12-22,爱柯迪,0600933,14.62,14.85,14.60,14.63,0.02,0.14,"60,968","8,982",1.71,4.41
2017-12-21,爱柯迪,0600933,15.00,15.28,14.41,14.61,-0.43,-2.86,"97,003","14,242",5.78,7.02
2017-12-20,爱柯迪,0600933,15.63,15.63,14.98,15.04,-0.59,-3.77,"88,040","13,427",4.16,6.37
2017-12-19,爱柯迪,0600933,15.66,15.78,15.52,15.63,-0.03,-0.19,"53,731","8,391",1.66,3.89
2017-12-18,爱柯迪,0600933,15.47,15.72,15.38,15.66,0.19,1.23,"56,971","8,880",2.20,4.12
2017-12-15,爱柯迪,0600933,15.68,15.70,15.41,15.47,-0.31,-1.96,"61,165","9,505",1.84,4.42
2017-12-14,爱柯迪,0600933,15.51,15.88,15.39,15.78,0.29,1.87,"88,676","13,862",3.16,6.41
2017-12-13,爱柯迪,0600933,15.48,15.62,15.42,15.49,0.09,0.58,"48,779","7,562",1.30,3.53
2017-12-12,爱柯迪,0600933,15.78,15.94,15.38,15.40,-0.50,-3.14,"79,591","12,447",3.52,5.76
2017-12-11,爱柯迪,0600933,15.80,16.16,15.56,15.90,0.10,0.63,"96,193","15,313",3.80,6.96
2017-12-08,爱柯迪,0600933,15.31,16.14,15.31,15.80,0.41,2.66,"135,175","21,440",5.39,9.78
2017-12-07,爱柯迪,0600933,15.70,15.72,15.34,15.39,-0.38,-2.41,"89,161","13,795",2.41,6.45
2017-12-06,爱柯迪,0600933,15.35,15.84,15.30,15.77,0.33,2.14,"110,129","17,144",3.50,7.97
2017-12-05,爱柯迪,0600933,15.85,16.19,15.19,15.44,-0.55,-3.44,"124,222","19,490",6.25,8.99
2017-12-04,爱柯迪,0600933,17.20,17.20,15.89,15.99,-1.44,-8.26,"195,811","32,161",7.52,14.16
2017-12-01,爱柯迪,0600933,17.60,17.87,17.31,17.43,-0.45,-2.52,"126,308","22,107",3.13,9.14
2017-11-30,爱柯迪,0600933,17.68,18.16,17.48,17.88,0.20,1.13,"164,009","29,374",3.85,11.86
2017-11-29,爱柯迪,0600933,18.20,18.35,17.12,17.68,-0.62,-3.39,"206,700","36,373",6.72,14.95
2017-11-28,爱柯迪,0600933,18.01,18.61,18.00,18.30,0.09,0.49,"156,994","28,736",3.35,11.36
2017-11-27,爱柯迪,0600933,19.00,19.58,18.10,18.21,-1.55,-7.84,"252,448","47,448",7.49,18.26
2017-11-24,爱柯迪,0600933,20.50,21.40,19.63,19.76,-2.05,-9.40,"362,239","74,170",8.12,26.20
2017-11-23,爱柯迪,0600933,20.79,22.60,19.59,21.81,0.71,3.36,"605,596","129,192",14.27,43.81
2017-11-22,爱柯迪,0600933,21.10,21.10,21.10,21.10,1.92,10.01,"2,715",573,0.00,0.20
2017-11-21,爱柯迪,0600933,19.18,19.18,19.18,19.18,1.74,9.98,352,68,0.00,0.03
2017-11-20,爱柯迪,0600933,17.44,17.44,17.44,17.44,1.59,10.03,221,39,0.00,0.02
2017-11-17,爱柯迪,0600933,13.21,15.85,13.21,15.85,4.84,43.96,684,108,23.98,0.05
2018-12-28,爱柯迪,0600933,7.70,7.78,7.66,7.66,-0.02,-0.26,"11,282",868,1.56,0.47
2018-12-27,爱柯迪,0600933,7.95,7.99,7.68,7.68,-0.13,-1.66,"16,638","1,307",3.97,0.70
2018-12-26,爱柯迪,0600933,7.95,7.95,7.75,7.81,-0.07,-0.89,"10,711",840,2.54,0.45
2018-12-25,爱柯迪,0600933,8.00,8.05,7.72,7.88,-0.20,-2.48,"20,714","1,619",4.08,0.87
2018-12-24,爱柯迪,0600933,8.10,8.11,8.00,8.08,0.10,1.25,"8,586",692,1.38,0.36
2018-12-21,爱柯迪,0600933,7.98,8.07,7.97,7.98,-0.06,-0.75,"12,084",968,1.24,0.51
2018-12-20,爱柯迪,0600933,8.01,8.09,7.97,8.04,0.03,0.37,"13,037","1,048",1.50,0.55
2018-12-19,爱柯迪,0600933,8.32,8.36,7.99,8.01,-0.30,-3.61,"22,388","1,822",4.45,0.94
2018-12-18,爱柯迪,0600933,8.28,8.37,8.23,8.31,-0.02,-0.24,"12,896","1,069",1.68,0.54
2018-12-17,爱柯迪,0600933,8.26,8.34,8.22,8.33,0.06,0.73,"18,636","1,543",1.45,0.78
2018-12-14,爱柯迪,0600933,8.56,8.56,8.27,8.27,-0.29,-3.39,"22,680","1,913",3.39,0.95
2018-12-13,爱柯迪,0600933,8.55,8.60,8.46,8.56,0.02,0.23,"28,396","2,425",1.64,1.19
2018-12-12,爱柯迪,0600933,8.44,8.67,8.44,8.54,0.17,2.03,"34,011","2,913",2.75,1.43
2018-12-11,爱柯迪,0600933,8.36,8.42,8.30,8.37,0.09,1.09,"15,975","1,336",1.45,0.67
2018-12-10,爱柯迪,0600933,8.44,8.44,8.25,8.28,-0.18,-2.13,"20,210","1,678",2.25,0.85
2018-12-07,爱柯迪,0600933,8.48,8.53,8.38,8.46,0.05,0.59,"18,891","1,597",1.78,0.79
2018-12-06,爱柯迪,0600933,8.68,8.68,8.38,8.41,-0.27,-3.11,"38,390","3,265",3.46,1.61
2018-12-05,爱柯迪,0600933,8.67,8.77,8.54,8.68,-0.21,-2.36,"63,460","5,497",2.59,2.67
2018-12-04,爱柯迪,0600933,8.46,9.09,8.35,8.89,0.40,4.71,"114,023","9,978",8.72,4.79
2018-12-03,爱柯迪,0600933,8.27,8.80,8.18,8.49,0.37,4.56,"66,968","5,654",7.64,2.81
2018-11-30,爱柯迪,0600933,8.03,8.17,7.96,8.12,-0.16,-1.93,"45,462","3,662",2.54,1.91
2018-11-29,爱柯迪,0600933,8.40,8.75,8.28,8.28,0.19,2.35,"89,659","7,626",5.81,3.77
2018-11-28,爱柯迪,0600933,7.98,8.12,7.81,8.09,0.12,1.51,"16,683","1,334",3.89,0.70
2018-11-27,爱柯迪,0600933,8.06,8.10,7.90,7.97,-0.05,-0.62,"12,811","1,026",2.49,0.54
2018-11-26,爱柯迪,0600933,7.95,8.10,7.94,8.02,0.00,0.00,"12,107",972,2.00,0.51
2018-11-23,爱柯迪,0600933,8.46,8.50,8.02,8.02,-0.41,-4.86,"23,160","1,896",5.69,0.97
