日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,福田汽车,0600166,3.26,3.28,3.23,3.27,0.02,0.62,"496,515","16,157",1.54,0.74
2017-03-30,福田汽车,0600166,3.25,3.28,3.23,3.25,0.00,0.00,"687,424","22,361",1.54,1.03
2017-03-29,福田汽车,0600166,3.21,3.26,3.19,3.25,0.04,1.25,"730,497","23,612",2.18,1.10
2017-03-28,福田汽车,0600166,3.20,3.21,3.17,3.21,0.01,0.31,"368,711","11,756",1.25,0.55
2017-03-27,福田汽车,0600166,3.24,3.24,3.18,3.20,-0.06,-1.84,"1,098,357","35,148",1.84,1.65
2017-03-24,福田汽车,0600166,3.21,3.26,3.17,3.26,0.06,1.88,"690,558","22,288",2.81,1.04
2017-03-23,福田汽车,0600166,3.23,3.24,3.20,3.20,-0.02,-0.62,"482,947","15,531",1.24,0.72
2017-03-22,福田汽车,0600166,3.22,3.24,3.21,3.22,-0.02,-0.62,"429,712","13,853",0.93,0.64
2017-03-21,福田汽车,0600166,3.24,3.24,3.21,3.24,0.01,0.31,"369,892","11,934",0.93,0.55
2017-03-20,福田汽车,0600166,3.28,3.29,3.20,3.23,-0.05,-1.52,"892,882","28,839",2.74,1.34
2017-03-17,福田汽车,0600166,3.37,3.40,3.27,3.28,-0.10,-2.96,"1,052,166","34,985",3.85,1.58
2017-03-16,福田汽车,0600166,3.33,3.38,3.32,3.38,0.05,1.50,"598,936","20,087",1.80,0.90
2017-03-15,福田汽车,0600166,3.33,3.34,3.30,3.33,-0.01,-0.30,"351,230","11,656",1.20,0.53
2017-03-14,福田汽车,0600166,3.35,3.35,3.33,3.34,0.00,0.00,"345,632","11,550",0.60,0.52
2017-03-13,福田汽车,0600166,3.33,3.36,3.25,3.34,0.00,0.00,"558,735","18,559",3.29,0.84
2017-03-10,福田汽车,0600166,3.33,3.36,3.32,3.34,0.01,0.30,"317,608","10,591",1.20,0.48
2017-03-09,福田汽车,0600166,3.39,3.39,3.32,3.33,-0.06,-1.77,"551,851","18,479",2.06,0.83
2017-03-08,福田汽车,0600166,3.44,3.45,3.36,3.39,-0.03,-0.88,"430,178","14,587",2.63,0.64
2017-03-07,福田汽车,0600166,3.40,3.42,3.39,3.42,0.03,0.89,"337,492","11,498",0.89,0.51
2017-03-06,福田汽车,0600166,3.38,3.42,3.38,3.39,0.00,0.00,"491,392","16,703",1.18,0.74
2017-03-03,福田汽车,0600166,3.40,3.41,3.35,3.39,-0.01,-0.29,"584,344","19,796",1.76,0.88
2017-03-02,福田汽车,0600166,3.52,3.53,3.36,3.40,-0.12,-3.41,"1,164,925","40,053",4.83,1.75
2017-03-01,福田汽车,0600166,3.50,3.55,3.47,3.52,0.02,0.57,"434,139","15,291",2.29,0.65
2017-02-28,福田汽车,0600166,3.48,3.52,3.47,3.50,0.01,0.29,"374,414","13,089",1.43,0.56
2017-02-27,福田汽车,0600166,3.53,3.54,3.47,3.49,-0.06,-1.69,"514,609","18,009",1.97,0.77
2017-02-24,福田汽车,0600166,3.54,3.55,3.50,3.55,0.01,0.28,"361,316","12,711",1.41,0.54
2017-02-23,福田汽车,0600166,3.60,3.61,3.51,3.54,-0.07,-1.94,"777,821","27,655",2.77,1.17
2017-02-22,福田汽车,0600166,3.60,3.63,3.56,3.61,0.04,1.12,"829,524","29,833",1.96,1.24
2017-02-21,福田汽车,0600166,3.54,3.60,3.53,3.57,0.04,1.13,"779,870","27,846",1.98,1.17
2017-02-20,福田汽车,0600166,3.47,3.54,3.46,3.53,0.06,1.73,"723,273","25,259",2.31,1.08
2017-02-17,福田汽车,0600166,3.50,3.56,3.46,3.47,-0.03,-0.86,"778,600","27,320",2.86,1.17
2017-02-16,福田汽车,0600166,3.48,3.53,3.46,3.50,0.01,0.29,"527,643","18,452",2.01,0.79
2017-02-15,福田汽车,0600166,3.61,3.61,3.49,3.49,-0.11,-3.06,"1,008,458","35,698",3.33,1.51
2017-02-14,福田汽车,0600166,3.52,3.64,3.50,3.60,0.07,1.98,"1,294,509","46,108",3.97,1.94
2017-02-13,福田汽车,0600166,3.43,3.53,3.42,3.53,0.11,3.22,"1,198,983","41,689",3.22,1.80
2017-02-10,福田汽车,0600166,3.36,3.43,3.34,3.42,0.05,1.48,"876,507","29,774",2.67,1.31
2017-02-09,福田汽车,0600166,3.40,3.41,3.34,3.37,-0.03,-0.88,"849,596","28,649",2.06,1.27
2017-02-08,福田汽车,0600166,3.38,3.42,3.35,3.40,-0.01,-0.29,"660,888","22,363",2.05,0.99
2017-02-07,福田汽车,0600166,3.39,3.45,3.37,3.41,0.02,0.59,"536,356","18,283",2.36,0.80
2017-02-06,福田汽车,0600166,3.38,3.43,3.35,3.39,0.00,0.00,"722,770","24,501",2.36,1.08
2017-02-03,福田汽车,0600166,3.38,3.41,3.36,3.39,0.00,0.00,"348,163","11,813",1.47,0.52
2017-01-26,福田汽车,0600166,3.39,3.45,3.36,3.39,0.00,0.00,"481,144","16,365",2.65,0.72
2017-01-25,福田汽车,0600166,3.42,3.42,3.38,3.39,-0.03,-0.88,"443,841","15,060",1.17,0.67
2017-01-24,福田汽车,0600166,3.42,3.45,3.40,3.42,-0.02,-0.58,"514,911","17,588",1.45,0.77
2017-01-23,福田汽车,0600166,3.43,3.51,3.41,3.44,0.02,0.58,"954,572","32,991",2.92,1.43
2017-01-20,福田汽车,0600166,3.41,3.44,3.36,3.42,0.01,0.29,"810,478","27,551",2.35,1.22
2017-01-19,福田汽车,0600166,3.31,3.44,3.30,3.41,0.09,2.71,"1,196,668","40,646",4.22,1.79
2017-01-18,福田汽车,0600166,3.28,3.38,3.26,3.32,0.05,1.53,"747,256","24,883",3.67,1.12
2017-01-17,福田汽车,0600166,3.25,3.28,3.22,3.27,-0.02,-0.61,"400,690","13,038",1.82,0.60
2017-01-16,福田汽车,0600166,3.24,3.32,3.12,3.29,0.04,1.23,"1,424,510","46,236",6.15,2.14
2017-01-13,福田汽车,0600166,3.22,3.25,3.21,3.25,0.02,0.62,"449,690","14,527",1.24,0.67
2017-01-12,福田汽车,0600166,3.23,3.27,3.20,3.23,0.01,0.31,"453,129","14,641",2.17,0.68
2017-01-11,福田汽车,0600166,3.27,3.29,3.20,3.22,-0.05,-1.53,"615,621","19,931",2.75,0.92
2017-01-10,福田汽车,0600166,3.29,3.33,3.26,3.27,-0.02,-0.61,"618,634","20,398",2.13,0.93
2017-01-09,福田汽车,0600166,3.18,3.32,3.16,3.29,0.09,2.81,"982,411","32,151",5.00,1.47
2017-01-06,福田汽车,0600166,3.23,3.25,3.16,3.20,-0.03,-0.93,"605,715","19,380",2.79,0.91
2017-01-05,福田汽车,0600166,3.26,3.27,3.22,3.23,-0.02,-0.62,"484,847","15,738",1.54,0.73
2017-01-04,福田汽车,0600166,3.17,3.31,3.16,3.25,0.08,2.52,"1,147,252","37,246",4.73,1.72
2017-01-03,福田汽车,0600166,3.10,3.18,3.09,3.17,0.08,2.59,"754,897","23,777",2.91,1.13
2017-12-29,福田汽车,0600166,2.80,2.82,2.78,2.81,0.00,0.00,"324,291","9,080",1.42,0.49
2017-12-28,福田汽车,0600166,2.80,2.86,2.79,2.81,-0.01,-0.35,"534,859","15,112",2.48,0.80
2017-12-27,福田汽车,0600166,2.78,2.88,2.75,2.82,0.04,1.44,"731,929","20,537",4.68,1.10
2017-12-26,福田汽车,0600166,2.75,2.78,2.74,2.78,0.03,1.09,"280,110","7,731",1.45,0.42
2017-12-25,福田汽车,0600166,2.78,2.78,2.74,2.75,-0.03,-1.08,"266,090","7,344",1.44,0.40
2017-12-22,福田汽车,0600166,2.78,2.78,2.76,2.78,0.00,0.00,"190,853","5,292",0.72,0.29
2017-12-21,福田汽车,0600166,2.78,2.79,2.75,2.78,-0.01,-0.36,"321,787","8,923",1.43,0.48
2017-12-20,福田汽车,0600166,2.80,2.81,2.78,2.79,-0.01,-0.36,"228,508","6,380",1.07,0.34
2017-12-19,福田汽车,0600166,2.80,2.81,2.79,2.80,0.00,0.00,"208,449","5,839",0.71,0.31
2017-12-18,福田汽车,0600166,2.80,2.81,2.78,2.80,-0.01,-0.36,"231,384","6,467",1.07,0.35
2017-12-15,福田汽车,0600166,2.82,2.83,2.79,2.81,-0.02,-0.71,"345,628","9,697",1.41,0.52
2017-12-14,福田汽车,0600166,2.83,2.84,2.82,2.83,0.00,0.00,"231,017","6,533",0.71,0.35
2017-12-13,福田汽车,0600166,2.82,2.84,2.81,2.83,0.01,0.35,"210,500","5,945",1.06,0.32
2017-12-12,福田汽车,0600166,2.85,2.86,2.81,2.82,-0.03,-1.05,"304,469","8,618",1.75,0.46
2017-12-11,福田汽车,0600166,2.82,2.87,2.81,2.85,0.03,1.06,"413,268","11,785",2.13,0.62
2017-12-08,福田汽车,0600166,2.81,2.83,2.80,2.82,0.01,0.36,"202,371","5,708",1.07,0.30
2017-12-07,福田汽车,0600166,2.82,2.83,2.80,2.81,-0.01,-0.35,"237,111","6,674",1.06,0.36
2017-12-06,福田汽车,0600166,2.79,2.83,2.78,2.82,0.02,0.71,"298,622","8,385",1.79,0.45
2017-12-05,福田汽车,0600166,2.82,2.84,2.79,2.80,-0.04,-1.41,"454,965","12,801",1.76,0.68
2017-12-04,福田汽车,0600166,2.88,2.89,2.83,2.84,-0.04,-1.39,"399,722","11,423",2.08,0.60
2017-12-01,福田汽车,0600166,2.87,2.91,2.86,2.88,0.01,0.35,"320,599","9,246",1.74,0.48
2017-11-30,福田汽车,0600166,2.90,2.90,2.87,2.87,-0.03,-1.03,"327,752","9,443",1.03,0.49
2017-11-29,福田汽车,0600166,2.91,2.92,2.87,2.90,0.00,0.00,"418,710","12,126",1.72,0.63
2017-11-28,福田汽车,0600166,2.86,2.91,2.86,2.90,0.03,1.05,"301,404","8,701",1.74,0.45
2017-11-27,福田汽车,0600166,2.86,2.88,2.85,2.87,0.01,0.35,"308,107","8,828",1.05,0.46
2017-11-24,福田汽车,0600166,2.86,2.88,2.83,2.86,0.00,0.00,"412,746","11,780",1.75,0.62
2017-11-23,福田汽车,0600166,2.92,2.93,2.85,2.86,-0.06,-2.05,"636,934","18,399",2.74,0.95
2017-11-22,福田汽车,0600166,2.95,2.96,2.91,2.92,-0.04,-1.35,"516,025","15,109",1.69,0.77
2017-11-21,福田汽车,0600166,2.95,2.98,2.94,2.96,0.00,0.00,"435,401","12,852",1.35,0.65
2017-11-20,福田汽车,0600166,2.95,2.97,2.91,2.96,0.01,0.34,"510,144","14,984",2.03,0.76
2017-11-17,福田汽车,0600166,3.02,3.02,2.94,2.95,-0.08,-2.64,"698,373","20,790",2.64,1.05
