日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,秦安股份,0603758,18.31,18.75,18.11,18.45,-0.05,-0.27,"48,538","8,951",3.46,8.09
2017-06-29,秦安股份,0603758,18.51,18.63,18.45,18.50,0.01,0.05,"33,139","6,138",0.97,5.52
2017-06-28,秦安股份,0603758,19.10,19.10,18.46,18.49,-0.80,-4.15,"67,455","12,582",3.32,11.24
2017-06-27,秦安股份,0603758,19.21,19.70,19.11,19.29,0.08,0.42,"59,564","11,544",3.07,9.93
2017-06-26,秦安股份,0603758,19.04,19.27,18.75,19.21,-0.10,-0.52,"51,867","9,876",2.69,8.64
2017-06-23,秦安股份,0603758,18.80,19.51,18.60,19.31,0.20,1.05,"72,302","13,777",4.76,12.05
2017-06-22,秦安股份,0603758,19.81,19.88,19.08,19.11,-0.97,-4.83,"104,442","20,351",3.98,17.41
2017-06-21,秦安股份,0603758,18.99,20.69,18.91,20.08,1.20,6.36,"167,739","33,592",9.43,27.96
2017-06-20,秦安股份,0603758,18.70,19.18,18.64,18.88,0.25,1.34,"72,283","13,701",2.90,12.05
2017-06-19,秦安股份,0603758,18.75,18.84,18.48,18.63,-0.09,-0.48,"41,995","7,816",1.92,7.00
2017-06-16,秦安股份,0603758,19.00,19.01,18.64,18.72,-0.31,-1.63,"44,948","8,433",1.94,7.49
2017-06-15,秦安股份,0603758,18.44,19.19,18.38,19.03,0.59,3.20,"78,620","14,880",4.39,13.10
2017-06-14,秦安股份,0603758,18.71,18.86,18.30,18.44,-0.32,-1.71,"47,569","8,802",2.99,7.93
2017-06-13,秦安股份,0603758,18.55,18.95,18.55,18.76,0.21,1.13,"51,050","9,596",2.16,8.51
2017-06-12,秦安股份,0603758,19.27,19.47,18.46,18.55,-1.24,-6.27,"77,971","14,758",5.10,13.00
2017-06-09,秦安股份,0603758,19.57,19.82,19.38,19.79,0.10,0.51,"62,651","12,291",2.23,10.44
2017-06-08,秦安股份,0603758,20.44,20.44,19.63,19.69,-0.87,-4.23,"107,426","21,445",3.94,17.90
2017-06-07,秦安股份,0603758,19.98,20.85,19.81,20.56,0.53,2.65,"115,156","23,527",5.19,19.19
2017-06-06,秦安股份,0603758,19.75,20.06,19.59,20.03,-0.64,-3.10,"107,636","21,324",2.27,17.94
2017-06-05,秦安股份,0603758,21.70,21.88,20.53,20.67,-0.29,-1.38,"116,811","24,854",6.44,19.47
2017-06-02,秦安股份,0603758,20.75,21.75,20.30,20.96,-1.39,-6.22,"151,456","31,690",6.49,25.24
2017-06-01,秦安股份,0603758,23.52,23.82,22.35,22.35,-2.48,-9.99,"196,326","44,903",5.92,32.72
2017-05-31,秦安股份,0603758,26.38,27.26,24.80,24.83,0.05,0.20,"295,511","76,933",9.93,49.25
2017-05-26,秦安股份,0603758,23.50,25.90,22.31,24.78,0.52,2.14,"320,879","77,105",14.80,53.48
2017-05-25,秦安股份,0603758,26.20,26.84,23.36,24.26,-0.79,-3.15,"325,813","80,466",13.89,54.30
2017-05-24,秦安股份,0603758,23.50,25.05,23.50,25.05,2.28,10.01,"228,559","55,872",6.81,38.09
2017-05-23,秦安股份,0603758,22.77,22.77,22.77,22.77,2.07,10.00,"8,927","2,033",0.00,1.49
2017-05-22,秦安股份,0603758,20.70,20.70,20.70,20.70,1.88,9.99,"1,003",208,0.00,0.17
2017-05-19,秦安股份,0603758,18.82,18.82,18.82,18.82,1.71,9.99,201,38,0.00,0.03
2017-05-18,秦安股份,0603758,17.11,17.11,17.11,17.11,1.56,10.03,141,24,0.00,0.02
2017-05-17,秦安股份,0603758,12.96,15.55,12.96,15.55,4.75,43.98,165,26,23.98,0.03
2017-09-29,秦安股份,0603758,16.10,16.21,16.06,16.19,0.15,0.94,"13,740","2,218",0.94,2.29
2017-09-28,秦安股份,0603758,16.18,16.31,16.02,16.04,-0.18,-1.11,"16,827","2,724",1.79,2.80
2017-09-27,秦安股份,0603758,16.03,16.25,16.03,16.22,0.11,0.68,"14,948","2,419",1.37,2.49
2017-09-26,秦安股份,0603758,16.66,16.76,16.00,16.11,-0.61,-3.65,"44,798","7,252",4.55,7.47
2017-09-25,秦安股份,0603758,17.32,17.35,16.66,16.72,-0.49,-2.85,"39,689","6,762",4.01,6.61
2017-09-22,秦安股份,0603758,16.80,17.26,16.75,17.21,0.34,2.02,"57,668","9,855",3.02,9.61
2017-09-21,秦安股份,0603758,16.80,17.07,16.75,16.87,0.01,0.06,"31,091","5,269",1.90,5.18
2017-09-20,秦安股份,0603758,16.72,16.86,16.60,16.86,0.14,0.84,"24,974","4,179",1.56,4.16
2017-09-19,秦安股份,0603758,16.78,16.82,16.62,16.72,0.02,0.12,"18,264","3,050",1.20,3.04
2017-09-18,秦安股份,0603758,16.63,16.73,16.53,16.70,0.08,0.48,"17,789","2,960",1.20,2.96
2017-09-15,秦安股份,0603758,16.61,16.77,16.59,16.62,-0.05,-0.30,"23,241","3,873",1.08,3.87
2017-09-14,秦安股份,0603758,16.96,16.97,16.66,16.67,-0.29,-1.71,"31,549","5,293",1.83,5.26
2017-09-13,秦安股份,0603758,16.88,16.98,16.76,16.96,0.00,0.00,"27,005","4,555",1.30,4.50
2017-09-12,秦安股份,0603758,17.26,17.26,16.88,16.96,-0.33,-1.91,"45,825","7,817",2.20,7.64
2017-09-11,秦安股份,0603758,16.78,17.35,16.75,17.29,0.43,2.55,"44,867","7,676",3.56,7.48
2017-09-08,秦安股份,0603758,17.09,17.21,16.68,16.86,-0.28,-1.63,"43,820","7,421",3.09,7.30
2017-09-07,秦安股份,0603758,16.68,17.53,16.61,17.14,0.46,2.76,"77,308","13,281",5.52,12.88
2017-09-06,秦安股份,0603758,16.79,16.79,16.51,16.68,-0.17,-1.01,"31,575","5,252",1.66,5.26
2017-09-05,秦安股份,0603758,16.85,16.96,16.78,16.85,0.00,0.00,"21,723","3,664",1.07,3.62
2017-09-04,秦安股份,0603758,17.09,17.18,16.84,16.85,-0.24,-1.40,"30,222","5,118",1.99,5.04
2017-09-01,秦安股份,0603758,17.14,17.28,17.00,17.09,-0.14,-0.81,"42,249","7,223",1.63,7.04
2017-08-31,秦安股份,0603758,16.85,17.41,16.85,17.23,0.34,2.01,"54,580","9,369",3.32,9.10
2017-08-30,秦安股份,0603758,17.07,17.22,16.86,16.89,-0.43,-2.48,"56,173","9,549",2.08,9.36
2017-08-29,秦安股份,0603758,16.96,17.67,16.76,17.32,0.37,2.18,"97,177","16,732",5.37,16.20
2017-08-28,秦安股份,0603758,17.00,17.16,16.72,16.95,0.30,1.80,"83,027","14,059",2.64,13.84
2017-08-25,秦安股份,0603758,16.12,16.84,16.05,16.65,0.51,3.16,"75,732","12,539",4.89,12.62
2017-08-24,秦安股份,0603758,16.12,16.36,16.03,16.14,0.02,0.12,"32,574","5,273",2.05,5.43
2017-08-23,秦安股份,0603758,16.30,16.36,16.05,16.12,-0.22,-1.35,"28,427","4,595",1.90,4.74
2017-08-22,秦安股份,0603758,16.37,16.50,16.31,16.34,-0.10,-0.61,"27,846","4,564",1.16,4.64
2017-08-21,秦安股份,0603758,16.28,16.45,16.22,16.44,0.14,0.86,"34,372","5,620",1.41,5.73
2017-08-18,秦安股份,0603758,16.31,16.45,16.22,16.30,-0.19,-1.15,"32,206","5,252",1.39,5.37
2017-08-17,秦安股份,0603758,16.47,16.77,16.28,16.49,0.04,0.24,"73,960","12,200",2.98,12.33
2017-08-16,秦安股份,0603758,15.58,16.87,15.58,16.45,0.95,6.13,"98,621","16,017",8.32,16.44
2017-08-15,秦安股份,0603758,15.45,15.58,15.38,15.50,0.07,0.45,"18,275","2,831",1.30,3.05
2017-08-14,秦安股份,0603758,15.19,15.44,15.18,15.43,0.28,1.85,"16,801","2,581",1.72,2.80
2017-08-11,秦安股份,0603758,15.43,15.43,15.11,15.15,-0.30,-1.94,"21,852","3,333",2.07,3.64
2017-08-10,秦安股份,0603758,15.77,15.84,15.40,15.45,-0.32,-2.03,"24,422","3,814",2.79,4.07
2017-08-09,秦安股份,0603758,15.74,15.84,15.69,15.77,0.03,0.19,"15,090","2,379",0.95,2.52
2017-08-08,秦安股份,0603758,15.77,15.85,15.63,15.74,-0.06,-0.38,"21,120","3,323",1.39,3.52
