日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,豪能股份,0603809,36.85,37.01,35.60,36.04,-1.03,-2.78,"41,304","14,944",3.80,15.49
2017-12-28,豪能股份,0603809,35.10,37.10,35.10,37.07,1.51,4.25,"67,155","24,442",5.62,25.18
2017-12-27,豪能股份,0603809,34.76,36.75,34.62,35.56,0.67,1.92,"62,094","22,181",6.10,23.28
2017-12-26,豪能股份,0603809,33.30,35.35,33.12,34.89,1.41,4.21,"41,444","14,333",6.66,15.54
2017-12-25,豪能股份,0603809,33.51,33.60,32.50,33.48,-0.16,-0.48,"24,411","8,053",3.27,9.15
2017-12-22,豪能股份,0603809,33.40,34.20,33.23,33.64,0.22,0.66,"19,217","6,487",2.90,7.21
2017-12-21,豪能股份,0603809,33.60,33.75,32.83,33.42,-0.33,-0.98,"22,805","7,594",2.73,8.55
2017-12-20,豪能股份,0603809,34.31,34.78,33.63,33.75,-0.61,-1.78,"19,820","6,781",3.35,7.43
2017-12-19,豪能股份,0603809,34.00,34.50,33.91,34.36,0.49,1.45,"21,601","7,397",1.74,8.10
2017-12-18,豪能股份,0603809,34.69,34.69,33.66,33.87,-0.47,-1.37,"20,911","7,128",3.00,7.84
2017-12-15,豪能股份,0603809,35.00,35.09,34.14,34.34,-0.87,-2.47,"29,457","10,205",2.70,11.04
2017-12-14,豪能股份,0603809,34.66,35.53,34.35,35.21,0.38,1.09,"30,703","10,742",3.39,11.51
2017-12-13,豪能股份,0603809,34.31,35.20,34.05,34.83,0.42,1.22,"26,036","9,038",3.34,9.76
2017-12-12,豪能股份,0603809,36.20,36.20,34.40,34.41,-2.07,-5.67,"44,318","15,561",4.93,16.62
2017-12-11,豪能股份,0603809,36.20,37.29,36.20,36.48,0.18,0.50,"31,775","11,620",3.00,11.91
2017-12-08,豪能股份,0603809,35.76,37.33,35.50,36.30,0.22,0.61,"50,368","18,486",5.07,18.89
2017-12-07,豪能股份,0603809,37.56,37.56,36.01,36.08,-2.20,-5.75,"53,074","19,513",4.05,19.90
2017-12-06,豪能股份,0603809,38.03,39.30,36.26,38.28,-0.36,-0.93,"67,555","25,450",7.87,25.33
2017-12-05,豪能股份,0603809,39.50,41.30,37.18,38.64,-1.05,-2.65,"81,570","32,426",10.38,30.58
2017-12-04,豪能股份,0603809,47.20,47.20,39.47,39.69,-3.22,-7.50,"120,431","50,095",18.01,45.16
2017-12-01,豪能股份,0603809,42.91,42.91,42.91,42.91,3.90,10.00,961,412,0.00,0.36
2017-11-30,豪能股份,0603809,39.01,39.01,39.01,39.01,3.55,10.01,218,85,0.00,0.08
2017-11-29,豪能股份,0603809,35.46,35.46,35.46,35.46,3.22,9.99,98,35,0.00,0.04
2017-11-28,豪能股份,0603809,26.87,32.24,26.87,32.24,9.85,43.99,136,44,23.98,0.05
2018-03-30,豪能股份,0603809,30.80,31.49,30.75,30.95,0.11,0.36,"17,453","5,429",2.40,6.54
2018-03-29,豪能股份,0603809,29.81,30.88,29.80,30.84,1.15,3.87,"17,652","5,357",3.64,6.62
2018-03-28,豪能股份,0603809,29.60,30.03,29.41,29.69,-0.31,-1.03,"11,428","3,396",2.07,4.28
2018-03-27,豪能股份,0603809,29.50,30.36,29.50,30.00,0.63,2.15,"13,490","4,040",2.93,5.06
2018-03-26,豪能股份,0603809,28.49,29.48,28.05,29.37,0.54,1.87,"11,973","3,445",4.96,4.49
2018-03-23,豪能股份,0603809,29.99,30.56,28.52,28.83,-2.49,-7.95,"19,745","5,858",6.51,7.40
2018-03-22,豪能股份,0603809,30.90,31.66,30.80,31.32,0.62,2.02,"14,749","4,612",2.80,5.53
2018-03-21,豪能股份,0603809,31.98,31.98,30.30,30.70,-0.81,-2.57,"17,133","5,374",5.33,6.42
2018-03-20,豪能股份,0603809,30.66,31.53,30.45,31.51,0.55,1.78,"17,692","5,508",3.49,6.63
2018-03-19,豪能股份,0603809,30.13,31.17,30.12,30.96,0.65,2.14,"14,781","4,564",3.46,5.54
2018-03-16,豪能股份,0603809,29.93,30.97,29.93,30.31,0.13,0.43,"12,747","3,882",3.45,4.78
2018-03-15,豪能股份,0603809,31.68,31.68,29.61,30.18,-1.66,-5.21,"21,736","6,626",6.50,8.15
2018-03-14,豪能股份,0603809,31.00,32.28,30.97,31.84,0.71,2.28,"22,033","6,984",4.21,8.26
