日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-11-02,隆盛科技,1300680,36.15,36.93,35.67,36.66,0.66,1.83,"25,854","9,398",3.50,15.21
2017-11-01,隆盛科技,1300680,34.98,36.60,34.62,36.00,1.03,2.95,"20,121","7,211",5.66,11.84
2017-10-31,隆盛科技,1300680,34.40,35.05,34.18,34.97,0.58,1.69,"7,740","2,683",2.53,4.55
2017-10-30,隆盛科技,1300680,35.54,35.79,33.68,34.39,-1.60,-4.45,"15,029","5,196",5.86,8.84
2017-10-27,隆盛科技,1300680,35.69,36.55,35.58,35.99,0.24,0.67,"15,004","5,412",2.71,8.83
2017-10-26,隆盛科技,1300680,35.62,36.37,35.23,35.75,0.25,0.70,"19,525","6,994",3.21,11.49
2017-10-25,隆盛科技,1300680,34.15,35.63,34.06,35.50,1.35,3.95,"20,140","7,068",4.60,11.85
2017-10-24,隆盛科技,1300680,34.48,34.60,33.50,34.15,-0.51,-1.47,"12,548","4,270",3.17,7.38
2017-10-23,隆盛科技,1300680,33.94,34.80,33.86,34.66,0.82,2.42,"10,916","3,755",2.78,6.42
2017-10-20,隆盛科技,1300680,33.45,33.94,33.28,33.84,0.40,1.20,"7,668","2,580",1.97,4.51
2017-10-19,隆盛科技,1300680,34.17,34.39,33.24,33.44,-0.69,-2.02,"15,271","5,133",3.37,8.98
2017-10-18,隆盛科技,1300680,35.07,35.59,33.90,34.13,-0.90,-2.57,"11,219","3,901",4.82,6.60
2017-10-17,隆盛科技,1300680,34.59,35.67,34.26,35.03,0.47,1.36,"13,706","4,810",4.08,8.06
2017-10-16,隆盛科技,1300680,36.70,36.70,34.23,34.56,-2.47,-6.67,"27,896","9,868",6.67,16.41
2017-10-13,隆盛科技,1300680,35.95,37.50,35.52,37.03,1.08,3.00,"22,402","8,295",5.51,13.18
2017-10-12,隆盛科技,1300680,35.96,36.18,35.14,35.95,-0.11,-0.31,"10,498","3,757",2.88,6.18
2017-10-11,隆盛科技,1300680,36.00,36.98,35.72,36.06,-0.37,-1.02,"19,007","6,893",3.46,11.18
2017-10-10,隆盛科技,1300680,34.83,36.43,34.83,36.43,1.43,4.09,"19,543","7,003",4.57,11.50
2017-10-09,隆盛科技,1300680,34.69,35.10,34.44,35.00,0.66,1.92,"10,493","3,654",1.92,6.17
2017-09-29,隆盛科技,1300680,34.22,34.48,33.70,34.34,0.19,0.56,"9,393","3,210",2.28,5.53
2017-09-28,隆盛科技,1300680,34.28,34.88,34.04,34.15,-0.13,-0.38,"11,386","3,915",2.45,6.70
2017-09-27,隆盛科技,1300680,33.87,34.62,33.85,34.28,0.43,1.27,"11,538","3,956",2.27,6.79
2017-09-26,隆盛科技,1300680,35.50,35.74,33.23,33.85,-1.83,-5.13,"21,493","7,396",7.03,12.64
2017-09-25,隆盛科技,1300680,35.30,36.38,35.15,35.68,0.22,0.62,"22,327","8,002",3.47,13.13
2017-09-22,隆盛科技,1300680,34.69,35.54,33.89,35.46,0.74,2.13,"22,227","7,745",4.75,13.08
2017-09-21,隆盛科技,1300680,35.47,35.80,34.56,34.72,-0.82,-2.31,"17,826","6,293",3.49,10.49
2017-09-20,隆盛科技,1300680,34.89,35.61,34.51,35.54,0.62,1.78,"19,904","6,991",3.15,11.71
2017-09-19,隆盛科技,1300680,35.00,35.30,34.75,34.92,0.02,0.06,"13,797","4,825",1.58,8.12
2017-09-18,隆盛科技,1300680,35.24,35.68,34.50,34.90,-0.70,-1.97,"15,125","5,289",3.31,8.90
2017-09-15,隆盛科技,1300680,37.25,37.30,34.00,35.60,-1.62,-4.35,"34,687","12,408",8.87,20.40
2017-09-14,隆盛科技,1300680,36.81,37.60,36.79,37.22,0.13,0.35,"26,290","9,793",2.18,15.46
2017-09-13,隆盛科技,1300680,36.87,37.42,36.30,37.09,0.21,0.57,"18,502","6,813",3.04,10.88
2017-09-12,隆盛科技,1300680,37.70,38.23,36.40,36.88,-0.88,-2.33,"29,568","11,018",4.85,17.39
2017-09-11,隆盛科技,1300680,36.24,37.80,36.01,37.76,1.46,4.02,"26,711","9,934",4.93,15.71
2017-09-08,隆盛科技,1300680,36.95,37.00,35.40,36.30,-0.56,-1.52,"30,527","11,010",4.34,17.96
2017-09-07,隆盛科技,1300680,36.60,38.10,36.60,36.86,-0.03,-0.08,"28,922","10,784",4.07,17.01
2017-09-06,隆盛科技,1300680,37.60,38.30,36.53,36.89,-0.62,-1.65,"37,713","14,079",4.72,22.18
2017-09-05,隆盛科技,1300680,36.99,38.80,36.90,37.51,-1.00,-2.60,"49,751","18,782",4.93,29.27
2017-09-04,隆盛科技,1300680,41.00,41.00,38.51,38.51,-4.28,-10.00,"54,287","21,237",5.82,31.93
2017-09-01,隆盛科技,1300680,44.00,45.20,41.51,42.79,1.70,4.14,"98,748","43,158",8.98,58.09
2017-08-31,隆盛科技,1300680,37.62,41.09,37.61,41.09,3.74,10.01,"52,100","20,962",9.32,30.65
2017-08-30,隆盛科技,1300680,36.83,38.68,35.55,37.35,0.66,1.80,"74,985","27,890",8.53,44.11
2017-08-29,隆盛科技,1300680,35.95,40.15,35.60,36.69,0.19,0.52,"90,231","34,489",12.47,53.08
2017-08-28,隆盛科技,1300680,35.40,37.98,34.00,36.50,1.94,5.61,"82,953","29,779",11.52,48.80
2017-08-25,隆盛科技,1300680,31.46,34.56,31.20,34.56,3.14,9.99,"68,641","22,810",10.69,40.38
2017-08-24,隆盛科技,1300680,33.08,35.07,31.39,31.42,-2.16,-6.43,"70,871","23,512",10.96,41.69
2017-08-23,隆盛科技,1300680,32.00,34.97,31.68,33.58,1.08,3.32,"55,452","18,523",10.12,32.62
2017-08-22,隆盛科技,1300680,32.96,33.93,31.88,32.50,-1.00,-2.99,"51,814","17,000",6.12,30.48
2017-08-21,隆盛科技,1300680,30.56,33.55,30.32,33.50,3.00,9.84,"65,547","21,386",10.59,38.56
2017-08-18,隆盛科技,1300680,29.60,30.79,29.39,30.50,0.70,2.35,"45,340","13,642",4.70,26.67
2017-08-17,隆盛科技,1300680,30.12,30.88,29.68,29.80,-0.70,-2.30,"50,000","15,127",3.93,29.41
2017-08-16,隆盛科技,1300680,29.14,31.70,29.14,30.50,0.98,3.32,"64,090","19,464",8.67,37.70
2017-08-15,隆盛科技,1300680,28.42,29.80,28.42,29.52,1.15,4.05,"52,946","15,410",4.86,31.14
2017-08-14,隆盛科技,1300680,27.79,28.60,27.70,28.37,0.57,2.05,"37,275","10,495",3.24,21.93
2017-08-11,隆盛科技,1300680,28.02,28.42,27.64,27.80,-0.50,-1.77,"41,417","11,588",2.76,24.36
2017-08-10,隆盛科技,1300680,28.64,29.16,28.08,28.30,-0.36,-1.26,"44,899","12,844",3.77,26.41
2017-08-09,隆盛科技,1300680,29.28,29.88,28.48,28.66,-1.11,-3.73,"59,453","17,306",4.70,34.97
2017-08-08,隆盛科技,1300680,30.00,31.00,29.02,29.77,0.30,1.02,"113,682","33,822",6.72,66.87
2017-08-07,隆盛科技,1300680,29.47,29.47,29.47,29.47,2.68,10.00,"3,981","1,173",0.00,2.34
2017-08-04,隆盛科技,1300680,26.79,26.79,26.79,26.79,2.44,10.02,579,155,0.00,0.34
2017-08-03,隆盛科技,1300680,24.35,24.35,24.35,24.35,2.21,9.98,437,106,0.00,0.26
2017-08-02,隆盛科技,1300680,22.14,22.14,22.14,22.14,2.01,9.99,266,59,0.00,0.16
2017-08-01,隆盛科技,1300680,20.13,20.13,20.13,20.13,1.83,10.00,180,36,0.00,0.11
2017-07-31,隆盛科技,1300680,18.30,18.30,18.30,18.30,1.66,9.98,134,25,0.00,0.08
2017-07-28,隆盛科技,1300680,16.64,16.64,16.64,16.64,1.51,9.98,48,8,0.00,0.03
2017-07-27,隆盛科技,1300680,15.13,15.13,15.13,15.13,1.38,10.04,19,3,0.00,0.01
2017-07-26,隆盛科技,1300680,13.75,13.75,13.75,13.75,1.25,10.00,7,1,0.00,0.00
2017-07-25,隆盛科技,1300680,10.42,12.50,10.42,12.50,3.82,44.01,87,11,23.96,0.05
2018-03-30,隆盛科技,1300680,29.26,31.00,28.82,30.53,1.54,5.31,"25,924","7,749",7.52,15.25
2018-03-29,隆盛科技,1300680,28.66,29.46,28.20,28.99,0.65,2.29,"15,730","4,534",4.45,9.25
2018-03-28,隆盛科技,1300680,27.39,29.98,27.35,28.34,0.34,1.21,"18,949","5,424",9.39,11.15
2018-03-27,隆盛科技,1300680,27.50,28.49,27.33,28.00,0.84,3.09,"16,121","4,496",4.27,9.48
2018-03-26,隆盛科技,1300680,25.95,27.40,25.92,27.16,0.83,3.15,"11,977","3,220",5.62,7.05
2018-03-23,隆盛科技,1300680,27.88,27.95,25.95,26.33,-2.50,-8.67,"21,973","5,913",6.94,12.93
2018-03-22,隆盛科技,1300680,28.71,29.65,28.71,28.83,-0.35,-1.20,"13,567","3,947",3.22,7.98
2018-03-21,隆盛科技,1300680,30.15,30.62,29.13,29.18,-0.92,-3.06,"21,437","6,411",4.95,12.61
2018-03-20,隆盛科技,1300680,30.70,30.79,29.33,30.10,-0.45,-1.47,"22,635","6,782",4.78,13.31
2018-03-19,隆盛科技,1300680,30.60,31.80,30.00,30.55,1.34,4.59,"41,817","12,900",6.16,24.60
2018-03-16,隆盛科技,1300680,26.56,29.21,26.56,29.21,2.66,10.02,"19,547","5,520",9.98,11.50
2018-03-15,隆盛科技,1300680,28.13,28.47,26.02,26.55,-2.15,-7.49,"16,364","4,435",8.54,9.63
2018-03-14,隆盛科技,1300680,28.08,29.09,28.08,28.70,0.43,1.52,"11,889","3,407",3.57,6.99
2018-03-13,隆盛科技,1300680,28.85,29.09,28.25,28.27,-0.85,-2.92,"11,452","3,271",2.88,6.74
2018-03-12,隆盛科技,1300680,28.76,30.00,28.76,29.12,0.45,1.57,"16,509","4,844",4.33,9.71
2018-03-09,隆盛科技,1300680,27.75,28.99,27.63,28.67,0.84,3.02,"16,060","4,580",4.89,9.45
2018-03-08,隆盛科技,1300680,26.95,27.99,26.80,27.83,0.81,3.00,"16,085","4,444",4.40,9.46
2018-03-07,隆盛科技,1300680,27.04,27.31,26.81,27.02,-0.03,-0.11,"8,795","2,381",1.85,5.17
2018-03-06,隆盛科技,1300680,26.89,27.48,26.65,27.05,0.08,0.30,"10,543","2,857",3.08,6.20
2018-03-05,隆盛科技,1300680,26.39,26.97,26.23,26.97,0.48,1.81,"9,455","2,511",2.79,5.56
2018-03-02,隆盛科技,1300680,27.30,27.41,26.01,26.49,-0.50,-1.85,"10,226","2,741",5.19,6.02
2018-03-01,隆盛科技,1300680,26.02,27.13,25.70,26.99,0.88,3.37,"11,787","3,151",5.48,6.93
2018-02-28,隆盛科技,1300680,26.55,26.80,26.00,26.11,-1.07,-3.94,"10,660","2,803",2.94,6.27
2018-02-27,隆盛科技,1300680,26.84,28.43,26.52,27.18,0.26,0.97,"13,315","3,646",7.10,7.83
2018-02-26,隆盛科技,1300680,26.28,26.99,26.00,26.92,1.07,4.14,"13,576","3,616",3.83,7.99
2018-02-23,隆盛科技,1300680,25.35,26.45,25.33,25.85,0.09,0.35,"11,353","2,942",4.35,6.68
2018-02-22,隆盛科技,1300680,25.88,26.28,25.02,25.76,-0.96,-3.59,"17,612","4,517",4.72,10.36
2018-02-14,隆盛科技,1300680,26.72,27.62,26.72,26.72,-2.97,-10.00,"9,822","2,625",3.03,5.78
2018-02-13,隆盛科技,1300680,29.69,29.69,29.69,29.69,-3.30,-10.00,"2,079",617,0.00,1.22
2018-02-12,隆盛科技,1300680,32.99,32.99,32.99,32.99,-3.67,-10.01,396,131,0.00,0.23
2018-06-27,隆盛科技,1300680,30.18,31.75,29.61,30.95,0.77,2.55,"42,025","12,953",7.09,24.72
2018-06-26,隆盛科技,1300680,28.59,30.29,28.28,30.18,0.84,2.86,"25,941","7,680",6.85,15.26
2018-06-25,隆盛科技,1300680,29.22,29.89,28.81,29.34,-0.06,-0.20,"25,912","7,597",3.67,15.24
2018-06-22,隆盛科技,1300680,27.78,29.68,27.44,29.40,1.45,5.19,"32,799","9,472",8.01,19.29
2018-06-21,隆盛科技,1300680,28.71,29.09,27.01,27.95,-0.87,-3.02,"26,162","7,330",7.22,15.39
2018-06-20,隆盛科技,1300680,27.97,29.32,27.58,28.82,0.43,1.51,"25,082","7,165",6.13,14.75
2018-06-19,隆盛科技,1300680,30.86,31.09,28.39,28.39,-3.15,-9.99,"23,544","7,022",8.56,13.85
2018-06-15,隆盛科技,1300680,32.80,33.13,31.21,31.54,-1.38,-4.19,"28,128","9,030",5.83,16.55
2018-06-14,隆盛科技,1300680,34.35,34.68,32.66,32.92,-1.37,-4.00,"35,829","12,028",5.89,21.08
2018-06-13,隆盛科技,1300680,34.75,35.26,33.70,34.29,-1.29,-3.63,"40,242","13,900",4.38,23.67
2018-06-12,隆盛科技,1300680,34.74,35.86,33.05,35.58,0.84,2.42,"56,252","19,594",8.09,33.09
2018-06-11,隆盛科技,1300680,35.37,35.69,33.80,34.74,-0.63,-1.78,"42,113","14,616",5.34,24.77
2018-06-08,隆盛科技,1300680,35.00,36.00,34.87,35.37,-0.53,-1.48,"39,223","13,878",3.15,23.07
2018-06-07,隆盛科技,1300680,36.01,37.03,35.43,35.90,-2.99,-7.69,"75,895","27,435",4.11,44.64
2018-06-06,隆盛科技,1300680,44.35,46.75,38.38,38.89,-3.61,-8.49,"108,472","46,389",19.69,63.81
2018-06-05,隆盛科技,1300680,41.83,44.19,41.83,42.50,-3.98,-8.56,"54,954","23,058",5.08,32.33
2018-05-28,隆盛科技,1300680,46.48,46.48,46.48,46.48,4.23,10.01,"25,134","11,682",0.00,14.78
2018-05-25,隆盛科技,1300680,42.45,42.45,42.45,42.45,3.86,10.00,"7,812","3,316",0.00,4.60
2018-05-24,隆盛科技,1300680,37.18,38.59,36.62,38.59,3.51,10.01,"26,164","9,889",5.62,15.39
2018-05-23,隆盛科技,1300680,32.70,35.08,32.40,35.08,3.19,10.00,"27,135","9,304",8.40,15.96
2018-05-22,隆盛科技,1300680,31.88,31.98,31.40,31.89,0.26,0.82,"16,699","5,291",1.83,9.82
2018-05-21,隆盛科技,1300680,31.07,31.88,31.07,31.63,0.60,1.93,"15,945","5,043",2.61,9.38
2018-05-18,隆盛科技,1300680,30.70,31.22,30.44,31.03,-0.16,-0.51,"10,913","3,368",2.50,6.42
2018-05-17,隆盛科技,1300680,30.40,31.30,30.00,31.19,0.56,1.83,"11,279","3,468",4.24,6.63
2018-05-16,隆盛科技,1300680,31.09,31.34,30.35,30.63,-0.81,-2.58,"13,857","4,265",3.15,8.15
2018-05-15,隆盛科技,1300680,30.40,32.49,30.20,31.44,1.35,4.49,"20,742","6,521",7.61,12.20
2018-05-14,隆盛科技,1300680,30.03,30.68,29.86,30.09,-0.11,-0.36,"9,305","2,809",2.72,5.47
2018-05-11,隆盛科技,1300680,31.11,31.59,30.05,30.20,-1.07,-3.42,"11,978","3,682",4.92,7.05
2018-05-10,隆盛科技,1300680,31.20,31.53,30.82,31.27,0.09,0.29,"12,184","3,798",2.28,7.17
2018-05-09,隆盛科技,1300680,30.85,31.57,30.85,31.18,-0.17,-0.54,"12,992","4,055",2.30,7.64
2018-05-08,隆盛科技,1300680,31.09,31.79,31.01,31.35,-0.50,-1.57,"23,472","7,338",2.45,13.81
2018-05-07,隆盛科技,1300680,32.58,34.00,31.78,31.85,-0.53,-1.64,"41,443","13,604",6.86,24.38
2018-05-04,隆盛科技,1300680,30.00,32.38,29.80,32.38,2.94,9.99,"14,334","4,565",8.76,8.43
2018-04-25,隆盛科技,1300680,29.29,29.75,29.00,29.44,0.00,0.00,"7,360","2,162",2.55,4.33
2018-04-24,隆盛科技,1300680,28.20,29.49,28.00,29.44,0.70,2.44,"9,124","2,648",5.18,5.37
2018-04-23,隆盛科技,1300680,28.03,28.78,27.56,28.74,0.71,2.53,"6,478","1,842",4.35,3.81
2018-04-20,隆盛科技,1300680,28.60,29.30,27.68,28.03,-1.07,-3.68,"8,805","2,513",5.57,5.18
2018-04-19,隆盛科技,1300680,29.42,30.04,28.80,29.10,-0.70,-2.35,"7,704","2,279",4.16,4.53
2018-04-18,隆盛科技,1300680,29.20,30.15,28.01,29.80,0.51,1.74,"13,568","3,926",7.31,7.98
2018-04-17,隆盛科技,1300680,30.81,31.40,29.20,29.29,-1.52,-4.93,"11,511","3,473",7.14,6.77
2018-04-16,隆盛科技,1300680,31.60,31.79,30.10,30.81,-1.10,-3.45,"14,460","4,475",5.30,8.51
2018-04-13,隆盛科技,1300680,31.27,32.49,31.05,31.91,0.64,2.05,"25,408","8,056",4.61,14.95
2018-04-12,隆盛科技,1300680,31.05,31.76,30.80,31.27,0.27,0.87,"19,766","6,179",3.10,11.63
2018-04-11,隆盛科技,1300680,30.30,31.29,30.17,31.00,0.59,1.94,"16,207","5,008",3.68,9.53
2018-04-10,隆盛科技,1300680,30.21,31.33,29.80,30.41,-0.09,-0.30,"17,606","5,381",5.02,10.36
2018-04-09,隆盛科技,1300680,30.00,30.80,29.25,30.50,0.33,1.09,"11,984","3,618",5.14,7.05
