日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,香山股份,1002870,33.00,33.93,32.90,33.55,0.41,1.24,"21,678","7,266",3.11,7.83
2017-06-29,香山股份,1002870,33.14,33.32,32.96,33.14,0.15,0.45,"11,871","3,934",1.09,4.29
2017-06-28,香山股份,1002870,33.70,33.70,32.91,32.99,-0.90,-2.66,"20,390","6,780",2.33,7.37
2017-06-27,香山股份,1002870,33.97,34.40,33.60,33.89,-0.08,-0.24,"14,195","4,834",2.36,5.13
2017-06-26,香山股份,1002870,33.75,34.17,33.33,33.97,0.11,0.32,"15,641","5,281",2.48,5.65
2017-06-23,香山股份,1002870,34.41,34.41,33.20,33.86,-0.80,-2.31,"27,869","9,443",3.49,10.07
2017-06-22,香山股份,1002870,35.87,35.87,34.66,34.66,-1.31,-3.64,"30,609","10,797",3.36,11.06
2017-06-21,香山股份,1002870,35.47,36.00,34.86,35.97,0.67,1.90,"34,074","12,139",3.23,12.31
2017-06-20,香山股份,1002870,35.60,35.79,35.22,35.30,-0.06,-0.17,"20,721","7,354",1.61,7.49
2017-06-19,香山股份,1002870,35.22,35.55,35.01,35.36,0.12,0.34,"15,177","5,353",1.53,5.48
2017-06-16,香山股份,1002870,35.38,35.57,35.02,35.24,-0.19,-0.54,"18,547","6,538",1.55,6.70
2017-06-15,香山股份,1002870,35.00,35.88,34.71,35.43,0.67,1.93,"31,769","11,280",3.37,11.48
2017-06-14,香山股份,1002870,35.48,35.94,34.43,34.76,-1.03,-2.88,"34,435","12,042",4.22,12.44
2017-06-13,香山股份,1002870,35.10,36.18,35.10,35.79,0.59,1.68,"36,188","12,918",3.07,13.08
2017-06-12,香山股份,1002870,38.05,38.08,35.18,35.20,-3.83,-9.81,"63,139","23,065",7.43,22.82
2017-06-09,香山股份,1002870,39.11,39.50,38.34,39.03,-0.63,-1.59,"45,731","17,795",2.92,16.53
2017-06-08,香山股份,1002870,41.80,41.84,39.02,39.66,-2.43,-5.77,"94,855","38,228",6.70,34.28
2017-06-07,香山股份,1002870,40.75,42.68,40.13,42.09,1.42,3.49,"90,981","37,811",6.27,32.88
2017-06-06,香山股份,1002870,39.18,41.80,39.00,40.67,0.21,0.52,"66,012","26,611",6.92,23.86
2017-06-05,香山股份,1002870,43.19,43.88,40.39,40.46,-1.73,-4.10,"87,832","37,327",8.27,31.74
2017-06-02,香山股份,1002870,39.39,42.99,37.90,42.19,1.49,3.66,"91,167","37,340",12.51,32.95
2017-06-01,香山股份,1002870,42.00,44.00,40.60,40.70,-4.28,-9.52,"101,718","43,063",7.56,36.76
2017-05-31,香山股份,1002870,43.07,44.98,42.11,44.98,4.09,10.00,"153,216","67,793",7.02,55.37
2017-05-26,香山股份,1002870,40.18,42.69,39.34,40.89,1.22,3.08,"79,388","32,492",8.44,28.69
2017-05-25,香山股份,1002870,41.62,42.22,39.00,39.67,-2.55,-6.04,"76,794","30,852",7.63,27.75
2017-05-24,香山股份,1002870,39.20,43.18,39.00,42.22,1.40,3.43,"95,461","39,568",10.24,34.50
2017-05-23,香山股份,1002870,38.68,41.78,38.51,40.82,0.70,1.74,"98,933","40,164",8.15,35.75
2017-05-22,香山股份,1002870,47.40,47.40,39.08,40.12,-2.97,-6.89,"117,480","49,742",19.31,42.46
2017-05-19,香山股份,1002870,43.09,43.09,43.09,43.09,3.92,10.01,547,236,0.00,0.20
2017-05-18,香山股份,1002870,39.17,39.17,39.17,39.17,3.56,10.00,66,26,0.00,0.02
2017-05-17,香山股份,1002870,35.61,35.61,35.61,35.61,3.24,10.01,49,18,0.00,0.02
2017-05-16,香山股份,1002870,32.37,32.37,32.37,32.37,2.94,9.99,52,17,0.00,0.02
2017-05-15,香山股份,1002870,24.53,29.43,24.53,29.43,8.99,43.98,90,26,23.97,0.03
2017-12-29,香山股份,1002870,25.86,26.18,25.86,25.96,0.08,0.31,"6,379","1,659",1.24,2.31
2017-12-28,香山股份,1002870,25.75,25.98,25.38,25.88,0.10,0.39,"9,063","2,331",2.33,3.28
2017-12-27,香山股份,1002870,25.52,26.94,25.38,25.78,0.10,0.39,"11,199","2,924",6.07,4.05
2017-12-26,香山股份,1002870,24.82,26.48,24.78,25.68,0.78,3.13,"10,619","2,704",6.83,3.84
2017-12-25,香山股份,1002870,24.98,24.98,24.40,24.90,-0.10,-0.40,"5,991","1,476",2.32,2.17
2017-12-22,香山股份,1002870,25.21,25.32,24.97,25.00,-0.21,-0.83,"3,249",816,1.39,1.17
2017-12-21,香山股份,1002870,25.01,25.30,24.80,25.21,0.18,0.72,"4,180","1,048",2.00,1.51
2017-12-20,香山股份,1002870,25.70,25.84,24.93,25.03,-0.68,-2.64,"4,675","1,185",3.54,1.69
2017-12-19,香山股份,1002870,25.62,25.78,25.50,25.71,0.21,0.82,"4,025","1,034",1.10,1.45
2017-12-18,香山股份,1002870,25.48,25.62,25.40,25.50,0.00,0.00,"2,627",670,0.86,0.95
2017-12-15,香山股份,1002870,25.53,25.66,25.26,25.50,-0.06,-0.23,"2,966",756,1.56,1.07
2017-12-14,香山股份,1002870,25.40,25.65,25.31,25.56,0.01,0.04,"2,860",728,1.33,1.03
2017-12-13,香山股份,1002870,25.04,25.58,24.93,25.55,0.35,1.39,"4,318","1,096",2.58,1.56
2017-12-12,香山股份,1002870,25.74,25.84,25.10,25.20,-0.64,-2.48,"5,813","1,478",2.86,2.10
2017-12-11,香山股份,1002870,25.62,25.99,25.62,25.84,0.04,0.16,"4,670","1,206",1.43,1.69
2017-12-08,香山股份,1002870,25.35,25.92,25.31,25.80,0.39,1.53,"6,473","1,664",2.40,2.34
2017-12-07,香山股份,1002870,25.60,25.67,25.28,25.41,-0.19,-0.74,"4,652","1,184",1.52,1.68
2017-12-06,香山股份,1002870,25.32,25.64,24.91,25.60,0.28,1.11,"7,999","2,025",2.88,2.89
2017-12-05,香山股份,1002870,26.79,26.89,25.16,25.32,-1.36,-5.10,"11,899","3,073",6.48,4.30
2017-12-04,香山股份,1002870,27.82,28.08,26.68,26.68,-1.31,-4.68,"9,581","2,612",5.00,3.46
2017-12-01,香山股份,1002870,27.80,28.14,27.73,27.99,0.19,0.68,"4,840","1,354",1.47,1.75
2017-11-30,香山股份,1002870,27.96,28.22,27.80,27.80,-0.20,-0.71,"4,699","1,316",1.50,1.70
2017-11-29,香山股份,1002870,28.35,28.35,27.71,28.00,-0.39,-1.37,"8,908","2,490",2.25,3.22
2017-11-28,香山股份,1002870,27.69,29.50,27.60,28.39,0.70,2.53,"14,868","4,196",6.86,5.37
2017-11-27,香山股份,1002870,28.17,28.38,27.66,27.69,-0.44,-1.56,"4,137","1,157",2.56,1.50
2017-11-24,香山股份,1002870,27.13,28.88,27.13,28.13,0.73,2.66,"10,275","2,881",6.39,3.71
2017-11-23,香山股份,1002870,28.04,28.16,27.35,27.40,-0.70,-2.49,"6,744","1,878",2.88,2.44
2017-11-22,香山股份,1002870,28.01,28.39,27.99,28.10,0.00,0.00,"5,587","1,572",1.42,2.02
2017-11-21,香山股份,1002870,28.44,28.89,28.01,28.10,-0.29,-1.02,"8,453","2,399",3.10,3.05
2017-11-20,香山股份,1002870,28.05,28.48,27.30,28.39,0.09,0.32,"7,007","1,954",4.17,2.53
2017-11-17,香山股份,1002870,29.66,30.17,28.20,28.30,-1.50,-5.03,"15,182","4,383",6.61,5.49
2017-11-16,香山股份,1002870,29.66,30.58,29.61,29.80,0.01,0.03,"15,193","4,578",3.26,5.49
2017-11-15,香山股份,1002870,30.22,30.39,29.66,29.79,-0.48,-1.59,"10,588","3,172",2.41,3.83
2017-11-14,香山股份,1002870,31.20,31.29,30.21,30.27,-0.93,-2.98,"14,101","4,320",3.46,5.10
2017-11-13,香山股份,1002870,30.92,31.25,30.72,31.20,0.23,0.74,"17,383","5,390",1.71,6.28
2017-11-10,香山股份,1002870,30.65,31.63,28.90,30.97,0.17,0.55,"22,076","6,821",8.86,7.98
2017-11-09,香山股份,1002870,30.60,30.80,30.42,30.80,0.15,0.49,"14,269","4,370",1.24,5.16
