日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,ST华仪,0600290,10.78,11.20,10.77,11.16,0.09,0.81,"98,011","10,714",3.88,1.86
2017-03-30,ST华仪,0600290,11.43,11.43,10.81,11.07,-0.37,-3.23,"114,053","12,596",5.42,2.16
2017-03-29,ST华仪,0600290,11.75,11.78,11.35,11.44,-0.31,-2.64,"85,243","9,823",3.66,1.62
2017-03-28,ST华仪,0600290,11.55,11.80,11.51,11.75,0.21,1.82,"64,604","7,533",2.51,1.23
2017-03-27,ST华仪,0600290,11.55,11.65,11.49,11.54,-0.01,-0.09,"74,328","8,597",1.39,1.41
2017-03-24,ST华仪,0600290,11.76,11.94,11.52,11.55,-0.30,-2.53,"104,444","12,246",3.54,1.98
2017-03-23,ST华仪,0600290,11.91,11.99,11.70,11.85,-0.09,-0.75,"58,365","6,901",2.43,1.11
2017-03-22,ST华仪,0600290,11.98,12.02,11.76,11.94,-0.15,-1.24,"73,324","8,722",2.15,1.39
2017-03-21,ST华仪,0600290,11.92,12.25,11.80,12.09,0.17,1.43,"110,827","13,290",3.78,2.10
2017-03-20,ST华仪,0600290,11.87,11.96,11.71,11.92,-0.02,-0.17,"59,489","7,014",2.09,1.13
2017-03-17,ST华仪,0600290,12.14,12.27,11.93,11.94,-0.18,-1.49,"83,984","10,175",2.81,1.59
2017-03-16,ST华仪,0600290,11.72,12.22,11.69,12.12,0.43,3.68,"155,940","18,627",4.53,2.96
2017-03-15,ST华仪,0600290,11.54,11.99,11.52,11.69,0.08,0.69,"114,657","13,485",4.05,2.18
2017-03-14,ST华仪,0600290,11.74,11.85,11.53,11.61,-0.19,-1.61,"118,640","13,874",2.71,2.25
2017-03-13,ST华仪,0600290,11.62,12.14,11.61,11.80,0.06,0.51,"256,451","30,619",4.51,4.87
2017-03-10,ST华仪,0600290,11.74,11.79,11.58,11.74,0.01,0.09,"56,622","6,608",1.79,1.07
2017-03-09,ST华仪,0600290,11.54,11.79,11.49,11.73,0.19,1.65,"87,353","10,201",2.60,1.66
2017-03-08,ST华仪,0600290,11.42,11.73,11.36,11.54,0.14,1.23,"126,436","14,684",3.25,2.40
2017-03-07,ST华仪,0600290,11.27,11.44,11.25,11.40,0.08,0.71,"76,248","8,675",1.68,1.45
2017-03-06,ST华仪,0600290,11.30,11.36,11.17,11.32,0.03,0.27,"140,464","15,816",1.68,2.67
2017-03-03,ST华仪,0600290,11.20,11.38,11.14,11.29,0.04,0.36,"52,493","5,925",2.13,1.00
2017-03-02,ST华仪,0600290,11.35,11.35,11.22,11.25,-0.07,-0.62,"69,960","7,873",1.15,1.33
2017-03-01,ST华仪,0600290,11.26,11.55,11.21,11.32,0.00,0.00,"97,496","11,069",3.00,1.85
2017-02-28,ST华仪,0600290,11.46,11.46,11.25,11.32,-0.10,-0.88,"82,923","9,401",1.84,1.57
2017-02-27,ST华仪,0600290,11.50,11.57,11.38,11.42,-0.20,-1.72,"120,019","13,748",1.64,2.28
2017-02-24,ST华仪,0600290,11.24,11.75,11.20,11.62,0.38,3.38,"296,262","34,078",4.89,5.62
2017-02-23,ST华仪,0600290,11.11,11.33,11.11,11.24,-0.03,-0.27,"82,784","9,325",1.95,1.57
2017-02-22,ST华仪,0600290,11.28,11.36,11.10,11.27,-0.01,-0.09,"132,208","14,834",2.31,2.51
2017-02-21,ST华仪,0600290,11.32,11.39,11.25,11.28,-0.03,-0.27,"61,245","6,927",1.24,1.16
2017-02-20,ST华仪,0600290,11.34,11.44,11.23,11.31,0.00,0.00,"76,206","8,612",1.86,1.45
2017-02-17,ST华仪,0600290,11.35,11.35,11.18,11.31,0.00,0.00,"110,016","12,403",1.50,2.09
2017-02-16,ST华仪,0600290,11.35,11.40,11.24,11.31,-0.01,-0.09,"98,083","11,079",1.41,1.86
2017-02-15,ST华仪,0600290,11.39,11.46,11.21,11.32,-0.14,-1.22,"141,816","16,033",2.18,2.69
2017-02-14,ST华仪,0600290,11.12,11.51,11.07,11.46,0.28,2.50,"318,143","36,031",3.94,6.04
2017-02-13,ST华仪,0600290,11.06,11.30,10.95,11.18,0.07,0.63,"162,579","18,162",3.15,3.09
2017-02-10,ST华仪,0600290,11.00,11.25,10.91,11.11,0.11,1.00,"77,242","8,553",3.09,1.47
2017-02-09,ST华仪,0600290,11.14,11.14,10.91,11.00,-0.08,-0.72,"83,473","9,172",2.08,1.58
2017-02-08,ST华仪,0600290,10.98,11.29,10.71,11.08,0.15,1.37,"90,049","9,921",5.31,1.71
2017-02-07,ST华仪,0600290,11.00,11.02,10.89,10.93,-0.02,-0.18,"27,059","2,961",1.19,0.51
2017-02-06,ST华仪,0600290,10.96,11.00,10.80,10.95,0.00,0.00,"33,938","3,709",1.83,0.64
2017-02-03,ST华仪,0600290,11.05,11.08,10.85,10.95,-0.12,-1.08,"63,092","6,921",2.08,1.20
2017-01-26,ST华仪,0600290,10.65,11.08,10.51,11.07,0.54,5.13,"70,543","7,595",5.41,1.34
2017-01-25,ST华仪,0600290,10.55,10.63,10.42,10.53,-0.02,-0.19,"32,643","3,430",1.99,0.62
2017-01-24,ST华仪,0600290,10.64,10.70,10.50,10.55,-0.11,-1.03,"24,092","2,544",1.88,0.46
2017-01-23,ST华仪,0600290,10.60,10.70,10.54,10.66,0.03,0.28,"43,807","4,655",1.51,0.83
2017-01-20,ST华仪,0600290,10.65,10.75,10.50,10.63,-0.01,-0.09,"81,919","8,690",2.35,1.55
2017-01-19,ST华仪,0600290,10.72,10.79,10.44,10.64,-0.16,-1.48,"70,936","7,502",3.24,1.35
2017-01-18,ST华仪,0600290,10.40,10.89,10.36,10.80,0.06,0.56,"105,644","11,170",4.93,2.01
2017-01-17,ST华仪,0600290,9.35,10.90,9.35,10.74,0.45,4.37,"162,570","16,875",15.06,3.09
2017-01-16,ST华仪,0600290,11.30,11.59,10.29,10.29,-1.14,-9.97,"96,320","10,560",11.37,1.83
2017-01-13,ST华仪,0600290,11.44,11.65,11.36,11.43,-0.06,-0.52,"55,644","6,417",2.52,1.06
2017-01-12,ST华仪,0600290,11.27,11.58,11.25,11.49,0.29,2.59,"129,021","14,741",2.95,2.45
2017-01-11,ST华仪,0600290,11.26,11.73,11.10,11.20,-0.56,-4.76,"266,163","30,290",5.36,5.05
2017-01-10,ST华仪,0600290,13.07,13.07,11.76,11.76,-1.31,-10.02,"365,413","43,483",10.02,6.94
2017-01-09,ST华仪,0600290,13.35,13.48,13.05,13.07,-0.25,-1.88,"38,277","5,044",3.23,0.73
2017-01-06,ST华仪,0600290,13.30,13.52,13.18,13.32,-0.03,-0.22,"37,389","4,974",2.55,0.71
2017-01-05,ST华仪,0600290,13.24,13.50,12.98,13.35,0.11,0.83,"82,092","10,855",3.93,1.56
2017-01-04,ST华仪,0600290,13.15,13.49,12.91,13.24,0.11,0.84,"81,219","10,675",4.42,1.54
2017-01-03,ST华仪,0600290,13.45,13.45,13.05,13.13,-0.24,-1.80,"37,637","4,986",2.99,0.71
2017-12-29,ST华仪,0600290,13.05,13.33,12.91,13.21,0.16,1.23,"24,861","3,254",3.22,0.47
2017-12-28,ST华仪,0600290,12.86,13.20,12.76,13.05,0.14,1.08,"38,231","4,981",3.41,0.73
2017-12-27,ST华仪,0600290,12.94,12.98,12.70,12.91,-0.05,-0.39,"49,939","6,432",2.16,0.95
2017-12-26,ST华仪,0600290,13.00,13.09,12.81,12.96,-0.01,-0.08,"38,524","4,981",2.16,0.73
2017-12-25,ST华仪,0600290,12.98,13.01,12.53,12.97,-0.04,-0.31,"40,921","5,268",3.69,0.78
2017-12-22,ST华仪,0600290,13.07,13.21,12.80,13.01,-0.05,-0.38,"61,451","8,007",3.14,1.17
2017-12-21,ST华仪,0600290,13.14,13.14,12.92,13.06,-0.05,-0.38,"39,884","5,194",1.68,0.76
2017-12-20,ST华仪,0600290,13.23,13.30,12.91,13.11,-0.13,-0.98,"81,376","10,601",2.95,1.54
2017-12-19,ST华仪,0600290,13.34,13.34,13.03,13.24,-0.08,-0.60,"35,108","4,627",2.33,0.67
2017-12-18,ST华仪,0600290,13.25,13.50,13.02,13.32,0.05,0.38,"29,125","3,862",3.62,0.55
2017-12-15,ST华仪,0600290,13.30,13.42,13.19,13.27,-0.07,-0.52,"16,770","2,230",1.72,0.32
2017-12-14,ST华仪,0600290,13.29,13.37,13.16,13.34,-0.01,-0.07,"28,776","3,821",1.57,0.55
2017-12-13,ST华仪,0600290,13.25,13.36,13.13,13.35,0.11,0.83,"73,569","9,747",1.74,1.40
2017-12-12,ST华仪,0600290,13.35,13.40,13.08,13.24,-0.02,-0.15,"21,101","2,783",2.41,0.40
2017-12-11,ST华仪,0600290,13.18,13.40,13.10,13.26,0.10,0.76,"20,384","2,694",2.28,0.39
2017-12-08,ST华仪,0600290,13.06,13.26,13.06,13.16,-0.01,-0.08,"58,514","7,714",1.52,1.11
2017-12-07,ST华仪,0600290,13.14,13.23,13.03,13.17,-0.06,-0.45,"44,205","5,808",1.51,0.84
2017-12-06,ST华仪,0600290,13.10,13.31,12.75,13.23,0.06,0.46,"55,100","7,190",4.25,1.05
2017-12-05,ST华仪,0600290,13.14,13.30,12.96,13.17,-0.04,-0.30,"43,132","5,658",2.57,0.82
2017-12-04,ST华仪,0600290,13.34,13.34,13.04,13.21,-0.14,-1.05,"30,541","4,028",2.25,0.58
2017-12-01,ST华仪,0600290,13.33,13.40,13.02,13.35,0.02,0.15,"30,339","4,013",2.85,0.58
2017-11-30,ST华仪,0600290,13.65,13.65,13.29,13.33,-0.37,-2.70,"78,868","10,589",2.63,1.50
2017-11-29,ST华仪,0600290,13.70,13.95,13.51,13.70,0.04,0.29,"75,906","10,394",3.22,1.44
