日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-17,*ST雪莱,1002076,14.23,14.29,13.98,14.17,-0.06,-0.42,"72,586","10,231",2.18,2.43
2017-03-16,*ST雪莱,1002076,14.17,14.33,14.08,14.23,0.03,0.21,"63,306","8,981",1.76,2.12
2017-03-15,*ST雪莱,1002076,14.04,14.34,13.95,14.20,0.08,0.57,"79,724","11,309",2.76,2.67
2017-03-14,*ST雪莱,1002076,13.78,14.60,13.70,14.12,0.27,1.95,"149,307","21,179",6.50,5.01
2017-03-13,*ST雪莱,1002076,13.40,13.85,13.23,13.85,0.55,4.14,"75,281","10,269",4.66,2.52
2017-03-10,*ST雪莱,1002076,13.28,13.38,13.22,13.30,0.06,0.45,"21,763","2,897",1.21,0.73
2017-03-09,*ST雪莱,1002076,13.59,13.62,13.24,13.24,-0.35,-2.58,"30,754","4,124",2.80,1.03
2017-03-08,*ST雪莱,1002076,13.55,13.72,13.45,13.59,0.00,0.00,"37,600","5,114",1.99,1.26
2017-03-07,*ST雪莱,1002076,13.64,13.64,13.51,13.59,-0.08,-0.59,"38,919","5,278",0.95,1.30
2017-03-06,*ST雪莱,1002076,13.30,13.80,13.24,13.67,0.40,3.01,"69,461","9,387",4.22,2.33
2017-03-03,*ST雪莱,1002076,13.19,13.27,13.10,13.27,0.05,0.38,"23,657","3,118",1.29,0.79
2017-03-02,*ST雪莱,1002076,13.28,13.31,13.01,13.22,-0.06,-0.45,"43,229","5,695",2.26,1.45
2017-03-01,*ST雪莱,1002076,13.41,13.45,13.25,13.28,-0.11,-0.82,"30,738","4,090",1.49,1.03
2017-02-28,*ST雪莱,1002076,13.37,13.41,13.30,13.39,-0.02,-0.15,"25,831","3,449",0.82,0.87
2017-02-27,*ST雪莱,1002076,13.35,13.54,13.25,13.41,0.06,0.45,"38,219","5,121",2.17,1.28
2017-02-24,*ST雪莱,1002076,13.31,13.39,13.19,13.35,0.04,0.30,"24,086","3,204",1.50,0.81
2017-02-23,*ST雪莱,1002076,13.34,13.44,13.22,13.31,0.03,0.23,"24,204","3,219",1.66,0.81
2017-02-22,*ST雪莱,1002076,13.20,13.29,13.14,13.28,0.04,0.30,"26,451","3,496",1.13,0.89
2017-02-21,*ST雪莱,1002076,13.07,13.26,13.04,13.24,0.14,1.07,"28,435","3,741",1.68,0.95
2017-02-20,*ST雪莱,1002076,12.95,13.10,12.79,13.10,0.10,0.77,"30,180","3,900",2.38,1.01
2017-02-17,*ST雪莱,1002076,13.20,13.21,12.77,13.00,-0.22,-1.66,"37,898","4,920",3.33,1.27
2017-02-16,*ST雪莱,1002076,13.15,13.22,13.10,13.22,-0.01,-0.08,"31,641","4,159",0.91,1.06
2017-02-15,*ST雪莱,1002076,13.25,13.33,13.10,13.23,-0.02,-0.15,"28,068","3,700",1.74,0.94
2017-02-14,*ST雪莱,1002076,13.42,13.43,13.23,13.25,-0.14,-1.05,"22,024","2,928",1.49,0.74
2017-02-13,*ST雪莱,1002076,13.55,13.55,13.33,13.39,-0.02,-0.15,"27,348","3,670",1.64,0.92
2017-02-10,*ST雪莱,1002076,13.50,13.56,13.40,13.41,-0.23,-1.69,"33,582","4,518",1.17,1.13
2017-02-09,*ST雪莱,1002076,13.25,13.68,13.24,13.64,0.40,3.02,"56,618","7,629",3.32,1.90
2017-02-08,*ST雪莱,1002076,13.12,13.26,13.06,13.24,0.05,0.38,"25,321","3,334",1.52,0.85
2017-02-07,*ST雪莱,1002076,13.24,13.25,12.91,13.19,-0.02,-0.15,"32,390","4,235",2.57,1.09
2017-02-06,*ST雪莱,1002076,13.17,13.22,13.07,13.21,0.01,0.08,"18,062","2,379",1.14,0.61
2017-02-03,*ST雪莱,1002076,13.30,13.36,13.01,13.20,-0.10,-0.75,"18,904","2,477",2.63,0.63
2017-01-26,*ST雪莱,1002076,13.22,13.32,13.22,13.30,0.09,0.68,"15,429","2,049",0.76,0.52
2017-01-25,*ST雪莱,1002076,13.16,13.23,13.03,13.21,-0.02,-0.15,"17,062","2,249",1.51,0.57
2017-01-24,*ST雪莱,1002076,13.29,13.32,13.07,13.23,-0.12,-0.90,"20,637","2,722",1.87,0.69
2017-01-23,*ST雪莱,1002076,13.36,13.49,13.02,13.35,0.15,1.14,"36,801","4,902",3.56,1.23
2017-01-20,*ST雪莱,1002076,13.00,13.30,12.99,13.20,0.03,0.23,"21,571","2,852",2.35,0.72
2017-01-19,*ST雪莱,1002076,13.05,13.20,12.83,13.17,-0.01,-0.08,"33,610","4,398",2.81,1.13
2017-01-18,*ST雪莱,1002076,13.00,13.25,12.70,13.18,0.04,0.30,"32,177","4,150",4.19,1.08
2017-01-17,*ST雪莱,1002076,12.28,13.15,12.08,13.14,0.77,6.22,"43,145","5,419",8.65,1.45
2017-01-16,*ST雪莱,1002076,13.19,13.21,11.87,12.37,-0.82,-6.22,"43,350","5,464",10.16,1.45
2017-01-13,*ST雪莱,1002076,13.34,13.48,13.16,13.19,-0.19,-1.42,"23,966","3,197",2.39,0.80
2017-01-12,*ST雪莱,1002076,13.63,13.77,13.34,13.38,-0.34,-2.48,"40,158","5,439",3.13,1.35
2017-01-11,*ST雪莱,1002076,14.03,14.17,13.70,13.72,-0.31,-2.21,"47,891","6,667",3.35,1.61
2017-01-10,*ST雪莱,1002076,14.13,14.20,14.00,14.03,-0.19,-1.34,"37,406","5,267",1.41,1.25
2017-01-09,*ST雪莱,1002076,14.35,14.40,14.10,14.22,-0.20,-1.39,"63,598","9,031",2.08,2.13
2017-01-06,*ST雪莱,1002076,14.57,14.68,14.08,14.42,0.17,1.19,"83,303","12,012",4.21,2.79
2017-01-05,*ST雪莱,1002076,13.78,14.68,13.78,14.25,0.43,3.11,"79,142","11,254",6.51,2.65
2017-01-04,*ST雪莱,1002076,13.64,13.87,13.60,13.82,0.20,1.47,"36,661","5,049",1.98,1.23
2017-01-03,*ST雪莱,1002076,13.55,13.66,13.55,13.62,0.09,0.67,"18,487","2,517",0.81,0.62
2017-12-29,*ST雪莱,1002076,5.70,5.83,5.58,5.58,0.08,1.45,"116,813","6,634",4.55,1.96
2017-12-20,*ST雪莱,1002076,5.59,5.61,5.48,5.50,-0.09,-1.61,"54,496","3,008",2.33,0.91
2017-12-19,*ST雪莱,1002076,5.56,5.85,5.56,5.59,0.21,3.90,"102,091","5,762",5.39,1.71
2017-12-18,*ST雪莱,1002076,5.52,5.52,5.38,5.38,-0.15,-2.71,"48,316","2,622",2.53,0.81
2017-12-15,*ST雪莱,1002076,5.61,5.63,5.51,5.53,-0.06,-1.07,"29,323","1,626",2.15,0.49
2017-12-14,*ST雪莱,1002076,5.58,5.65,5.54,5.59,-0.08,-1.41,"65,478","3,656",1.94,1.10
2017-12-13,*ST雪莱,1002076,5.49,5.68,5.46,5.67,0.18,3.28,"79,079","4,427",4.01,1.33
2017-12-12,*ST雪莱,1002076,5.57,5.58,5.48,5.49,-0.03,-0.54,"40,898","2,256",1.81,0.69
2017-12-11,*ST雪莱,1002076,5.44,5.58,5.42,5.52,0.08,1.47,"63,684","3,520",2.94,1.07
2017-12-08,*ST雪莱,1002076,5.45,5.45,5.36,5.44,0.02,0.37,"40,690","2,204",1.66,0.68
2017-12-07,*ST雪莱,1002076,5.29,5.48,5.26,5.42,0.17,3.24,"74,334","4,008",4.19,1.25
2017-12-06,*ST雪莱,1002076,5.25,5.28,5.17,5.25,-0.02,-0.38,"32,486","1,695",2.09,0.54
2017-12-05,*ST雪莱,1002076,5.40,5.42,5.27,5.27,-0.19,-3.48,"41,841","2,229",2.75,0.70
2017-12-04,*ST雪莱,1002076,5.50,5.50,5.40,5.46,-0.04,-0.73,"42,285","2,293",1.82,0.71
2017-12-01,*ST雪莱,1002076,5.51,5.52,5.46,5.50,0.00,0.00,"27,133","1,490",1.09,0.45
2017-11-30,*ST雪莱,1002076,5.45,5.50,5.38,5.50,0.01,0.18,"38,980","2,125",2.19,0.65
2017-11-29,*ST雪莱,1002076,5.52,5.54,5.40,5.49,-0.01,-0.18,"48,223","2,629",2.55,0.81
2017-11-28,*ST雪莱,1002076,5.27,5.52,5.25,5.50,0.23,4.36,"96,402","5,205",5.12,1.62
2017-11-27,*ST雪莱,1002076,5.50,5.50,5.24,5.27,-0.25,-4.53,"75,517","4,034",4.71,1.27
2017-11-24,*ST雪莱,1002076,5.55,5.59,5.49,5.52,-0.11,-1.95,"44,036","2,442",1.78,0.74
2017-11-23,*ST雪莱,1002076,5.76,5.76,5.60,5.63,-0.12,-2.09,"63,236","3,580",2.78,1.06
2017-11-22,*ST雪莱,1002076,5.93,5.93,5.73,5.75,-0.17,-2.87,"86,163","4,990",3.38,1.44
2017-11-21,*ST雪莱,1002076,5.84,5.98,5.79,5.92,0.12,2.07,"100,616","5,916",3.28,1.69
2017-11-20,*ST雪莱,1002076,5.79,5.88,5.67,5.80,-0.18,-3.01,"60,459","3,480",3.51,1.01
2017-11-17,*ST雪莱,1002076,6.12,6.12,5.57,5.98,-0.12,-1.97,"147,631","8,551",9.02,2.47
2017-11-16,*ST雪莱,1002076,6.24,6.25,6.07,6.10,-0.14,-2.24,"103,672","6,396",2.88,1.74
2017-11-15,*ST雪莱,1002076,6.23,6.28,6.17,6.24,0.00,0.00,"87,787","5,454",1.76,1.47
2017-11-14,*ST雪莱,1002076,6.29,6.29,6.19,6.24,-0.06,-0.95,"69,727","4,343",1.59,1.17
2017-11-13,*ST雪莱,1002076,6.26,6.32,6.23,6.30,0.00,0.00,"81,797","5,134",1.43,1.37
2017-11-10,*ST雪莱,1002076,6.23,6.30,6.16,6.30,0.05,0.80,"117,819","7,333",2.24,1.98
2017-11-09,*ST雪莱,1002076,6.27,6.29,6.19,6.25,-0.05,-0.79,"83,785","5,220",1.59,1.40
2017-11-08,*ST雪莱,1002076,6.27,6.36,6.22,6.30,-0.04,-0.63,"101,145","6,380",2.21,1.70
2017-11-07,*ST雪莱,1002076,6.20,6.34,6.15,6.34,0.11,1.77,"114,769","7,147",3.05,1.92
2017-11-06,*ST雪莱,1002076,6.25,6.26,6.11,6.23,-0.02,-0.32,"74,222","4,585",2.40,1.24
2017-11-03,*ST雪莱,1002076,6.24,6.30,6.17,6.25,-0.05,-0.79,"72,495","4,513",2.06,1.22
2017-11-02,*ST雪莱,1002076,6.22,6.37,6.17,6.30,0.02,0.32,"117,315","7,368",3.18,1.97
2017-11-01,*ST雪莱,1002076,6.26,6.28,6.21,6.28,-0.03,-0.48,"77,267","4,820",1.11,1.30
2017-10-31,*ST雪莱,1002076,6.24,6.32,6.12,6.31,-0.02,-0.32,"106,256","6,602",3.16,1.78
2017-10-30,*ST雪莱,1002076,6.59,6.63,6.05,6.33,-0.35,-5.24,"186,846","11,819",8.68,3.13
2017-10-27,*ST雪莱,1002076,6.58,6.79,6.55,6.68,0.18,2.77,"247,338","16,508",3.69,4.15
2017-10-26,*ST雪莱,1002076,6.50,6.53,6.45,6.50,-0.03,-0.46,"106,894","6,930",1.23,1.79
2017-10-25,*ST雪莱,1002076,6.54,6.55,6.44,6.53,-0.01,-0.15,"90,111","5,865",1.68,1.51
2017-10-24,*ST雪莱,1002076,6.51,6.58,6.42,6.54,0.05,0.77,"136,978","8,911",2.47,2.30
2017-10-23,*ST雪莱,1002076,6.61,6.62,6.45,6.49,-0.14,-2.11,"165,689","10,773",2.56,2.78
2017-10-20,*ST雪莱,1002076,6.58,6.66,6.51,6.63,0.02,0.30,"152,954","10,086",2.27,2.56
2017-10-19,*ST雪莱,1002076,6.78,6.84,6.56,6.61,-0.19,-2.79,"202,731","13,518",4.12,3.40
2017-10-18,*ST雪莱,1002076,7.01,7.06,6.70,6.80,-0.30,-4.23,"293,247","20,216",5.07,4.92
2017-10-17,*ST雪莱,1002076,7.00,7.13,6.86,7.10,-0.28,-3.79,"378,297","26,528",3.66,6.34
2017-10-16,*ST雪莱,1002076,7.66,7.75,7.38,7.38,-0.82,-10.00,"575,204","42,861",4.51,9.64
2017-10-13,*ST雪莱,1002076,7.95,8.49,7.78,8.20,0.42,5.40,"1,001,355","81,457",9.13,16.79
2017-10-12,*ST雪莱,1002076,7.78,7.78,7.78,7.78,0.71,10.04,"328,738","25,576",0.00,5.51
2018-06-29,*ST雪莱,1002076,4.48,4.72,4.48,4.69,0.16,3.53,"88,813","4,112",5.30,1.37
2018-06-28,*ST雪莱,1002076,4.70,4.78,4.51,4.53,-0.19,-4.03,"88,850","4,141",5.72,1.37
2018-06-27,*ST雪莱,1002076,4.68,4.75,4.65,4.72,0.03,0.64,"77,024","3,617",2.13,1.19
2018-06-26,*ST雪莱,1002076,4.55,4.71,4.47,4.69,0.08,1.74,"89,340","4,137",5.21,1.38
2018-06-25,*ST雪莱,1002076,4.74,4.88,4.61,4.61,-0.06,-1.28,"100,291","4,750",5.78,1.55
2018-06-22,*ST雪莱,1002076,4.50,4.67,4.39,4.67,0.17,3.78,"97,679","4,450",6.22,1.51
2018-06-21,*ST雪莱,1002076,4.60,4.68,4.45,4.50,-0.13,-2.81,"100,658","4,595",4.97,1.55
2018-06-20,*ST雪莱,1002076,4.42,4.68,4.39,4.63,0.12,2.66,"106,513","4,876",6.43,1.64
2018-06-19,*ST雪莱,1002076,4.92,4.92,4.51,4.51,-0.50,-9.98,"157,936","7,325",8.18,2.44
2018-06-15,*ST雪莱,1002076,5.24,5.28,4.93,5.01,-0.23,-4.39,"150,453","7,601",6.68,2.32
2018-06-14,*ST雪莱,1002076,5.31,5.44,5.24,5.24,-0.10,-1.87,"111,734","5,945",3.75,1.73
2018-06-13,*ST雪莱,1002076,5.63,5.64,5.31,5.34,-0.34,-5.99,"192,630","10,499",5.81,2.97
2018-06-12,*ST雪莱,1002076,5.54,5.74,5.50,5.68,0.07,1.25,"118,884","6,701",4.28,1.84
2018-06-11,*ST雪莱,1002076,5.81,5.86,5.47,5.61,-0.28,-4.75,"226,748","12,885",6.62,3.50
2018-06-08,*ST雪莱,1002076,5.82,5.96,5.70,5.89,0.16,2.79,"248,841","14,453",4.54,3.84
2018-06-07,*ST雪莱,1002076,5.65,5.85,5.57,5.73,0.10,1.78,"181,035","10,385",4.97,2.80
2018-06-06,*ST雪莱,1002076,5.61,5.77,5.61,5.63,-0.03,-0.53,"138,389","7,855",2.83,2.14
2018-06-05,*ST雪莱,1002076,5.48,5.68,5.25,5.66,0.20,3.66,"177,200","9,811",7.88,2.74
2018-06-04,*ST雪莱,1002076,6.03,6.08,5.43,5.46,-0.57,-9.45,"347,824","19,728",10.78,5.37
2018-06-01,*ST雪莱,1002076,6.25,6.29,6.02,6.03,-0.32,-5.04,"299,976","18,411",4.25,4.63
2018-05-31,*ST雪莱,1002076,6.15,6.36,6.02,6.35,0.26,4.27,"392,112","24,430",5.58,6.05
2018-05-30,*ST雪莱,1002076,6.25,6.44,5.95,6.09,-0.35,-5.43,"409,944","25,260",7.61,6.33
2018-05-29,*ST雪莱,1002076,6.06,6.55,6.00,6.44,0.39,6.45,"588,993","37,345",9.09,9.09
2018-05-28,*ST雪莱,1002076,5.90,6.18,5.88,6.05,0.10,1.68,"259,683","15,767",5.04,4.01
