日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,万里股份,0600847,15.49,15.52,15.33,15.45,0.01,0.06,"2,088",322,1.23,0.14
2017-12-28,万里股份,0600847,15.37,15.56,15.16,15.44,0.24,1.58,"2,490",383,2.63,0.16
2017-12-27,万里股份,0600847,15.40,15.40,15.19,15.20,-0.20,-1.30,"1,830",279,1.36,0.12
2017-12-26,万里股份,0600847,15.53,15.53,15.20,15.40,0.04,0.26,"2,049",314,2.15,0.13
2017-12-25,万里股份,0600847,15.64,15.82,15.31,15.36,-0.38,-2.41,"2,483",387,3.24,0.16
2017-12-22,万里股份,0600847,15.36,15.86,15.21,15.74,0.39,2.54,"4,450",691,4.23,0.29
2017-12-21,万里股份,0600847,15.28,15.44,15.25,15.35,0.09,0.59,"4,347",666,1.25,0.28
2017-12-20,万里股份,0600847,15.19,15.30,15.14,15.26,0.04,0.26,"3,725",566,1.05,0.24
2017-12-19,万里股份,0600847,15.24,15.32,15.06,15.22,-0.02,-0.13,"3,629",550,1.71,0.24
2017-12-18,万里股份,0600847,15.72,15.72,15.16,15.24,-0.39,-2.50,"8,180","1,256",3.58,0.53
2017-12-15,万里股份,0600847,15.85,15.85,15.59,15.63,-0.13,-0.82,"3,204",502,1.65,0.21
2017-12-14,万里股份,0600847,15.73,15.98,15.64,15.76,0.03,0.19,"5,399",855,2.16,0.35
2017-12-13,万里股份,0600847,15.66,15.74,15.59,15.73,0.10,0.64,"3,128",491,0.96,0.20
2017-12-12,万里股份,0600847,15.75,15.77,15.61,15.63,-0.12,-0.76,"3,054",478,1.02,0.20
2017-12-11,万里股份,0600847,15.81,15.95,15.69,15.75,-0.03,-0.19,"2,631",416,1.65,0.17
2017-12-08,万里股份,0600847,15.62,15.79,15.57,15.78,0.22,1.41,"3,817",599,1.41,0.25
2017-12-07,万里股份,0600847,15.55,15.59,15.43,15.56,0.01,0.06,"2,513",390,1.03,0.16
2017-12-06,万里股份,0600847,15.45,15.63,15.31,15.55,-0.11,-0.70,"4,545",702,2.04,0.30
2017-12-05,万里股份,0600847,15.68,15.83,15.39,15.66,-0.01,-0.06,"7,665","1,193",2.81,0.50
2017-12-04,万里股份,0600847,16.01,16.23,15.60,15.67,-0.57,-3.51,"6,448","1,022",3.88,0.42
2017-12-01,万里股份,0600847,16.02,16.31,16.02,16.24,0.07,0.43,"2,358",381,1.79,0.15
2017-11-30,万里股份,0600847,16.02,16.21,15.96,16.17,0.00,0.00,"2,087",336,1.55,0.14
2017-11-29,万里股份,0600847,16.15,16.25,16.08,16.17,0.08,0.50,"3,460",559,1.06,0.23
2017-11-28,万里股份,0600847,16.00,16.30,15.93,16.09,-0.08,-0.49,"2,352",379,2.29,0.15
2017-11-27,万里股份,0600847,16.18,16.58,15.87,16.17,-0.01,-0.06,"6,630","1,065",4.39,0.43
2017-11-24,万里股份,0600847,15.88,16.30,15.88,16.18,-0.02,-0.12,"3,817",617,2.59,0.25
2017-11-23,万里股份,0600847,16.83,16.85,16.20,16.20,-0.58,-3.46,"5,866",967,3.87,0.38
2017-11-22,万里股份,0600847,16.60,17.00,16.60,16.78,0.12,0.72,"6,120","1,028",2.40,0.40
2017-11-21,万里股份,0600847,16.28,16.68,16.20,16.66,0.37,2.27,"4,311",709,2.95,0.28
2017-11-20,万里股份,0600847,16.02,16.45,15.85,16.29,0.17,1.05,"7,358","1,185",3.72,0.48
2017-11-17,万里股份,0600847,16.80,16.99,16.06,16.12,-0.79,-4.67,"9,027","1,482",5.50,0.59
2017-11-16,万里股份,0600847,17.11,17.28,16.75,16.91,-0.20,-1.17,"8,275","1,412",3.10,0.54
2017-11-15,万里股份,0600847,17.25,17.44,17.03,17.11,-0.10,-0.58,"6,021","1,036",2.38,0.39
2017-11-14,万里股份,0600847,16.99,17.64,16.98,17.21,0.09,0.53,"12,261","2,120",3.86,0.80
2017-11-13,万里股份,0600847,16.41,17.20,16.25,17.12,0.57,3.44,"12,783","2,152",5.74,0.83
2017-11-10,万里股份,0600847,16.28,16.57,16.04,16.55,0.30,1.85,"10,092","1,651",3.26,0.66
2017-11-09,万里股份,0600847,16.25,16.77,16.17,16.25,0.02,0.12,"8,284","1,359",3.70,0.54
2017-11-08,万里股份,0600847,16.14,16.30,16.10,16.23,0.01,0.06,"6,498","1,054",1.23,0.42
2017-11-07,万里股份,0600847,16.03,16.35,15.96,16.22,0.26,1.63,"8,760","1,416",2.44,0.57
2017-11-06,万里股份,0600847,15.71,15.99,15.67,15.96,0.21,1.33,"4,148",655,2.03,0.27
2017-11-03,万里股份,0600847,15.79,15.81,15.56,15.75,0.12,0.77,"9,093","1,422",1.60,0.59
2017-11-02,万里股份,0600847,15.73,15.73,15.56,15.63,-0.07,-0.45,"7,419","1,158",1.08,0.48
2017-11-01,万里股份,0600847,15.69,15.78,15.63,15.70,-0.01,-0.06,"5,119",803,0.95,0.33
2017-10-31,万里股份,0600847,15.83,15.89,15.56,15.71,-0.35,-2.18,"10,434","1,638",2.05,0.68
2017-10-30,万里股份,0600847,16.18,16.20,15.46,16.06,-0.21,-1.29,"11,463","1,807",4.55,0.75
2017-10-27,万里股份,0600847,16.27,16.42,16.11,16.27,0.00,0.00,"5,706",928,1.91,0.37
2017-10-26,万里股份,0600847,16.46,16.46,16.22,16.27,-0.19,-1.15,"6,933","1,129",1.46,0.45
2017-10-25,万里股份,0600847,16.01,16.60,16.01,16.46,0.37,2.30,"18,713","3,068",3.67,1.22
2017-10-24,万里股份,0600847,15.81,16.16,15.81,16.09,0.19,1.20,"19,087","3,044",2.20,1.25
2017-10-23,万里股份,0600847,15.69,15.91,15.54,15.90,0.22,1.40,"13,782","2,169",2.36,0.90
2017-10-20,万里股份,0600847,15.32,15.70,15.32,15.68,0.30,1.95,"8,414","1,308",2.47,0.55
2017-10-19,万里股份,0600847,15.33,15.47,15.30,15.38,0.03,0.20,"7,317","1,124",1.11,0.48
2017-10-18,万里股份,0600847,15.34,15.63,15.25,15.35,0.01,0.07,"9,824","1,522",2.48,0.64
2017-10-17,万里股份,0600847,15.27,15.35,15.15,15.34,0.13,0.85,"3,976",605,1.31,0.26
2017-10-16,万里股份,0600847,15.38,15.39,15.17,15.21,-0.19,-1.23,"5,212",795,1.43,0.34
2017-10-13,万里股份,0600847,15.37,15.41,15.23,15.40,0.07,0.46,"3,934",602,1.17,0.26
2017-10-12,万里股份,0600847,15.46,15.54,15.22,15.33,-0.17,-1.10,"5,119",786,2.06,0.33
2017-10-11,万里股份,0600847,15.44,15.58,15.35,15.50,0.09,0.58,"6,313",977,1.49,0.41
2017-10-10,万里股份,0600847,15.30,15.43,15.29,15.41,0.05,0.33,"4,229",649,0.91,0.28
2017-10-09,万里股份,0600847,15.34,15.40,15.18,15.36,0.11,0.72,"4,354",667,1.44,0.28
2017-03-31,万里股份,0600847,19.79,19.88,19.11,19.70,0.00,0.00,"25,479","4,965",3.91,1.66
2017-03-30,万里股份,0600847,20.73,21.00,19.62,19.70,-1.32,-6.28,"40,755","8,194",6.57,2.66
2017-03-29,万里股份,0600847,21.62,21.77,21.00,21.02,-0.71,-3.27,"25,735","5,460",3.54,1.68
2017-03-28,万里股份,0600847,22.17,22.28,21.20,21.73,-0.44,-1.98,"30,316","6,552",4.87,1.98
2017-03-27,万里股份,0600847,22.45,22.46,22.16,22.17,-0.29,-1.29,"19,900","4,432",1.34,1.30
2017-03-24,万里股份,0600847,22.22,22.55,22.16,22.46,0.11,0.49,"20,734","4,633",1.75,1.35
2017-03-23,万里股份,0600847,22.54,22.73,21.90,22.35,-0.14,-0.62,"30,034","6,710",3.69,1.96
2017-03-22,万里股份,0600847,22.88,22.95,22.28,22.49,-0.59,-2.56,"38,827","8,761",2.90,2.53
2017-03-21,万里股份,0600847,23.23,23.48,22.89,23.08,-0.22,-0.94,"54,315","12,596",2.53,3.54
2017-03-20,万里股份,0600847,23.51,23.60,23.15,23.30,-0.59,-2.47,"59,140","13,797",1.88,3.86
2017-03-17,万里股份,0600847,22.95,23.98,22.50,23.89,0.73,3.15,"87,914","20,323",6.39,5.74
2017-03-16,万里股份,0600847,22.96,23.38,22.71,23.16,0.11,0.48,"38,384","8,815",2.91,2.50
2017-03-15,万里股份,0600847,22.07,23.19,22.07,23.05,0.88,3.97,"45,119","10,302",5.05,2.94
2017-03-14,万里股份,0600847,21.88,22.83,21.88,22.17,0.29,1.33,"34,686","7,753",4.34,2.26
2017-03-13,万里股份,0600847,21.99,22.17,21.63,21.88,-0.35,-1.57,"22,421","4,904",2.43,1.46
2017-03-10,万里股份,0600847,22.40,22.56,22.18,22.23,-0.14,-0.63,"14,334","3,189",1.70,0.94
2017-03-09,万里股份,0600847,22.20,22.68,22.04,22.37,0.24,1.08,"22,067","4,936",2.89,1.44
2017-03-08,万里股份,0600847,22.42,22.62,22.04,22.13,-0.37,-1.64,"25,621","5,693",2.58,1.67
2017-03-07,万里股份,0600847,22.40,22.74,22.33,22.50,-0.01,-0.04,"20,797","4,684",1.82,1.36
2017-03-06,万里股份,0600847,22.55,22.64,22.28,22.51,-0.11,-0.49,"30,121","6,758",1.59,1.97
2017-03-03,万里股份,0600847,21.92,22.80,21.85,22.62,0.60,2.72,"42,788","9,583",4.31,2.79
2017-03-02,万里股份,0600847,21.81,22.07,21.65,22.02,0.10,0.46,"25,556","5,585",1.92,1.67
2017-03-01,万里股份,0600847,21.88,22.10,21.55,21.92,-0.20,-0.90,"34,578","7,557",2.49,2.26
2017-02-28,万里股份,0600847,22.18,22.36,21.68,22.12,-0.47,-2.08,"52,530","11,542",3.01,3.43
2017-02-27,万里股份,0600847,21.41,23.55,21.41,22.59,1.18,5.51,"74,459","16,886",10.00,4.86
2017-02-21,万里股份,0600847,21.09,21.43,20.85,21.41,0.24,1.13,"17,000","3,593",2.74,1.11
2017-02-20,万里股份,0600847,21.86,21.90,20.71,21.17,-0.65,-2.98,"28,129","5,932",5.45,1.84
2017-02-17,万里股份,0600847,21.69,21.98,21.48,21.82,0.23,1.07,"21,456","4,664",2.32,1.40
2017-02-16,万里股份,0600847,21.41,21.63,21.35,21.59,0.14,0.65,"13,873","2,986",1.31,0.91
