日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,中信博,0688408,106.27,114.99,104.55,108.50,2.85,2.70,"19,050","20,895",9.88,6.29
2020-09-29,中信博,0688408,109.55,109.97,102.05,105.65,-2.57,-2.37,"9,337","9,869",7.32,3.09
2020-09-28,中信博,0688408,108.50,112.60,106.00,108.22,-0.42,-0.39,"10,422","11,472",6.08,3.44
2020-09-25,中信博,0688408,106.80,110.23,104.00,108.64,1.10,1.02,"9,789","10,519",5.79,3.23
2020-09-24,中信博,0688408,109.02,115.00,106.00,107.54,-1.85,-1.69,"18,253","20,147",8.23,6.03
2020-09-23,中信博,0688408,103.01,111.49,102.00,109.39,8.39,8.31,"14,811","15,900",9.40,4.89
2020-09-22,中信博,0688408,102.00,105.78,100.62,101.00,-3.90,-3.72,"8,788","9,107",4.92,2.90
2020-09-21,中信博,0688408,107.80,113.78,103.70,104.90,-3.98,-3.66,"14,042","15,197",9.26,4.64
2020-09-18,中信博,0688408,107.00,112.12,106.29,108.88,-0.35,-0.32,"9,873","10,739",5.34,3.26
2020-09-17,中信博,0688408,110.66,115.95,104.00,109.23,-1.20,-1.09,"17,213","19,026",10.82,5.69
2020-09-16,中信博,0688408,106.50,115.97,106.50,110.43,2.53,2.34,"15,417","17,159",8.78,5.09
2020-09-15,中信博,0688408,106.39,116.53,100.66,107.90,1.95,1.84,"26,056","28,300",14.98,8.61
2020-09-14,中信博,0688408,107.80,114.58,103.00,105.95,-1.23,-1.15,"33,775","37,058",10.80,11.16
2020-09-11,中信博,0688408,91.80,108.00,91.00,107.18,16.52,18.22,"23,976","23,716",18.75,7.92
2020-09-10,中信博,0688408,91.50,95.50,90.01,90.66,1.66,1.87,"15,105","13,946",6.17,4.99
2020-09-09,中信博,0688408,93.89,95.35,87.60,89.00,-3.99,-4.29,"21,219","19,553",8.33,7.01
2020-09-08,中信博,0688408,97.00,99.47,92.00,92.99,-2.31,-2.42,"27,296","26,339",7.84,9.02
2020-09-07,中信博,0688408,101.00,103.95,93.00,95.30,-7.90,-7.66,"37,846","36,700",10.61,12.50
2020-09-04,中信博,0688408,94.00,106.61,89.12,103.20,9.74,10.42,"43,137","42,111",18.71,14.25
2020-09-03,中信博,0688408,94.10,105.00,92.81,93.46,0.34,0.37,"64,767","63,317",13.09,21.40
2020-09-02,中信博,0688408,83.50,96.50,83.50,93.12,12.00,14.79,"82,330","74,361",16.03,27.20
2020-09-01,中信博,0688408,82.50,86.38,79.98,81.12,-1.76,-2.12,"90,394","75,383",7.72,29.87
2020-08-31,中信博,0688408,83.00,88.92,77.70,82.88,5.08,6.53,"161,561","132,883",14.42,53.38
