日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-03-31,中辰股份,1300933,12.83,13.10,12.60,12.70,0.10,0.79,"127,645","16,381",3.97,14.82
2021-03-30,中辰股份,1300933,13.22,13.50,12.45,12.60,-0.20,-1.56,"140,294","18,034",8.20,16.29
2021-03-29,中辰股份,1300933,12.66,13.09,12.31,12.80,0.16,1.27,"130,609","16,535",6.17,15.17
2021-03-26,中辰股份,1300933,12.22,12.82,12.22,12.64,0.23,1.85,"125,901","15,887",4.83,14.62
2021-03-25,中辰股份,1300933,13.01,13.20,12.21,12.41,-0.95,-7.11,"178,129","22,411",7.41,20.69
2021-03-24,中辰股份,1300933,13.03,13.66,12.85,13.36,0.21,1.60,"164,099","21,968",6.16,19.06
2021-03-23,中辰股份,1300933,13.99,14.08,13.01,13.15,-1.01,-7.13,"229,598","30,769",7.56,26.66
2021-03-22,中辰股份,1300933,13.50,14.66,13.29,14.16,0.86,6.47,"285,022","39,392",10.30,33.10
2021-03-19,中辰股份,1300933,13.10,14.23,13.01,13.30,-0.69,-4.93,"298,308","40,538",8.72,34.64
2021-03-18,中辰股份,1300933,12.23,14.90,12.23,13.99,1.57,12.64,"385,812","52,999",21.50,44.81
2021-03-17,中辰股份,1300933,12.01,13.13,11.73,12.42,0.22,1.80,"277,390","34,449",11.48,32.22
2021-03-16,中辰股份,1300933,11.30,12.20,11.17,12.20,0.81,7.11,"213,106","25,102",9.04,24.75
2021-03-15,中辰股份,1300933,11.85,12.12,11.19,11.39,-0.50,-4.21,"163,235","18,954",7.82,18.96
2021-03-12,中辰股份,1300933,11.40,11.98,11.25,11.89,0.35,3.03,"206,634","24,201",6.33,24.00
2021-03-11,中辰股份,1300933,11.56,11.64,11.19,11.54,-0.24,-2.04,"154,906","17,736",3.82,17.99
2021-03-10,中辰股份,1300933,11.07,12.09,10.70,11.78,0.34,2.97,"226,036","25,923",12.15,26.25
