日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-27,佳电股份,1000922,9.80,9.88,9.71,9.81,0.05,0.51,"126,578","12,386",1.74,2.76
2017-03-24,佳电股份,1000922,9.85,9.98,9.65,9.76,-0.27,-2.69,"268,509","26,221",3.29,5.86
2017-03-23,佳电股份,1000922,9.30,10.18,9.30,10.03,0.24,2.45,"488,699","47,551",8.99,10.67
2017-03-22,佳电股份,1000922,9.79,9.79,9.79,9.79,-0.52,-5.04,"18,129","1,775",0.00,0.40
2017-03-21,佳电股份,1000922,10.31,10.31,10.31,10.31,-0.54,-4.98,"21,847","2,252",0.00,0.48
2017-03-17,佳电股份,1000922,10.82,11.04,10.75,10.85,-0.05,-0.46,"222,137","24,213",2.66,4.85
2017-03-16,佳电股份,1000922,10.80,11.20,10.72,10.90,-0.09,-0.82,"306,710","33,591",4.37,6.70
2017-03-15,佳电股份,1000922,10.49,11.45,9.93,10.99,0.34,3.19,"441,110","46,929",14.27,9.63
2017-03-14,佳电股份,1000922,10.80,10.86,10.65,10.65,-0.14,-1.30,"125,409","13,455",1.95,2.74
2017-03-13,佳电股份,1000922,10.78,10.83,10.57,10.79,0.01,0.09,"133,364","14,276",2.41,2.91
2017-03-10,佳电股份,1000922,11.10,11.19,10.73,10.78,-0.37,-3.32,"308,394","33,674",4.13,6.74
2017-03-09,佳电股份,1000922,11.37,11.37,11.12,11.15,-0.34,-2.96,"213,221","23,920",2.18,4.66
2017-03-08,佳电股份,1000922,11.30,11.75,11.10,11.49,0.18,1.59,"308,749","35,298",5.75,6.74
2017-03-07,佳电股份,1000922,11.22,11.50,11.22,11.31,-0.03,-0.26,"143,139","16,259",2.47,3.13
2017-03-06,佳电股份,1000922,11.10,11.43,11.03,11.34,0.11,0.98,"147,660","16,635",3.56,3.22
2017-03-03,佳电股份,1000922,11.69,11.69,11.21,11.23,-0.51,-4.34,"250,148","28,437",4.09,5.46
2017-03-02,佳电股份,1000922,12.09,12.19,11.73,11.74,-0.43,-3.53,"222,047","26,560",3.78,4.85
2017-03-01,佳电股份,1000922,12.15,12.38,12.00,12.17,0.02,0.16,"238,443","29,043",3.13,5.21
2017-02-28,佳电股份,1000922,12.25,12.27,12.02,12.15,-0.03,-0.25,"148,043","17,952",2.05,3.23
2017-02-27,佳电股份,1000922,12.33,12.47,12.17,12.18,-0.29,-2.33,"220,063","27,102",2.41,4.81
2017-02-24,佳电股份,1000922,11.80,12.98,11.80,12.47,0.58,4.88,"395,381","48,897",9.92,8.63
2017-02-23,佳电股份,1000922,12.12,12.24,11.76,11.89,-0.25,-2.06,"178,609","21,384",3.95,3.90
2017-02-22,佳电股份,1000922,12.22,12.33,12.06,12.14,-0.04,-0.33,"212,558","25,892",2.22,4.64
2017-02-21,佳电股份,1000922,11.69,12.23,11.67,12.18,0.45,3.84,"249,929","30,028",4.77,5.46
2017-02-20,佳电股份,1000922,11.60,11.87,11.53,11.73,0.09,0.77,"112,219","13,132",2.92,2.45
2017-02-17,佳电股份,1000922,11.92,11.98,11.56,11.64,-0.35,-2.92,"181,702","21,311",3.50,3.97
2017-02-16,佳电股份,1000922,11.75,12.16,11.67,11.99,0.14,1.18,"174,657","20,822",4.14,3.81
2017-02-15,佳电股份,1000922,12.12,12.27,11.77,11.85,-0.23,-1.90,"185,896","22,405",4.14,4.06
2017-02-14,佳电股份,1000922,12.25,12.25,12.06,12.08,-0.18,-1.47,"138,527","16,764",1.55,3.03
2017-02-13,佳电股份,1000922,11.91,12.29,11.75,12.26,0.21,1.74,"243,785","29,154",4.48,5.32
2017-02-10,佳电股份,1000922,12.15,12.49,12.01,12.05,-0.17,-1.39,"225,283","27,612",3.93,4.92
2017-02-09,佳电股份,1000922,12.15,12.46,12.15,12.22,-0.13,-1.05,"226,885","27,853",2.51,4.95
2017-02-08,佳电股份,1000922,11.69,12.75,11.56,12.35,0.56,4.75,"356,540","43,070",10.09,7.79
2017-02-07,佳电股份,1000922,11.40,11.86,11.30,11.79,0.32,2.79,"259,818","30,361",4.88,5.67
2017-02-06,佳电股份,1000922,11.33,11.47,11.22,11.47,0.16,1.41,"150,767","17,105",2.21,3.29
2017-02-03,佳电股份,1000922,11.38,11.48,11.24,11.31,0.04,0.35,"149,543","16,985",2.13,3.27
2017-01-26,佳电股份,1000922,11.21,11.34,11.05,11.27,0.02,0.18,"172,527","19,342",2.58,3.77
2017-01-25,佳电股份,1000922,11.44,11.46,10.91,11.25,-0.37,-3.18,"319,774","35,739",4.73,6.98
2017-01-24,佳电股份,1000922,11.85,12.15,11.59,11.62,-0.36,-3.01,"227,223","26,945",4.67,4.96
2017-01-23,佳电股份,1000922,11.80,12.18,11.80,11.98,-0.79,-6.19,"402,084","48,154",2.98,8.78
2017-01-20,佳电股份,1000922,12.51,12.95,12.51,12.77,0.02,0.16,"175,863","22,511",3.45,3.84
2017-01-19,佳电股份,1000922,12.56,12.94,12.40,12.75,-0.02,-0.16,"191,825","24,372",4.23,4.19
2017-01-18,佳电股份,1000922,12.73,13.24,12.68,12.77,-0.04,-0.31,"232,588","30,134",4.37,5.08
2017-01-17,佳电股份,1000922,12.53,12.90,12.15,12.81,0.15,1.18,"234,728","29,537",5.92,5.13
2017-01-16,佳电股份,1000922,12.78,13.23,11.74,12.66,-0.38,-2.91,"327,870","41,185",11.43,7.16
2017-01-13,佳电股份,1000922,13.90,14.08,12.65,13.04,-1.01,-7.19,"344,323","46,582",10.18,7.52
2017-01-12,佳电股份,1000922,13.66,14.20,13.47,14.05,0.29,2.11,"376,216","52,480",5.31,8.22
2017-01-11,佳电股份,1000922,13.70,14.00,13.41,13.76,-0.19,-1.36,"359,036","49,092",4.23,7.84
2017-01-10,佳电股份,1000922,14.39,14.40,13.95,13.95,-0.65,-4.45,"389,781","55,249",3.08,8.51
2017-01-09,佳电股份,1000922,14.06,14.70,13.91,14.60,0.40,2.82,"514,295","73,790",5.56,11.23
2017-01-06,佳电股份,1000922,14.36,14.79,14.18,14.20,-0.44,-3.01,"599,268","86,532",4.17,13.09
2017-01-05,佳电股份,1000922,14.55,14.79,14.17,14.64,-0.22,-1.48,"833,849","120,488",4.17,18.21
2017-01-04,佳电股份,1000922,13.90,15.47,13.76,14.86,0.80,5.69,"1,158,617","169,485",12.16,25.30
2017-01-03,佳电股份,1000922,12.80,14.06,12.61,14.06,1.28,10.02,"843,529","115,167",11.35,18.42
2017-06-30,佳电股份,1000922,7.38,7.50,7.38,7.47,0.06,0.81,"36,963","2,757",1.62,0.81
2017-06-29,佳电股份,1000922,7.31,7.41,7.30,7.41,0.08,1.09,"36,524","2,694",1.50,0.80
2017-06-28,佳电股份,1000922,7.30,7.37,7.22,7.33,-0.03,-0.41,"48,173","3,506",2.04,1.05
2017-06-27,佳电股份,1000922,7.25,7.54,7.20,7.36,0.14,1.94,"84,475","6,224",4.71,1.84
2017-06-26,佳电股份,1000922,7.16,7.33,7.15,7.22,0.04,0.56,"43,751","3,149",2.51,0.96
2017-06-23,佳电股份,1000922,7.19,7.27,7.01,7.18,0.00,0.00,"57,277","4,087",3.62,1.25
2017-06-22,佳电股份,1000922,7.21,7.28,7.15,7.18,-0.05,-0.69,"46,090","3,322",1.80,1.01
2017-06-21,佳电股份,1000922,7.29,7.32,7.14,7.23,-0.02,-0.28,"50,994","3,677",2.48,1.11
2017-06-20,佳电股份,1000922,7.26,7.31,7.24,7.25,0.00,0.00,"44,506","3,234",0.97,0.97
2017-06-19,佳电股份,1000922,7.39,7.41,7.22,7.25,-0.12,-1.63,"82,715","6,031",2.58,1.81
2017-06-16,佳电股份,1000922,7.04,7.37,7.00,7.37,0.35,4.99,"113,380","8,230",5.27,2.48
2017-06-15,佳电股份,1000922,7.03,7.09,6.98,7.02,0.01,0.14,"61,629","4,342",1.57,1.35
2017-06-14,佳电股份,1000922,6.86,7.03,6.78,7.01,0.15,2.19,"64,156","4,429",3.64,1.40
2017-06-13,佳电股份,1000922,6.66,6.90,6.65,6.86,0.16,2.39,"46,102","3,139",3.73,1.01
2017-06-12,佳电股份,1000922,6.93,6.93,6.66,6.70,-0.31,-4.42,"84,586","5,724",3.85,1.85
2017-06-09,佳电股份,1000922,6.94,7.03,6.88,7.01,0.03,0.43,"49,494","3,440",2.15,1.08
2017-06-08,佳电股份,1000922,7.01,7.27,6.95,6.98,0.06,0.87,"118,162","8,364",4.62,2.58
2017-06-07,佳电股份,1000922,6.90,6.98,6.85,6.92,0.01,0.14,"79,589","5,511",1.88,1.74
2017-06-06,佳电股份,1000922,6.95,7.04,6.87,6.91,-0.11,-1.57,"71,473","4,967",2.42,1.56
2017-06-05,佳电股份,1000922,6.87,7.09,6.77,7.02,0.14,2.03,"92,211","6,378",4.65,2.01
2017-06-02,佳电股份,1000922,6.50,6.88,6.33,6.88,0.33,5.04,"98,047","6,497",8.40,2.14
2017-06-01,佳电股份,1000922,6.60,6.70,6.42,6.55,-0.06,-0.91,"54,179","3,563",4.24,1.18
2017-05-31,佳电股份,1000922,6.72,6.77,6.61,6.61,-0.02,-0.30,"47,749","3,187",2.41,1.04
2017-05-26,佳电股份,1000922,6.59,6.75,6.59,6.63,0.04,0.61,"49,543","3,297",2.43,1.08
2017-05-25,佳电股份,1000922,6.53,6.64,6.41,6.59,0.04,0.61,"61,120","4,011",3.51,1.33
2017-05-24,佳电股份,1000922,6.59,6.72,6.39,6.55,-0.18,-2.67,"98,185","6,353",4.90,2.14
2017-05-23,佳电股份,1000922,7.01,7.07,6.73,6.73,-0.35,-4.94,"68,854","4,702",4.80,1.50
2017-05-22,佳电股份,1000922,7.17,7.25,6.96,7.08,-0.15,-2.07,"54,703","3,871",4.01,1.19
2017-05-19,佳电股份,1000922,7.27,7.33,7.20,7.23,-0.06,-0.82,"39,975","2,892",1.78,0.87
2017-05-18,佳电股份,1000922,7.00,7.31,6.92,7.29,0.08,1.11,"71,696","5,152",5.41,1.57
2017-05-17,佳电股份,1000922,7.24,7.36,7.19,7.21,-0.05,-0.69,"65,003","4,721",2.34,1.42
2017-05-16,佳电股份,1000922,7.00,7.28,6.91,7.26,0.15,2.11,"94,307","6,707",5.20,2.06
2017-05-15,佳电股份,1000922,7.00,7.34,6.77,7.11,-0.01,-0.14,"142,519","10,011",8.01,3.11
2017-05-12,佳电股份,1000922,7.43,7.53,7.12,7.12,-0.37,-4.94,"166,056","11,918",5.47,3.63
2017-05-11,佳电股份,1000922,7.76,7.76,7.49,7.49,-0.39,-4.95,"94,669","7,119",3.43,2.07
2017-05-10,佳电股份,1000922,8.27,8.46,7.88,7.88,-0.41,-4.95,"82,425","6,670",7.00,1.80
2017-05-09,佳电股份,1000922,8.36,8.38,8.11,8.29,-0.10,-1.19,"67,878","5,578",3.22,1.48
2017-05-08,佳电股份,1000922,8.73,8.73,8.37,8.39,-0.34,-3.89,"85,616","7,281",4.12,1.87
2017-05-05,佳电股份,1000922,8.59,8.82,8.55,8.73,0.14,1.63,"101,205","8,787",3.14,2.21
2017-05-04,佳电股份,1000922,8.69,8.70,8.52,8.59,-0.06,-0.69,"58,393","5,016",2.08,1.28
2017-05-03,佳电股份,1000922,8.62,8.77,8.53,8.65,0.04,0.46,"61,135","5,282",2.79,1.34
2017-05-02,佳电股份,1000922,8.68,8.71,8.55,8.61,-0.05,-0.58,"56,535","4,873",1.85,1.23
2017-04-28,佳电股份,1000922,8.57,8.74,8.54,8.66,0.05,0.58,"78,071","6,764",2.32,1.71
2017-04-27,佳电股份,1000922,8.49,8.65,8.45,8.61,0.08,0.94,"90,528","7,743",2.34,1.98
2017-04-26,佳电股份,1000922,8.37,8.59,8.23,8.53,0.17,2.03,"92,733","7,824",4.31,2.03
2017-04-25,佳电股份,1000922,8.40,8.45,8.32,8.36,-0.04,-0.48,"52,431","4,394",1.55,1.15
2017-04-24,佳电股份,1000922,8.54,8.54,8.25,8.40,-0.15,-1.75,"77,822","6,533",3.39,1.70
2017-04-21,佳电股份,1000922,8.59,8.60,8.46,8.55,0.00,0.00,"52,169","4,450",1.64,1.14
2017-04-20,佳电股份,1000922,8.39,8.59,8.37,8.55,0.12,1.42,"98,531","8,361",2.61,2.15
2017-04-19,佳电股份,1000922,8.66,8.66,8.23,8.43,-0.21,-2.43,"113,888","9,533",4.98,2.49
2017-04-18,佳电股份,1000922,8.78,8.84,8.57,8.64,-0.13,-1.48,"105,784","9,221",3.08,2.31
2017-04-17,佳电股份,1000922,8.89,8.90,8.58,8.77,-0.24,-2.66,"168,777","14,711",3.55,3.69
2017-04-14,佳电股份,1000922,8.88,9.30,8.88,9.01,-0.31,-3.33,"223,887","20,282",4.51,4.89
2017-04-13,佳电股份,1000922,9.32,9.32,9.32,9.32,-0.49,-4.99,"22,648","2,111",0.00,0.49
2017-12-29,佳电股份,1000922,8.53,8.58,8.38,8.54,0.37,4.53,"64,478","5,480",2.45,1.41
2017-12-28,佳电股份,1000922,8.22,8.27,8.14,8.17,-0.06,-0.73,"24,530","2,007",1.58,0.54
2017-12-27,佳电股份,1000922,8.32,8.35,8.23,8.23,-0.12,-1.44,"19,361","1,604",1.44,0.42
2017-12-26,佳电股份,1000922,8.20,8.37,8.20,8.35,0.11,1.34,"16,786","1,395",2.06,0.37
