日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-17,华明装备,1002270,14.90,14.96,14.66,14.66,-0.21,-1.41,"52,101","7,704",2.02,2.19
2017-03-16,华明装备,1002270,14.51,14.93,14.51,14.87,0.37,2.55,"38,252","5,663",2.90,1.61
2017-03-15,华明装备,1002270,14.62,14.80,14.49,14.50,-0.07,-0.48,"23,337","3,410",2.13,0.98
2017-03-14,华明装备,1002270,14.73,14.84,14.55,14.57,-0.13,-0.88,"20,256","2,983",1.97,0.85
2017-03-13,华明装备,1002270,14.54,14.79,14.45,14.70,0.13,0.89,"22,330","3,281",2.33,0.94
2017-03-10,华明装备,1002270,14.57,14.73,14.50,14.57,-0.02,-0.14,"17,793","2,603",1.58,0.75
2017-03-09,华明装备,1002270,14.79,14.81,14.52,14.59,-0.20,-1.35,"20,685","3,022",1.96,0.87
2017-03-08,华明装备,1002270,14.81,14.95,14.71,14.79,-0.02,-0.14,"26,483","3,935",1.62,1.11
2017-03-07,华明装备,1002270,14.74,14.87,14.63,14.81,0.07,0.47,"28,303","4,177",1.63,1.19
2017-03-06,华明装备,1002270,14.41,14.75,14.41,14.74,0.29,2.01,"29,103","4,259",2.35,1.22
2017-03-03,华明装备,1002270,14.50,14.62,14.34,14.45,-0.01,-0.07,"25,366","3,671",1.94,1.06
2017-03-02,华明装备,1002270,14.58,14.67,14.41,14.46,-0.11,-0.76,"28,299","4,109",1.78,1.19
2017-03-01,华明装备,1002270,14.30,14.57,14.22,14.57,0.26,1.82,"32,678","4,712",2.45,1.37
2017-02-28,华明装备,1002270,14.19,14.35,14.19,14.31,0.06,0.42,"18,092","2,588",1.12,0.76
2017-02-27,华明装备,1002270,14.40,14.54,14.17,14.25,-0.20,-1.38,"21,711","3,109",2.56,0.91
2017-02-24,华明装备,1002270,14.27,14.52,14.19,14.45,0.18,1.26,"31,196","4,498",2.31,1.31
2017-02-23,华明装备,1002270,14.18,14.27,14.09,14.27,0.09,0.63,"17,885","2,537",1.27,0.75
2017-02-22,华明装备,1002270,14.26,14.32,14.11,14.18,-0.12,-0.84,"20,261","2,873",1.47,0.85
2017-02-21,华明装备,1002270,14.13,14.42,14.13,14.30,0.20,1.42,"24,491","3,491",2.06,1.03
2017-02-20,华明装备,1002270,13.91,14.18,13.91,14.10,0.19,1.37,"12,503","1,758",1.94,0.52
2017-02-17,华明装备,1002270,14.15,14.16,13.87,13.91,-0.19,-1.35,"13,405","1,874",2.06,0.56
2017-02-16,华明装备,1002270,14.01,14.18,14.01,14.10,0.02,0.14,"10,855","1,531",1.21,0.46
2017-02-15,华明装备,1002270,14.20,14.29,14.02,14.08,-0.15,-1.05,"11,714","1,660",1.90,0.49
2017-02-14,华明装备,1002270,14.34,14.38,14.20,14.23,-0.11,-0.77,"12,671","1,806",1.26,0.53
2017-02-13,华明装备,1002270,14.11,14.35,14.04,14.34,0.19,1.34,"19,638","2,782",2.19,0.82
2017-02-10,华明装备,1002270,14.20,14.29,14.13,14.15,-0.04,-0.28,"13,789","1,958",1.13,0.58
2017-02-09,华明装备,1002270,14.09,14.24,14.05,14.19,0.11,0.78,"16,148","2,289",1.35,0.68
2017-02-08,华明装备,1002270,14.15,14.15,13.88,14.08,-0.02,-0.14,"16,483","2,306",1.91,0.69
2017-02-07,华明装备,1002270,14.05,14.19,14.02,14.10,-0.02,-0.14,"13,211","1,863",1.20,0.55
2017-02-06,华明装备,1002270,14.25,14.29,14.03,14.12,-0.14,-0.98,"20,679","2,925",1.82,0.87
2017-02-03,华明装备,1002270,14.00,14.33,13.99,14.26,0.26,1.86,"18,337","2,601",2.43,0.77
2017-01-26,华明装备,1002270,13.89,14.07,13.80,14.00,0.20,1.45,"14,046","1,960",1.96,0.59
2017-01-25,华明装备,1002270,13.66,13.87,13.66,13.80,0.01,0.07,"10,445","1,438",1.52,0.44
2017-01-24,华明装备,1002270,13.70,13.88,13.61,13.79,0.11,0.80,"12,996","1,783",1.97,0.55
2017-01-23,华明装备,1002270,13.53,13.73,13.53,13.68,0.11,0.81,"12,337","1,689",1.47,0.52
2017-01-20,华明装备,1002270,13.35,13.63,13.29,13.57,0.22,1.65,"11,032","1,492",2.55,0.46
2017-01-19,华明装备,1002270,13.24,13.56,13.23,13.35,-0.05,-0.37,"10,017","1,343",2.46,0.42
2017-01-18,华明装备,1002270,13.55,13.68,13.39,13.40,-0.18,-1.33,"13,758","1,860",2.14,0.58
2017-01-17,华明装备,1002270,13.29,13.59,13.16,13.58,0.22,1.65,"15,878","2,130",3.22,0.67
2017-01-16,华明装备,1002270,13.77,13.77,12.80,13.36,-0.45,-3.26,"29,263","3,937",7.02,1.23
2017-01-13,华明装备,1002270,14.57,14.64,13.62,13.81,-0.76,-5.22,"35,373","4,979",7.00,1.48
2017-01-12,华明装备,1002270,14.64,14.85,14.54,14.57,-0.07,-0.48,"10,782","1,582",2.12,0.45
2017-01-11,华明装备,1002270,14.90,15.00,14.63,14.64,-0.19,-1.28,"11,123","1,647",2.49,0.47
2017-01-10,华明装备,1002270,14.72,14.97,14.70,14.83,0.10,0.68,"15,490","2,305",1.83,0.65
2017-01-09,华明装备,1002270,14.68,14.85,14.53,14.73,0.05,0.34,"14,396","2,119",2.18,0.60
2017-01-06,华明装备,1002270,14.86,14.97,14.64,14.68,-0.12,-0.81,"20,370","3,017",2.23,0.85
2017-01-05,华明装备,1002270,14.71,14.97,14.61,14.80,0.05,0.34,"26,843","3,980",2.44,1.13
2017-01-04,华明装备,1002270,14.63,14.90,14.51,14.75,0.16,1.10,"27,532","4,063",2.67,1.16
2017-01-03,华明装备,1002270,14.41,14.64,14.28,14.59,0.25,1.74,"19,003","2,760",2.51,0.80
2017-06-30,华明装备,1002270,10.70,10.75,10.60,10.72,-0.01,-0.09,"10,459","1,117",1.40,0.44
2017-06-29,华明装备,1002270,10.66,10.81,10.60,10.73,0.15,1.42,"15,585","1,672",1.98,0.65
2017-06-28,华明装备,1002270,10.85,10.85,10.56,10.58,-0.17,-1.58,"16,357","1,738",2.70,0.69
2017-06-27,华明装备,1002270,10.77,10.87,10.71,10.75,0.00,0.00,"14,930","1,611",1.49,0.63
2017-06-26,华明装备,1002270,10.60,10.76,10.54,10.75,0.15,1.42,"26,431","2,824",2.08,1.11
2017-06-23,华明装备,1002270,10.68,10.74,10.39,10.60,-0.08,-0.75,"28,398","2,983",3.28,1.19
2017-06-22,华明装备,1002270,10.71,10.92,10.68,10.68,0.00,0.00,"30,194","3,265",2.25,1.27
2017-06-21,华明装备,1002270,11.00,11.01,10.50,10.68,-0.30,-2.73,"29,328","3,167",4.64,1.23
2017-06-20,华明装备,1002270,10.88,11.05,10.85,10.98,0.03,0.27,"22,812","2,496",1.83,0.96
2017-06-19,华明装备,1002270,10.80,11.03,10.74,10.95,0.18,1.67,"23,927","2,602",2.69,1.00
2017-06-16,华明装备,1002270,10.88,10.92,10.72,10.77,-0.11,-1.01,"14,667","1,582",1.84,0.62
2017-06-15,华明装备,1002270,10.66,10.88,10.59,10.88,0.21,1.97,"25,076","2,712",2.72,1.05
2017-06-14,华明装备,1002270,10.52,10.76,10.52,10.67,0.10,0.95,"14,889","1,586",2.27,0.62
2017-06-13,华明装备,1002270,10.38,10.60,10.38,10.57,0.19,1.83,"13,848","1,458",2.12,0.58
2017-06-12,华明装备,1002270,10.77,10.77,10.36,10.38,-0.34,-3.17,"13,961","1,468",3.82,0.59
2017-06-09,华明装备,1002270,10.79,10.79,10.59,10.72,-0.06,-0.56,"15,719","1,677",1.86,0.66
2017-06-08,华明装备,1002270,10.86,10.95,10.71,10.78,-0.09,-0.83,"16,404","1,772",2.21,0.69
2017-06-07,华明装备,1002270,10.75,10.91,10.55,10.87,0.29,2.74,"33,426","3,593",3.40,1.40
2017-06-06,华明装备,1002270,10.36,10.64,10.25,10.58,0.25,2.42,"18,836","1,974",3.78,0.79
2017-06-05,华明装备,1002270,10.20,10.41,10.20,10.33,0.08,0.78,"9,958","1,029",2.05,0.42
2017-06-02,华明装备,1002270,10.18,10.32,9.94,10.25,0.19,1.89,"17,543","1,778",3.78,0.74
2017-06-01,华明装备,1002270,10.58,10.58,10.02,10.06,-0.50,-4.73,"22,610","2,326",5.30,0.95
2017-05-31,华明装备,1002270,10.79,10.80,10.50,10.56,-0.03,-0.28,"14,850","1,585",2.83,0.62
2017-05-26,华明装备,1002270,10.73,10.77,10.53,10.59,-0.09,-0.84,"19,393","2,062",2.25,0.81
2017-05-25,华明装备,1002270,10.65,10.79,10.42,10.68,0.09,0.85,"17,998","1,911",3.49,0.76
2017-05-24,华明装备,1002270,10.45,10.65,10.36,10.59,0.01,0.09,"15,250","1,602",2.74,0.64
2017-05-23,华明装备,1002270,11.08,11.08,10.43,10.58,-0.44,-3.99,"28,229","3,030",5.90,1.18
2017-05-22,华明装备,1002270,11.39,11.39,11.01,11.02,-0.37,-3.25,"18,276","2,041",3.34,0.77
2017-05-19,华明装备,1002270,11.37,11.44,11.31,11.39,0.02,0.18,"10,703","1,218",1.14,0.45
2017-05-18,华明装备,1002270,11.38,11.48,11.32,11.37,-0.10,-0.87,"11,846","1,350",1.39,0.50
2017-05-17,华明装备,1002270,11.36,11.54,11.31,11.47,0.05,0.44,"38,531","4,404",2.01,1.62
2017-05-16,华明装备,1002270,11.10,11.43,11.03,11.42,0.29,2.61,"27,623","3,105",3.59,1.16
2017-05-15,华明装备,1002270,11.01,11.30,10.98,11.13,0.14,1.27,"20,249","2,260",2.91,0.85
2017-05-12,华明装备,1002270,10.99,11.10,10.85,10.99,0.09,0.83,"13,625","1,494",2.29,0.57
2017-05-11,华明装备,1002270,11.05,11.05,10.71,10.90,-0.10,-0.91,"21,156","2,296",3.09,0.89
2017-05-10,华明装备,1002270,11.27,11.40,11.00,11.00,-0.25,-2.22,"20,462","2,291",3.56,0.86
2017-05-09,华明装备,1002270,11.08,11.35,11.02,11.25,0.17,1.53,"22,722","2,539",2.98,0.95
2017-05-08,华明装备,1002270,11.38,11.40,11.05,11.08,-0.37,-3.23,"25,951","2,921",3.06,1.09
2017-05-05,华明装备,1002270,11.55,11.75,11.43,11.45,-0.13,-1.12,"18,347","2,124",2.76,0.77
2017-05-04,华明装备,1002270,11.60,11.68,11.31,11.58,0.00,0.00,"25,531","2,953",3.20,1.07
2017-05-03,华明装备,1002270,11.64,11.71,11.47,11.58,0.00,0.00,"25,228","2,925",2.07,1.06
2017-05-02,华明装备,1002270,11.63,11.71,11.48,11.58,-0.05,-0.43,"26,100","3,030",1.98,1.10
2017-04-28,华明装备,1002270,11.64,11.93,11.51,11.63,-0.04,-0.34,"32,388","3,785",3.60,1.36
2017-04-27,华明装备,1002270,11.25,11.89,10.98,11.67,0.34,3.00,"48,213","5,479",8.03,2.02
2017-04-26,华明装备,1002270,11.29,11.45,11.24,11.33,0.02,0.18,"29,161","3,315",1.86,1.22
2017-04-25,华明装备,1002270,11.32,11.53,11.15,11.31,0.03,0.27,"39,714","4,501",3.37,1.67
2017-04-24,华明装备,1002270,12.07,12.10,11.28,11.28,-0.94,-7.69,"64,202","7,445",6.71,2.69
2017-04-21,华明装备,1002270,12.81,12.98,12.03,12.22,-0.97,-7.35,"92,043","11,393",7.20,3.86
2017-04-20,华明装备,1002270,13.19,13.56,13.19,13.19,-1.47,-10.03,"93,837","12,440",2.52,3.94
2017-12-29,华明装备,1002270,9.21,9.55,9.21,9.37,0.14,1.52,"8,829",829,3.68,0.29
2017-12-28,华明装备,1002270,9.20,9.32,9.11,9.23,0.00,0.00,"6,744",622,2.28,0.22
2017-12-27,华明装备,1002270,9.33,9.33,9.23,9.23,-0.10,-1.07,"7,151",663,1.07,0.29
2017-12-26,华明装备,1002270,9.30,9.37,9.23,9.33,0.02,0.21,"7,167",668,1.50,0.29
2017-12-25,华明装备,1002270,9.60,9.66,9.23,9.31,-0.36,-3.72,"14,324","1,346",4.45,0.58
2017-12-22,华明装备,1002270,9.80,9.80,9.63,9.67,-0.11,-1.12,"7,530",728,1.74,0.31
2017-12-21,华明装备,1002270,9.74,9.78,9.61,9.78,0.04,0.41,"10,786","1,045",1.75,0.44
2017-12-20,华明装备,1002270,9.92,9.95,9.66,9.74,-0.16,-1.62,"17,785","1,736",2.93,0.73
2017-12-19,华明装备,1002270,9.92,10.02,9.85,9.90,-0.05,-0.50,"16,466","1,636",1.71,0.67
2017-12-18,华明装备,1002270,10.06,10.09,9.95,9.95,-0.20,-1.97,"14,822","1,482",1.38,0.60
2017-12-15,华明装备,1002270,10.23,10.38,9.98,10.15,-0.23,-2.22,"35,833","3,639",3.85,1.46
2017-12-14,华明装备,1002270,10.60,10.92,10.36,10.38,0.23,2.27,"67,388","7,131",5.52,2.75
2017-12-13,华明装备,1002270,9.87,10.15,9.76,10.15,0.33,3.36,"13,583","1,347",3.97,0.55
2017-12-12,华明装备,1002270,9.86,9.92,9.82,9.82,-0.04,-0.41,"7,198",710,1.01,0.29
2017-12-11,华明装备,1002270,9.82,9.90,9.81,9.86,-0.03,-0.30,"8,132",803,0.91,0.33
2017-12-08,华明装备,1002270,9.95,9.97,9.86,9.89,-0.04,-0.40,"9,558",947,1.11,0.39
2017-12-07,华明装备,1002270,9.89,9.95,9.85,9.93,0.05,0.51,"9,687",960,1.01,0.40
2017-12-06,华明装备,1002270,9.69,9.88,9.65,9.88,0.11,1.13,"9,531",929,2.35,0.39
2017-12-05,华明装备,1002270,9.89,9.98,9.68,9.77,-0.12,-1.21,"13,259","1,304",3.03,0.54
2017-12-04,华明装备,1002270,9.85,9.94,9.82,9.89,0.04,0.41,"11,812","1,169",1.22,0.48
2017-12-01,华明装备,1002270,9.84,9.93,9.75,9.85,0.02,0.20,"15,275","1,506",1.83,0.62
2017-11-30,华明装备,1002270,9.83,9.90,9.72,9.83,-0.03,-0.30,"15,294","1,499",1.83,0.62
2017-11-29,华明装备,1002270,9.89,9.91,9.60,9.86,-0.02,-0.20,"21,646","2,109",3.14,0.88
2017-11-28,华明装备,1002270,9.74,9.91,9.73,9.88,0.04,0.41,"32,666","3,223",1.83,1.33
2017-11-27,华明装备,1002270,9.80,9.90,9.65,9.84,0.04,0.41,"30,099","2,954",2.55,1.23
2017-11-24,华明装备,1002270,9.80,10.02,9.70,9.80,-0.02,-0.20,"8,572",842,3.26,0.35
2017-11-23,华明装备,1002270,9.84,10.21,9.76,9.82,-0.01,-0.10,"13,030","1,294",4.58,0.53
2017-11-22,华明装备,1002270,9.90,9.90,9.67,9.83,-0.01,-0.10,"12,703","1,244",2.34,0.52
2017-11-21,华明装备,1002270,9.96,9.96,9.80,9.84,-0.10,-1.01,"9,236",911,1.61,0.39
2017-11-20,华明装备,1002270,9.88,9.98,9.58,9.94,0.06,0.61,"13,570","1,324",4.05,0.57
2017-11-17,华明装备,1002270,10.35,10.35,9.87,9.88,-0.52,-5.00,"30,238","3,029",4.62,1.27
2017-11-16,华明装备,1002270,10.38,10.50,10.25,10.40,0.01,0.10,"10,705","1,113",2.41,0.45
2017-11-15,华明装备,1002270,10.21,10.42,10.16,10.39,0.19,1.86,"13,226","1,358",2.55,0.56
2017-11-14,华明装备,1002270,10.32,10.37,10.16,10.20,-0.18,-1.73,"18,607","1,905",2.02,0.78
2017-11-13,华明装备,1002270,10.44,10.44,10.31,10.38,0.03,0.29,"10,193","1,057",1.26,0.43
2017-11-10,华明装备,1002270,10.32,10.46,10.32,10.35,-0.04,-0.39,"11,328","1,179",1.35,0.48
2017-11-09,华明装备,1002270,10.46,10.46,10.28,10.39,0.03,0.29,"9,653",998,1.74,0.41
2017-11-08,华明装备,1002270,10.36,10.55,10.35,10.36,-0.01,-0.10,"13,033","1,359",1.93,0.55
2017-11-07,华明装备,1002270,10.39,10.49,10.33,10.37,-0.09,-0.86,"12,989","1,350",1.53,0.55
2017-11-06,华明装备,1002270,10.22,10.50,10.12,10.46,0.26,2.55,"16,924","1,742",3.73,0.71
2017-11-03,华明装备,1002270,10.29,10.33,10.16,10.20,-0.10,-0.97,"10,801","1,105",1.65,0.45
2017-11-02,华明装备,1002270,10.34,10.37,10.18,10.30,0.00,0.00,"13,105","1,344",1.84,0.55
2017-11-01,华明装备,1002270,10.43,10.43,10.27,10.30,-0.12,-1.15,"14,735","1,522",1.54,0.62
2017-10-31,华明装备,1002270,10.48,10.50,10.34,10.42,0.01,0.10,"12,748","1,325",1.54,0.54
2017-10-30,华明装备,1002270,10.90,10.96,10.00,10.41,-0.53,-4.84,"28,939","3,042",8.78,1.21
2017-10-27,华明装备,1002270,10.99,11.14,10.90,10.94,-0.06,-0.55,"17,848","1,961",2.18,0.75
2017-10-26,华明装备,1002270,10.86,11.05,10.82,11.00,0.14,1.29,"19,335","2,120",2.12,0.81
2017-10-25,华明装备,1002270,10.90,11.02,10.83,10.86,-0.09,-0.82,"17,611","1,921",1.74,0.74
2017-10-24,华明装备,1002270,11.12,11.14,10.81,10.95,-0.13,-1.17,"21,416","2,341",2.98,0.90
2017-10-23,华明装备,1002270,11.21,11.21,11.06,11.08,-0.07,-0.63,"14,297","1,591",1.35,0.60
2017-10-20,华明装备,1002270,11.14,11.28,10.99,11.15,0.11,1.00,"11,645","1,299",2.63,0.49
2017-10-19,华明装备,1002270,11.28,11.38,10.94,11.04,-0.28,-2.47,"27,486","3,060",3.89,1.15
2017-10-18,华明装备,1002270,11.52,11.60,11.31,11.32,-0.25,-2.16,"18,587","2,130",2.51,0.78
2017-10-17,华明装备,1002270,11.39,11.64,11.31,11.57,0.12,1.05,"27,534","3,177",2.88,1.16
2017-10-16,华明装备,1002270,11.52,11.65,11.31,11.45,-0.06,-0.52,"32,121","3,697",2.95,1.35
2017-10-13,华明装备,1002270,11.39,11.65,11.36,11.51,0.14,1.23,"30,246","3,486",2.55,1.27
2017-10-12,华明装备,1002270,11.63,11.64,11.21,11.37,-0.21,-1.81,"33,617","3,855",3.71,1.41
2017-10-11,华明装备,1002270,11.63,11.70,11.50,11.58,-0.05,-0.43,"31,708","3,673",1.72,1.33
2017-10-10,华明装备,1002270,11.47,11.66,11.40,11.63,0.07,0.61,"36,464","4,207",2.25,1.53
2017-10-09,华明装备,1002270,11.48,11.64,11.39,11.56,0.17,1.49,"52,323","6,020",2.19,2.20
2017-09-29,华明装备,1002270,11.30,11.45,11.26,11.39,0.05,0.44,"31,913","3,626",1.68,1.34
2017-09-28,华明装备,1002270,11.18,11.34,11.12,11.34,0.11,0.98,"35,657","4,001",1.96,1.50
2017-09-27,华明装备,1002270,11.40,11.40,11.15,11.23,-0.12,-1.06,"33,448","3,755",2.20,1.40
2017-09-26,华明装备,1002270,11.22,11.49,11.07,11.35,0.14,1.25,"50,870","5,742",3.75,2.13
2017-09-25,华明装备,1002270,11.67,11.67,11.20,11.21,-0.56,-4.76,"79,475","9,081",3.99,3.34
2017-09-22,华明装备,1002270,11.42,11.98,11.26,11.77,0.84,7.69,"157,378","18,353",6.59,6.60
2017-09-21,华明装备,1002270,10.79,10.93,10.75,10.93,0.14,1.30,"24,232","2,625",1.67,1.02
2017-09-20,华明装备,1002270,10.75,10.81,10.64,10.79,0.07,0.65,"16,312","1,747",1.59,0.68
2017-09-19,华明装备,1002270,10.85,10.85,10.68,10.72,-0.09,-0.83,"14,147","1,517",1.57,0.59
2017-09-18,华明装备,1002270,10.76,10.86,10.66,10.81,0.07,0.65,"12,386","1,334",1.86,0.52
2017-09-15,华明装备,1002270,10.86,10.94,10.64,10.74,-0.12,-1.11,"21,863","2,349",2.76,0.92
2017-09-14,华明装备,1002270,10.90,10.99,10.79,10.86,-0.09,-0.82,"20,259","2,207",1.83,0.85
2017-09-13,华明装备,1002270,10.76,10.98,10.68,10.95,0.19,1.77,"28,011","3,044",2.79,1.18
2017-09-12,华明装备,1002270,10.92,10.92,10.71,10.76,-0.14,-1.28,"20,312","2,195",1.93,0.85
2017-09-11,华明装备,1002270,10.67,10.93,10.67,10.90,0.19,1.77,"28,983","3,143",2.43,1.22
2017-09-08,华明装备,1002270,10.69,10.72,10.62,10.71,0.05,0.47,"14,026","1,497",0.94,0.59
2017-09-07,华明装备,1002270,10.76,10.82,10.64,10.66,-0.09,-0.84,"17,120","1,834",1.67,0.72
2017-09-06,华明装备,1002270,10.69,10.80,10.64,10.75,-0.05,-0.46,"20,018","2,143",1.48,0.84
2017-09-05,华明装备,1002270,10.70,10.83,10.64,10.80,0.11,1.03,"23,450","2,522",1.78,0.98
2017-09-04,华明装备,1002270,10.84,10.85,10.64,10.69,-0.15,-1.38,"36,012","3,861",1.94,1.51
2017-09-01,华明装备,1002270,10.50,10.88,10.47,10.84,0.29,2.75,"52,380","5,602",3.89,2.20
2017-08-31,华明装备,1002270,10.31,10.55,10.27,10.55,0.22,2.13,"30,779","3,217",2.71,1.29
2017-08-30,华明装备,1002270,10.40,10.48,10.28,10.33,-0.09,-0.86,"20,502","2,125",1.92,0.86
2017-08-29,华明装备,1002270,10.50,10.53,10.37,10.42,-0.08,-0.76,"15,100","1,578",1.52,0.63
2017-08-28,华明装备,1002270,10.37,10.56,10.35,10.50,0.16,1.55,"22,349","2,339",2.03,0.94
2017-08-25,华明装备,1002270,10.18,10.35,10.18,10.34,0.17,1.67,"23,361","2,401",1.67,0.98
2017-08-24,华明装备,1002270,10.46,10.46,10.13,10.17,-0.28,-2.68,"27,014","2,766",3.16,1.13
2017-08-23,华明装备,1002270,10.52,10.65,10.42,10.45,-0.04,-0.38,"15,403","1,619",2.19,0.65
2017-08-22,华明装备,1002270,10.55,10.66,10.45,10.49,-0.05,-0.47,"13,308","1,403",1.99,0.56
2017-08-21,华明装备,1002270,10.40,10.65,10.36,10.54,0.14,1.35,"16,723","1,763",2.79,0.70
2017-08-18,华明装备,1002270,10.54,10.55,10.34,10.40,-0.15,-1.42,"24,315","2,536",1.99,1.02
2017-08-17,华明装备,1002270,10.39,10.62,10.33,10.55,0.17,1.64,"28,808","3,030",2.79,1.21
2017-08-16,华明装备,1002270,10.29,10.44,10.27,10.38,0.07,0.68,"18,801","1,948",1.65,0.79
2017-08-15,华明装备,1002270,10.33,10.34,10.22,10.31,0.03,0.29,"17,370","1,787",1.17,0.73
2017-08-14,华明装备,1002270,10.10,10.32,10.05,10.28,0.24,2.39,"24,733","2,532",2.69,1.04
2017-08-11,华明装备,1002270,10.08,10.12,9.94,10.04,-0.04,-0.40,"13,157","1,322",1.79,0.55
2017-08-10,华明装备,1002270,10.21,10.35,10.03,10.08,-0.12,-1.18,"23,997","2,442",3.14,1.01
2017-08-09,华明装备,1002270,10.09,10.32,10.08,10.20,0.06,0.59,"19,274","1,967",2.37,0.81
2017-08-08,华明装备,1002270,10.09,10.15,10.03,10.14,0.05,0.50,"15,090","1,524",1.19,0.63
2017-08-07,华明装备,1002270,10.04,10.13,10.02,10.09,0.04,0.40,"14,086","1,419",1.09,0.59
2017-08-04,华明装备,1002270,10.02,10.15,9.95,10.05,0.05,0.50,"21,852","2,198",2.00,0.92
2017-08-03,华明装备,1002270,9.92,10.07,9.92,10.00,0.04,0.40,"12,653","1,265",1.51,0.53
2017-08-02,华明装备,1002270,10.07,10.07,9.92,9.96,-0.07,-0.70,"13,600","1,358",1.50,0.57
2017-08-01,华明装备,1002270,10.10,10.10,9.99,10.03,-0.08,-0.79,"17,561","1,763",1.09,0.74
2017-07-31,华明装备,1002270,10.10,10.14,9.99,10.11,0.01,0.10,"19,885","2,000",1.49,0.83
2017-07-28,华明装备,1002270,10.02,10.18,10.02,10.10,0.05,0.50,"18,650","1,885",1.59,0.78
2017-07-27,华明装备,1002270,9.83,10.15,9.80,10.05,0.18,1.82,"22,749","2,275",3.55,0.95
2017-07-26,华明装备,1002270,9.91,9.98,9.77,9.87,-0.03,-0.30,"7,986",786,2.12,0.34
2017-07-25,华明装备,1002270,9.90,10.04,9.82,9.90,0.00,0.00,"12,069","1,197",2.22,0.51
2017-07-24,华明装备,1002270,9.83,9.96,9.64,9.90,0.05,0.51,"13,624","1,340",3.25,0.57
2017-07-21,华明装备,1002270,9.89,10.04,9.77,9.85,-0.04,-0.40,"14,477","1,434",2.73,0.61
2017-07-20,华明装备,1002270,9.87,10.06,9.81,9.89,0.02,0.20,"15,707","1,567",2.53,0.66
2017-07-19,华明装备,1002270,9.78,9.90,9.67,9.87,0.07,0.71,"14,524","1,421",2.35,0.61
2017-07-18,华明装备,1002270,9.56,9.84,9.55,9.80,0.00,0.00,"15,136","1,472",2.96,0.64
2017-07-17,华明装备,1002270,10.28,10.30,9.50,9.80,-0.54,-5.22,"33,594","3,318",7.74,1.41
2017-07-14,华明装备,1002270,10.55,10.60,10.28,10.34,-0.25,-2.36,"22,431","2,338",3.02,0.94
2017-07-13,华明装备,1002270,10.60,10.67,10.54,10.59,-0.01,-0.09,"12,404","1,316",1.23,0.52
2017-07-12,华明装备,1002270,10.74,10.78,10.41,10.60,-0.19,-1.76,"31,597","3,335",3.43,1.33
2017-07-11,华明装备,1002270,10.70,11.03,10.62,10.79,0.04,0.37,"35,713","3,874",3.81,1.50
2017-07-10,华明装备,1002270,10.83,10.87,10.65,10.75,-0.13,-1.19,"21,764","2,346",2.02,0.91
2017-07-07,华明装备,1002270,10.84,10.92,10.80,10.88,-0.04,-0.37,"18,905","2,054",1.10,0.79
2017-07-06,华明装备,1002270,10.95,10.95,10.80,10.92,0.01,0.09,"28,890","3,145",1.37,1.21
2017-07-05,华明装备,1002270,10.66,10.92,10.64,10.91,0.18,1.68,"35,321","3,808",2.61,1.48
2017-07-04,华明装备,1002270,10.80,10.90,10.64,10.73,-0.05,-0.46,"16,701","1,795",2.41,0.70
2017-07-03,华明装备,1002270,10.65,10.83,10.65,10.78,0.06,0.56,"19,839","2,133",1.68,0.83
2018-05-02,华明装备,1002270,9.38,9.38,8.66,8.83,-0.66,-6.95,"43,454","3,892",7.59,1.44
2018-04-27,华明装备,1002270,9.48,9.62,9.38,9.49,0.02,0.21,"23,337","2,212",2.53,0.77
2018-04-26,华明装备,1002270,9.55,9.65,9.40,9.47,-0.07,-0.73,"26,440","2,519",2.62,0.88
2018-04-25,华明装备,1002270,9.40,9.56,9.32,9.54,0.17,1.81,"31,703","3,010",2.56,1.05
2018-04-24,华明装备,1002270,9.12,9.44,9.12,9.37,0.29,3.19,"31,801","2,978",3.52,1.06
2018-04-23,华明装备,1002270,8.92,9.11,8.89,9.08,0.30,3.42,"16,047","1,449",2.51,0.53
2018-04-20,华明装备,1002270,9.12,9.13,8.76,8.78,-0.36,-3.94,"15,172","1,358",4.05,0.50
2018-04-19,华明装备,1002270,9.10,9.22,9.03,9.14,0.05,0.55,"11,935","1,091",2.09,0.40
2018-04-18,华明装备,1002270,8.96,9.12,8.84,9.09,0.17,1.91,"12,694","1,140",3.14,0.42
2018-04-17,华明装备,1002270,9.35,9.36,8.88,8.92,-0.31,-3.36,"14,034","1,278",5.20,0.47
2018-04-16,华明装备,1002270,9.20,9.45,9.18,9.23,-0.03,-0.32,"15,555","1,452",2.92,0.52
2018-04-13,华明装备,1002270,9.42,9.49,8.90,9.26,-0.12,-1.28,"18,254","1,709",6.29,0.61
2018-04-12,华明装备,1002270,9.45,9.50,9.37,9.38,-0.08,-0.85,"11,941","1,126",1.37,0.40
2018-04-11,华明装备,1002270,9.46,9.52,9.41,9.46,-0.02,-0.21,"16,075","1,523",1.16,0.53
2018-04-10,华明装备,1002270,9.52,9.55,9.35,9.48,0.01,0.11,"17,477","1,651",2.11,0.58
