日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,华瑞股份,1300626,25.48,25.48,25.48,25.48,2.32,10.02,528,135,0.00,0.21
2017-03-30,华瑞股份,1300626,23.16,23.16,23.16,23.16,2.11,10.02,239,55,0.00,0.10
2017-03-29,华瑞股份,1300626,21.05,21.05,21.05,21.05,1.91,9.98,68,14,0.00,0.03
2017-03-28,华瑞股份,1300626,19.14,19.14,19.14,19.14,1.74,10.00,41,8,0.00,0.02
2017-03-27,华瑞股份,1300626,17.40,17.40,17.40,17.40,1.58,9.99,109,19,0.00,0.04
2017-03-24,华瑞股份,1300626,15.82,15.82,15.82,15.82,1.44,10.01,41,7,0.00,0.02
2017-03-23,华瑞股份,1300626,14.38,14.38,14.38,14.38,1.31,10.02,37,5,0.00,0.01
2017-03-22,华瑞股份,1300626,13.07,13.07,13.07,13.07,1.19,10.02,18,2,0.00,0.01
2017-03-21,华瑞股份,1300626,11.88,11.88,11.88,11.88,1.08,10.00,15,2,0.00,0.01
2017-03-20,华瑞股份,1300626,9.00,10.80,9.00,10.80,3.30,44.00,53,6,24.00,0.02
2017-12-29,华瑞股份,1300626,27.88,30.00,27.78,28.36,0.59,2.12,"2,098",602,7.99,0.84
2017-12-28,华瑞股份,1300626,27.47,27.90,27.47,27.77,0.00,0.00,"1,127",313,1.55,0.45
2017-12-27,华瑞股份,1300626,27.90,28.24,27.38,27.77,-0.26,-0.93,"1,490",414,3.07,0.60
2017-12-26,华瑞股份,1300626,27.60,28.09,27.44,28.03,0.30,1.08,"1,339",373,2.34,0.54
2017-12-25,华瑞股份,1300626,27.54,27.89,27.37,27.73,-0.18,-0.64,654,181,1.86,0.26
2017-12-22,华瑞股份,1300626,27.98,28.38,27.53,27.91,-0.03,-0.11,"1,215",338,3.04,0.49
2017-12-21,华瑞股份,1300626,27.92,28.18,27.38,27.94,-0.16,-0.57,"1,136",316,2.85,0.45
2017-12-20,华瑞股份,1300626,28.33,28.65,27.11,28.10,-0.38,-1.33,"1,708",479,5.41,0.68
2017-12-19,华瑞股份,1300626,28.56,28.78,28.26,28.48,0.08,0.28,"1,076",306,1.83,0.43
2017-12-18,华瑞股份,1300626,28.50,28.92,28.15,28.40,-0.20,-0.70,"1,378",392,2.69,0.55
2017-12-15,华瑞股份,1300626,28.59,28.66,28.20,28.60,0.07,0.25,"1,130",321,1.61,0.45
2017-12-14,华瑞股份,1300626,28.47,28.87,28.06,28.53,0.12,0.42,"1,519",430,2.85,0.61
2017-12-13,华瑞股份,1300626,28.04,28.60,28.04,28.41,0.07,0.25,"1,154",328,1.98,0.46
2017-12-12,华瑞股份,1300626,28.78,28.93,28.16,28.34,-0.61,-2.11,"1,319",376,2.66,0.53
2017-12-11,华瑞股份,1300626,28.81,29.08,28.75,28.95,0.12,0.42,"1,218",352,1.14,0.49
2017-12-08,华瑞股份,1300626,28.40,29.28,28.27,28.83,0.13,0.45,"2,978",863,3.52,1.19
2017-12-07,华瑞股份,1300626,28.72,28.86,28.00,28.70,-0.29,-1.00,"2,088",594,2.97,0.84
2017-12-06,华瑞股份,1300626,28.53,29.32,27.80,28.99,-0.16,-0.55,"4,051","1,156",5.21,1.62
2017-12-05,华瑞股份,1300626,29.52,29.97,28.28,29.15,-0.85,-2.83,"3,575","1,041",5.63,1.43
2017-12-04,华瑞股份,1300626,30.55,30.76,29.20,30.00,-0.80,-2.60,"5,328","1,591",5.06,2.13
2017-12-01,华瑞股份,1300626,30.71,31.10,30.51,30.80,0.12,0.39,"2,554",787,1.92,1.02
2017-11-30,华瑞股份,1300626,30.64,31.07,30.55,30.68,-0.39,-1.26,"1,272",392,1.67,0.51
2017-11-29,华瑞股份,1300626,30.77,31.07,30.05,31.07,0.05,0.16,"3,691","1,128",3.29,1.48
2017-11-28,华瑞股份,1300626,31.09,31.24,30.60,31.02,-0.07,-0.23,"1,638",508,2.06,0.66
2017-11-27,华瑞股份,1300626,31.10,31.58,30.83,31.09,-0.41,-1.30,"1,807",565,2.38,0.72
2017-11-24,华瑞股份,1300626,30.82,31.50,30.48,31.50,0.22,0.70,"2,475",769,3.26,0.99
2017-11-23,华瑞股份,1300626,31.28,31.70,30.37,31.28,-0.10,-0.32,"3,272","1,014",4.24,1.31
2017-11-22,华瑞股份,1300626,31.25,31.86,30.87,31.38,-0.12,-0.38,"1,500",471,3.14,0.60
2017-11-21,华瑞股份,1300626,31.50,31.80,30.41,31.50,-0.39,-1.22,"3,188",994,4.36,1.28
2017-11-20,华瑞股份,1300626,30.27,32.38,30.27,31.89,1.19,3.88,"3,676","1,146",6.87,1.47
2017-11-17,华瑞股份,1300626,32.15,32.15,30.00,30.70,-1.55,-4.81,"7,557","2,351",6.67,3.02
2017-11-16,华瑞股份,1300626,32.01,32.50,31.48,32.25,-0.16,-0.49,"5,484","1,750",3.15,2.19
2017-11-15,华瑞股份,1300626,32.10,32.56,31.90,32.41,-0.07,-0.22,"3,177","1,024",2.03,1.27
2017-11-14,华瑞股份,1300626,33.01,33.43,32.19,32.48,-0.66,-1.99,"4,897","1,594",3.74,1.96
2017-11-13,华瑞股份,1300626,33.20,33.45,32.78,33.14,0.03,0.09,"4,622","1,525",2.02,1.85
2017-11-10,华瑞股份,1300626,31.99,33.50,31.85,33.11,0.89,2.76,"12,313","4,034",5.12,4.93
2017-11-09,华瑞股份,1300626,32.29,32.50,31.68,32.22,-0.09,-0.28,"6,492","2,080",2.54,2.60
2017-11-08,华瑞股份,1300626,32.32,32.62,32.00,32.31,-0.01,-0.03,"4,355","1,403",1.92,1.74
2017-11-07,华瑞股份,1300626,32.44,32.66,31.78,32.32,-0.09,-0.28,"5,396","1,731",2.72,2.16
2017-11-06,华瑞股份,1300626,32.39,32.57,31.89,32.41,0.01,0.03,"3,427","1,108",2.10,1.37
2017-11-03,华瑞股份,1300626,31.81,33.08,30.85,32.40,0.27,0.84,"8,102","2,562",6.94,3.24
2017-11-02,华瑞股份,1300626,32.95,33.18,31.96,32.13,-0.67,-2.04,"6,492","2,100",3.72,2.60
2017-11-01,华瑞股份,1300626,32.41,32.81,32.00,32.80,0.55,1.71,"10,033","3,253",2.51,4.01
2017-10-31,华瑞股份,1300626,32.02,32.80,31.71,32.25,0.22,0.69,"6,328","2,049",3.40,2.53
2017-10-30,华瑞股份,1300626,31.98,32.42,31.18,32.03,-0.39,-1.20,"8,253","2,615",3.82,3.30
2017-10-27,华瑞股份,1300626,32.64,32.70,32.00,32.42,-0.36,-1.10,"7,697","2,485",2.14,3.08
2017-10-26,华瑞股份,1300626,31.54,32.85,31.30,32.78,1.24,3.93,"13,780","4,453",4.91,5.51
2017-10-25,华瑞股份,1300626,30.41,31.55,30.22,31.54,1.12,3.68,"9,393","2,932",4.37,3.76
2017-10-24,华瑞股份,1300626,30.64,30.86,30.10,30.42,-0.28,-0.91,"9,500","2,890",2.48,3.80
2017-10-23,华瑞股份,1300626,29.88,30.90,29.88,30.70,0.84,2.81,"5,152","1,576",3.42,2.06
2017-10-20,华瑞股份,1300626,29.20,29.98,29.05,29.86,0.70,2.40,"3,704","1,095",3.19,1.48
2017-10-19,华瑞股份,1300626,29.70,29.86,29.05,29.16,-0.54,-1.82,"4,529","1,330",2.73,1.81
2017-10-18,华瑞股份,1300626,30.40,30.75,29.50,29.70,-0.80,-2.62,"4,924","1,490",4.10,1.97
2017-10-17,华瑞股份,1300626,29.51,30.55,28.77,30.50,0.79,2.66,"6,123","1,841",5.99,2.45
2017-10-16,华瑞股份,1300626,30.88,31.48,29.35,29.71,-1.30,-4.19,"9,128","2,778",6.87,3.65
2017-10-13,华瑞股份,1300626,31.20,31.70,30.02,31.01,0.77,2.55,"12,641","3,928",5.56,5.06
2017-10-12,华瑞股份,1300626,30.40,30.51,30.00,30.24,-0.35,-1.14,"4,884","1,474",1.67,1.95
2017-10-11,华瑞股份,1300626,30.68,30.98,30.25,30.59,-0.09,-0.29,"7,478","2,287",2.38,2.99
