日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,和晶科技,1300279,12.10,12.20,12.00,12.05,0.04,0.33,"21,437","2,587",1.67,0.52
2017-09-28,和晶科技,1300279,12.33,12.33,12.00,12.01,-0.32,-2.60,"26,299","3,191",2.68,0.64
2017-09-27,和晶科技,1300279,12.30,12.37,12.10,12.33,0.04,0.33,"21,378","2,619",2.20,0.52
2017-09-26,和晶科技,1300279,12.72,12.72,12.20,12.29,-0.37,-2.92,"25,082","3,106",4.11,0.61
2017-09-25,和晶科技,1300279,12.84,12.84,12.56,12.66,-0.10,-0.78,"15,890","2,019",2.19,0.38
2017-09-22,和晶科技,1300279,12.74,12.83,12.48,12.76,0.01,0.08,"24,863","3,138",2.75,0.60
2017-09-21,和晶科技,1300279,13.00,13.05,12.70,12.75,-0.21,-1.62,"26,553","3,417",2.70,0.64
2017-09-20,和晶科技,1300279,12.93,12.98,12.80,12.96,0.16,1.25,"26,057","3,359",1.41,0.63
2017-09-19,和晶科技,1300279,12.82,13.00,12.71,12.80,0.01,0.08,"26,175","3,371",2.27,0.63
2017-09-18,和晶科技,1300279,12.84,12.87,12.57,12.79,-0.01,-0.08,"25,241","3,209",2.34,0.61
2017-09-15,和晶科技,1300279,13.01,13.15,12.69,12.80,-0.09,-0.70,"27,490","3,550",3.57,0.67
2017-09-14,和晶科技,1300279,13.00,13.00,12.65,12.89,0.00,0.00,"33,689","4,306",2.72,0.82
2017-09-13,和晶科技,1300279,12.92,13.05,12.82,12.89,0.02,0.16,"29,955","3,869",1.79,0.72
2017-09-12,和晶科技,1300279,13.23,13.25,12.85,12.87,-0.32,-2.43,"42,954","5,581",3.03,1.04
2017-09-11,和晶科技,1300279,13.02,13.32,12.93,13.19,-0.29,-2.15,"56,656","7,421",2.89,1.37
2017-09-08,和晶科技,1300279,13.50,13.70,13.17,13.48,0.09,0.67,"91,006","12,246",3.96,2.20
2017-09-07,和晶科技,1300279,12.82,13.42,12.74,13.39,0.54,4.20,"94,034","12,379",5.29,2.27
2017-09-06,和晶科技,1300279,12.69,12.99,12.62,12.85,0.01,0.08,"35,860","4,602",2.88,0.87
2017-09-05,和晶科技,1300279,13.06,13.06,12.70,12.84,-0.23,-1.76,"75,098","9,654",2.75,1.82
2017-09-04,和晶科技,1300279,12.20,13.27,12.10,13.07,0.99,8.20,"102,924","13,052",9.69,2.49
2017-09-01,和晶科技,1300279,12.00,12.14,11.93,12.08,0.04,0.33,"39,504","4,756",1.74,0.96
2017-08-31,和晶科技,1300279,12.20,12.20,12.00,12.04,-0.09,-0.74,"30,530","3,682",1.65,0.74
2017-08-30,和晶科技,1300279,12.05,12.20,11.98,12.13,0.14,1.17,"20,347","2,466",1.83,0.49
2017-08-29,和晶科技,1300279,12.28,12.35,11.92,11.99,-0.31,-2.52,"29,638","3,605",3.50,0.72
2017-08-28,和晶科技,1300279,12.25,12.45,12.15,12.30,0.11,0.90,"29,570","3,639",2.46,0.72
2017-08-25,和晶科技,1300279,12.11,12.26,12.03,12.19,0.13,1.08,"21,903","2,665",1.91,0.53
2017-08-24,和晶科技,1300279,12.40,12.42,12.03,12.06,-0.34,-2.74,"33,099","4,033",3.15,0.80
2017-08-23,和晶科技,1300279,12.15,12.52,12.15,12.40,0.26,2.14,"52,416","6,475",3.05,1.27
