日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,国电南自,0600268,8.04,8.08,7.97,8.02,-0.01,-0.12,"62,062","4,976",1.37,0.98
2017-03-30,国电南自,0600268,8.40,8.41,7.90,8.03,-0.39,-4.63,"142,591","11,531",6.06,2.24
2017-03-29,国电南自,0600268,8.42,8.45,8.32,8.42,-0.03,-0.36,"74,844","6,276",1.54,1.18
2017-03-28,国电南自,0600268,8.30,8.50,8.25,8.45,0.15,1.81,"111,187","9,355",3.01,1.75
2017-03-27,国电南自,0600268,8.31,8.43,8.29,8.30,-0.01,-0.12,"84,294","7,049",1.68,1.33
2017-03-24,国电南自,0600268,8.18,8.35,8.11,8.31,0.13,1.59,"70,984","5,853",2.93,1.12
2017-03-23,国电南自,0600268,8.22,8.26,8.09,8.18,-0.04,-0.49,"49,982","4,092",2.07,0.79
2017-03-22,国电南自,0600268,8.23,8.29,8.16,8.22,-0.04,-0.48,"47,164","3,875",1.57,0.74
2017-03-21,国电南自,0600268,8.30,8.34,8.22,8.26,-0.06,-0.72,"41,936","3,468",1.44,0.66
2017-03-20,国电南自,0600268,8.33,8.35,8.20,8.32,-0.01,-0.12,"51,988","4,307",1.80,0.82
2017-03-17,国电南自,0600268,8.41,8.42,8.29,8.33,-0.09,-1.07,"62,759","5,239",1.54,0.99
2017-03-16,国电南自,0600268,8.27,8.45,8.27,8.42,0.13,1.57,"109,195","9,157",2.17,1.72
2017-03-15,国电南自,0600268,8.35,8.47,8.28,8.29,0.01,0.12,"103,333","8,640",2.29,1.63
2017-03-14,国电南自,0600268,8.23,8.32,8.17,8.28,0.06,0.73,"59,672","4,934",1.82,0.94
2017-03-13,国电南自,0600268,8.24,8.29,8.11,8.22,-0.02,-0.24,"107,010","8,762",2.18,1.68
2017-03-10,国电南自,0600268,8.26,8.30,8.19,8.24,0.00,0.00,"67,858","5,598",1.34,1.07
2017-03-09,国电南自,0600268,8.42,8.42,8.18,8.24,-0.20,-2.37,"105,759","8,730",2.84,1.66
2017-03-08,国电南自,0600268,8.47,8.57,8.42,8.44,-0.04,-0.47,"61,577","5,223",1.77,0.97
2017-03-07,国电南自,0600268,8.41,8.49,8.41,8.48,0.02,0.24,"53,183","4,497",0.95,0.84
2017-03-06,国电南自,0600268,8.41,8.49,8.36,8.46,0.00,0.00,"89,406","7,555",1.54,1.41
2017-03-03,国电南自,0600268,8.57,8.61,8.35,8.46,-0.16,-1.86,"101,511","8,587",3.02,1.60
2017-03-02,国电南自,0600268,8.79,8.83,8.61,8.62,-0.20,-2.27,"75,992","6,616",2.49,1.20
2017-03-01,国电南自,0600268,8.86,8.93,8.73,8.82,-0.07,-0.79,"104,190","9,174",2.25,1.64
2017-02-28,国电南自,0600268,8.84,9.01,8.84,8.89,0.03,0.34,"52,438","4,669",1.92,0.83
2017-02-27,国电南自,0600268,8.98,9.10,8.82,8.86,-0.12,-1.34,"105,256","9,440",3.12,1.66
2017-02-24,国电南自,0600268,8.71,9.08,8.71,8.98,0.23,2.63,"131,744","11,786",4.23,2.07
2017-02-23,国电南自,0600268,8.90,8.90,8.68,8.75,-0.12,-1.35,"74,436","6,524",2.48,1.17
2017-02-22,国电南自,0600268,8.95,8.95,8.81,8.87,-0.05,-0.56,"63,774","5,658",1.57,1.00
2017-02-21,国电南自,0600268,8.80,8.95,8.77,8.92,0.12,1.36,"76,773","6,825",2.05,1.21
2017-02-20,国电南自,0600268,8.70,8.83,8.62,8.80,0.08,0.92,"52,247","4,572",2.41,0.82
2017-02-17,国电南自,0600268,8.83,8.87,8.65,8.72,-0.14,-1.58,"58,418","5,104",2.48,0.92
