日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-06-30,天合光能,0688599,17.14,17.15,16.59,16.80,-0.14,-0.83,"420,115","70,580",3.31,14.73
2020-06-29,天合光能,0688599,16.78,17.67,16.64,16.94,0.42,2.54,"621,503","106,722",6.23,21.79
2020-06-24,天合光能,0688599,16.81,17.05,16.46,16.52,-0.28,-1.67,"488,838","81,572",3.51,17.14
2020-06-23,天合光能,0688599,15.90,16.95,15.88,16.80,0.79,4.93,"635,720","104,935",6.68,22.29
2020-06-22,天合光能,0688599,16.06,16.38,15.95,16.01,0.16,1.01,"410,079","66,258",2.71,14.38
2020-06-19,天合光能,0688599,16.01,16.18,15.82,15.85,-0.33,-2.04,"344,455","54,996",2.23,12.08
2020-06-18,天合光能,0688599,16.03,16.48,15.66,16.18,0.19,1.19,"570,048","91,764",5.13,19.98
2020-06-17,天合光能,0688599,16.31,16.60,15.86,15.99,-0.41,-2.50,"518,675","83,299",4.51,18.18
2020-06-16,天合光能,0688599,16.35,16.78,15.95,16.40,0.08,0.49,"594,661","97,098",5.09,20.85
2020-06-15,天合光能,0688599,17.73,17.73,16.32,16.32,-1.67,-9.28,"955,179","161,794",7.84,33.49
2020-06-12,天合光能,0688599,17.00,19.30,16.98,17.99,0.36,2.04,"1,226,536","223,389",13.16,43.00
2020-06-11,天合光能,0688599,16.50,18.23,15.84,17.63,0.42,2.44,"1,309,239","220,339",13.89,45.90
2020-06-10,天合光能,0688599,16.69,19.58,16.64,17.21,9.05,110.91,"1,980,476","345,846",36.03,69.43
2020-12-31,天合光能,0688599,22.66,23.55,22.57,23.15,0.93,4.19,"227,984","52,526",4.41,7.35
2020-12-30,天合光能,0688599,22.20,23.10,22.16,22.22,0.12,0.54,"251,110","56,782",4.25,8.10
2020-12-29,天合光能,0688599,23.67,23.79,21.88,22.10,-2.42,-9.87,"424,519","95,937",7.79,13.69
2020-12-28,天合光能,0688599,25.50,25.50,24.07,24.52,-0.97,-3.81,"293,787","71,985",5.61,9.47
2020-12-25,天合光能,0688599,25.00,25.50,23.91,25.49,0.75,3.03,"350,861","87,255",6.43,11.31
2020-12-24,天合光能,0688599,25.49,26.15,24.50,24.74,-0.22,-0.88,"352,262","88,755",6.61,11.36
2020-12-23,天合光能,0688599,24.50,26.34,24.49,24.96,1.01,4.22,"415,914","105,196",7.72,13.41
2020-12-22,天合光能,0688599,24.29,25.64,23.95,23.95,-0.71,-2.88,"353,970","87,729",6.85,11.41
2020-12-21,天合光能,0688599,24.89,25.39,23.49,24.66,0.55,2.28,"442,070","108,468",7.88,14.25
2020-12-18,天合光能,0688599,22.29,24.34,22.20,24.11,1.93,8.70,"467,794","110,244",9.65,15.08
2020-12-17,天合光能,0688599,22.23,22.39,21.30,22.18,0.00,0.00,"270,794","59,199",4.91,8.73
