日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,天顺风能,1002531,7.43,7.48,7.30,7.32,-0.11,-1.48,"74,651","5,499",2.42,0.50
2017-03-30,天顺风能,1002531,7.55,7.61,7.37,7.43,-0.07,-0.93,"100,604","7,498",3.20,0.68
2017-03-29,天顺风能,1002531,7.54,7.63,7.40,7.50,-0.07,-0.92,"50,355","3,783",3.04,0.34
2017-03-28,天顺风能,1002531,7.65,7.80,7.56,7.57,-0.08,-1.05,"61,652","4,728",3.14,0.42
2017-03-27,天顺风能,1002531,7.61,7.68,7.55,7.65,-0.01,-0.13,"55,801","4,252",1.70,0.38
2017-03-24,天顺风能,1002531,7.50,7.69,7.42,7.66,0.21,2.82,"100,435","7,624",3.62,0.68
2017-03-23,天顺风能,1002531,7.45,7.62,7.38,7.45,-0.05,-0.67,"51,489","3,861",3.20,0.35
2017-03-22,天顺风能,1002531,7.32,7.54,7.30,7.50,0.04,0.54,"44,910","3,341",3.22,0.30
2017-03-21,天顺风能,1002531,7.44,7.66,7.38,7.46,0.06,0.81,"63,042","4,749",3.78,0.43
2017-03-20,天顺风能,1002531,7.38,7.48,7.35,7.40,-0.03,-0.40,"71,045","5,266",1.75,0.48
2017-03-17,天顺风能,1002531,7.48,7.61,7.40,7.43,-0.05,-0.67,"113,153","8,523",2.81,0.76
2017-03-16,天顺风能,1002531,7.43,7.52,7.40,7.48,0.06,0.81,"82,685","6,166",1.62,0.56
2017-03-15,天顺风能,1002531,7.28,7.42,7.24,7.42,0.18,2.49,"109,144","8,050",2.49,0.74
2017-03-14,天顺风能,1002531,7.28,7.29,7.22,7.24,-0.04,-0.55,"31,230","2,266",0.96,0.21
2017-03-13,天顺风能,1002531,7.07,7.30,7.01,7.28,0.16,2.25,"82,632","5,959",4.07,0.56
2017-03-10,天顺风能,1002531,7.08,7.13,7.05,7.12,0.05,0.71,"28,209","2,002",1.13,0.19
2017-03-09,天顺风能,1002531,7.15,7.17,7.06,7.07,-0.08,-1.12,"53,190","3,789",1.54,0.36
2017-03-08,天顺风能,1002531,7.23,7.25,7.12,7.15,-0.09,-1.24,"64,908","4,649",1.80,0.44
2017-03-07,天顺风能,1002531,7.24,7.27,7.17,7.24,0.00,0.00,"56,628","4,090",1.38,0.38
2017-03-06,天顺风能,1002531,7.14,7.25,7.14,7.24,0.10,1.40,"87,882","6,329",1.54,0.59
2017-03-03,天顺风能,1002531,7.11,7.14,7.04,7.14,0.02,0.28,"48,783","3,471",1.40,0.33
2017-03-02,天顺风能,1002531,7.09,7.14,7.05,7.12,0.01,0.14,"59,156","4,204",1.27,0.40
2017-03-01,天顺风能,1002531,7.05,7.13,7.01,7.11,0.04,0.57,"80,198","5,690",1.70,0.54
2017-02-28,天顺风能,1002531,6.89,7.09,6.89,7.07,0.13,1.87,"98,314","6,901",2.88,0.66
2017-02-27,天顺风能,1002531,7.08,7.09,6.93,6.94,-0.09,-1.28,"45,166","3,161",2.28,0.30
2017-02-24,天顺风能,1002531,7.05,7.05,6.99,7.03,-0.02,-0.28,"40,754","2,859",0.85,0.28
2017-02-23,天顺风能,1002531,7.06,7.08,6.98,7.05,0.00,0.00,"70,616","4,967",1.42,0.48
2017-02-22,天顺风能,1002531,7.03,7.14,7.01,7.05,-0.03,-0.42,"70,219","4,970",1.84,0.47
2017-02-21,天顺风能,1002531,6.98,7.08,6.88,7.08,0.10,1.43,"106,381","7,421",2.87,0.72
2017-02-20,天顺风能,1002531,6.69,7.22,6.66,6.98,0.32,4.80,"198,412","13,780",8.41,1.34
2017-02-17,天顺风能,1002531,6.77,6.78,6.64,6.66,-0.10,-1.48,"54,567","3,656",2.07,0.37
2017-02-16,天顺风能,1002531,6.76,6.77,6.71,6.76,0.01,0.15,"43,697","2,945",0.89,0.30
2017-02-15,天顺风能,1002531,6.83,6.85,6.73,6.75,-0.08,-1.17,"38,733","2,636",1.76,0.26
2017-02-14,天顺风能,1002531,6.87,6.90,6.82,6.83,-0.08,-1.16,"39,063","2,675",1.16,0.26
2017-02-13,天顺风能,1002531,6.85,6.92,6.82,6.91,0.03,0.44,"36,768","2,526",1.45,0.25
2017-02-10,天顺风能,1002531,6.83,6.92,6.80,6.88,0.05,0.73,"71,175","4,878",1.76,0.48
2017-02-09,天顺风能,1002531,6.77,6.84,6.73,6.83,0.05,0.74,"75,782","5,142",1.62,0.51
2017-02-08,天顺风能,1002531,6.79,6.79,6.70,6.78,-0.01,-0.15,"45,971","3,099",1.33,0.31
2017-02-07,天顺风能,1002531,6.80,6.80,6.74,6.79,0.01,0.15,"27,127","1,837",0.89,0.18
2017-02-06,天顺风能,1002531,6.81,6.83,6.75,6.78,0.01,0.15,"44,494","3,027",1.18,0.30
2017-02-03,天顺风能,1002531,6.80,6.80,6.73,6.77,-0.02,-0.29,"13,138",889,1.03,0.09
2017-01-26,天顺风能,1002531,6.75,6.80,6.75,6.79,0.03,0.44,"18,496","1,254",0.74,0.12
2017-01-25,天顺风能,1002531,6.74,6.81,6.73,6.76,0.00,0.00,"15,853","1,074",1.18,0.11
2017-01-24,天顺风能,1002531,6.80,6.82,6.75,6.76,-0.04,-0.59,"16,565","1,122",1.03,0.11
2017-01-23,天顺风能,1002531,6.71,6.81,6.71,6.80,0.16,2.41,"34,168","2,309",1.51,0.23
2017-01-20,天顺风能,1002531,6.58,6.67,6.55,6.64,0.08,1.22,"24,783","1,643",1.83,0.17
2017-01-19,天顺风能,1002531,6.57,6.60,6.52,6.56,-0.02,-0.30,"18,014","1,181",1.22,0.12
2017-01-18,天顺风能,1002531,6.54,6.61,6.48,6.58,0.04,0.61,"27,619","1,806",1.99,0.19
2017-01-17,天顺风能,1002531,6.48,6.55,6.42,6.54,0.05,0.77,"26,587","1,728",2.00,0.18
2017-01-16,天顺风能,1002531,6.69,6.70,6.28,6.49,-0.19,-2.84,"69,901","4,546",6.29,0.47
2017-01-13,天顺风能,1002531,6.76,6.77,6.65,6.68,-0.07,-1.04,"43,474","2,917",1.78,0.29
2017-01-12,天顺风能,1002531,6.72,6.88,6.68,6.75,0.02,0.30,"49,679","3,367",2.97,0.34
2017-01-11,天顺风能,1002531,6.84,6.84,6.66,6.73,-0.11,-1.61,"60,524","4,078",2.63,0.41
2017-01-10,天顺风能,1002531,6.90,6.90,6.81,6.84,-0.06,-0.87,"31,795","2,180",1.30,0.21
2017-01-09,天顺风能,1002531,6.89,6.91,6.78,6.90,0.01,0.15,"49,291","3,382",1.89,0.33
2017-01-06,天顺风能,1002531,7.01,7.03,6.87,6.89,-0.11,-1.57,"55,208","3,829",2.29,0.37
2017-01-05,天顺风能,1002531,6.99,7.03,6.95,7.00,-0.03,-0.43,"40,193","2,809",1.14,0.27
2017-01-04,天顺风能,1002531,7.04,7.04,6.95,7.03,0.03,0.43,"36,787","2,573",1.29,0.25
2017-01-03,天顺风能,1002531,6.90,7.04,6.86,7.00,0.12,1.74,"50,845","3,546",2.62,0.34
2017-09-29,天顺风能,1002531,6.16,6.24,6.16,6.18,0.03,0.49,"30,723","1,905",1.30,0.21
2017-09-28,天顺风能,1002531,6.17,6.20,6.04,6.15,-0.02,-0.32,"53,477","3,284",2.59,0.36
