日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,宝光股份,0600379,21.50,22.11,21.50,22.09,0.67,3.13,"61,610","13,438",2.85,2.61
2017-03-30,宝光股份,0600379,22.58,22.77,21.33,21.42,-1.19,-5.26,"80,287","17,873",6.37,3.40
2017-03-29,宝光股份,0600379,22.50,23.00,22.50,22.61,0.04,0.18,"84,108","19,118",2.22,3.57
2017-03-28,宝光股份,0600379,22.48,22.81,22.41,22.57,-0.16,-0.70,"49,253","11,142",1.76,2.09
2017-03-27,宝光股份,0600379,22.78,22.88,21.74,22.73,0.00,0.00,"130,083","29,130",5.02,5.52
2017-03-24,宝光股份,0600379,22.70,22.79,22.60,22.73,0.04,0.18,"29,828","6,768",0.84,1.26
2017-03-23,宝光股份,0600379,22.69,22.87,22.55,22.69,-0.10,-0.44,"35,880","8,138",1.40,1.52
2017-03-22,宝光股份,0600379,22.70,22.95,22.51,22.79,0.10,0.44,"77,202","17,536",1.94,3.27
2017-03-21,宝光股份,0600379,22.70,23.30,22.39,22.69,-0.02,-0.09,"80,225","18,200",4.01,3.40
2017-03-20,宝光股份,0600379,21.83,23.00,21.78,22.71,0.86,3.94,"96,507","21,698",5.58,4.09
2017-03-17,宝光股份,0600379,22.33,22.34,21.50,21.85,-0.50,-2.24,"60,935","13,368",3.76,2.58
2017-03-16,宝光股份,0600379,22.31,22.45,22.23,22.35,0.09,0.40,"31,235","6,964",0.99,1.32
2017-03-15,宝光股份,0600379,22.35,22.65,22.14,22.26,-0.32,-1.42,"32,570","7,249",2.26,1.38
2017-03-14,宝光股份,0600379,22.55,22.90,22.42,22.58,0.18,0.80,"38,326","8,680",2.14,1.63
2017-03-13,宝光股份,0600379,22.45,22.62,22.27,22.40,-0.36,-1.58,"35,216","7,881",1.54,1.49
2017-03-10,宝光股份,0600379,22.80,22.87,22.21,22.76,0.13,0.57,"43,531","9,770",2.92,1.85
2017-03-09,宝光股份,0600379,23.00,23.00,22.50,22.63,-0.23,-1.01,"24,629","5,577",2.19,1.04
2017-03-08,宝光股份,0600379,23.00,23.15,22.80,22.86,-0.16,-0.70,"24,623","5,647",1.52,1.04
2017-03-07,宝光股份,0600379,23.11,23.30,22.88,23.02,-0.23,-0.99,"26,888","6,189",1.81,1.14
2017-03-06,宝光股份,0600379,22.90,23.30,22.75,23.25,0.05,0.22,"41,770","9,615",2.37,1.77
2017-03-03,宝光股份,0600379,22.46,23.45,22.46,23.20,0.75,3.34,"63,497","14,636",4.41,2.69
2017-03-02,宝光股份,0600379,23.28,23.48,22.41,22.45,-0.84,-3.61,"42,882","9,823",4.59,1.82
2017-03-01,宝光股份,0600379,23.39,23.59,23.20,23.29,-0.14,-0.60,"31,326","7,312",1.66,1.33
2017-02-28,宝光股份,0600379,23.51,23.73,23.20,23.43,-0.18,-0.76,"51,949","12,168",2.24,2.20
2017-02-27,宝光股份,0600379,23.00,23.74,22.79,23.61,0.46,1.99,"85,262","19,934",4.10,3.62
2017-02-24,宝光股份,0600379,23.38,23.73,22.99,23.15,-0.52,-2.20,"42,406","9,849",3.13,1.80
2017-02-23,宝光股份,0600379,23.96,24.10,23.16,23.67,0.02,0.08,"79,108","18,701",3.97,3.35
2017-02-22,宝光股份,0600379,23.00,23.79,22.70,23.65,0.67,2.92,"82,393","19,213",4.74,3.49
2017-02-21,宝光股份,0600379,23.00,23.13,22.61,22.98,-0.11,-0.48,"37,849","8,658",2.25,1.60
2017-02-20,宝光股份,0600379,22.75,23.10,22.50,23.09,0.13,0.57,"36,737","8,367",2.61,1.56
2017-02-17,宝光股份,0600379,23.01,23.29,22.88,22.96,-0.10,-0.43,"43,199","9,959",1.78,1.83
2017-02-16,宝光股份,0600379,22.75,23.25,22.75,23.06,0.27,1.18,"35,413","8,155",2.19,1.50
2017-02-15,宝光股份,0600379,23.25,23.33,22.74,22.79,-0.56,-2.40,"62,660","14,365",2.53,2.66
2017-02-14,宝光股份,0600379,23.52,23.95,23.21,23.35,-0.27,-1.14,"55,249","12,966",3.13,2.34
