日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,彩虹集团,1003023,39.00,39.30,37.36,38.05,-1.31,-3.33,"51,548","19,605",4.93,25.39
2020-12-30,彩虹集团,1003023,37.20,40.78,37.20,39.36,-1.42,-3.48,"65,821","25,355",8.78,32.42
2020-12-29,彩虹集团,1003023,42.99,45.58,40.61,40.78,-1.24,-2.95,"99,404","43,353",11.83,48.97
2020-12-28,彩虹集团,1003023,40.52,42.02,40.01,42.02,3.82,10.00,"53,811","22,242",5.26,26.51
2020-12-25,彩虹集团,1003023,36.60,40.35,36.13,38.20,1.52,4.14,"63,630","24,632",11.50,31.34
2020-12-24,彩虹集团,1003023,36.50,36.98,35.68,36.68,0.78,2.17,"44,287","16,124",3.62,21.82
2020-12-23,彩虹集团,1003023,37.20,37.56,35.67,35.90,-2.65,-6.87,"56,021","20,452",4.90,27.60
2020-12-22,彩虹集团,1003023,37.50,39.79,36.83,38.55,0.58,1.53,"61,540","23,623",7.80,30.32
2020-12-21,彩虹集团,1003023,37.52,38.19,36.89,37.97,-0.86,-2.21,"55,911","20,990",3.35,27.54
2020-12-18,彩虹集团,1003023,39.50,41.60,38.58,38.83,-1.47,-3.65,"62,406","24,818",7.49,30.74
2020-12-17,彩虹集团,1003023,40.50,42.50,40.28,40.30,-4.46,-9.96,"87,042","35,583",4.96,42.88
2020-12-16,彩虹集团,1003023,45.68,45.68,42.46,44.76,3.14,7.54,"124,928","55,013",7.74,61.54
2020-12-15,彩虹集团,1003023,39.62,41.62,38.00,41.62,3.78,9.99,"67,859","27,536",9.57,33.43
2020-12-14,彩虹集团,1003023,37.84,37.84,37.84,37.84,3.44,10.00,"2,581",977,0.00,1.27
2020-12-11,彩虹集团,1003023,28.67,34.40,28.67,34.40,10.51,43.99,"2,715",933,23.98,1.34
2021-12-31,彩虹集团,1003023,27.08,27.18,26.90,26.93,-0.19,-0.70,"10,559","2,855",1.03,2.67
2021-12-30,彩虹集团,1003023,27.12,27.25,27.04,27.12,-0.02,-0.07,"8,354","2,268",0.77,2.11
2021-12-29,彩虹集团,1003023,27.19,27.31,26.90,27.14,0.00,0.00,"8,754","2,372",1.51,2.21
2021-12-28,彩虹集团,1003023,27.62,27.62,26.82,27.14,-1.04,-3.69,"19,698","5,343",2.84,4.98
2021-12-27,彩虹集团,1003023,27.10,28.35,27.10,28.18,1.18,4.37,"25,140","6,990",4.63,6.36
2021-12-24,彩虹集团,1003023,27.39,27.47,26.75,27.00,-0.39,-1.42,"12,267","3,307",2.63,3.10
2021-12-23,彩虹集团,1003023,27.77,27.92,27.32,27.39,-0.38,-1.37,"9,584","2,633",2.16,2.43
2021-12-22,彩虹集团,1003023,27.58,28.10,27.42,27.77,0.21,0.76,"14,905","4,142",2.47,3.77
2021-12-21,彩虹集团,1003023,27.34,27.72,27.01,27.56,0.59,2.19,"11,572","3,165",2.63,2.93
2021-12-20,彩虹集团,1003023,27.07,27.47,26.92,26.97,-0.14,-0.52,"8,580","2,336",2.03,2.17
2021-12-17,彩虹集团,1003023,27.62,27.63,27.11,27.11,-0.52,-1.88,"10,070","2,748",1.88,2.55
2021-12-16,彩虹集团,1003023,27.30,27.63,27.01,27.63,0.32,1.17,"11,028","3,022",2.27,2.79
2021-12-15,彩虹集团,1003023,27.06,27.75,27.06,27.31,0.04,0.15,"12,181","3,336",2.53,3.08
2021-12-14,彩虹集团,1003023,26.89,27.35,26.61,27.27,0.27,1.00,"15,138","4,101",2.74,3.83
2021-12-13,彩虹集团,1003023,26.60,27.25,26.00,27.00,-0.26,-0.95,"27,315","7,302",4.59,6.91
2021-12-10,彩虹集团,1003023,26.94,27.59,26.86,27.26,0.20,0.74,"6,957","1,889",2.70,3.43
2021-12-09,彩虹集团,1003023,26.90,27.27,26.81,27.06,0.16,0.59,"6,290","1,702",1.71,3.10
2021-12-08,彩虹集团,1003023,26.78,26.94,26.53,26.90,0.11,0.41,"4,683","1,255",1.53,2.31
2021-12-07,彩虹集团,1003023,26.46,26.80,26.35,26.79,0.37,1.40,"5,941","1,582",1.70,2.93
2021-12-06,彩虹集团,1003023,27.09,27.10,26.37,26.42,-0.67,-2.47,"8,906","2,373",2.69,4.39
2021-12-03,彩虹集团,1003023,27.62,27.73,27.01,27.09,-0.48,-1.74,"9,000","2,447",2.61,4.43
2021-12-02,彩虹集团,1003023,28.49,28.49,27.56,27.57,-0.93,-3.26,"12,773","3,553",3.26,6.29
2021-12-01,彩虹集团,1003023,28.02,28.50,27.74,28.50,0.48,1.71,"9,721","2,742",2.71,4.79
2021-11-30,彩虹集团,1003023,27.82,28.23,27.69,28.02,0.20,0.72,"9,046","2,530",1.94,4.46
2021-11-29,彩虹集团,1003023,27.96,28.18,27.58,27.82,-0.37,-1.31,"6,306","1,756",2.13,3.11
2021-11-26,彩虹集团,1003023,28.45,28.46,27.88,28.19,-0.39,-1.36,"10,414","2,931",2.03,5.13
2021-11-25,彩虹集团,1003023,28.45,29.00,28.32,28.58,0.10,0.35,"8,661","2,482",2.39,4.27
2021-11-24,彩虹集团,1003023,28.98,29.13,28.44,28.48,-0.47,-1.62,"12,360","3,543",2.38,6.09
2021-11-23,彩虹集团,1003023,29.46,29.46,28.75,28.95,-0.95,-3.18,"18,906","5,485",2.37,9.31
2021-11-22,彩虹集团,1003023,29.01,31.12,28.75,29.90,0.77,2.64,"34,603","10,404",8.14,17.05
2021-11-19,彩虹集团,1003023,27.37,29.62,27.37,29.13,1.58,5.74,"22,538","6,456",8.17,11.10
2021-11-18,彩虹集团,1003023,28.50,29.98,27.55,27.55,-0.96,-3.37,"16,933","4,831",8.52,8.34
2021-11-17,彩虹集团,1003023,28.86,28.87,28.31,28.51,-0.53,-1.83,"8,974","2,562",1.93,4.42
2021-11-16,彩虹集团,1003023,28.70,29.26,28.50,29.04,0.22,0.76,"13,318","3,858",2.64,6.56
2021-11-15,彩虹集团,1003023,28.31,28.88,28.24,28.82,0.43,1.51,"11,124","3,184",2.25,5.48
2021-11-12,彩虹集团,1003023,28.39,28.56,27.92,28.39,0.13,0.46,"9,586","2,708",2.26,4.72
2021-11-11,彩虹集团,1003023,28.80,28.87,28.11,28.26,-0.09,-0.32,"10,115","2,866",2.68,4.98
2021-11-10,彩虹集团,1003023,28.99,28.99,28.33,28.35,-0.44,-1.53,"8,722","2,485",2.29,4.30
2021-11-09,彩虹集团,1003023,28.50,28.90,28.21,28.79,-0.02,-0.07,"15,680","4,481",2.40,7.72
2021-11-08,彩虹集团,1003023,29.39,29.39,28.03,28.81,-0.67,-2.27,"23,236","6,646",4.61,11.45
2021-11-05,彩虹集团,1003023,28.35,29.64,27.91,29.48,1.13,3.99,"26,413","7,656",6.10,13.01
2021-11-04,彩虹集团,1003023,27.07,28.37,26.88,28.35,1.28,4.73,"18,134","5,070",5.50,8.93
2021-11-03,彩虹集团,1003023,26.18,27.49,26.03,27.07,1.12,4.32,"14,350","3,871",5.63,7.07
2021-11-02,彩虹集团,1003023,26.25,26.52,25.82,25.95,-0.30,-1.14,"7,000","1,830",2.67,3.45
2021-11-01,彩虹集团,1003023,26.09,26.25,25.83,26.25,0.42,1.63,"6,910","1,798",1.63,3.40
2021-10-29,彩虹集团,1003023,26.08,26.13,25.75,25.83,-0.26,-1.00,"5,816","1,507",1.46,2.87
2021-10-28,彩虹集团,1003023,25.80,26.13,25.15,26.09,0.29,1.12,"9,697","2,486",3.80,4.78
2021-10-27,彩虹集团,1003023,26.21,26.51,25.68,25.80,-0.78,-2.93,"10,732","2,784",3.12,5.29
2021-10-26,彩虹集团,1003023,27.98,28.11,26.53,26.58,-1.82,-6.41,"20,266","5,492",5.56,9.98
2021-10-25,彩虹集团,1003023,28.49,28.62,28.09,28.40,0.05,0.18,"9,718","2,757",1.87,4.79
2021-10-22,彩虹集团,1003023,28.79,29.46,28.22,28.35,-0.67,-2.31,"15,512","4,439",4.27,7.64
2021-10-21,彩虹集团,1003023,27.66,30.37,27.60,29.02,1.41,5.11,"28,660","8,351",10.03,14.12
2021-10-20,彩虹集团,1003023,27.69,28.32,27.45,27.61,-0.06,-0.22,"9,976","2,777",3.14,4.91
2021-10-19,彩虹集团,1003023,27.56,27.96,27.44,27.67,-0.30,-1.07,"12,210","3,383",1.86,6.01
2021-10-18,彩虹集团,1003023,28.26,28.36,27.50,27.97,-0.58,-2.03,"19,188","5,368",3.01,9.45
2021-10-15,彩虹集团,1003023,28.30,28.92,27.61,28.55,0.43,1.53,"25,335","7,196",4.66,12.48
2021-10-14,彩虹集团,1003023,27.52,28.28,27.42,28.12,0.59,2.14,"13,492","3,769",3.12,6.65
2021-10-13,彩虹集团,1003023,26.80,27.60,26.77,27.53,0.73,2.72,"8,675","2,362",3.10,4.27
2021-10-12,彩虹集团,1003023,26.68,26.86,26.46,26.80,0.15,0.56,"4,161","1,110",1.50,2.05
2021-10-11,彩虹集团,1003023,26.77,26.80,26.42,26.65,0.12,0.45,"2,940",782,1.43,1.45
2021-10-08,彩虹集团,1003023,26.27,26.64,26.16,26.53,0.52,2.00,"3,963","1,050",1.85,1.95
2021-03-31,彩虹集团,1003023,30.00,30.79,29.71,30.72,0.41,1.35,"19,143","5,829",3.56,9.43
2021-03-30,彩虹集团,1003023,29.36,30.70,28.83,30.31,0.96,3.27,"20,804","6,220",6.37,10.25
2021-03-29,彩虹集团,1003023,29.50,30.29,29.30,29.35,-0.38,-1.28,"11,230","3,331",3.33,5.53
2021-03-26,彩虹集团,1003023,28.96,31.00,28.83,29.73,0.90,3.12,"16,704","4,981",7.53,8.23
2021-03-25,彩虹集团,1003023,29.25,29.25,28.71,28.83,-0.36,-1.23,"5,834","1,685",1.85,2.87
2021-03-24,彩虹集团,1003023,28.78,29.45,28.63,29.19,0.29,1.00,"7,944","2,312",2.84,3.91
2021-03-23,彩虹集团,1003023,29.77,29.85,28.72,28.90,-0.87,-2.92,"11,728","3,412",3.80,5.78
2021-03-22,彩虹集团,1003023,29.30,29.86,28.88,29.77,0.97,3.37,"17,591","5,182",3.40,8.67
2021-03-19,彩虹集团,1003023,28.17,29.16,28.05,28.80,0.52,1.84,"13,341","3,845",3.93,6.57
2021-03-18,彩虹集团,1003023,28.04,28.38,27.97,28.28,0.02,0.07,"8,188","2,306",1.45,4.03
2021-03-17,彩虹集团,1003023,27.78,28.45,27.60,28.26,0.54,1.95,"10,430","2,919",3.07,5.14
2021-03-16,彩虹集团,1003023,27.14,27.99,27.08,27.72,0.58,2.14,"10,114","2,783",3.35,4.98
2021-03-15,彩虹集团,1003023,27.48,27.48,27.00,27.14,-0.36,-1.31,"7,294","1,984",1.75,3.59
2021-03-12,彩虹集团,1003023,27.75,27.77,27.39,27.50,-0.43,-1.54,"6,923","1,906",1.36,3.41
2021-03-11,彩虹集团,1003023,27.65,28.11,27.33,27.93,0.35,1.27,"8,116","2,252",2.83,4.00
2021-03-10,彩虹集团,1003023,28.20,28.45,27.38,27.58,-0.51,-1.82,"9,090","2,517",3.81,4.48
2021-03-09,彩虹集团,1003023,29.68,29.89,27.00,28.09,-1.58,-5.33,"15,487","4,433",9.74,7.63
2021-03-08,彩虹集团,1003023,29.71,30.21,29.65,29.67,-0.03,-0.10,"12,486","3,739",1.89,6.15
2021-03-05,彩虹集团,1003023,29.30,29.75,29.17,29.70,0.32,1.09,"8,309","2,458",1.97,4.09
2021-03-04,彩虹集团,1003023,29.36,29.85,29.24,29.38,-0.12,-0.41,"10,148","2,993",2.07,5.00
2021-03-03,彩虹集团,1003023,29.00,29.57,28.91,29.50,0.45,1.55,"9,221","2,704",2.27,4.54
