日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,德宏股份,0603701,30.56,31.55,30.43,30.86,0.30,0.98,"48,247","14,931",3.66,9.89
2017-06-29,德宏股份,0603701,27.85,30.56,27.85,30.56,2.78,10.01,"34,771","10,334",9.76,7.13
2017-06-28,德宏股份,0603701,28.29,28.30,27.70,27.78,-0.48,-1.70,"5,067","1,413",2.12,1.04
2017-06-27,德宏股份,0603701,28.31,28.69,27.78,28.26,-0.05,-0.18,"7,376","2,085",3.21,1.51
2017-06-26,德宏股份,0603701,27.81,28.33,27.31,28.31,0.50,1.80,"6,389","1,782",3.67,1.31
2017-06-23,德宏股份,0603701,27.58,27.87,26.74,27.81,0.24,0.87,"11,902","3,260",4.10,2.44
2017-06-22,德宏股份,0603701,29.20,29.29,27.00,27.57,-1.45,-5.00,"12,214","3,461",7.89,2.50
2017-06-21,德宏股份,0603701,29.25,29.48,28.84,29.02,-0.34,-1.16,"9,546","2,779",2.18,1.96
2017-06-20,德宏股份,0603701,29.38,29.60,29.09,29.36,-0.01,-0.03,"8,478","2,491",1.74,1.74
2017-06-19,德宏股份,0603701,29.41,29.55,29.09,29.37,-0.03,-0.10,"7,666","2,245",1.56,1.57
2017-06-16,德宏股份,0603701,29.81,30.05,29.35,29.40,-0.48,-1.61,"12,890","3,813",2.34,2.64
2017-06-15,德宏股份,0603701,29.02,30.60,28.90,29.88,0.67,2.29,"21,110","6,302",5.82,4.33
2017-06-14,德宏股份,0603701,29.54,29.58,29.02,29.21,-0.48,-1.62,"15,881","4,651",1.89,3.25
2017-06-13,德宏股份,0603701,28.12,29.76,28.01,29.69,1.06,3.70,"27,574","7,985",6.11,5.65
2017-06-12,德宏股份,0603701,28.00,29.76,27.80,28.63,1.53,5.65,"30,765","8,821",7.23,6.30
2017-06-02,德宏股份,0603701,25.88,27.48,25.65,27.10,0.98,3.75,"9,306","2,471",7.01,1.91
2017-06-01,德宏股份,0603701,27.44,27.59,26.08,26.12,-1.45,-5.26,"8,052","2,164",5.48,1.65
2017-05-31,德宏股份,0603701,28.27,29.15,27.50,27.57,-0.07,-0.25,"11,127","3,164",5.97,2.28
2017-05-26,德宏股份,0603701,27.29,27.90,26.89,27.64,0.24,0.88,"9,713","2,654",3.69,1.99
2017-05-25,德宏股份,0603701,27.30,27.73,26.13,27.40,0.20,0.74,"8,477","2,289",5.88,1.74
2017-05-24,德宏股份,0603701,26.51,27.47,26.02,27.20,0.50,1.87,"7,817","2,097",5.43,1.60
2017-05-23,德宏股份,0603701,29.07,29.29,26.66,26.70,-2.35,-8.09,"14,202","3,939",9.05,2.91
2017-05-22,德宏股份,0603701,31.20,31.31,28.73,29.05,-2.30,-7.34,"12,853","3,854",8.23,2.63
2017-05-19,德宏股份,0603701,31.53,31.93,31.30,31.35,-0.19,-0.60,"4,250","1,344",2.00,0.87
2017-05-18,德宏股份,0603701,39.65,40.24,39.10,39.73,-0.06,-0.15,"6,490","2,586",2.87,1.66
2017-05-17,德宏股份,0603701,39.39,40.05,39.28,39.79,0.41,1.04,"7,380","2,930",1.96,1.89
2017-05-16,德宏股份,0603701,38.02,39.44,37.61,39.38,1.38,3.63,"7,684","2,969",4.82,1.97
2017-05-15,德宏股份,0603701,38.01,38.30,37.81,38.00,0.13,0.34,"4,640","1,765",1.29,1.19
2017-05-12,德宏股份,0603701,38.05,38.38,37.00,37.87,-0.49,-1.28,"8,033","3,031",3.60,2.06
2017-05-11,德宏股份,0603701,38.80,38.89,36.62,38.36,-0.57,-1.46,"10,417","3,941",5.83,2.67
2017-05-10,德宏股份,0603701,39.60,39.98,38.87,38.93,-0.64,-1.62,"7,796","3,075",2.81,2.00
2017-05-09,德宏股份,0603701,39.05,39.58,38.71,39.57,0.69,1.77,"5,762","2,263",2.24,1.48
