日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-06-28,德方纳米,1300769,85.44,89.10,85.02,87.32,1.81,2.12,"18,469","16,173",4.77,17.28
2019-06-27,德方纳米,1300769,86.01,86.88,85.24,85.51,-0.71,-0.82,"9,573","8,229",1.90,8.96
2019-06-26,德方纳米,1300769,83.60,87.28,83.20,86.22,2.07,2.46,"12,167","10,399",4.85,11.38
2019-06-25,德方纳米,1300769,84.04,85.05,82.80,84.15,-0.21,-0.25,"8,873","7,447",2.67,8.30
2019-06-24,德方纳米,1300769,85.50,85.90,83.80,84.36,-1.36,-1.59,"9,167","7,732",2.45,8.58
2019-06-21,德方纳米,1300769,85.61,87.33,85.33,85.72,0.27,0.32,"13,662","11,808",2.34,12.78
2019-06-20,德方纳米,1300769,84.90,85.78,83.50,85.45,-0.25,-0.29,"12,238","10,355",2.66,11.45
2019-06-19,德方纳米,1300769,86.42,86.77,84.99,85.70,0.71,0.84,"14,256","12,227",2.09,13.34
2019-06-18,德方纳米,1300769,81.30,86.00,81.01,84.99,3.47,4.26,"12,461","10,545",6.12,11.66
2019-06-17,德方纳米,1300769,82.45,83.39,80.49,81.52,-0.48,-0.59,"5,758","4,706",3.54,5.39
2019-06-14,德方纳米,1300769,84.59,86.00,82.00,82.00,-2.35,-2.79,"8,440","7,108",4.74,7.90
2019-06-13,德方纳米,1300769,82.12,85.85,81.41,84.35,2.34,2.85,"10,229","8,553",5.41,9.57
2019-06-12,德方纳米,1300769,82.40,84.00,82.01,82.01,-0.75,-0.91,"8,146","6,741",2.40,7.62
2019-06-11,德方纳米,1300769,80.60,82.98,79.51,82.76,2.77,3.46,"9,787","8,001",4.34,9.16
2019-06-10,德方纳米,1300769,79.40,80.68,78.96,79.99,1.59,2.03,"6,409","5,123",2.19,6.00
2019-06-06,德方纳米,1300769,83.30,83.30,78.33,78.40,-5.85,-6.94,"13,918","11,237",5.90,13.02
2019-06-05,德方纳米,1300769,86.11,87.44,84.25,84.25,-0.71,-0.84,"9,170","7,879",3.75,8.58
2019-06-04,德方纳米,1300769,85.00,87.12,83.99,84.96,-0.74,-0.86,"10,164","8,668",3.65,9.51
2019-06-03,德方纳米,1300769,89.03,89.47,85.58,85.70,-4.41,-4.89,"14,589","12,704",4.32,13.65
2019-05-31,德方纳米,1300769,85.13,92.62,84.88,90.11,4.52,5.28,"21,182","18,885",9.04,19.81
2019-05-30,德方纳米,1300769,83.73,85.60,80.68,85.59,1.25,1.48,"11,350","9,478",5.83,10.62
2019-05-29,德方纳米,1300769,82.53,86.50,81.89,84.34,1.45,1.75,"13,388","11,353",5.56,12.52
2019-05-28,德方纳米,1300769,83.18,84.58,82.40,82.89,-1.51,-1.79,"11,191","9,342",2.58,10.47
2019-05-27,德方纳米,1300769,81.66,84.44,81.00,84.40,3.20,3.94,"11,316","9,376",4.24,10.59
2019-05-24,德方纳米,1300769,80.12,82.50,80.12,81.20,0.31,0.38,"10,695","8,732",2.94,10.00
2019-05-23,德方纳米,1300769,82.99,82.99,80.03,80.89,-2.32,-2.79,"11,634","9,432",3.56,10.88
2019-05-22,德方纳米,1300769,86.15,86.19,82.55,83.21,-2.98,-3.46,"14,319","12,058",4.22,13.39
2019-05-21,德方纳米,1300769,85.80,87.20,85.22,86.19,0.10,0.12,"9,712","8,373",2.30,9.09
2019-05-20,德方纳米,1300769,89.05,89.09,84.12,86.09,-4.58,-5.05,"14,961","12,872",5.48,14.00
2019-05-17,德方纳米,1300769,94.50,94.79,90.20,90.67,-4.43,-4.66,"15,415","14,274",4.83,14.42
2019-05-16,德方纳米,1300769,97.00,97.00,92.68,95.10,-1.28,-1.33,"17,269","16,380",4.48,16.15
2019-05-15,德方纳米,1300769,92.34,97.25,91.60,96.38,4.06,4.40,"22,306","21,074",6.12,20.87
2019-05-14,德方纳米,1300769,93.69,93.80,91.00,92.32,-3.78,-3.93,"19,072","17,599",2.91,17.84
2019-05-13,德方纳米,1300769,96.00,99.98,96.00,96.10,2.00,2.13,"24,990","24,376",4.23,23.38
2019-05-10,德方纳米,1300769,92.99,94.56,89.50,94.10,2.51,2.74,"22,718","21,065",5.52,21.25
2019-05-09,德方纳米,1300769,92.13,96.59,91.59,91.59,-1.70,-1.82,"20,813","19,642",5.36,19.47
2019-05-08,德方纳米,1300769,90.43,96.10,89.88,93.29,-0.28,-0.30,"19,331","18,003",6.65,18.08
2019-05-07,德方纳米,1300769,92.80,94.44,91.25,93.57,1.39,1.51,"19,744","18,334",3.46,18.47
2019-05-06,德方纳米,1300769,91.00,94.75,88.87,92.18,-3.56,-3.72,"23,645","21,699",6.14,22.12
2019-04-30,德方纳米,1300769,95.50,99.29,94.30,95.74,-0.66,-0.68,"22,800","22,131",5.18,21.33
2019-04-29,德方纳米,1300769,103.98,105.50,96.39,96.40,-10.70,-9.99,"36,371","36,656",8.51,34.02
2019-04-26,德方纳米,1300769,111.01,113.90,107.10,107.10,-11.90,-10.00,"44,541","48,901",5.71,41.67
2019-04-25,德方纳米,1300769,116.90,123.80,115.20,119.00,1.75,1.49,"63,816","76,222",7.33,59.70
2019-04-24,德方纳米,1300769,117.25,117.25,113.00,117.25,10.66,10.00,"47,208","54,718",3.99,44.16
2019-04-23,德方纳米,1300769,106.59,106.59,106.59,106.59,9.69,10.00,770,821,0.00,0.72
2019-04-22,德方纳米,1300769,96.90,96.90,96.90,96.90,8.81,10.00,389,377,0.00,0.36
2019-04-19,德方纳米,1300769,88.09,88.09,88.09,88.09,8.01,10.00,408,359,0.00,0.38
2019-04-18,德方纳米,1300769,80.08,80.08,80.08,80.08,7.28,10.00,162,130,0.00,0.15
2019-04-17,德方纳米,1300769,72.80,72.80,72.80,72.80,6.62,10.00,33,24,0.00,0.03
2019-04-16,德方纳米,1300769,66.18,66.18,66.18,66.18,6.02,10.01,30,20,0.00,0.03
2019-04-15,德方纳米,1300769,50.14,60.16,50.14,60.16,18.38,43.99,81,48,23.98,0.08
2019-12-31,德方纳米,1300769,112.73,116.99,111.38,113.89,0.07,0.06,"8,878","10,078",4.93,8.30
2019-12-30,德方纳米,1300769,112.00,118.32,108.55,113.82,4.02,3.66,"17,852","20,389",8.90,16.70
2019-12-27,德方纳米,1300769,112.80,116.70,108.28,109.80,-1.56,-1.40,"13,174","14,851",7.56,12.32
2019-12-26,德方纳米,1300769,111.00,113.12,107.89,111.36,-0.70,-0.62,"13,190","14,582",4.67,12.34
2019-12-25,德方纳米,1300769,102.10,112.06,102.10,112.06,10.19,10.00,"21,403","23,345",9.78,20.02
2019-12-24,德方纳米,1300769,96.00,104.16,94.76,101.87,7.18,7.58,"18,182","18,350",9.93,17.01
2019-12-23,德方纳米,1300769,91.81,96.58,91.60,94.69,1.84,1.98,"9,597","9,140",5.36,8.98
2019-12-20,德方纳米,1300769,93.30,95.29,92.77,92.85,0.15,0.16,"5,983","5,618",2.72,5.60
2019-12-19,德方纳米,1300769,92.55,93.85,91.90,92.70,-0.07,-0.08,"3,473","3,219",2.10,3.25
2019-12-18,德方纳米,1300769,94.91,94.91,92.33,92.77,-1.93,-2.04,"6,773","6,309",2.72,6.34
2019-12-17,德方纳米,1300769,95.00,95.93,93.00,94.70,0.72,0.77,"10,890","10,292",3.12,10.19
2019-12-16,德方纳米,1300769,90.40,93.99,90.40,93.98,4.58,5.12,"11,960","11,104",4.02,11.19
2019-12-13,德方纳米,1300769,87.83,89.97,87.38,89.40,2.56,2.95,"9,099","8,105",2.98,8.51
2019-12-12,德方纳米,1300769,86.81,88.27,86.19,86.84,0.12,0.14,"4,908","4,279",2.40,4.59
2019-12-11,德方纳米,1300769,88.11,88.45,86.19,86.72,-1.72,-1.94,"5,070","4,407",2.56,4.74
2019-12-10,德方纳米,1300769,85.78,89.17,85.41,88.44,2.33,2.71,"7,851","6,892",4.37,7.34
2019-12-09,德方纳米,1300769,86.90,87.80,84.78,86.11,-1.07,-1.23,"7,312","6,265",3.46,6.84
2019-12-06,德方纳米,1300769,88.60,89.18,86.19,87.18,-1.82,-2.04,"7,624","6,647",3.36,7.13
2019-12-05,德方纳米,1300769,86.80,89.16,86.46,89.00,2.60,3.01,"6,289","5,540",3.13,5.88
2019-12-04,德方纳米,1300769,86.18,88.20,85.53,86.40,-0.29,-0.33,"4,687","4,076",3.08,4.38
2019-12-03,德方纳米,1300769,88.11,88.11,84.70,86.69,-1.31,-1.49,"7,599","6,549",3.88,7.11
2019-12-02,德方纳米,1300769,90.16,91.00,87.25,88.00,-2.83,-3.12,"7,268","6,441",4.13,6.80
2019-11-29,德方纳米,1300769,89.03,93.17,88.90,90.83,1.63,1.83,"7,857","7,163",4.79,7.35
2019-11-28,德方纳米,1300769,90.40,91.81,88.41,89.20,-2.48,-2.71,"10,373","9,335",3.71,9.70
2019-11-27,德方纳米,1300769,85.50,91.96,85.50,91.68,5.50,6.38,"17,982","16,007",7.50,16.82
