日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,惠而浦,0600983,10.80,10.84,10.72,10.82,0.04,0.37,"18,220","1,966",1.11,0.34
2017-06-29,惠而浦,0600983,10.88,10.89,10.73,10.78,-0.07,-0.65,"21,900","2,363",1.47,0.41
2017-06-28,惠而浦,0600983,10.94,10.94,10.75,10.85,-0.07,-0.64,"19,767","2,138",1.74,0.37
2017-06-27,惠而浦,0600983,10.95,11.03,10.82,10.92,-0.07,-0.64,"31,582","3,446",1.91,0.59
2017-06-26,惠而浦,0600983,10.78,11.28,10.60,10.99,0.16,1.48,"45,583","4,991",6.28,0.86
2017-06-23,惠而浦,0600983,10.86,10.90,10.60,10.83,-0.01,-0.09,"30,978","3,335",2.77,0.58
2017-06-22,惠而浦,0600983,10.71,10.98,10.69,10.84,0.13,1.21,"68,527","7,459",2.71,1.29
2017-06-21,惠而浦,0600983,10.72,10.72,10.60,10.71,0.04,0.37,"23,215","2,470",1.12,0.44
2017-06-20,惠而浦,0600983,10.71,10.75,10.60,10.67,-0.02,-0.19,"20,903","2,233",1.40,0.39
2017-06-19,惠而浦,0600983,10.67,10.77,10.65,10.69,0.01,0.09,"23,814","2,547",1.12,0.45
2017-06-16,惠而浦,0600983,10.65,10.72,10.50,10.68,0.06,0.57,"20,014","2,124",2.07,0.38
2017-06-15,惠而浦,0600983,10.58,10.64,10.52,10.62,0.04,0.38,"23,642","2,501",1.13,0.44
2017-06-14,惠而浦,0600983,10.76,10.76,10.51,10.58,-0.17,-1.58,"32,476","3,439",2.33,0.61
2017-06-13,惠而浦,0600983,10.73,10.82,10.64,10.75,-0.01,-0.09,"25,223","2,701",1.67,0.47
2017-06-12,惠而浦,0600983,10.77,10.92,10.74,10.76,0.01,0.09,"40,042","4,331",1.67,0.75
2017-06-09,惠而浦,0600983,10.67,10.76,10.62,10.75,0.02,0.19,"25,929","2,772",1.30,0.49
2017-06-08,惠而浦,0600983,10.65,10.75,10.62,10.73,0.05,0.47,"27,531","2,947",1.22,0.52
2017-06-07,惠而浦,0600983,10.56,10.75,10.52,10.68,0.12,1.14,"44,578","4,729",2.18,0.84
2017-06-06,惠而浦,0600983,10.49,10.58,10.43,10.56,0.10,0.96,"23,264","2,443",1.43,0.44
2017-06-05,惠而浦,0600983,10.55,10.70,10.42,10.46,-0.08,-0.76,"41,870","4,432",2.66,0.79
2017-06-02,惠而浦,0600983,10.20,10.55,10.17,10.54,0.31,3.03,"37,532","3,898",3.71,0.70
2017-06-01,惠而浦,0600983,10.21,10.30,10.15,10.23,-0.02,-0.20,"26,704","2,730",1.46,0.50
2017-05-31,惠而浦,0600983,10.23,10.30,10.18,10.25,0.06,0.59,"22,677","2,322",1.18,0.43
2017-05-26,惠而浦,0600983,10.24,10.34,10.11,10.19,-0.12,-1.16,"30,156","3,076",2.23,0.57
2017-05-25,惠而浦,0600983,10.24,10.35,10.18,10.31,0.02,0.19,"27,787","2,853",1.65,0.52
2017-05-24,惠而浦,0600983,10.08,10.43,9.96,10.29,0.05,0.49,"48,822","4,985",4.59,0.92
2017-05-23,惠而浦,0600983,9.94,10.49,9.89,10.24,0.32,3.23,"65,290","6,701",6.05,1.23
2017-05-22,惠而浦,0600983,9.85,10.02,9.85,9.92,0.03,0.30,"21,557","2,146",1.72,0.40
2017-05-19,惠而浦,0600983,9.87,9.93,9.81,9.89,-0.01,-0.10,"21,057","2,079",1.21,0.40
2017-05-18,惠而浦,0600983,9.96,10.04,9.88,9.90,-0.06,-0.60,"24,603","2,444",1.61,0.46
2017-05-17,惠而浦,0600983,9.97,10.10,9.89,9.96,-0.01,-0.10,"26,019","2,603",2.11,0.49
2017-05-16,惠而浦,0600983,9.78,9.98,9.72,9.97,0.18,1.84,"29,909","2,951",2.66,0.56
2017-05-15,惠而浦,0600983,9.64,9.81,9.60,9.79,0.18,1.87,"20,757","2,022",2.19,0.39
2017-05-12,惠而浦,0600983,9.56,9.65,9.53,9.61,0.03,0.31,"16,670","1,599",1.25,0.31
2017-05-11,惠而浦,0600983,9.65,9.75,9.46,9.58,-0.10,-1.03,"27,925","2,676",3.00,0.52
2017-05-10,惠而浦,0600983,9.82,9.90,9.66,9.68,-0.15,-1.53,"19,492","1,909",2.44,0.37
2017-05-09,惠而浦,0600983,9.83,9.87,9.69,9.83,0.04,0.41,"18,963","1,856",1.84,0.36
2017-05-08,惠而浦,0600983,9.89,9.94,9.79,9.79,-0.11,-1.11,"19,476","1,920",1.52,0.37
2017-05-05,惠而浦,0600983,10.06,10.15,9.88,9.90,-0.23,-2.27,"25,676","2,563",2.67,0.48
2017-05-04,惠而浦,0600983,10.14,10.27,10.05,10.13,-0.01,-0.10,"18,930","1,925",2.17,0.36
2017-05-03,惠而浦,0600983,10.09,10.21,10.01,10.14,0.05,0.50,"28,128","2,844",1.98,0.53
2017-05-02,惠而浦,0600983,9.82,10.20,9.82,10.09,0.23,2.33,"46,187","4,647",3.85,0.87
2017-04-28,惠而浦,0600983,9.86,9.94,9.81,9.86,0.01,0.10,"21,032","2,078",1.32,0.39
2017-04-27,惠而浦,0600983,9.96,9.96,9.61,9.85,-0.15,-1.50,"46,858","4,589",3.50,0.88
2017-04-26,惠而浦,0600983,10.15,10.17,9.80,10.00,-0.15,-1.48,"55,833","5,562",3.65,1.05
2017-04-25,惠而浦,0600983,10.01,10.24,10.01,10.15,0.06,0.59,"26,862","2,723",2.28,0.50
2017-04-24,惠而浦,0600983,10.27,10.41,10.00,10.09,-0.19,-1.85,"36,779","3,733",3.99,0.69
2017-04-21,惠而浦,0600983,10.52,10.63,10.23,10.28,-0.28,-2.65,"42,543","4,414",3.79,0.80
2017-04-20,惠而浦,0600983,10.38,10.68,10.30,10.56,0.14,1.34,"49,210","5,186",3.65,0.92
