日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,扬电科技,1301012,35.81,35.81,34.26,34.76,-0.84,-2.36,"52,822","18,337",4.35,26.53
2021-06-29,扬电科技,1301012,38.24,38.36,35.42,35.60,-4.01,-10.12,"77,094","28,181",7.42,38.72
2021-06-28,扬电科技,1301012,41.92,42.66,39.03,39.61,-4.17,-9.52,"76,653","30,780",8.29,38.50
2021-06-25,扬电科技,1301012,42.50,45.50,40.41,43.78,-3.34,-7.09,"94,930","40,619",10.80,47.67
2021-06-24,扬电科技,1301012,39.12,47.88,39.12,47.12,6.14,14.98,"126,402","56,762",21.38,63.48
2021-06-23,扬电科技,1301012,43.00,44.88,40.40,40.98,-7.87,-16.11,"116,211","49,060",9.17,58.36
2021-06-22,扬电科技,1301012,40.18,58.00,38.20,48.85,40.80,506.83,"143,900","62,674",245.96,72.27
2021-12-31,扬电科技,1301012,52.60,52.60,50.10,50.64,-1.06,-2.05,"24,888","12,715",4.84,11.85
2021-12-30,扬电科技,1301012,51.09,52.18,50.80,51.70,1.02,2.01,"20,660","10,653",2.72,9.84
2021-12-29,扬电科技,1301012,52.26,52.65,50.60,50.68,-1.49,-2.86,"23,953","12,245",3.93,11.41
2021-12-28,扬电科技,1301012,53.89,54.96,51.20,52.17,-1.62,-3.01,"31,045","16,244",6.99,14.78
2021-12-27,扬电科技,1301012,55.18,57.60,46.00,53.79,-1.61,-2.91,"33,323","18,466",20.94,15.87
2021-12-24,扬电科技,1301012,58.00,58.40,55.40,55.40,-3.07,-5.25,"28,593","16,203",5.13,13.62
2021-12-23,扬电科技,1301012,55.11,58.60,54.00,58.47,3.36,6.10,"40,114","22,891",8.35,19.10
2021-12-22,扬电科技,1301012,56.65,57.47,55.03,55.11,-1.36,-2.41,"37,128","20,825",4.32,17.68
2021-12-21,扬电科技,1301012,59.00,59.88,56.00,56.47,-3.49,-5.82,"34,126","19,451",6.47,17.14
2021-12-20,扬电科技,1301012,64.41,64.41,58.12,59.96,-5.44,-8.32,"44,458","26,934",9.62,22.33
2021-12-17,扬电科技,1301012,64.00,71.70,63.83,65.40,-0.07,-0.11,"61,063","41,484",12.02,30.67
2021-12-16,扬电科技,1301012,64.64,65.58,62.00,65.47,-1.17,-1.76,"53,117","33,926",5.37,26.68
2021-12-15,扬电科技,1301012,59.59,69.90,57.97,66.64,6.70,11.18,"96,119","61,514",19.90,48.27
2021-12-14,扬电科技,1301012,55.36,60.00,55.36,59.94,4.97,9.04,"73,612","42,480",8.44,36.97
2021-12-13,扬电科技,1301012,57.20,57.21,53.30,54.97,-1.19,-2.12,"40,310","22,073",6.96,20.24
2021-12-10,扬电科技,1301012,55.02,56.37,55.01,56.16,0.77,1.39,"34,416","19,215",2.46,17.28
2021-12-09,扬电科技,1301012,55.40,56.09,54.61,55.39,0.09,0.16,"31,516","17,504",2.68,15.83
2021-12-08,扬电科技,1301012,55.65,56.49,55.00,55.30,-0.20,-0.36,"32,529","18,120",2.68,16.34
2021-12-07,扬电科技,1301012,59.43,59.43,54.54,55.50,-3.55,-6.01,"44,734","25,148",8.28,22.47
2021-12-06,扬电科技,1301012,59.16,60.89,58.15,59.05,-1.19,-1.98,"41,476","24,562",4.55,20.83
2021-12-03,扬电科技,1301012,66.36,66.50,59.96,60.24,-7.65,-11.27,"69,047","42,792",9.63,34.68
2021-12-02,扬电科技,1301012,66.27,67.95,64.13,67.89,1.06,1.59,"68,521","45,321",5.72,34.41
2021-12-01,扬电科技,1301012,67.31,68.59,65.88,66.83,-2.11,-3.06,"60,765","40,645",3.93,30.52
2021-11-30,扬电科技,1301012,74.92,74.92,67.20,68.94,-7.49,-9.80,"87,536","61,621",10.10,43.96
2021-11-29,扬电科技,1301012,73.33,79.99,69.73,76.43,1.43,1.91,"87,380","65,175",13.68,43.88
2021-11-26,扬电科技,1301012,72.00,84.88,67.68,75.00,3.24,4.52,"102,716","75,563",23.97,51.58
2021-11-25,扬电科技,1301012,62.50,71.76,60.22,71.76,11.96,20.00,"71,226","47,658",19.30,35.77
2021-11-24,扬电科技,1301012,58.00,65.00,56.65,59.80,1.80,3.10,"80,222","48,542",14.40,40.29
2021-11-23,扬电科技,1301012,51.50,62.37,50.01,58.00,5.97,11.47,"90,557","50,938",23.76,45.48
2021-11-22,扬电科技,1301012,51.82,54.87,50.30,52.03,0.44,0.85,"60,611","31,594",8.86,30.44
2021-11-19,扬电科技,1301012,52.50,53.90,49.40,51.59,-0.84,-1.60,"62,086","31,787",8.58,31.18
2021-11-18,扬电科技,1301012,52.02,54.43,50.45,52.43,0.58,1.12,"80,924","42,554",7.68,40.64
2021-11-17,扬电科技,1301012,42.91,51.85,42.50,51.85,8.64,20.00,"79,969","38,785",21.64,40.16
2021-11-16,扬电科技,1301012,44.32,45.00,42.24,43.21,-1.98,-4.38,"40,878","17,635",6.11,20.53
2021-11-15,扬电科技,1301012,45.80,49.10,45.19,45.19,-0.87,-1.89,"57,283","26,914",8.49,28.77
2021-11-12,扬电科技,1301012,44.51,46.58,44.51,46.06,1.60,3.60,"47,186","21,540",4.66,23.70
2021-11-11,扬电科技,1301012,45.00,45.69,44.18,44.46,-1.23,-2.69,"42,578","19,083",3.30,21.38
2021-11-10,扬电科技,1301012,43.00,45.84,42.65,45.69,2.30,5.30,"57,349","25,358",7.35,28.80
2021-11-09,扬电科技,1301012,41.03,43.40,40.66,43.39,2.75,6.77,"46,503","19,715",6.74,23.35
