日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,文一科技,0600520,17.25,18.80,17.16,18.50,1.19,6.87,"41,408","7,541",9.47,2.61
2017-06-29,文一科技,0600520,17.41,17.52,17.28,17.31,-0.10,-0.57,"4,553",791,1.38,0.29
2017-06-28,文一科技,0600520,17.54,17.63,17.31,17.41,-0.22,-1.25,"5,345",933,1.82,0.34
2017-06-27,文一科技,0600520,17.42,17.88,17.25,17.63,0.21,1.21,"14,588","2,564",3.62,0.92
2017-06-26,文一科技,0600520,16.72,17.49,16.58,17.42,0.60,3.57,"16,939","2,898",5.41,1.07
2017-06-23,文一科技,0600520,16.87,17.08,16.61,16.82,-0.19,-1.12,"6,243","1,049",2.76,0.39
2017-06-22,文一科技,0600520,17.33,17.39,16.98,17.01,-0.29,-1.68,"9,133","1,574",2.37,0.58
2017-06-21,文一科技,0600520,17.48,17.48,17.22,17.30,-0.02,-0.12,"5,133",890,1.50,0.32
2017-06-20,文一科技,0600520,17.51,17.71,17.30,17.32,-0.18,-1.03,"7,724","1,351",2.34,0.49
2017-06-19,文一科技,0600520,17.30,17.63,17.29,17.50,0.09,0.52,"7,075","1,235",1.95,0.45
2017-06-16,文一科技,0600520,17.19,17.49,17.19,17.41,0.06,0.35,"7,640","1,329",1.73,0.48
2017-06-15,文一科技,0600520,17.19,17.54,17.11,17.35,0.16,0.93,"8,868","1,540",2.50,0.56
2017-06-14,文一科技,0600520,17.23,17.55,17.09,17.19,-0.17,-0.98,"7,711","1,332",2.65,0.49
2017-06-13,文一科技,0600520,17.14,17.66,16.42,17.36,0.12,0.70,"11,864","2,047",7.19,0.75
2017-06-12,文一科技,0600520,17.02,17.78,17.02,17.24,-0.57,-3.20,"15,369","2,662",4.27,0.97
2017-06-09,文一科技,0600520,16.73,18.19,16.46,17.81,1.19,7.16,"20,710","3,577",10.41,1.31
2017-06-08,文一科技,0600520,16.60,16.99,16.60,16.62,-0.01,-0.06,"7,490","1,256",2.35,0.47
2017-06-07,文一科技,0600520,16.15,16.70,16.03,16.63,0.50,3.10,"12,529","2,067",4.15,0.79
2017-06-06,文一科技,0600520,16.11,16.19,15.93,16.13,0.02,0.12,"9,593","1,539",1.61,0.61
2017-06-05,文一科技,0600520,16.13,16.16,15.94,16.11,0.11,0.69,"6,123",984,1.38,0.39
2017-06-02,文一科技,0600520,16.70,16.70,15.50,16.00,-0.33,-2.02,"17,902","2,857",7.35,1.13
2017-06-01,文一科技,0600520,17.42,17.48,16.20,16.33,-1.25,-7.11,"14,707","2,464",7.28,0.93
