日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,新宝股份,1002705,18.59,19.65,18.53,19.53,0.94,5.06,"78,364","15,040",6.02,4.59
2017-03-30,新宝股份,1002705,18.63,18.85,18.50,18.59,0.05,0.27,"30,123","5,615",1.89,1.76
2017-03-29,新宝股份,1002705,18.58,18.74,18.31,18.54,-0.02,-0.11,"28,935","5,362",2.32,1.70
2017-03-28,新宝股份,1002705,18.78,18.91,18.35,18.56,-0.20,-1.07,"38,009","7,064",2.99,2.23
2017-03-27,新宝股份,1002705,19.10,19.10,18.50,18.76,-0.35,-1.83,"45,886","8,618",3.14,2.69
2017-03-24,新宝股份,1002705,19.16,19.36,18.90,19.11,0.15,0.79,"38,821","7,414",2.43,2.27
2017-03-23,新宝股份,1002705,19.58,19.58,18.85,18.96,-0.42,-2.17,"34,271","6,567",3.77,2.01
2017-03-22,新宝股份,1002705,19.52,19.65,19.20,19.38,-0.15,-0.77,"43,911","8,512",2.30,2.57
2017-03-21,新宝股份,1002705,18.82,19.67,18.78,19.53,0.70,3.72,"51,976","10,046",4.73,3.05
2017-03-20,新宝股份,1002705,18.87,18.96,18.55,18.83,-0.04,-0.21,"39,556","7,433",2.17,2.32
2017-03-17,新宝股份,1002705,19.48,19.48,18.80,18.87,-0.60,-3.08,"36,522","6,996",3.49,2.14
2017-03-16,新宝股份,1002705,19.40,19.52,19.21,19.47,0.07,0.36,"37,677","7,292",1.60,2.21
2017-03-15,新宝股份,1002705,18.68,19.65,18.68,19.40,0.66,3.52,"70,629","13,627",5.18,4.14
2017-03-14,新宝股份,1002705,18.92,19.20,18.61,18.74,-0.26,-1.37,"47,167","8,893",3.11,2.76
2017-03-13,新宝股份,1002705,18.48,19.49,18.20,19.00,0.57,3.09,"89,162","16,940",7.00,5.22
2017-03-10,新宝股份,1002705,17.79,18.66,17.70,18.43,0.72,4.07,"66,537","12,198",5.42,3.90
2017-03-09,新宝股份,1002705,17.90,17.97,17.69,17.71,-0.25,-1.39,"20,796","3,697",1.56,1.22
2017-03-08,新宝股份,1002705,18.18,18.24,17.76,17.96,-0.20,-1.10,"30,207","5,426",2.64,1.77
2017-03-07,新宝股份,1002705,18.10,18.23,17.98,18.16,0.03,0.17,"24,418","4,425",1.38,1.43
2017-03-06,新宝股份,1002705,17.76,18.21,17.67,18.13,0.44,2.49,"40,841","7,368",3.05,2.39
2017-03-03,新宝股份,1002705,17.78,17.80,17.60,17.69,-0.01,-0.06,"18,059","3,194",1.13,1.06
2017-03-02,新宝股份,1002705,17.96,17.99,17.66,17.70,-0.25,-1.39,"19,284","3,429",1.84,1.13
2017-03-01,新宝股份,1002705,18.10,18.25,17.83,17.95,0.03,0.17,"27,045","4,886",2.34,1.58
2017-02-28,新宝股份,1002705,17.83,18.15,17.78,17.92,0.00,0.00,"13,313","2,388",2.06,0.78
2017-02-27,新宝股份,1002705,18.10,18.19,17.80,17.92,-0.28,-1.54,"23,519","4,216",2.14,1.38
2017-02-24,新宝股份,1002705,18.09,18.35,17.95,18.20,0.11,0.61,"31,158","5,656",2.21,1.83
2017-02-23,新宝股份,1002705,17.86,18.20,17.61,18.09,0.23,1.29,"37,217","6,692",3.30,2.18
2017-02-22,新宝股份,1002705,18.10,18.10,17.80,17.86,-0.26,-1.43,"46,785","8,372",1.66,2.74
2017-02-21,新宝股份,1002705,18.12,18.25,18.07,18.12,-0.01,-0.06,"33,661","6,113",0.99,1.97
2017-02-20,新宝股份,1002705,17.31,18.18,17.30,18.13,0.77,4.44,"62,829","11,226",5.07,3.68
2017-02-17,新宝股份,1002705,17.84,17.84,17.22,17.36,-0.37,-2.09,"32,196","5,618",3.50,1.89
2017-02-16,新宝股份,1002705,17.65,17.82,17.48,17.73,0.19,1.08,"37,243","6,581",1.94,2.18
2017-02-15,新宝股份,1002705,17.38,18.00,17.31,17.54,0.14,0.80,"51,768","9,118",3.97,3.03
2017-02-14,新宝股份,1002705,17.34,17.49,17.13,17.40,0.07,0.40,"43,750","7,580",2.08,2.56
2017-02-13,新宝股份,1002705,17.51,17.51,17.24,17.33,0.08,0.46,"62,297","10,809",1.57,3.65
2017-02-10,新宝股份,1002705,16.98,18.54,16.91,17.25,0.27,1.59,"58,266","10,130",9.60,3.41
2017-02-09,新宝股份,1002705,17.09,17.20,16.88,16.98,-0.02,-0.12,"20,706","3,523",1.88,1.21
2017-02-08,新宝股份,1002705,16.70,17.01,16.69,17.00,0.20,1.19,"25,429","4,278",1.90,1.49
2017-02-07,新宝股份,1002705,16.88,16.88,16.58,16.80,-0.08,-0.47,"27,776","4,643",1.78,1.63
2017-02-06,新宝股份,1002705,16.18,16.94,16.00,16.88,0.66,4.07,"40,119","6,648",5.80,2.35
2017-02-03,新宝股份,1002705,16.30,16.36,15.88,16.22,-0.05,-0.31,"16,433","2,643",2.95,0.96
2017-01-26,新宝股份,1002705,16.18,16.42,16.18,16.27,-0.01,-0.06,"8,163","1,330",1.47,0.48
2017-01-25,新宝股份,1002705,16.10,16.38,16.05,16.28,0.10,0.62,"11,274","1,830",2.04,0.66
2017-01-24,新宝股份,1002705,16.11,16.24,16.00,16.18,0.10,0.62,"18,111","2,916",1.49,1.06
2017-01-23,新宝股份,1002705,16.15,16.43,16.01,16.08,-0.14,-0.86,"17,303","2,787",2.59,1.01
2017-01-20,新宝股份,1002705,15.93,16.29,15.80,16.22,0.24,1.50,"14,391","2,325",3.07,1.01
2017-01-19,新宝股份,1002705,15.92,16.15,15.66,15.98,-0.04,-0.25,"23,199","3,685",3.06,1.63
2017-01-18,新宝股份,1002705,16.23,16.23,15.89,16.02,-0.24,-1.48,"16,117","2,584",2.09,1.13
2017-01-17,新宝股份,1002705,15.69,16.35,15.51,16.26,0.52,3.30,"23,946","3,828",5.34,1.68
2017-01-16,新宝股份,1002705,15.88,16.10,15.35,15.74,-0.01,-0.06,"39,471","6,258",4.76,2.78
2017-01-13,新宝股份,1002705,16.00,16.12,15.50,15.75,-0.38,-2.36,"39,794","6,269",3.84,2.80
2017-01-12,新宝股份,1002705,16.28,16.42,16.06,16.13,-0.15,-0.92,"21,854","3,554",2.21,1.54
2017-01-11,新宝股份,1002705,17.01,17.07,16.12,16.28,-0.73,-4.29,"43,340","7,133",5.59,3.05
2017-01-10,新宝股份,1002705,17.00,17.15,16.92,17.01,0.01,0.06,"18,272","3,111",1.35,1.29
2017-01-09,新宝股份,1002705,17.02,17.30,16.87,17.00,-0.14,-0.82,"15,684","2,663",2.51,1.10
2017-01-06,新宝股份,1002705,17.24,17.24,16.96,17.14,0.04,0.23,"15,424","2,638",1.64,1.08
2017-01-05,新宝股份,1002705,17.58,17.58,17.08,17.10,-0.35,-2.01,"26,961","4,674",2.87,1.90
2017-01-04,新宝股份,1002705,17.07,17.46,17.00,17.45,0.38,2.23,"24,526","4,240",2.69,1.72
2017-01-03,新宝股份,1002705,16.89,17.15,16.88,17.07,0.16,0.95,"20,720","3,534",1.60,1.46
2017-12-29,新宝股份,1002705,12.21,12.39,12.18,12.29,0.08,0.66,"10,487","1,288",1.72,0.47
2017-12-28,新宝股份,1002705,12.64,12.72,12.20,12.21,-0.44,-3.48,"22,331","2,776",4.11,1.01
2017-12-27,新宝股份,1002705,12.69,12.74,12.61,12.65,0.00,0.00,"10,644","1,351",1.03,0.48
2017-12-26,新宝股份,1002705,12.56,12.66,12.56,12.65,0.03,0.24,"11,703","1,478",0.79,0.53
2017-12-25,新宝股份,1002705,12.56,12.73,12.53,12.62,0.11,0.88,"13,918","1,758",1.60,0.63
2017-12-22,新宝股份,1002705,12.58,12.65,12.40,12.51,-0.08,-0.64,"17,086","2,142",1.99,0.77
2017-12-21,新宝股份,1002705,12.75,12.81,12.43,12.59,-0.14,-1.10,"17,875","2,254",2.99,0.81
2017-12-20,新宝股份,1002705,12.71,12.82,12.60,12.73,-0.02,-0.16,"10,827","1,378",1.73,0.49
2017-12-19,新宝股份,1002705,12.57,12.78,12.52,12.75,0.26,2.08,"13,662","1,733",2.08,0.62
2017-12-18,新宝股份,1002705,12.47,12.62,12.43,12.49,0.01,0.08,"6,358",796,1.52,0.29
2017-12-15,新宝股份,1002705,12.64,12.70,12.42,12.48,-0.16,-1.27,"11,325","1,420",2.22,0.51
2017-12-14,新宝股份,1002705,12.63,12.68,12.51,12.64,0.01,0.08,"7,979","1,007",1.35,0.36
2017-12-13,新宝股份,1002705,12.29,12.65,12.26,12.63,0.22,1.77,"18,161","2,286",3.14,0.82
2017-12-12,新宝股份,1002705,12.40,12.55,12.33,12.41,-0.03,-0.24,"19,507","2,428",1.77,0.88
2017-12-11,新宝股份,1002705,12.20,12.48,12.01,12.44,0.24,1.97,"22,909","2,813",3.85,1.03
2017-12-08,新宝股份,1002705,12.25,12.28,12.06,12.20,-0.02,-0.16,"19,486","2,371",1.80,0.88
2017-12-07,新宝股份,1002705,11.96,12.27,11.96,12.22,0.26,2.17,"18,696","2,277",2.59,0.84
2017-12-06,新宝股份,1002705,11.95,12.05,11.83,11.96,0.04,0.34,"8,636","1,029",1.85,0.39
2017-12-05,新宝股份,1002705,12.04,12.18,11.88,11.92,-0.14,-1.16,"16,627","2,002",2.49,0.75
