日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,日出东方,0603366,7.64,7.67,7.59,7.65,-0.01,-0.13,"17,513","1,336",1.04,0.22
2017-06-29,日出东方,0603366,7.62,7.71,7.60,7.66,0.04,0.52,"29,847","2,287",1.44,0.37
2017-06-28,日出东方,0603366,7.65,7.66,7.52,7.62,-0.02,-0.26,"41,807","3,183",1.83,0.52
2017-06-27,日出东方,0603366,7.80,7.85,7.75,7.82,0.00,0.00,"39,362","3,073",1.28,0.49
2017-06-26,日出东方,0603366,7.76,7.84,7.71,7.82,0.09,1.16,"31,808","2,479",1.68,0.40
2017-06-23,日出东方,0603366,7.86,7.88,7.60,7.73,-0.12,-1.53,"67,289","5,197",3.57,0.84
2017-06-22,日出东方,0603366,8.09,8.10,7.83,7.85,-0.23,-2.85,"55,857","4,472",3.34,0.70
2017-06-21,日出东方,0603366,8.03,8.09,8.01,8.08,0.05,0.62,"30,830","2,480",1.00,0.39
2017-06-20,日出东方,0603366,8.07,8.08,8.01,8.03,-0.04,-0.50,"41,262","3,318",0.87,0.52
2017-06-19,日出东方,0603366,8.05,8.08,8.00,8.07,-0.04,-0.49,"41,484","3,337",0.99,0.52
2017-06-16,日出东方,0603366,8.15,8.25,8.10,8.11,0.00,0.00,"46,900","3,830",1.85,0.59
2017-06-15,日出东方,0603366,8.08,8.14,8.02,8.11,0.09,1.12,"52,677","4,260",1.50,0.66
2017-06-14,日出东方,0603366,8.09,8.12,7.99,8.02,-0.12,-1.47,"63,766","5,126",1.60,0.80
2017-06-13,日出东方,0603366,8.03,8.18,8.00,8.14,-0.01,-0.12,"65,204","5,278",2.21,0.82
2017-06-12,日出东方,0603366,8.38,8.46,8.14,8.15,-0.01,-0.12,"91,040","7,547",3.92,1.14
2017-06-09,日出东方,0603366,8.25,8.28,8.08,8.16,-0.13,-1.57,"90,258","7,368",2.41,1.13
2017-06-08,日出东方,0603366,8.40,8.58,8.23,8.29,-0.13,-1.54,"204,134","17,157",4.16,2.55
2017-06-07,日出东方,0603366,8.05,8.47,7.82,8.42,0.33,4.08,"178,993","14,745",8.03,2.24
2017-06-06,日出东方,0603366,7.85,8.26,7.82,8.09,0.15,1.89,"125,242","10,159",5.54,1.57
2017-06-05,日出东方,0603366,7.63,8.17,7.57,7.94,0.24,3.12,"92,722","7,323",7.79,1.16
2017-06-02,日出东方,0603366,7.57,7.76,7.36,7.70,-0.11,-1.41,"83,174","6,271",5.12,1.04
2017-06-01,日出东方,0603366,8.15,8.15,7.79,7.81,-0.36,-4.41,"133,714","10,657",4.41,1.67
2017-05-31,日出东方,0603366,7.81,8.20,7.75,8.17,0.39,5.01,"148,089","11,856",5.78,1.85
2017-05-26,日出东方,0603366,7.76,7.93,7.67,7.78,-0.12,-1.52,"90,561","7,051",3.29,1.13
2017-05-25,日出东方,0603366,7.47,7.96,7.39,7.90,0.27,3.54,"105,310","8,069",7.47,1.32
2017-05-24,日出东方,0603366,7.32,7.68,7.25,7.63,0.22,2.97,"87,318","6,542",5.80,1.09
2017-05-23,日出东方,0603366,7.37,7.46,7.20,7.41,0.01,0.14,"53,809","3,922",3.51,0.67
2017-05-22,日出东方,0603366,7.50,7.62,7.35,7.40,-0.14,-1.86,"44,967","3,372",3.58,0.56
2017-05-19,日出东方,0603366,7.54,7.63,7.51,7.54,-0.03,-0.40,"27,090","2,046",1.59,0.34
2017-05-18,日出东方,0603366,7.68,7.75,7.50,7.57,-0.21,-2.70,"47,083","3,590",3.21,0.59
