日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,杭州柯林,0688611,48.90,51.76,48.53,49.09,-0.21,-0.43,"16,428","8,217",6.55,12.95
2021-06-29,杭州柯林,0688611,48.14,49.94,47.38,49.30,0.79,1.63,"12,016","5,848",5.28,9.47
2021-06-28,杭州柯林,0688611,48.38,50.29,48.16,48.51,0.13,0.27,"10,308","5,056",4.40,8.12
2021-06-25,杭州柯林,0688611,49.03,49.71,46.91,48.38,-1.52,-3.05,"13,917","6,711",5.61,10.97
2021-06-24,杭州柯林,0688611,49.32,50.92,48.55,49.90,0.22,0.44,"13,840","6,930",4.77,10.91
2021-06-23,杭州柯林,0688611,49.50,51.36,48.20,49.68,0.68,1.39,"18,653","9,210",6.45,14.70
2021-06-22,杭州柯林,0688611,53.13,53.50,48.79,49.00,-1.94,-3.81,"39,489","20,043",9.25,31.12
2021-06-21,杭州柯林,0688611,45.50,50.94,45.50,50.94,8.49,20.00,"36,018","17,884",12.82,28.38
2021-06-18,杭州柯林,0688611,42.68,43.20,41.88,42.45,-0.14,-0.33,"8,752","3,708",3.10,6.90
2021-06-17,杭州柯林,0688611,43.89,43.89,41.77,42.59,-1.37,-3.12,"10,927","4,636",4.82,8.61
2021-06-16,杭州柯林,0688611,47.87,47.87,42.97,43.96,-3.14,-6.67,"20,967","9,538",10.40,16.52
2021-06-15,杭州柯林,0688611,45.10,48.00,45.10,47.10,1.69,3.72,"17,427","8,158",6.39,13.73
2021-06-11,杭州柯林,0688611,46.37,46.38,43.50,45.41,-0.28,-0.61,"14,945","6,694",6.30,11.78
2021-06-10,杭州柯林,0688611,45.65,47.50,45.50,45.69,0.29,0.64,"21,942","10,205",4.41,17.29
2021-06-09,杭州柯林,0688611,42.62,45.40,42.50,45.40,2.62,6.12,"14,683","6,417",6.78,11.57
2021-06-08,杭州柯林,0688611,44.60,44.93,41.95,42.78,-1.63,-3.67,"16,191","6,984",6.71,12.76
2021-06-07,杭州柯林,0688611,45.54,45.54,43.52,44.41,-2.09,-4.49,"18,854","8,399",4.34,14.86
2021-06-04,杭州柯林,0688611,44.48,48.30,43.61,46.50,2.59,5.90,"31,027","14,372",10.68,24.45
2021-06-03,杭州柯林,0688611,43.01,44.58,42.20,43.91,0.21,0.48,"19,785","8,557",5.45,15.59
2021-06-02,杭州柯林,0688611,40.62,43.78,40.62,43.70,3.10,7.64,"24,815","10,561",7.78,19.55
2021-06-01,杭州柯林,0688611,39.11,41.19,39.11,40.60,1.55,3.97,"12,350","5,014",5.33,9.73
2021-05-31,杭州柯林,0688611,38.50,39.19,38.50,39.05,0.55,1.43,"5,052","1,964",1.79,3.98
2021-05-28,杭州柯林,0688611,39.09,39.30,38.31,38.50,-0.56,-1.43,"4,706","1,822",2.53,3.71
2021-05-27,杭州柯林,0688611,38.45,39.44,38.45,39.06,0.57,1.48,"6,869","2,689",2.57,5.41
2021-05-26,杭州柯林,0688611,38.09,38.70,38.02,38.49,0.26,0.68,"5,327","2,048",1.78,4.20
2021-05-25,杭州柯林,0688611,38.09,38.49,37.80,38.23,0.24,0.63,"3,055","1,164",1.82,2.41
2021-05-24,杭州柯林,0688611,38.00,38.18,37.72,37.99,0.02,0.05,"2,685","1,018",1.21,2.12
2021-05-21,杭州柯林,0688611,38.68,38.68,37.88,37.97,-0.09,-0.24,"2,413",918,2.10,1.90
2021-05-20,杭州柯林,0688611,38.18,38.38,37.83,38.06,-0.31,-0.81,"4,557","1,733",1.43,3.59
2021-05-19,杭州柯林,0688611,39.20,39.30,38.30,38.37,-0.79,-2.02,"5,227","2,019",2.55,4.12
2021-05-18,杭州柯林,0688611,39.10,39.29,38.72,39.16,0.06,0.15,"4,210","1,646",1.46,3.32
2021-05-17,杭州柯林,0688611,39.14,39.94,38.85,39.10,0.17,0.44,"5,398","2,130",2.80,4.25
2021-05-14,杭州柯林,0688611,38.41,39.26,38.21,38.93,0.63,1.64,"5,317","2,074",2.74,4.19
2021-05-13,杭州柯林,0688611,38.35,38.78,38.21,38.30,-0.50,-1.29,"3,283","1,262",1.47,2.59
2021-05-12,杭州柯林,0688611,38.38,38.98,37.92,38.80,0.60,1.57,"6,024","2,311",2.77,4.75
2021-05-11,杭州柯林,0688611,37.45,38.20,37.33,38.20,0.60,1.60,"4,773","1,810",2.31,3.76
2021-05-10,杭州柯林,0688611,37.60,37.99,37.30,37.60,-0.12,-0.32,"4,471","1,680",1.83,3.52
2021-05-07,杭州柯林,0688611,38.88,38.95,37.60,37.72,-1.08,-2.78,"8,152","3,102",3.48,6.42
2021-05-06,杭州柯林,0688611,38.80,39.42,38.42,38.80,0.35,0.91,"5,005","1,945",2.60,3.94
2021-04-30,杭州柯林,0688611,39.85,40.29,38.45,38.45,-1.24,-3.12,"10,015","3,929",4.64,7.89
2021-04-29,杭州柯林,0688611,42.99,43.00,39.33,39.69,-4.18,-9.53,"25,601","10,391",8.37,20.17
2021-04-28,杭州柯林,0688611,43.38,43.99,42.58,43.87,0.50,1.15,"9,459","4,085",3.25,7.45
2021-04-27,杭州柯林,0688611,43.91,44.48,43.22,43.37,-0.36,-0.82,"9,351","4,088",2.88,7.37
2021-04-26,杭州柯林,0688611,44.11,44.80,43.55,43.73,-0.72,-1.62,"10,038","4,400",2.81,7.91
2021-04-23,杭州柯林,0688611,44.80,45.58,44.42,44.45,-0.57,-1.27,"11,193","5,030",2.58,8.82
2021-04-22,杭州柯林,0688611,43.62,45.30,43.41,45.02,1.64,3.78,"15,563","6,926",4.36,12.26
2021-04-21,杭州柯林,0688611,44.22,44.78,43.34,43.38,-1.51,-3.36,"17,716","7,772",3.21,13.96
2021-04-20,杭州柯林,0688611,46.78,47.23,44.89,44.89,-1.89,-4.04,"21,977","10,112",5.00,17.32
2021-04-19,杭州柯林,0688611,45.19,47.63,44.76,46.78,1.18,2.59,"26,221","12,173",6.29,20.66
2021-04-16,杭州柯林,0688611,46.00,46.49,43.85,45.60,-0.27,-0.59,"30,923","13,921",5.76,24.37
2021-04-15,杭州柯林,0688611,47.48,48.00,45.81,45.87,-0.99,-2.11,"17,206","8,039",4.67,13.56
2021-04-14,杭州柯林,0688611,47.60,49.60,46.66,46.86,-1.55,-3.20,"26,879","12,861",6.07,21.18
2021-04-13,杭州柯林,0688611,53.76,54.76,47.73,48.41,-7.89,-14.01,"49,823","25,101",12.49,39.26
2021-04-12,杭州柯林,0688611,53.00,66.88,53.00,56.30,22.86,68.36,"89,882","52,115",41.51,70.83
2021-09-30,杭州柯林,0688611,46.52,51.33,45.45,50.90,5.37,11.79,"10,523","5,166",12.91,8.29
2021-09-29,杭州柯林,0688611,47.25,47.50,45.22,45.53,-1.72,-3.64,"4,195","1,935",4.83,3.31
2021-09-28,杭州柯林,0688611,47.03,48.30,46.00,47.25,-0.10,-0.21,"3,070","1,456",4.86,2.42
2021-09-27,杭州柯林,0688611,49.89,51.20,47.22,47.35,-2.34,-4.71,"7,108","3,481",8.01,5.60
2021-09-24,杭州柯林,0688611,51.01,52.35,49.58,49.69,-2.84,-5.41,"5,663","2,841",5.27,4.46
2021-09-23,杭州柯林,0688611,50.50,54.99,50.50,52.53,3.55,7.25,"11,513","6,160",9.17,9.07
2021-09-22,杭州柯林,0688611,50.00,51.40,48.85,48.98,-1.42,-2.82,"5,226","2,591",5.06,4.12
2021-09-17,杭州柯林,0688611,50.41,52.26,48.98,50.40,0.10,0.20,"6,022","3,068",6.52,4.75
2021-09-16,杭州柯林,0688611,50.23,50.88,48.12,50.30,-0.03,-0.06,"8,278","4,110",5.48,6.52
2021-09-15,杭州柯林,0688611,52.66,53.24,50.12,50.33,-1.48,-2.86,"4,466","2,292",6.02,3.52
2021-09-14,杭州柯林,0688611,54.81,54.81,51.60,51.81,-2.19,-4.06,"4,637","2,443",5.94,3.65
2021-09-13,杭州柯林,0688611,54.62,55.12,52.85,54.00,-0.62,-1.14,"3,621","1,952",4.16,2.85
2021-09-10,杭州柯林,0688611,53.73,55.12,53.73,54.62,0.42,0.77,"4,094","2,229",2.56,3.23
2021-09-09,杭州柯林,0688611,56.85,56.85,53.97,54.20,-1.61,-2.88,"4,589","2,530",5.16,3.62
2021-09-08,杭州柯林,0688611,58.20,58.20,55.66,55.81,-2.39,-4.11,"3,977","2,246",4.36,3.13
2021-09-07,杭州柯林,0688611,57.51,58.20,56.80,58.20,0.69,1.20,"2,350","1,354",2.43,1.85
2021-09-06,杭州柯林,0688611,58.18,59.04,56.53,57.51,-0.98,-1.68,"5,897","3,384",4.29,4.65
2021-09-03,杭州柯林,0688611,60.54,62.26,58.21,58.49,-1.57,-2.61,"5,069","3,041",6.74,3.99
2021-09-02,杭州柯林,0688611,58.05,60.78,58.00,60.06,1.44,2.46,"3,824","2,282",4.74,3.01
2021-09-01,杭州柯林,0688611,59.84,60.25,56.68,58.62,-1.30,-2.17,"4,381","2,549",5.96,3.45
2021-08-31,杭州柯林,0688611,59.67,59.95,57.65,59.92,-0.03,-0.05,"4,563","2,685",3.84,3.60
2021-08-30,杭州柯林,0688611,57.60,60.39,57.60,59.95,0.85,1.44,"6,643","3,936",4.72,5.23
2021-08-27,杭州柯林,0688611,60.11,61.22,57.14,59.10,-0.92,-1.53,"7,161","4,254",6.80,5.64
2021-08-26,杭州柯林,0688611,57.97,62.19,57.51,60.02,1.22,2.07,"13,354","8,063",7.96,10.52
2021-08-25,杭州柯林,0688611,62.03,62.65,53.70,58.80,-6.43,-9.86,"26,107","14,861",13.72,20.57
2021-08-24,杭州柯林,0688611,62.30,65.95,61.08,65.23,3.37,5.45,"9,531","6,068",7.87,7.51
2021-08-23,杭州柯林,0688611,61.97,64.08,61.40,61.86,-0.60,-0.96,"8,318","5,208",4.29,6.56
2021-08-20,杭州柯林,0688611,65.00,66.99,61.88,62.46,-1.48,-2.31,"7,186","4,589",7.99,5.66
2021-08-19,杭州柯林,0688611,64.12,65.58,62.53,63.94,-1.29,-1.98,"5,960","3,802",4.68,4.70
2021-08-18,杭州柯林,0688611,66.30,69.66,64.24,65.23,-1.13,-1.70,"9,338","6,215",8.17,7.36
2021-08-17,杭州柯林,0688611,63.87,67.98,63.61,66.36,2.48,3.88,"12,702","8,421",6.84,10.01
2021-08-16,杭州柯林,0688611,64.14,68.00,62.76,63.88,1.57,2.52,"11,277","7,364",8.41,8.89
2021-08-13,杭州柯林,0688611,65.59,65.59,62.00,62.31,-2.27,-3.52,"7,240","4,557",5.56,5.71
2021-08-12,杭州柯林,0688611,65.69,67.59,63.35,64.58,0.43,0.67,"16,420","10,768",6.61,12.94
2021-08-11,杭州柯林,0688611,59.70,67.38,58.20,64.15,4.15,6.92,"24,921","15,838",15.30,19.64
2021-08-10,杭州柯林,0688611,54.94,60.95,54.94,60.00,4.60,8.30,"16,872","9,889",10.85,13.30
2021-08-09,杭州柯林,0688611,57.00,57.88,54.53,55.40,-2.13,-3.70,"7,998","4,439",5.82,6.30
2021-08-06,杭州柯林,0688611,55.40,58.98,54.80,57.53,2.13,3.84,"10,760","6,133",7.55,8.48
2021-08-05,杭州柯林,0688611,57.00,57.00,55.00,55.40,-1.18,-2.09,"8,049","4,482",3.53,6.34
2021-08-04,杭州柯林,0688611,56.97,58.83,56.30,56.58,0.28,0.50,"9,325","5,330",4.49,7.35
2021-08-03,杭州柯林,0688611,57.30,57.71,55.28,56.30,-0.67,-1.18,"7,975","4,514",4.27,6.28
