日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,杭电股份,0603618,10.33,10.57,10.18,10.37,-0.05,-0.48,"149,067","15,504",3.74,5.66
2017-06-29,杭电股份,0603618,10.62,10.77,10.41,10.42,-0.19,-1.79,"171,449","18,069",3.39,6.51
2017-06-28,杭电股份,0603618,10.99,11.08,10.50,10.61,-0.27,-2.48,"231,580","24,924",5.33,8.80
2017-06-27,杭电股份,0603618,10.98,11.27,10.56,10.88,0.36,3.42,"391,372","42,444",6.75,14.87
2017-06-26,杭电股份,0603618,9.54,10.52,9.41,10.52,0.96,10.04,"224,817","22,884",11.61,8.54
2017-06-23,杭电股份,0603618,8.96,9.68,8.95,9.56,0.57,6.34,"131,745","12,428",8.12,5.00
2017-06-22,杭电股份,0603618,9.23,9.23,8.98,8.99,-0.23,-2.49,"35,194","3,198",2.71,1.34
2017-06-21,杭电股份,0603618,9.36,9.37,9.16,9.22,-0.11,-1.18,"31,101","2,876",2.25,1.18
2017-06-20,杭电股份,0603618,9.39,9.44,9.31,9.33,-0.04,-0.43,"25,574","2,393",1.39,0.97
2017-06-19,杭电股份,0603618,9.33,9.44,9.29,9.37,0.03,0.32,"28,074","2,623",1.61,1.07
2017-06-16,杭电股份,0603618,9.40,9.44,9.26,9.34,-0.12,-1.27,"37,081","3,463",1.90,1.41
2017-06-15,杭电股份,0603618,9.24,9.57,9.22,9.46,0.08,0.85,"69,165","6,518",3.73,2.63
2017-06-14,杭电股份,0603618,8.90,9.78,8.88,9.38,0.49,5.51,"108,441","10,259",10.12,4.12
2017-06-13,杭电股份,0603618,8.69,8.91,8.69,8.89,0.20,2.30,"20,329","1,797",2.53,0.77
2017-06-12,杭电股份,0603618,8.91,8.91,8.68,8.69,-0.23,-2.58,"19,754","1,734",2.58,0.75
2017-06-09,杭电股份,0603618,8.92,8.97,8.85,8.92,0.00,0.00,"17,171","1,528",1.35,0.65
2017-06-08,杭电股份,0603618,9.05,9.06,8.91,8.92,-0.07,-0.78,"21,672","1,940",1.67,0.82
2017-06-07,杭电股份,0603618,8.77,9.05,8.70,8.99,0.22,2.51,"31,294","2,798",3.99,1.19
2017-06-06,杭电股份,0603618,8.83,8.83,8.65,8.77,0.07,0.80,"14,940","1,309",2.07,0.57
2017-06-05,杭电股份,0603618,8.64,8.79,8.63,8.70,0.08,0.93,"15,885","1,382",1.86,0.60
