日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,欣旺达,1300207,12.45,12.64,12.34,12.50,0.09,0.73,"147,559","18,430",2.42,1.17
2017-03-30,欣旺达,1300207,12.89,12.90,12.37,12.41,-0.52,-4.02,"237,782","29,890",4.10,1.89
2017-03-29,欣旺达,1300207,13.29,13.29,12.90,12.93,-0.29,-2.19,"182,817","23,793",2.95,1.45
2017-03-28,欣旺达,1300207,13.34,13.57,13.10,13.22,-0.21,-1.56,"183,151","24,347",3.50,1.45
2017-03-27,欣旺达,1300207,13.70,13.80,13.28,13.43,-0.16,-1.18,"246,550","33,129",3.83,1.96
2017-03-24,欣旺达,1300207,13.12,13.75,13.12,13.59,0.35,2.64,"358,592","48,416",4.76,2.85
2017-03-23,欣旺达,1300207,13.19,13.39,12.90,13.24,0.07,0.53,"234,937","30,829",3.72,1.86
2017-03-22,欣旺达,1300207,12.81,13.49,12.63,13.17,0.31,2.41,"328,043","43,271",6.69,2.60
2017-03-21,欣旺达,1300207,12.48,12.97,12.43,12.86,0.34,2.72,"239,856","30,725",4.31,1.90
2017-03-20,欣旺达,1300207,12.51,12.67,12.30,12.52,-0.10,-0.79,"196,926","24,552",2.93,1.56
2017-03-17,欣旺达,1300207,12.88,13.16,12.59,12.62,-0.26,-2.02,"264,297","33,989",4.43,2.10
2017-03-16,欣旺达,1300207,12.70,12.89,12.61,12.88,0.24,1.90,"209,755","26,787",2.22,1.66
2017-03-15,欣旺达,1300207,12.56,12.72,12.50,12.64,0.04,0.32,"178,147","22,493",1.75,1.41
2017-03-14,欣旺达,1300207,12.85,12.96,12.54,12.60,-0.30,-2.33,"273,154","34,651",3.26,2.17
2017-03-13,欣旺达,1300207,12.05,13.20,11.92,12.90,0.85,7.05,"490,128","61,874",10.62,3.89
2017-03-10,欣旺达,1300207,12.00,12.30,11.98,12.05,0.06,0.50,"217,807","26,372",2.67,1.73
2017-03-09,欣旺达,1300207,12.04,12.04,11.83,11.99,-0.08,-0.66,"122,968","14,669",1.74,0.98
2017-03-08,欣旺达,1300207,12.10,12.15,11.95,12.07,-0.03,-0.25,"128,680","15,476",1.65,1.02
2017-03-07,欣旺达,1300207,12.10,12.30,12.01,12.10,-0.09,-0.74,"228,236","27,688",2.38,1.81
2017-03-06,欣旺达,1300207,11.70,12.36,11.66,12.19,0.49,4.19,"394,351","47,577",5.98,3.13
2017-03-03,欣旺达,1300207,11.32,11.77,11.27,11.70,0.34,2.99,"201,447","23,251",4.40,1.60
2017-03-02,欣旺达,1300207,11.54,11.55,11.36,11.36,-0.11,-0.96,"96,427","11,006",1.66,0.77
2017-03-01,欣旺达,1300207,11.44,11.54,11.37,11.47,-0.01,-0.09,"83,025","9,539",1.48,0.66
2017-02-28,欣旺达,1300207,11.53,11.54,11.35,11.48,-0.05,-0.43,"130,420","14,913",1.65,1.04
2017-02-27,欣旺达,1300207,11.90,11.90,11.53,11.53,-0.22,-1.87,"172,994","20,172",3.15,1.37
2017-02-24,欣旺达,1300207,11.70,11.88,11.60,11.75,0.10,0.86,"145,114","17,039",2.40,1.15
2017-02-23,欣旺达,1300207,11.66,11.68,11.48,11.65,0.06,0.52,"113,376","13,129",1.73,0.90
2017-02-22,欣旺达,1300207,11.59,11.70,11.46,11.59,0.01,0.09,"106,932","12,369",2.07,0.85
2017-02-21,欣旺达,1300207,11.36,11.63,11.32,11.58,0.21,1.85,"155,649","17,921",2.73,1.24
2017-02-20,欣旺达,1300207,11.27,11.45,11.25,11.37,0.13,1.16,"122,017","13,830",1.78,0.97
2017-02-17,欣旺达,1300207,11.48,11.49,11.22,11.24,-0.24,-2.09,"171,053","19,345",2.35,1.36
2017-02-16,欣旺达,1300207,11.63,11.68,11.38,11.48,-0.10,-0.86,"152,552","17,534",2.59,1.21
2017-02-15,欣旺达,1300207,11.57,11.91,11.51,11.58,0.05,0.43,"237,944","27,926",3.47,1.89
2017-02-14,欣旺达,1300207,11.45,11.75,11.36,11.53,0.12,1.05,"175,519","20,279",3.42,1.39
2017-02-13,欣旺达,1300207,11.39,11.48,11.19,11.41,-0.07,-0.61,"183,229","20,775",2.53,1.45
2017-02-10,欣旺达,1300207,11.72,11.73,11.45,11.48,-0.22,-1.88,"132,708","15,318",2.39,1.05
2017-02-09,欣旺达,1300207,11.62,11.82,11.59,11.70,-0.01,-0.09,"142,701","16,686",1.96,1.13
2017-02-08,欣旺达,1300207,11.45,12.12,11.22,11.71,0.29,2.54,"275,266","32,022",7.88,2.18
2017-02-07,欣旺达,1300207,11.44,11.55,11.30,11.42,0.04,0.35,"165,528","18,906",2.20,1.31
2017-02-06,欣旺达,1300207,11.14,11.46,11.10,11.38,0.20,1.79,"180,047","20,417",3.22,1.43
2017-02-03,欣旺达,1300207,11.01,11.23,10.95,11.18,0.22,2.01,"139,521","15,529",2.55,1.11
2017-01-26,欣旺达,1300207,11.01,11.07,10.85,10.96,-0.06,-0.54,"164,549","18,016",2.00,1.31
2017-01-25,欣旺达,1300207,10.93,11.02,10.84,11.02,0.10,0.92,"100,615","11,013",1.65,0.80
2017-01-24,欣旺达,1300207,11.09,11.13,10.91,10.92,-0.18,-1.62,"127,670","14,032",1.98,1.01
2017-01-23,欣旺达,1300207,11.17,11.20,10.96,11.10,-0.04,-0.36,"228,219","25,176",2.15,1.81
2017-01-20,欣旺达,1300207,11.05,11.39,11.00,11.14,0.15,1.36,"219,038","24,554",3.55,1.74
2017-01-19,欣旺达,1300207,11.38,11.38,10.83,10.99,-0.43,-3.77,"233,091","25,779",4.82,1.85
2017-01-18,欣旺达,1300207,11.93,11.93,11.38,11.42,-0.82,-6.70,"384,873","44,530",4.49,3.05
