日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-08-16,江苏华辰,0603097,28.80,30.33,28.67,29.30,0.28,0.96,"123,184","36,360",5.72,30.80
2022-08-15,江苏华辰,0603097,28.09,29.25,27.53,29.02,0.46,1.61,"92,602","26,461",6.02,23.15
2022-08-12,江苏华辰,0603097,29.76,29.95,28.06,28.56,-0.84,-2.86,"122,337","34,885",6.43,30.58
2022-08-11,江苏华辰,0603097,28.85,30.35,28.60,29.40,0.08,0.27,"150,514","44,268",5.97,37.63
2022-08-10,江苏华辰,0603097,27.00,30.38,26.38,29.32,1.70,6.16,"238,062","68,891",14.48,59.52
2022-08-09,江苏华辰,0603097,28.40,28.40,27.10,27.62,-0.79,-2.78,"124,948","34,450",4.58,31.24
2022-08-08,江苏华辰,0603097,27.81,28.41,26.88,28.41,0.31,1.10,"106,233","29,455",5.44,26.56
2022-08-05,江苏华辰,0603097,28.59,28.75,26.99,28.10,-0.57,-1.99,"166,105","46,192",6.14,41.53
2022-08-04,江苏华辰,0603097,26.01,28.67,26.01,28.67,2.61,10.02,"226,166","63,851",10.21,56.54
2022-08-03,江苏华辰,0603097,28.21,28.80,25.84,26.06,-2.63,-9.17,"137,093","37,802",10.32,34.27
2022-08-02,江苏华辰,0603097,26.96,29.48,26.40,28.69,1.18,4.29,"160,694","44,890",11.20,40.17
2022-08-01,江苏华辰,0603097,26.99,28.36,26.52,27.51,0.05,0.18,"129,548","35,818",6.70,32.39
2022-07-29,江苏华辰,0603097,25.65,28.00,25.65,27.46,1.88,7.35,"149,501","40,009",9.19,37.38
2022-07-28,江苏华辰,0603097,26.20,26.55,25.50,25.58,-0.48,-1.84,"89,656","23,334",4.03,22.41
2022-07-27,江苏华辰,0603097,25.19,26.20,24.92,26.06,0.71,2.80,"85,017","21,770",5.05,21.25
2022-07-26,江苏华辰,0603097,25.50,25.66,24.67,25.35,-0.15,-0.59,"56,389","14,198",3.88,14.10
2022-07-25,江苏华辰,0603097,26.38,26.50,25.42,25.50,-0.73,-2.78,"64,895","16,769",4.12,16.22
2022-07-22,江苏华辰,0603097,26.27,26.58,25.00,26.23,-0.72,-2.67,"96,442","25,067",5.86,24.11
2022-07-21,江苏华辰,0603097,26.54,27.10,26.02,26.95,0.78,2.98,"124,119","32,972",4.13,31.03
2022-07-20,江苏华辰,0603097,26.52,26.98,25.89,26.17,-0.44,-1.65,"122,296","32,207",4.10,30.57
2022-07-19,江苏华辰,0603097,30.84,30.84,26.61,26.61,-2.96,-10.01,"229,099","63,918",14.31,57.27
2022-07-18,江苏华辰,0603097,26.51,29.57,26.50,29.57,2.69,10.01,"161,245","46,364",11.42,40.31
2022-07-15,江苏华辰,0603097,26.00,27.89,25.96,26.88,0.91,3.50,"166,956","45,249",7.43,41.74
2022-07-14,江苏华辰,0603097,25.20,28.17,24.90,25.97,0.29,1.13,"184,232","48,502",12.73,46.06
2022-07-13,江苏华辰,0603097,24.00,25.88,23.77,25.68,1.26,5.16,"144,101","35,963",8.64,36.03
2022-07-12,江苏华辰,0603097,23.24,24.97,22.61,24.42,0.97,4.14,"115,968","27,779",10.06,28.99
2022-07-11,江苏华辰,0603097,22.81,24.05,22.81,23.45,0.30,1.30,"71,262","16,827",5.36,17.82
2022-07-08,江苏华辰,0603097,22.70,24.23,22.65,23.15,0.45,1.98,"74,093","17,394",6.96,18.52
2022-07-07,江苏华辰,0603097,22.38,22.99,22.12,22.70,0.32,1.43,"52,160","11,785",3.89,13.04
2022-07-06,江苏华辰,0603097,22.83,23.07,22.10,22.38,-0.42,-1.84,"51,398","11,556",4.25,12.85
2022-07-05,江苏华辰,0603097,23.39,23.80,22.60,22.80,-0.76,-3.23,"64,518","14,887",5.09,16.13
2022-07-04,江苏华辰,0603097,23.45,24.36,22.89,23.56,-0.14,-0.59,"72,854","17,072",6.20,18.21
