日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-01-18,泰豪科技,0600590,15.10,15.80,14.88,15.72,0.58,3.83,"61,579","9,423",6.08,1.22
2017-01-17,泰豪科技,0600590,14.75,15.20,14.62,15.14,0.41,2.78,"58,412","8,722",3.94,1.16
2017-01-16,泰豪科技,0600590,16.00,16.02,14.51,14.73,-1.39,-8.62,"81,957","12,349",9.37,1.63
2017-01-13,泰豪科技,0600590,16.04,16.35,15.88,16.12,0.03,0.19,"55,211","8,912",2.92,1.10
2017-01-12,泰豪科技,0600590,16.02,16.19,15.83,16.09,-0.01,-0.06,"54,956","8,782",2.24,1.09
2017-01-11,泰豪科技,0600590,16.46,16.57,15.90,16.10,-0.49,-2.95,"81,164","13,137",4.04,1.61
2017-01-10,泰豪科技,0600590,16.77,16.77,16.45,16.59,-0.10,-0.60,"45,082","7,463",1.92,0.90
2017-01-09,泰豪科技,0600590,16.58,16.82,16.50,16.69,0.04,0.24,"42,809","7,141",1.92,0.85
2017-01-06,泰豪科技,0600590,16.88,16.94,16.49,16.65,-0.38,-2.23,"62,884","10,488",2.64,1.25
2017-01-05,泰豪科技,0600590,16.58,17.14,16.51,17.03,0.26,1.55,"103,924","17,510",3.76,2.06
2017-01-04,泰豪科技,0600590,18.20,18.33,16.39,16.77,-1.44,-7.91,"219,160","36,949",10.65,4.35
2017-01-03,泰豪科技,0600590,18.51,18.58,18.18,18.21,-0.51,-2.72,"53,231","9,755",2.14,1.06
2017-06-30,泰豪科技,0600590,13.01,13.10,12.77,13.08,0.08,0.62,"106,725","13,764",2.54,2.04
2017-06-29,泰豪科技,0600590,12.95,13.15,12.90,13.00,0.04,0.31,"89,579","11,680",1.93,1.71
2017-06-28,泰豪科技,0600590,13.03,13.03,12.81,12.96,-0.07,-0.54,"65,164","8,406",1.69,1.24
2017-06-27,泰豪科技,0600590,12.90,13.13,12.80,13.03,0.08,0.62,"94,112","12,223",2.55,1.79
2017-06-26,泰豪科技,0600590,12.93,13.00,12.61,12.95,0.01,0.08,"148,449","19,010",3.01,2.83
2017-06-23,泰豪科技,0600590,13.56,13.68,12.71,12.94,-0.48,-3.58,"235,120","30,830",7.23,4.48
2017-06-22,泰豪科技,0600590,13.93,14.05,13.30,13.42,-0.70,-4.96,"195,267","26,974",5.31,3.72
2017-06-21,泰豪科技,0600590,13.95,14.39,13.81,14.12,-0.03,-0.21,"286,769","40,335",4.10,5.47
2017-06-20,泰豪科技,0600590,14.23,15.18,14.15,14.15,-1.57,-9.99,"315,968","44,876",6.55,6.03
2017-12-29,泰豪科技,0600590,10.62,10.71,10.52,10.70,0.15,1.42,"19,889","2,112",1.80,0.39
2017-12-28,泰豪科技,0600590,10.40,10.69,10.40,10.55,0.08,0.76,"17,196","1,814",2.77,0.34
2017-12-27,泰豪科技,0600590,10.74,10.74,10.45,10.47,-0.21,-1.97,"26,907","2,849",2.72,0.53
2017-12-26,泰豪科技,0600590,10.53,10.72,10.53,10.68,0.11,1.04,"19,975","2,127",1.80,0.39
2017-12-25,泰豪科技,0600590,10.55,10.73,10.50,10.57,0.03,0.28,"20,875","2,214",2.18,0.41
2017-12-22,泰豪科技,0600590,10.63,10.70,10.51,10.54,-0.13,-1.22,"19,857","2,106",1.78,0.38
2017-12-21,泰豪科技,0600590,10.71,10.75,10.63,10.67,-0.02,-0.19,"20,373","2,176",1.12,0.39
2017-12-20,泰豪科技,0600590,10.84,10.85,10.69,10.69,-0.09,-0.83,"13,746","1,477",1.48,0.26
2017-12-19,泰豪科技,0600590,10.66,10.88,10.66,10.78,0.05,0.47,"15,296","1,651",2.05,0.29
2017-12-18,泰豪科技,0600590,10.87,10.93,10.62,10.73,-0.20,-1.83,"24,178","2,607",2.84,0.46
2017-12-15,泰豪科技,0600590,10.90,10.94,10.82,10.93,0.03,0.28,"21,707","2,363",1.10,0.41
2017-12-14,泰豪科技,0600590,10.74,10.90,10.71,10.90,0.11,1.02,"17,759","1,915",1.76,0.34
2017-12-13,泰豪科技,0600590,10.65,10.82,10.65,10.79,0.11,1.03,"15,141","1,627",1.59,0.29
2017-12-12,泰豪科技,0600590,10.96,10.98,10.67,10.68,-0.25,-2.29,"26,971","2,913",2.84,0.51
2017-12-11,泰豪科技,0600590,11.01,11.11,10.90,10.93,0.00,0.00,"34,460","3,781",1.92,0.66
2017-12-08,泰豪科技,0600590,10.88,11.03,10.80,10.93,0.00,0.00,"22,683","2,482",2.10,0.43
2017-12-07,泰豪科技,0600590,10.60,11.10,10.60,10.93,0.24,2.25,"47,986","5,255",4.68,0.92
2017-12-06,泰豪科技,0600590,10.48,10.71,10.45,10.69,0.18,1.71,"25,473","2,685",2.47,0.49
2017-12-05,泰豪科技,0600590,10.91,10.95,10.45,10.51,-0.39,-3.58,"40,426","4,315",4.59,0.77
2017-12-04,泰豪科技,0600590,10.95,11.06,10.88,10.90,-0.10,-0.91,"21,141","2,313",1.64,0.40
2017-12-01,泰豪科技,0600590,10.96,11.04,10.90,11.00,0.06,0.55,"17,836","1,958",1.28,0.34
2017-11-30,泰豪科技,0600590,10.99,11.04,10.89,10.94,-0.05,-0.46,"19,506","2,137",1.36,0.37
2017-11-29,泰豪科技,0600590,11.01,11.09,10.88,10.99,0.02,0.18,"26,026","2,858",1.91,0.50
2017-11-28,泰豪科技,0600590,10.85,11.01,10.80,10.97,0.15,1.39,"29,756","3,254",1.94,0.57
2017-11-27,泰豪科技,0600590,10.99,10.99,10.73,10.82,-0.18,-1.64,"22,067","2,393",2.36,0.42
2017-11-24,泰豪科技,0600590,11.03,11.07,10.75,11.00,-0.04,-0.36,"59,340","6,471",2.90,1.13
2017-11-23,泰豪科技,0600590,11.46,11.51,11.03,11.04,-0.47,-4.08,"36,707","4,139",4.17,0.70
2017-11-22,泰豪科技,0600590,11.53,11.66,11.49,11.51,-0.10,-0.86,"30,380","3,513",1.46,0.58
2017-11-21,泰豪科技,0600590,11.65,11.77,11.52,11.61,-0.09,-0.77,"22,825","2,656",2.14,0.44
2017-11-20,泰豪科技,0600590,11.55,11.75,11.20,11.70,0.15,1.30,"39,953","4,559",4.76,0.76
2017-11-17,泰豪科技,0600590,12.21,12.21,11.51,11.55,-0.52,-4.31,"52,729","6,228",5.80,1.01
2017-11-16,泰豪科技,0600590,12.30,12.32,12.05,12.07,-0.19,-1.55,"27,982","3,398",2.20,0.53
2017-11-15,泰豪科技,0600590,12.06,12.30,12.02,12.26,0.12,0.99,"30,933","3,761",2.31,0.59
2017-11-14,泰豪科技,0600590,12.40,12.40,12.02,12.14,-0.18,-1.46,"48,547","5,918",3.08,0.93
2017-11-13,泰豪科技,0600590,12.50,12.65,12.28,12.32,-0.26,-2.07,"47,099","5,854",2.94,0.90
2017-11-10,泰豪科技,0600590,12.99,13.00,12.53,12.58,-0.41,-3.16,"68,830","8,731",3.62,1.31
2017-11-09,泰豪科技,0600590,13.00,13.14,12.90,12.99,-0.18,-1.37,"36,201","4,704",1.82,0.69
2017-11-08,泰豪科技,0600590,12.90,13.31,12.80,13.17,0.23,1.78,"74,568","9,748",3.94,1.42
2017-11-07,泰豪科技,0600590,12.55,12.99,12.52,12.94,0.27,2.13,"74,446","9,525",3.71,1.42
2017-11-06,泰豪科技,0600590,12.22,12.70,11.92,12.67,0.34,2.76,"81,144","10,020",6.33,1.55
2017-11-03,泰豪科技,0600590,12.22,12.55,12.05,12.33,0.13,1.07,"83,948","10,321",4.10,1.60
2017-11-02,泰豪科技,0600590,12.66,12.71,12.19,12.20,-0.51,-4.01,"69,087","8,515",4.09,1.32
2017-11-01,泰豪科技,0600590,12.87,12.88,12.58,12.71,-0.10,-0.78,"46,241","5,885",2.34,0.88
2017-10-31,泰豪科技,0600590,12.81,12.93,12.69,12.81,-0.07,-0.54,"37,588","4,816",1.86,0.72
2017-10-30,泰豪科技,0600590,13.35,13.44,12.61,12.88,-0.51,-3.81,"57,360","7,400",6.20,1.09
2017-10-27,泰豪科技,0600590,13.35,13.52,13.25,13.39,-0.05,-0.37,"29,408","3,934",2.01,0.56
2017-10-26,泰豪科技,0600590,13.40,13.56,13.34,13.44,0.03,0.22,"26,399","3,557",1.64,0.50
2017-10-25,泰豪科技,0600590,13.39,13.43,13.32,13.41,-0.04,-0.30,"20,974","2,806",0.82,0.40
2017-10-24,泰豪科技,0600590,13.40,13.49,13.25,13.45,-0.01,-0.07,"31,522","4,200",1.78,0.60
2017-10-23,泰豪科技,0600590,13.26,13.50,13.20,13.46,0.14,1.05,"27,588","3,670",2.25,0.53
2017-10-20,泰豪科技,0600590,13.16,13.43,13.16,13.32,0.03,0.23,"29,435","3,921",2.03,0.56
2017-10-19,泰豪科技,0600590,13.21,13.68,13.17,13.29,0.05,0.38,"63,274","8,428",3.85,1.21
2017-10-18,泰豪科技,0600590,13.62,13.67,13.21,13.24,-0.31,-2.29,"49,806","6,669",3.39,0.95
2017-10-17,泰豪科技,0600590,13.70,13.74,13.52,13.55,-0.21,-1.53,"35,452","4,822",1.60,0.68
2017-10-16,泰豪科技,0600590,14.12,14.12,13.56,13.76,-0.35,-2.48,"67,873","9,373",3.97,1.29
2017-10-13,泰豪科技,0600590,14.07,14.13,13.96,14.11,0.04,0.28,"29,158","4,095",1.21,0.56
2017-10-12,泰豪科技,0600590,14.08,14.28,13.98,14.07,-0.10,-0.71,"55,952","7,888",2.12,1.07
2017-10-11,泰豪科技,0600590,14.46,14.47,14.14,14.17,-0.31,-2.14,"55,232","7,892",2.28,1.05
2017-10-10,泰豪科技,0600590,14.28,14.50,14.18,14.48,0.10,0.70,"77,536","11,113",2.23,1.48
2017-10-09,泰豪科技,0600590,14.39,14.50,14.04,14.38,0.17,1.20,"94,334","13,449",3.24,1.80
2017-09-29,泰豪科技,0600590,14.14,14.26,13.96,14.21,0.13,0.92,"81,153","11,466",2.13,1.55
2017-09-28,泰豪科技,0600590,13.94,14.27,13.94,14.08,0.05,0.36,"80,755","11,376",2.35,1.54
2017-09-27,泰豪科技,0600590,13.68,14.15,13.62,14.03,0.39,2.86,"115,520","16,124",3.89,2.20
2017-09-26,泰豪科技,0600590,13.60,13.68,13.35,13.64,-0.01,-0.07,"57,166","7,727",2.42,1.09
2017-09-25,泰豪科技,0600590,13.75,13.79,13.56,13.65,-0.12,-0.87,"44,571","6,086",1.67,0.85
2017-09-22,泰豪科技,0600590,13.55,13.88,13.55,13.77,0.22,1.62,"72,589","9,955",2.44,1.38
2017-09-21,泰豪科技,0600590,13.72,13.80,13.51,13.55,-0.24,-1.74,"68,697","9,352",2.10,1.31
2017-09-20,泰豪科技,0600590,13.98,13.98,13.55,13.79,-0.12,-0.86,"120,937","16,573",3.09,2.31
2017-09-19,泰豪科技,0600590,14.24,14.26,13.90,13.91,-0.33,-2.32,"84,486","11,864",2.53,1.61
2017-09-18,泰豪科技,0600590,14.10,14.34,14.03,14.24,0.07,0.49,"101,259","14,378",2.19,1.93
2017-09-15,泰豪科技,0600590,13.71,14.44,13.71,14.17,0.39,2.83,"176,741","24,885",5.30,3.37
2017-09-14,泰豪科技,0600590,13.85,14.00,13.68,13.78,-0.12,-0.86,"57,385","7,932",2.30,1.09
