日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,洛凯股份,0603829,18.83,19.06,18.02,18.08,-1.04,-5.44,"67,089","12,408",5.44,16.77
2017-12-28,洛凯股份,0603829,18.02,19.46,18.02,19.12,0.67,3.63,"115,214","21,819",7.80,28.80
2017-12-27,洛凯股份,0603829,18.47,18.97,18.26,18.45,-0.27,-1.44,"113,288","21,023",3.79,28.32
2017-12-26,洛凯股份,0603829,16.89,18.72,16.81,18.72,1.70,9.99,"126,413","23,141",11.22,31.60
2017-12-25,洛凯股份,0603829,16.42,17.08,16.15,17.02,0.39,2.35,"38,572","6,419",5.59,9.64
2017-12-22,洛凯股份,0603829,16.42,16.84,16.28,16.63,0.21,1.28,"23,773","3,954",3.41,5.94
2017-12-21,洛凯股份,0603829,16.56,16.67,16.01,16.42,-0.16,-0.97,"27,198","4,455",3.98,6.80
2017-12-20,洛凯股份,0603829,17.13,17.14,16.45,16.58,-0.58,-3.38,"30,096","5,034",4.02,7.52
2017-12-19,洛凯股份,0603829,16.63,17.38,16.63,17.16,0.43,2.57,"45,281","7,738",4.48,11.32
2017-12-18,洛凯股份,0603829,16.55,16.88,16.22,16.73,0.27,1.64,"31,538","5,235",4.01,7.88
2017-12-15,洛凯股份,0603829,16.50,16.76,16.26,16.46,-0.21,-1.26,"24,583","4,055",3.00,6.15
2017-12-14,洛凯股份,0603829,16.21,16.80,16.02,16.67,0.39,2.40,"32,276","5,296",4.79,8.07
2017-12-13,洛凯股份,0603829,15.98,16.30,15.98,16.28,0.28,1.75,"21,641","3,501",2.00,5.41
2017-12-12,洛凯股份,0603829,16.68,16.84,15.95,16.00,-0.87,-5.16,"30,580","4,984",5.28,7.65
2017-12-11,洛凯股份,0603829,16.64,16.98,16.60,16.87,0.04,0.24,"27,315","4,586",2.26,6.83
2017-12-08,洛凯股份,0603829,16.19,17.17,16.13,16.83,0.54,3.31,"41,728","6,985",6.38,10.43
2017-12-07,洛凯股份,0603829,16.45,16.60,16.06,16.29,-0.17,-1.03,"30,830","5,027",3.28,7.71
2017-12-06,洛凯股份,0603829,15.98,16.48,15.92,16.46,0.43,2.68,"32,861","5,333",3.49,8.22
2017-12-05,洛凯股份,0603829,16.66,17.17,15.67,16.03,-0.86,-5.09,"45,073","7,349",8.88,11.27
2017-12-04,洛凯股份,0603829,18.10,18.18,16.89,16.89,-1.88,-10.02,"58,584","10,181",6.87,14.65
2017-12-01,洛凯股份,0603829,18.60,19.06,18.35,18.77,0.03,0.16,"51,917","9,768",3.79,12.98
2017-11-30,洛凯股份,0603829,18.28,18.78,18.16,18.74,0.18,0.97,"54,941","10,169",3.34,13.74
2017-11-29,洛凯股份,0603829,19.19,19.25,17.90,18.56,-0.17,-0.91,"77,075","14,278",7.21,19.27
2017-11-28,洛凯股份,0603829,17.09,18.73,17.01,18.73,1.70,9.98,"48,236","8,818",10.10,12.06
2017-11-27,洛凯股份,0603829,17.02,17.40,16.80,17.03,0.13,0.77,"31,511","5,386",3.55,7.88
2017-11-24,洛凯股份,0603829,17.23,17.67,16.81,16.90,-0.58,-3.32,"36,581","6,340",4.92,9.15
2017-11-23,洛凯股份,0603829,18.10,18.39,17.33,17.48,-0.98,-5.31,"42,368","7,629",5.74,10.59
2017-11-22,洛凯股份,0603829,18.83,19.14,18.20,18.46,-0.57,-3.00,"39,709","7,431",4.94,9.93
2017-11-21,洛凯股份,0603829,18.88,19.29,17.91,19.03,-0.05,-0.26,"58,159","10,860",7.23,14.54
2017-11-20,洛凯股份,0603829,19.30,19.58,17.68,19.08,-0.54,-2.75,"45,875","8,605",9.68,11.47
2017-11-17,洛凯股份,0603829,21.52,21.75,19.62,19.62,-2.18,-10.00,"65,893","13,352",9.77,16.47
2017-11-16,洛凯股份,0603829,22.59,22.97,21.78,21.80,-1.18,-5.13,"60,846","13,574",5.18,15.21
2017-11-15,洛凯股份,0603829,22.00,23.00,21.81,22.98,0.71,3.19,"78,351","17,599",5.34,19.59
2017-11-14,洛凯股份,0603829,23.22,23.72,22.11,22.27,-1.20,-5.11,"92,698","21,195",6.86,23.17
2017-11-13,洛凯股份,0603829,24.23,24.30,23.40,23.47,-0.59,-2.45,"86,092","20,395",3.74,21.52
2017-11-10,洛凯股份,0603829,23.34,24.54,23.21,24.06,0.33,1.39,"119,998","28,744",5.60,30.00
2017-11-09,洛凯股份,0603829,23.92,23.94,23.11,23.73,-0.77,-3.14,"133,771","31,464",3.39,33.44
2017-11-08,洛凯股份,0603829,23.42,24.98,23.35,24.50,1.18,5.06,"184,303","44,913",6.99,46.08
2017-11-07,洛凯股份,0603829,23.22,23.50,22.53,23.32,-0.16,-0.68,"115,633","26,674",4.13,28.91
2017-11-06,洛凯股份,0603829,23.90,24.40,23.25,23.48,0.07,0.30,"114,069","26,980",4.91,28.52
2017-11-03,洛凯股份,0603829,24.70,25.10,23.25,23.41,-1.76,-6.99,"140,275","33,761",7.35,35.07
2017-11-02,洛凯股份,0603829,26.31,26.50,24.41,25.17,-1.95,-7.19,"212,671","54,089",7.71,53.17
2017-11-01,洛凯股份,0603829,29.01,29.73,26.90,27.12,0.09,0.33,"290,392","82,546",10.47,72.60
2017-10-31,洛凯股份,0603829,23.50,27.03,23.06,27.03,2.46,10.01,"133,684","34,235",16.16,33.42
2017-10-30,洛凯股份,0603829,24.57,24.57,23.50,24.57,2.23,9.98,"114,703","28,007",4.79,28.68
2017-10-27,洛凯股份,0603829,22.34,22.34,22.34,22.34,2.03,10.00,"2,280",509,0.00,0.57
2017-10-26,洛凯股份,0603829,20.31,20.31,20.31,20.31,1.85,10.02,"1,094",222,0.00,0.27
2017-10-25,洛凯股份,0603829,18.46,18.46,18.46,18.46,1.68,10.01,992,183,0.00,0.25
2017-10-24,洛凯股份,0603829,16.78,16.78,16.78,16.78,1.53,10.03,670,112,0.00,0.17
2017-10-23,洛凯股份,0603829,15.25,15.25,15.25,15.25,1.39,10.03,228,35,0.00,0.06
2017-10-20,洛凯股份,0603829,13.86,13.86,13.86,13.86,1.26,10.00,35,5,0.00,0.01
2017-10-19,洛凯股份,0603829,12.60,12.60,12.60,12.60,1.15,10.04,49,6,0.00,0.01
2017-10-18,洛凯股份,0603829,11.45,11.45,11.45,11.45,1.04,9.99,53,6,0.00,0.01
2017-10-17,洛凯股份,0603829,10.41,10.41,10.41,10.41,3.18,43.98,169,18,0.00,0.04
2018-06-29,洛凯股份,0603829,15.00,15.58,14.80,15.35,0.24,1.59,"74,586","11,404",5.16,18.65
2018-06-28,洛凯股份,0603829,14.86,15.16,14.50,15.11,0.31,2.09,"46,666","6,961",4.46,11.67
2018-06-27,洛凯股份,0603829,14.69,15.00,14.40,14.80,0.07,0.48,"32,378","4,776",4.07,8.09
2018-06-26,洛凯股份,0603829,14.01,14.87,13.84,14.73,0.17,1.17,"36,858","5,369",7.07,9.21
2018-06-25,洛凯股份,0603829,14.70,15.08,14.31,14.56,0.03,0.21,"39,863","5,842",5.30,9.97
2018-06-22,洛凯股份,0603829,14.10,14.66,13.51,14.53,0.34,2.40,"45,561","6,476",8.10,11.39
2018-06-21,洛凯股份,0603829,15.64,15.70,14.13,14.19,-1.44,-9.21,"88,712","13,303",10.04,22.18
2018-06-20,洛凯股份,0603829,14.65,15.88,14.61,15.63,0.95,6.47,"86,683","13,315",8.65,21.67
2018-06-19,洛凯股份,0603829,15.06,15.25,14.28,14.68,-0.94,-6.02,"66,159","9,735",6.21,16.54
2018-06-15,洛凯股份,0603829,15.62,16.32,15.62,15.62,-1.74,-10.02,"125,296","19,904",4.03,31.32
2018-06-14,洛凯股份,0603829,17.36,17.36,17.36,17.36,-1.93,-10.01,"16,415","2,850",0.00,4.10
