日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,海信家电,1000921,13.65,14.28,13.61,14.21,0.56,4.10,"158,350","22,060",4.91,1.75
2017-03-30,海信家电,1000921,13.75,14.09,13.50,13.65,-0.21,-1.52,"137,008","18,868",4.26,1.52
2017-03-29,海信家电,1000921,13.97,14.02,13.33,13.86,-0.01,-0.07,"141,207","19,333",4.97,1.56
2017-03-28,海信家电,1000921,14.23,14.38,13.73,13.87,-0.46,-3.21,"164,003","22,904",4.54,1.82
2017-03-27,海信家电,1000921,14.24,14.66,14.05,14.33,0.03,0.21,"118,638","17,092",4.27,1.31
2017-03-24,海信家电,1000921,14.05,14.73,14.05,14.30,0.10,0.70,"200,107","28,783",4.79,2.22
2017-03-23,海信家电,1000921,14.33,14.50,13.82,14.20,-0.16,-1.11,"137,859","19,498",4.74,1.53
2017-03-22,海信家电,1000921,14.48,14.64,14.11,14.36,-0.29,-1.98,"177,201","25,340",3.62,1.96
2017-03-21,海信家电,1000921,13.95,14.68,13.83,14.65,0.73,5.24,"235,049","33,540",6.11,2.60
2017-03-20,海信家电,1000921,14.19,14.43,13.65,13.92,-0.37,-2.59,"224,506","31,201",5.46,2.49
2017-03-17,海信家电,1000921,14.48,14.55,14.16,14.29,-0.27,-1.85,"182,938","26,140",2.68,2.03
2017-03-16,海信家电,1000921,14.63,14.72,14.33,14.56,-0.11,-0.75,"239,651","34,706",2.66,2.66
2017-03-15,海信家电,1000921,13.51,14.88,13.51,14.67,1.14,8.43,"277,526","39,880",10.13,3.08
2017-03-14,海信家电,1000921,13.92,13.94,13.44,13.53,-0.29,-2.10,"137,348","18,719",3.62,1.52
2017-03-13,海信家电,1000921,13.60,14.44,13.52,13.82,0.17,1.25,"217,967","30,569",6.74,2.42
2017-03-10,海信家电,1000921,12.99,13.88,12.91,13.65,0.64,4.92,"175,668","23,683",7.46,1.95
2017-03-09,海信家电,1000921,12.88,13.12,12.63,13.01,0.12,0.93,"106,330","13,765",3.80,1.18
2017-03-08,海信家电,1000921,12.97,13.23,12.71,12.89,-0.15,-1.15,"102,802","13,264",3.99,1.14
2017-03-07,海信家电,1000921,12.95,13.05,12.78,13.04,0.04,0.31,"96,842","12,476",2.08,1.07
2017-03-06,海信家电,1000921,12.29,13.26,12.29,13.00,0.69,5.61,"155,225","20,005",7.88,1.72
2017-03-03,海信家电,1000921,12.05,12.37,11.96,12.31,0.14,1.15,"71,357","8,712",3.37,0.79
2017-03-02,海信家电,1000921,12.13,12.36,12.13,12.17,-0.01,-0.08,"107,318","13,148",1.89,1.19
2017-03-01,海信家电,1000921,11.95,12.30,11.83,12.18,0.23,1.92,"143,405","17,369",3.93,1.59
2017-02-28,海信家电,1000921,11.83,12.09,11.78,11.95,0.12,1.01,"164,799","19,660",2.62,1.83
2017-02-27,海信家电,1000921,12.07,12.12,11.72,11.83,-0.24,-1.99,"117,136","13,958",3.31,1.30
2017-02-24,海信家电,1000921,12.32,12.45,11.95,12.07,-0.28,-2.27,"131,867","16,002",4.05,1.46
