日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,科大智能,1300222,22.26,23.08,22.00,22.69,0.24,1.07,"175,372","39,713",4.81,3.57
2017-06-29,科大智能,1300222,21.67,23.70,21.41,22.45,0.90,4.18,"231,598","52,304",10.63,4.71
2017-06-28,科大智能,1300222,21.34,21.77,21.03,21.55,0.15,0.70,"110,982","23,799",3.46,2.26
2017-06-27,科大智能,1300222,21.65,21.75,21.23,21.40,-0.24,-1.11,"79,292","16,987",2.40,1.61
2017-06-26,科大智能,1300222,20.93,21.80,20.86,21.64,0.66,3.15,"132,404","28,420",4.48,2.69
2017-06-23,科大智能,1300222,20.59,21.02,20.09,20.98,0.19,0.91,"109,643","22,537",4.47,2.23
2017-06-22,科大智能,1300222,20.63,21.93,20.50,20.79,0.15,0.73,"177,561","37,792",6.93,3.61
2017-06-21,科大智能,1300222,20.86,20.94,20.46,20.64,-0.04,-0.19,"74,389","15,361",2.32,1.51
2017-06-20,科大智能,1300222,20.45,20.81,20.22,20.68,0.34,1.67,"107,857","22,231",2.90,2.19
2017-06-19,科大智能,1300222,20.21,20.48,20.05,20.34,0.17,0.84,"71,028","14,410",2.13,1.45
2017-06-16,科大智能,1300222,20.47,20.47,20.01,20.17,-0.32,-1.56,"83,669","16,890",2.25,1.70
2017-06-15,科大智能,1300222,19.75,20.87,19.67,20.49,0.70,3.54,"126,367","25,872",6.06,3.05
2017-06-14,科大智能,1300222,19.62,20.11,19.62,19.79,0.19,0.97,"64,131","12,763",2.50,1.55
2017-06-13,科大智能,1300222,19.16,19.80,19.10,19.60,0.49,2.56,"55,851","10,962",3.66,1.35
2017-06-12,科大智能,1300222,19.67,19.92,19.09,19.11,-0.97,-4.83,"60,086","11,725",4.13,1.45
2017-06-09,科大智能,1300222,20.13,20.30,19.85,20.08,-0.13,-0.64,"52,350","10,480",2.23,1.27
2017-06-08,科大智能,1300222,20.02,20.57,20.02,20.21,0.03,0.15,"86,404","17,522",2.73,2.09
2017-06-07,科大智能,1300222,19.43,20.42,19.41,20.18,0.78,4.02,"115,593","23,119",5.21,2.79
2017-06-06,科大智能,1300222,18.99,19.47,18.93,19.40,0.13,0.67,"48,807","9,398",2.80,1.18
2017-06-05,科大智能,1300222,19.05,19.48,19.00,19.27,0.03,0.16,"59,775","11,536",2.49,1.47
2017-06-02,科大智能,1300222,19.00,19.54,18.42,19.24,0.13,0.68,"74,254","14,157",5.86,1.82
2017-06-01,科大智能,1300222,19.80,19.80,18.80,19.11,-1.00,-4.97,"139,933","26,801",4.97,3.44
2017-05-31,科大智能,1300222,20.84,20.90,19.98,20.11,-0.34,-1.66,"96,848","19,856",4.50,2.38
2017-05-26,科大智能,1300222,21.17,21.29,20.42,20.45,-0.72,-3.40,"115,229","23,950",4.11,2.83
2017-05-25,科大智能,1300222,21.34,21.54,20.56,21.17,-0.15,-0.70,"118,857","25,063",4.60,2.92
2017-05-24,科大智能,1300222,21.25,21.80,20.21,21.32,-0.80,-3.62,"159,183","33,600",7.19,3.91
2017-05-23,科大智能,1300222,24.40,24.40,22.12,22.12,-2.46,-10.01,"194,164","44,375",9.28,4.77
2017-05-22,科大智能,1300222,24.50,24.93,24.20,24.58,0.01,0.04,"117,960","28,993",2.97,2.90
2017-05-19,科大智能,1300222,25.08,25.27,24.05,24.57,-0.62,-2.46,"155,653","38,279",4.84,3.82
2017-05-18,科大智能,1300222,24.83,25.95,24.79,25.19,0.17,0.68,"191,310","48,603",4.64,4.70
