日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,英搏尔,1300681,53.58,54.00,52.01,53.04,-0.96,-1.78,"7,930","4,181",3.69,4.20
2017-12-28,英搏尔,1300681,54.20,55.43,53.85,54.00,-0.30,-0.55,"10,610","5,792",2.91,5.61
2017-12-27,英搏尔,1300681,51.94,55.08,51.76,54.30,2.14,4.10,"13,368","7,163",6.37,7.07
2017-12-26,英搏尔,1300681,50.40,52.80,50.26,52.16,1.01,1.97,"8,930","4,616",4.97,4.72
2017-12-25,英搏尔,1300681,54.20,54.23,49.67,51.15,-3.65,-6.66,"22,713","11,521",8.32,12.02
2017-12-22,英搏尔,1300681,55.08,56.24,54.72,54.80,-0.33,-0.60,"5,256","2,916",2.76,2.78
2017-12-21,英搏尔,1300681,54.09,55.97,54.03,55.13,0.46,0.84,"7,454","4,114",3.55,3.94
2017-12-20,英搏尔,1300681,55.27,56.98,54.50,54.67,0.29,0.53,"11,702","6,541",4.56,6.19
2017-12-19,英搏尔,1300681,54.15,54.68,53.89,54.38,0.18,0.33,"5,510","2,991",1.46,2.92
2017-12-18,英搏尔,1300681,53.50,54.78,53.40,54.20,-0.48,-0.88,"7,757","4,196",2.52,4.10
2017-12-15,英搏尔,1300681,53.51,54.76,52.50,54.68,0.98,1.83,"11,861","6,385",4.21,6.28
2017-12-14,英搏尔,1300681,53.48,54.19,52.84,53.70,0.01,0.02,"5,979","3,196",2.51,3.16
2017-12-13,英搏尔,1300681,52.79,53.87,52.21,53.69,0.69,1.30,"6,924","3,692",3.13,3.66
2017-12-12,英搏尔,1300681,53.72,54.60,52.69,53.00,-0.40,-0.75,"10,219","5,466",3.58,5.41
2017-12-11,英搏尔,1300681,53.00,54.60,52.35,53.40,0.44,0.83,"10,284","5,517",4.25,5.44
2017-12-08,英搏尔,1300681,50.80,53.52,50.45,52.96,1.99,3.90,"9,579","5,033",6.02,5.07
2017-12-07,英搏尔,1300681,50.87,51.73,50.50,50.97,-0.33,-0.64,"7,011","3,583",2.40,3.71
2017-12-06,英搏尔,1300681,50.00,51.48,48.68,51.30,1.79,3.62,"12,182","6,119",5.66,6.45
2017-12-05,英搏尔,1300681,53.78,54.22,49.20,49.51,-4.71,-8.69,"13,995","7,255",9.26,7.40
2017-12-04,英搏尔,1300681,57.31,58.39,53.51,54.22,-3.78,-6.52,"16,987","9,373",8.41,8.99
2017-12-01,英搏尔,1300681,55.98,58.19,55.88,58.00,1.80,3.20,"10,039","5,736",4.11,5.31
2017-11-30,英搏尔,1300681,55.78,57.32,55.50,56.20,-0.21,-0.37,"8,483","4,783",3.23,4.49
2017-11-29,英搏尔,1300681,56.76,56.80,54.18,56.41,0.25,0.45,"12,812","7,122",4.67,6.78
2017-11-28,英搏尔,1300681,53.80,56.88,53.01,56.16,3.29,6.22,"13,908","7,672",7.32,7.36
