日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,莱克电气,0603355,52.52,55.80,52.52,54.11,1.79,3.42,"20,128","10,976",6.27,3.02
2017-03-30,莱克电气,0603355,52.65,53.72,52.30,52.32,-0.44,-0.83,"13,281","7,058",2.69,1.99
2017-03-29,莱克电气,0603355,53.02,53.62,51.80,52.76,-0.24,-0.45,"12,790","6,748",3.43,1.92
2017-03-28,莱克电气,0603355,53.13,56.00,52.96,53.00,-0.51,-0.95,"16,768","9,015",5.68,2.51
2017-03-27,莱克电气,0603355,53.80,54.31,52.88,53.51,-0.29,-0.54,"15,021","8,053",2.66,2.25
2017-03-24,莱克电气,0603355,54.83,55.60,53.71,53.80,-1.81,-3.25,"19,555","10,669",3.40,2.93
2017-03-23,莱克电气,0603355,55.49,56.85,54.41,55.61,0.09,0.16,"16,992","9,454",4.39,2.55
2017-03-22,莱克电气,0603355,55.80,56.25,55.00,55.52,-0.65,-1.16,"18,064","10,023",2.23,2.71
2017-03-21,莱克电气,0603355,52.90,57.28,52.13,56.17,3.69,7.03,"34,967","19,261",9.81,5.24
2017-03-20,莱克电气,0603355,52.64,53.50,51.37,52.48,-0.38,-0.72,"17,033","8,909",4.03,2.55
2017-03-17,莱克电气,0603355,53.47,54.44,52.62,52.86,-1.10,-2.04,"24,804","13,208",3.37,3.72
2017-03-16,莱克电气,0603355,52.81,54.25,52.39,53.96,0.98,1.85,"28,615","15,300",3.51,4.29
2017-03-15,莱克电气,0603355,50.15,53.55,49.92,52.98,2.56,5.08,"44,217","23,138",7.20,6.63
2017-03-14,莱克电气,0603355,49.00,50.77,48.91,50.42,1.31,2.67,"25,406","12,734",3.79,3.81
2017-03-13,莱克电气,0603355,48.89,49.96,48.08,49.11,0.43,0.88,"17,348","8,552",3.86,2.60
2017-03-10,莱克电气,0603355,47.66,48.86,47.65,48.68,0.70,1.46,"10,986","5,333",2.52,1.65
2017-03-09,莱克电气,0603355,48.59,48.59,47.80,47.98,-0.58,-1.19,"7,323","3,516",1.63,1.10
2017-03-08,莱克电气,0603355,47.80,48.82,47.61,48.56,0.63,1.31,"12,780","6,183",2.52,1.92
2017-03-07,莱克电气,0603355,47.98,48.00,47.26,47.93,-0.06,-0.13,"11,142","5,304",1.54,1.67
2017-03-06,莱克电气,0603355,46.53,49.74,46.45,47.99,1.47,3.16,"21,849","10,511",7.07,3.28
2017-03-03,莱克电气,0603355,46.85,47.18,46.41,46.52,-0.52,-1.11,"7,829","3,654",1.64,1.17
2017-03-02,莱克电气,0603355,47.62,47.84,46.80,47.04,-0.58,-1.22,"7,882","3,721",2.18,1.18
2017-03-01,莱克电气,0603355,47.18,48.48,47.00,47.62,0.44,0.93,"18,865","9,023",3.14,2.83
2017-02-28,莱克电气,0603355,46.33,47.48,46.33,47.18,0.82,1.77,"11,956","5,618",2.48,1.79
2017-02-27,莱克电气,0603355,46.58,46.79,45.80,46.36,-0.21,-0.45,"11,075","5,131",2.13,1.66
2017-02-24,莱克电气,0603355,46.71,47.70,46.53,46.57,-0.38,-0.81,"16,760","7,908",2.49,2.51
2017-02-23,莱克电气,0603355,46.45,47.00,46.04,46.95,0.56,1.21,"8,616","4,011",2.07,1.29
2017-02-22,莱克电气,0603355,46.80,46.98,46.32,46.39,-0.51,-1.09,"7,464","3,476",1.41,1.12
2017-02-21,莱克电气,0603355,46.91,47.00,46.51,46.90,0.03,0.06,"10,293","4,817",1.05,1.54
2017-02-20,莱克电气,0603355,46.45,47.00,46.08,46.87,0.40,0.86,"13,716","6,391",1.98,2.06
2017-02-17,莱克电气,0603355,46.20,46.50,45.56,46.47,0.42,0.91,"11,526","5,300",2.04,1.73
2017-02-16,莱克电气,0603355,45.80,46.40,45.75,46.05,1.25,2.79,"18,417","8,480",1.45,2.76
2017-02-15,莱克电气,0603355,45.96,45.96,44.59,44.80,-0.79,-1.73,"8,598","3,875",3.01,1.29
2017-02-14,莱克电气,0603355,45.18,45.88,44.64,45.59,0.57,1.27,"15,110","6,879",2.75,2.27
2017-02-13,莱克电气,0603355,44.17,45.09,44.10,45.02,0.64,1.44,"10,647","4,756",2.23,1.60
2017-02-10,莱克电气,0603355,44.77,44.87,44.05,44.38,-0.31,-0.69,"6,910","3,069",1.83,1.04
2017-02-09,莱克电气,0603355,43.74,44.90,43.51,44.69,0.97,2.22,"9,951","4,412",3.18,1.49
2017-02-08,莱克电气,0603355,43.99,44.00,42.90,43.72,-0.29,-0.66,"8,390","3,639",2.50,1.26
2017-02-07,莱克电气,0603355,44.62,44.75,43.90,44.01,-0.97,-2.16,"8,102","3,583",1.89,1.21
2017-02-06,莱克电气,0603355,44.51,44.99,44.31,44.98,0.47,1.06,"4,111","1,839",1.53,0.62
2017-02-03,莱克电气,0603355,45.15,45.21,44.31,44.51,-0.58,-1.29,"3,913","1,745",2.00,0.59
2017-01-26,莱克电气,0603355,45.00,45.30,44.84,45.09,0.14,0.31,"4,108","1,850",1.02,0.62
2017-01-25,莱克电气,0603355,44.10,45.05,44.10,44.95,0.84,1.90,"7,529","3,376",2.15,1.13
2017-01-24,莱克电气,0603355,43.92,44.25,43.71,44.11,0.19,0.43,"4,990","2,200",1.23,0.75
2017-01-23,莱克电气,0603355,43.78,44.57,43.76,43.92,-0.07,-0.16,"7,286","3,213",1.84,1.09
2017-01-20,莱克电气,0603355,44.32,44.90,43.88,43.99,-0.31,-0.70,"9,882","4,381",2.30,1.48
2017-01-19,莱克电气,0603355,44.21,44.86,44.11,44.30,-0.26,-0.58,"4,615","2,050",1.68,0.69
2017-01-18,莱克电气,0603355,45.05,45.50,44.54,44.56,-0.62,-1.37,"5,513","2,479",2.12,0.83
2017-01-17,莱克电气,0603355,45.50,45.50,44.55,45.18,-0.25,-0.55,"9,738","4,388",2.09,1.46
2017-01-16,莱克电气,0603355,44.50,45.48,43.48,45.43,0.88,1.98,"31,226","13,962",4.49,4.68
2017-01-13,莱克电气,0603355,43.31,44.80,43.10,44.55,1.23,2.84,"13,570","5,959",3.92,2.03
2017-01-12,莱克电气,0603355,43.50,43.84,43.01,43.32,0.10,0.23,"6,795","2,952",1.92,1.02
2017-01-11,莱克电气,0603355,43.98,44.19,42.86,43.22,-0.66,-1.50,"11,526","5,009",3.03,1.73
2017-01-10,莱克电气,0603355,45.52,45.53,43.86,43.88,-1.64,-3.60,"18,481","8,255",3.67,2.77
2017-01-09,莱克电气,0603355,45.25,45.65,45.20,45.52,0.26,0.57,"6,399","2,907",0.99,0.96
2017-01-06,莱克电气,0603355,46.24,46.43,45.10,45.26,-0.99,-2.14,"16,709","7,613",2.88,2.51
2017-01-05,莱克电气,0603355,46.78,46.88,46.20,46.25,-0.63,-1.34,"10,044","4,663",1.45,1.51
2017-01-04,莱克电气,0603355,46.56,47.12,46.56,46.88,0.22,0.47,"10,838","5,080",1.20,1.63
2017-01-03,莱克电气,0603355,46.16,46.90,46.07,46.66,0.49,1.06,"8,296","3,856",1.80,1.24
2017-06-30,莱克电气,0603355,57.74,59.40,57.22,58.77,0.78,1.35,"9,029","5,295",3.76,1.35
2017-06-29,莱克电气,0603355,57.67,58.65,57.67,57.99,0.13,0.22,"6,141","3,583",1.69,0.92
2017-06-28,莱克电气,0603355,58.96,58.96,57.55,57.86,-1.11,-1.88,"9,399","5,456",2.39,1.41
2017-06-27,莱克电气,0603355,58.05,59.30,57.58,58.97,0.90,1.55,"12,165","7,152",2.96,1.82
2017-06-26,莱克电气,0603355,57.25,58.80,57.20,58.07,0.88,1.54,"10,354","6,025",2.80,1.55
2017-06-23,莱克电气,0603355,56.51,57.37,56.05,57.19,0.40,0.70,"9,797","5,540",2.32,1.47
2017-06-22,莱克电气,0603355,58.93,58.94,56.73,56.79,-2.15,-3.65,"10,699","6,181",3.75,1.60
2017-06-21,莱克电气,0603355,58.83,59.00,57.71,58.94,0.36,0.61,"9,280","5,406",2.20,1.39
2017-06-20,莱克电气,0603355,57.60,58.98,57.60,58.58,0.67,1.16,"13,548","7,938",2.38,2.03
2017-06-19,莱克电气,0603355,56.80,58.36,56.52,57.91,0.99,1.74,"11,717","6,745",3.23,1.76
2017-06-16,莱克电气,0603355,56.90,57.24,56.05,56.92,0.19,0.33,"9,184","5,227",2.10,1.38
2017-06-15,莱克电气,0603355,54.96,57.46,54.95,56.99,1.99,3.62,"14,603","8,275",4.56,2.19
2017-06-14,莱克电气,0603355,56.58,56.64,54.68,55.00,-1.43,-2.53,"10,141","5,611",3.47,1.52
2017-06-13,莱克电气,0603355,55.95,56.80,55.81,56.43,0.06,0.11,"9,785","5,518",1.76,1.47
2017-06-12,莱克电气,0603355,58.03,58.03,56.10,56.37,-1.55,-2.68,"12,956","7,383",3.33,1.94
2017-06-09,莱克电气,0603355,56.70,58.06,55.60,57.92,1.66,2.95,"13,822","7,883",4.37,2.07
2017-06-08,莱克电气,0603355,56.62,58.69,55.96,56.26,-1.03,-1.80,"16,863","9,646",4.77,2.53
2017-06-07,莱克电气,0603355,56.89,57.72,56.50,57.29,0.41,0.72,"14,550","8,303",2.14,2.18
2017-06-06,莱克电气,0603355,53.52,57.69,53.32,56.88,3.36,6.28,"18,383","10,293",8.17,2.76
2017-06-05,莱克电气,0603355,53.66,53.99,53.11,53.52,0.03,0.06,"6,814","3,650",1.65,1.02
