日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,金冠电气,0688517,14.10,14.27,13.90,14.21,0.02,0.14,"42,586","5,992",2.61,13.75
2021-06-29,金冠电气,0688517,14.40,14.51,14.04,14.19,-0.36,-2.47,"40,065","5,706",3.23,12.94
2021-06-28,金冠电气,0688517,14.48,14.79,14.32,14.55,0.10,0.69,"46,342","6,719",3.25,14.97
2021-06-25,金冠电气,0688517,15.00,15.00,14.28,14.45,-0.70,-4.62,"68,365","9,967",4.75,22.08
2021-06-24,金冠电气,0688517,15.36,16.20,14.90,15.15,-0.30,-1.94,"84,960","13,239",8.41,27.44
2021-06-23,金冠电气,0688517,15.88,16.24,15.18,15.45,-1.19,-7.15,"104,062","16,235",6.37,33.61
2021-06-22,金冠电气,0688517,14.70,17.20,14.13,16.64,2.08,14.29,"165,214","25,887",21.09,53.36
2021-06-21,金冠电气,0688517,15.10,15.16,14.00,14.56,-0.99,-6.37,"122,612","17,812",7.46,39.60
2021-06-18,金冠电气,0688517,15.00,19.30,15.00,15.55,7.84,101.69,"203,971","32,913",55.77,65.87
2021-12-31,金冠电气,0688517,13.93,13.99,13.64,13.64,-0.02,-0.15,"14,585","2,003",2.56,4.29
2021-12-30,金冠电气,0688517,13.53,13.85,13.53,13.66,0.18,1.34,"14,150","1,938",2.37,4.16
2021-12-29,金冠电气,0688517,13.68,13.68,13.41,13.48,-0.17,-1.25,"9,750","1,323",1.98,2.87
2021-12-28,金冠电气,0688517,13.68,13.72,13.51,13.65,0.05,0.37,"10,443","1,423",1.54,3.07
2021-12-27,金冠电气,0688517,13.55,13.80,13.40,13.60,-0.24,-1.73,"18,096","2,459",2.89,5.32
2021-12-24,金冠电气,0688517,14.85,14.89,13.82,13.84,-1.01,-6.80,"29,996","4,243",7.21,8.82
2021-12-23,金冠电气,0688517,15.18,15.19,14.73,14.85,-0.25,-1.66,"20,260","3,021",3.05,5.96
2021-12-22,金冠电气,0688517,15.55,15.67,15.02,15.10,-0.38,-2.45,"28,989","4,398",4.20,8.52
2021-12-21,金冠电气,0688517,14.96,16.01,14.74,15.48,0.97,6.69,"53,647","8,287",8.75,15.77
2021-12-20,金冠电气,0688517,15.60,15.66,14.46,14.51,-0.67,-4.41,"31,705","4,716",7.91,9.32
2021-12-17,金冠电气,0688517,15.30,15.86,14.78,15.18,-0.18,-1.17,"37,914","5,783",7.03,11.61
2021-12-16,金冠电气,0688517,15.00,16.18,14.70,15.36,0.58,3.92,"46,048","7,097",10.01,14.10
2021-12-15,金冠电气,0688517,14.14,15.44,14.14,14.78,0.58,4.08,"33,144","4,900",9.15,10.15
2021-12-14,金冠电气,0688517,14.28,14.36,14.12,14.20,0.02,0.14,"8,262","1,178",1.69,2.53
2021-12-13,金冠电气,0688517,14.11,14.35,14.03,14.18,-0.04,-0.28,"8,386","1,188",2.25,2.57
2021-12-10,金冠电气,0688517,14.33,14.36,14.18,14.22,-0.18,-1.25,"8,301","1,184",1.25,2.54
2021-12-09,金冠电气,0688517,14.70,14.70,14.32,14.40,-0.03,-0.21,"8,461","1,220",2.63,2.59
2021-12-08,金冠电气,0688517,14.31,14.62,14.31,14.43,0.01,0.07,"9,072","1,317",2.15,2.78
2021-12-07,金冠电气,0688517,14.93,14.95,14.34,14.42,-0.29,-1.97,"13,655","1,986",4.15,4.18
2021-12-06,金冠电气,0688517,15.59,15.59,14.70,14.71,-0.59,-3.86,"16,214","2,425",5.82,4.97
2021-12-03,金冠电气,0688517,15.58,15.70,15.26,15.30,-0.17,-1.10,"18,662","2,883",2.84,5.71
2021-12-02,金冠电气,0688517,16.00,16.09,15.39,15.47,-0.73,-4.51,"24,169","3,776",4.32,7.40
2021-12-01,金冠电气,0688517,16.11,16.32,15.85,16.20,-0.10,-0.61,"26,076","4,192",2.88,7.99
2021-11-30,金冠电气,0688517,16.09,16.69,15.55,16.30,0.40,2.52,"32,918","5,327",7.17,10.08
2021-11-29,金冠电气,0688517,15.07,16.24,14.88,15.90,0.48,3.11,"39,515","6,262",8.82,12.10
2021-11-26,金冠电气,0688517,15.43,15.92,15.26,15.42,-0.08,-0.52,"30,407","4,744",4.26,9.31
2021-11-25,金冠电气,0688517,15.06,15.95,14.88,15.50,0.62,4.17,"35,334","5,451",7.19,10.82
2021-11-24,金冠电气,0688517,15.23,15.24,14.61,14.88,-0.11,-0.73,"19,323","2,884",4.20,5.92
2021-11-23,金冠电气,0688517,14.61,15.48,14.34,14.99,0.48,3.31,"40,278","6,041",7.86,12.33
2021-11-22,金冠电气,0688517,14.40,14.70,14.28,14.51,0.01,0.07,"16,753","2,416",2.90,5.13
2021-11-19,金冠电气,0688517,14.45,14.72,14.12,14.50,0.41,2.91,"18,157","2,622",4.26,5.56
2021-11-18,金冠电气,0688517,14.37,14.48,14.07,14.09,-0.33,-2.29,"15,661","2,235",2.84,4.80
