日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,长高电新,1002452,6.84,6.90,6.79,6.87,0.02,0.29,"15,919","1,090",1.61,0.44
2017-06-29,长高电新,1002452,6.81,6.93,6.80,6.85,0.07,1.03,"28,241","1,940",1.92,0.77
2017-06-28,长高电新,1002452,6.89,6.89,6.78,6.78,-0.11,-1.60,"18,806","1,281",1.60,0.52
2017-06-27,长高电新,1002452,6.86,6.91,6.78,6.89,0.04,0.58,"34,778","2,390",1.90,0.95
2017-06-26,长高电新,1002452,6.71,6.86,6.71,6.85,0.08,1.18,"26,834","1,825",2.22,0.74
2017-06-23,长高电新,1002452,6.69,6.78,6.65,6.77,0.08,1.20,"29,578","1,987",1.94,0.81
2017-06-22,长高电新,1002452,6.91,6.91,6.68,6.69,-0.20,-2.90,"37,103","2,522",3.34,1.02
2017-06-21,长高电新,1002452,6.93,6.95,6.83,6.89,0.00,0.00,"22,474","1,547",1.74,0.62
2017-06-20,长高电新,1002452,6.91,6.95,6.87,6.89,-0.02,-0.29,"32,499","2,247",1.16,0.89
2017-06-19,长高电新,1002452,6.80,6.92,6.79,6.91,0.09,1.32,"30,496","2,096",1.91,0.84
2017-06-16,长高电新,1002452,6.84,6.92,6.80,6.82,0.02,0.29,"42,721","2,937",1.76,1.17
2017-06-15,长高电新,1002452,6.64,6.86,6.64,6.80,0.14,2.10,"42,920","2,907",3.30,1.18
2017-06-14,长高电新,1002452,6.63,6.69,6.61,6.66,0.02,0.30,"34,095","2,265",1.20,0.93
2017-06-13,长高电新,1002452,6.51,6.65,6.49,6.64,0.16,2.47,"31,627","2,080",2.47,0.87
2017-06-12,长高电新,1002452,6.65,6.65,6.45,6.48,-0.20,-2.99,"34,961","2,290",2.99,0.96
2017-06-09,长高电新,1002452,6.64,6.71,6.58,6.68,0.03,0.45,"31,299","2,079",1.95,0.86
2017-06-08,长高电新,1002452,6.66,6.76,6.60,6.65,0.00,0.00,"38,084","2,544",2.41,1.04
2017-06-07,长高电新,1002452,6.49,6.67,6.47,6.65,0.19,2.94,"41,039","2,714",3.10,1.13
