日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,麦格米特,1002851,34.02,34.47,33.83,34.33,0.31,0.91,"3,305","1,129",1.88,0.74
2017-12-28,麦格米特,1002851,34.09,34.79,34.01,34.02,0.01,0.03,"5,444","1,873",2.29,1.22
2017-12-27,麦格米特,1002851,34.27,34.30,33.82,34.01,-0.18,-0.53,"4,160","1,415",1.40,0.93
2017-12-26,麦格米特,1002851,33.70,34.50,33.37,34.19,0.63,1.88,"4,441","1,510",3.37,1.00
2017-12-25,麦格米特,1002851,34.50,34.78,33.21,33.56,-0.99,-2.87,"7,922","2,669",4.54,1.78
2017-12-22,麦格米特,1002851,35.18,35.41,34.50,34.55,-0.63,-1.79,"5,369","1,874",2.59,1.21
2017-12-21,麦格米特,1002851,35.40,35.84,34.90,35.18,-0.54,-1.51,"5,236","1,849",2.63,1.18
2017-12-20,麦格米特,1002851,36.20,36.30,35.70,35.72,-0.47,-1.30,"3,120","1,123",1.66,0.70
2017-12-19,麦格米特,1002851,36.20,36.37,35.96,36.19,0.02,0.06,"2,990","1,080",1.13,0.67
2017-12-18,麦格米特,1002851,36.48,36.48,35.50,36.17,-0.30,-0.82,"4,089","1,471",2.69,0.92
2017-12-15,麦格米特,1002851,36.29,36.56,36.00,36.47,0.18,0.50,"3,995","1,450",1.54,0.90
2017-12-14,麦格米特,1002851,36.35,36.61,35.91,36.29,-0.02,-0.06,"3,253","1,176",1.93,0.73
2017-12-13,麦格米特,1002851,36.07,36.73,36.01,36.31,0.01,0.03,"3,052","1,107",1.98,0.69
2017-12-12,麦格米特,1002851,36.70,36.90,36.30,36.30,-0.47,-1.28,"3,331","1,218",1.63,0.75
2017-12-11,麦格米特,1002851,36.30,37.28,36.30,36.77,0.68,1.88,"4,865","1,794",2.72,1.09
2017-12-08,麦格米特,1002851,35.52,36.27,35.52,36.09,0.28,0.78,"2,618",945,2.09,0.59
2017-12-07,麦格米特,1002851,36.20,36.20,35.68,35.81,-0.37,-1.02,"3,040","1,090",1.44,0.68
2017-12-06,麦格米特,1002851,35.60,36.33,35.01,36.18,1.05,2.99,"7,400","2,656",3.76,1.66
2017-12-05,麦格米特,1002851,36.81,37.18,34.66,35.13,-1.94,-5.23,"8,153","2,921",6.80,1.83
2017-12-04,麦格米特,1002851,38.16,38.16,36.95,37.07,-1.09,-2.86,"5,976","2,245",3.17,1.34
2017-12-01,麦格米特,1002851,38.54,38.65,37.95,38.16,0.32,0.85,"3,942","1,506",1.85,0.89
2017-11-30,麦格米特,1002851,38.20,38.22,37.68,37.84,-0.01,-0.03,"4,632","1,759",1.43,1.04
2017-11-29,麦格米特,1002851,38.12,38.28,37.50,37.85,-0.27,-0.71,"4,070","1,538",2.05,0.91
2017-11-28,麦格米特,1002851,36.65,38.35,36.65,38.12,0.75,2.01,"6,502","2,473",4.55,1.46
2017-11-27,麦格米特,1002851,37.85,38.19,37.37,37.37,-0.48,-1.27,"5,213","1,972",2.17,1.17
2017-11-24,麦格米特,1002851,37.73,38.33,37.37,37.85,0.13,0.34,"7,423","2,806",2.55,1.67
2017-11-23,麦格米特,1002851,38.38,38.69,37.70,37.72,-0.58,-1.51,"9,413","3,600",2.58,2.12
2017-11-22,麦格米特,1002851,37.63,38.50,37.63,38.30,0.80,2.13,"11,951","4,556",2.32,2.69
