日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,ST起步,0603557,22.36,22.57,21.65,21.73,-0.63,-2.82,"47,111","10,360",4.11,10.02
2017-09-28,ST起步,0603557,22.67,23.17,22.21,22.36,-0.13,-0.58,"46,167","10,443",4.27,9.82
2017-09-27,ST起步,0603557,22.50,22.88,22.33,22.49,-0.29,-1.27,"29,829","6,734",2.41,6.35
2017-09-26,ST起步,0603557,24.43,24.45,22.23,22.78,-1.57,-6.45,"68,856","15,872",9.12,14.65
2017-09-25,ST起步,0603557,24.21,24.67,24.20,24.35,0.02,0.08,"32,958","8,038",1.93,7.01
2017-09-22,ST起步,0603557,24.20,24.98,24.00,24.33,-0.28,-1.14,"44,519","10,860",3.98,9.47
2017-09-21,ST起步,0603557,25.21,25.64,24.59,24.61,-1.04,-4.05,"53,229","13,369",4.09,11.33
2017-09-20,ST起步,0603557,24.69,25.67,23.83,25.65,0.84,3.39,"94,665","23,548",7.42,20.14
2017-09-19,ST起步,0603557,24.56,25.26,24.56,24.81,0.13,0.53,"52,080","12,978",2.84,11.08
2017-09-18,ST起步,0603557,25.00,25.14,24.18,24.68,-0.69,-2.72,"60,748","14,932",3.78,12.93
2017-09-15,ST起步,0603557,26.10,26.13,24.61,25.37,-1.06,-4.01,"98,746","25,066",5.75,21.01
2017-09-14,ST起步,0603557,27.54,27.54,26.40,26.43,-1.67,-5.94,"137,096","36,802",4.06,29.17
2017-09-13,ST起步,0603557,26.59,28.50,26.59,28.10,2.02,7.75,"187,933","52,268",7.32,39.99
2017-09-12,ST起步,0603557,25.14,26.70,25.01,26.08,0.43,1.68,"105,855","27,479",6.59,22.52
2017-09-11,ST起步,0603557,25.00,26.16,24.10,25.65,0.50,1.99,"102,809","25,971",8.19,21.87
2017-09-08,ST起步,0603557,27.00,27.09,25.06,25.15,-2.20,-8.04,"131,132","33,951",7.42,27.90
2017-09-07,ST起步,0603557,26.90,27.81,26.50,27.35,0.35,1.30,"123,762","33,796",4.85,26.33
2017-09-06,ST起步,0603557,26.99,28.54,26.00,27.00,-1.58,-5.53,"146,580","39,784",8.89,31.19
2017-09-05,ST起步,0603557,28.58,29.55,28.58,28.58,-3.17,-9.98,"189,192","54,485",3.06,40.25
2017-09-04,ST起步,0603557,29.49,31.75,28.90,31.75,2.89,10.01,"349,966","106,852",9.88,74.46
2017-09-01,ST起步,0603557,28.86,28.86,28.86,28.86,2.62,9.98,"8,234","2,376",0.00,1.75
2017-08-31,ST起步,0603557,26.24,26.24,26.24,26.24,2.39,10.02,"4,149","1,089",0.00,0.88
2017-08-30,ST起步,0603557,23.85,23.85,23.85,23.85,2.17,10.01,"6,886","1,642",0.00,1.47
2017-08-29,ST起步,0603557,21.68,21.68,21.68,21.68,1.97,9.99,"2,516",546,0.00,0.54
2017-08-28,ST起步,0603557,19.71,19.71,19.71,19.71,1.79,9.99,"2,692",531,0.00,0.57
2017-08-25,ST起步,0603557,17.92,17.92,17.92,17.92,1.63,10.01,"5,005",897,0.00,1.07
2017-08-24,ST起步,0603557,16.29,16.29,16.29,16.29,1.48,9.99,"1,144",186,0.00,0.24
2017-08-23,ST起步,0603557,14.81,14.81,14.81,14.81,1.35,10.03,317,47,0.00,0.07
2017-08-22,ST起步,0603557,13.46,13.46,13.46,13.46,1.22,9.97,106,14,0.00,0.02
2017-08-21,ST起步,0603557,12.24,12.24,12.24,12.24,1.11,9.97,97,12,0.00,0.02
2017-08-18,ST起步,0603557,11.13,11.13,11.13,11.13,3.40,43.98,214,24,0.00,0.05
2017-12-29,ST起步,0603557,15.87,16.50,15.83,15.98,0.05,0.31,"29,968","4,821",4.21,6.38
2017-12-28,ST起步,0603557,15.39,17.00,15.35,15.93,0.47,3.04,"49,220","7,891",10.67,10.47
2017-12-27,ST起步,0603557,15.70,15.84,15.37,15.46,-0.40,-2.52,"39,710","6,196",2.96,8.45
2017-12-26,ST起步,0603557,15.12,16.16,15.05,15.86,0.65,4.27,"60,765","9,544",7.30,12.93
2017-12-25,ST起步,0603557,14.55,15.24,14.55,15.21,0.52,3.54,"39,853","5,964",4.70,8.48
2017-12-22,ST起步,0603557,14.48,14.88,14.46,14.69,0.17,1.17,"17,065","2,516",2.89,3.63
2017-12-21,ST起步,0603557,14.31,14.67,14.11,14.52,0.07,0.48,"15,353","2,213",3.88,3.27
2017-12-20,ST起步,0603557,14.75,14.82,14.35,14.45,-0.31,-2.10,"14,196","2,062",3.18,3.02
2017-12-19,ST起步,0603557,14.46,14.80,14.46,14.76,0.11,0.75,"11,251","1,658",2.32,2.39
