日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,华斯股份,1002494,11.36,11.51,11.22,11.32,-0.05,-0.44,"43,489","4,925",2.55,1.25
2017-03-30,华斯股份,1002494,11.83,11.88,11.30,11.37,-0.47,-3.97,"77,836","8,986",4.90,2.23
2017-03-29,华斯股份,1002494,12.13,12.13,11.81,11.84,-0.26,-2.15,"46,937","5,598",2.64,1.35
2017-03-28,华斯股份,1002494,12.02,12.13,11.96,12.10,0.08,0.67,"38,011","4,586",1.41,1.09
2017-03-27,华斯股份,1002494,12.00,12.12,11.94,12.02,0.02,0.17,"38,955","4,684",1.50,1.12
2017-03-24,华斯股份,1002494,11.87,12.05,11.86,12.00,0.08,0.67,"43,053","5,147",1.59,1.24
2017-03-23,华斯股份,1002494,12.09,12.16,11.82,11.92,-0.14,-1.16,"59,615","7,157",2.82,1.71
2017-03-22,华斯股份,1002494,12.23,12.24,12.01,12.06,-0.23,-1.87,"61,150","7,407",1.87,1.75
2017-03-21,华斯股份,1002494,12.25,12.33,12.22,12.29,0.02,0.16,"37,326","4,581",0.90,1.07
2017-03-20,华斯股份,1002494,12.28,12.40,12.17,12.27,-0.03,-0.24,"55,353","6,787",1.87,1.59
2017-03-17,华斯股份,1002494,12.48,12.53,12.27,12.30,-0.18,-1.44,"69,687","8,661",2.08,2.00
2017-03-16,华斯股份,1002494,12.42,12.57,12.41,12.48,0.07,0.56,"61,899","7,733",1.29,1.78
2017-03-15,华斯股份,1002494,12.53,12.63,12.36,12.41,-0.16,-1.27,"60,413","7,528",2.15,1.73
2017-03-14,华斯股份,1002494,12.73,12.75,12.56,12.57,-0.17,-1.33,"58,707","7,412",1.49,1.68
2017-03-13,华斯股份,1002494,12.39,12.79,12.32,12.74,0.26,2.08,"121,114","15,275",3.77,3.48
2017-03-10,华斯股份,1002494,12.53,12.60,12.30,12.48,-0.11,-0.87,"75,514","9,378",2.38,2.17
2017-03-09,华斯股份,1002494,12.65,12.81,12.52,12.59,-0.07,-0.55,"96,132","12,164",2.29,2.76
2017-03-08,华斯股份,1002494,12.52,12.68,12.45,12.66,0.14,1.12,"74,611","9,379",1.84,2.14
2017-03-07,华斯股份,1002494,12.50,12.60,12.44,12.52,0.03,0.24,"49,587","6,198",1.28,1.42
2017-03-06,华斯股份,1002494,12.33,12.55,12.33,12.49,0.20,1.63,"57,094","7,116",1.79,1.64
2017-03-03,华斯股份,1002494,12.28,12.33,12.11,12.29,-0.01,-0.08,"46,714","5,714",1.79,1.34
2017-03-02,华斯股份,1002494,12.67,12.67,12.26,12.30,-0.31,-2.46,"98,471","12,235",3.25,2.83
2017-03-01,华斯股份,1002494,12.60,12.69,12.56,12.61,-0.03,-0.24,"49,973","6,306",1.03,1.43
2017-02-28,华斯股份,1002494,12.70,12.78,12.52,12.64,-0.17,-1.33,"81,602","10,293",2.03,2.34
2017-02-27,华斯股份,1002494,12.98,13.11,12.80,12.81,-0.16,-1.23,"88,690","11,493",2.39,2.55
2017-02-24,华斯股份,1002494,12.86,13.15,12.78,12.97,0.14,1.09,"123,868","16,051",2.88,3.55
2017-02-23,华斯股份,1002494,12.88,12.99,12.72,12.83,-0.07,-0.54,"97,039","12,447",2.09,2.78
2017-02-22,华斯股份,1002494,12.58,12.93,12.55,12.90,0.32,2.54,"159,738","20,391",3.02,4.58
2017-02-21,华斯股份,1002494,12.48,12.64,12.39,12.58,0.10,0.80,"89,910","11,268",2.00,2.58
2017-02-20,华斯股份,1002494,12.40,12.48,12.31,12.48,0.08,0.65,"43,743","5,435",1.37,1.26
2017-02-17,华斯股份,1002494,12.61,12.66,12.29,12.40,-0.25,-1.98,"68,476","8,502",2.92,1.97
2017-02-16,华斯股份,1002494,12.57,12.66,12.47,12.65,0.06,0.48,"40,375","5,085",1.51,1.16
2017-02-15,华斯股份,1002494,12.58,12.92,12.51,12.59,-0.04,-0.32,"83,158","10,551",3.25,2.39
2017-02-14,华斯股份,1002494,12.63,13.00,12.57,12.63,-0.07,-0.55,"70,075","8,928",3.39,2.01
2017-02-13,华斯股份,1002494,12.33,12.90,12.28,12.70,0.31,2.50,"94,779","11,989",5.00,2.72
2017-02-10,华斯股份,1002494,12.54,12.62,12.38,12.39,-0.14,-1.12,"53,065","6,630",1.92,1.52
2017-02-09,华斯股份,1002494,12.49,12.70,12.38,12.53,0.03,0.24,"70,175","8,805",2.56,2.01
2017-02-08,华斯股份,1002494,12.33,12.53,12.14,12.50,0.16,1.30,"74,256","9,171",3.16,2.13
2017-02-07,华斯股份,1002494,12.33,12.46,12.25,12.34,-0.06,-0.48,"56,926","7,004",1.69,1.63
2017-02-06,华斯股份,1002494,12.16,12.45,12.12,12.40,0.31,2.56,"66,756","8,238",2.73,1.92
2017-02-03,华斯股份,1002494,12.05,12.17,12.04,12.09,0.05,0.42,"38,273","4,631",1.08,1.10
2017-01-26,华斯股份,1002494,12.03,12.12,12.01,12.04,0.03,0.25,"30,928","3,725",0.92,0.89
2017-01-25,华斯股份,1002494,11.95,12.05,11.85,12.01,0.00,0.00,"56,143","6,716",1.67,1.61
2017-01-24,华斯股份,1002494,12.33,12.33,11.50,12.01,-0.35,-2.83,"58,040","6,988",6.72,1.67
2017-01-23,华斯股份,1002494,12.20,12.50,12.19,12.36,0.17,1.39,"69,426","8,552",2.54,1.99
2017-01-20,华斯股份,1002494,12.00,12.30,11.90,12.19,0.20,1.67,"65,039","7,903",3.34,1.87
2017-01-19,华斯股份,1002494,12.10,12.10,11.90,11.99,-0.11,-0.91,"42,771","5,122",1.65,1.23
2017-01-18,华斯股份,1002494,12.26,12.31,12.00,12.10,-0.13,-1.06,"60,624","7,350",2.53,1.74
2017-01-17,华斯股份,1002494,12.35,12.37,11.90,12.23,-0.15,-1.21,"75,868","9,243",3.80,2.18
2017-01-16,华斯股份,1002494,13.10,13.22,11.80,12.38,-0.72,-5.50,"78,380","9,832",10.84,2.25
2017-01-13,华斯股份,1002494,13.58,13.68,13.08,13.10,-0.55,-4.03,"54,666","7,351",4.40,1.57
2017-01-12,华斯股份,1002494,13.93,13.98,13.40,13.65,-0.29,-2.08,"65,283","8,936",4.16,1.87
2017-01-11,华斯股份,1002494,14.16,14.19,13.90,13.94,-0.23,-1.62,"31,973","4,490",2.05,0.92
2017-01-10,华斯股份,1002494,14.25,14.30,14.15,14.17,-0.06,-0.42,"32,155","4,574",1.05,0.92
2017-01-09,华斯股份,1002494,14.17,14.34,14.13,14.23,0.06,0.42,"41,169","5,859",1.48,1.18
2017-01-06,华斯股份,1002494,14.35,14.40,14.12,14.17,-0.15,-1.05,"43,102","6,122",1.96,1.24
2017-01-05,华斯股份,1002494,14.23,14.42,14.10,14.32,0.09,0.63,"66,679","9,516",2.25,1.91
2017-01-04,华斯股份,1002494,13.96,14.24,13.92,14.23,0.27,1.93,"59,407","8,384",2.29,1.70
2017-01-03,华斯股份,1002494,13.93,14.04,13.87,13.96,0.12,0.87,"36,060","5,025",1.23,1.03
2017-09-29,华斯股份,1002494,12.44,12.66,12.44,12.60,0.21,1.69,"47,416","5,944",1.78,1.36
2017-09-28,华斯股份,1002494,12.69,12.71,12.38,12.39,-0.30,-2.36,"61,582","7,728",2.60,1.77
2017-09-27,华斯股份,1002494,12.71,12.82,12.65,12.69,-0.02,-0.16,"42,074","5,346",1.34,1.21
2017-09-26,华斯股份,1002494,12.66,12.81,12.58,12.71,0.08,0.63,"35,248","4,470",1.82,1.01
2017-09-25,华斯股份,1002494,13.01,13.06,12.58,12.63,-0.38,-2.92,"73,072","9,348",3.69,2.10
2017-09-22,华斯股份,1002494,13.18,13.18,12.96,13.01,-0.17,-1.29,"56,706","7,382",1.67,1.63
2017-09-21,华斯股份,1002494,13.13,13.28,13.13,13.18,0.09,0.69,"110,564","14,615",1.15,3.17
2017-09-20,华斯股份,1002494,12.99,13.15,12.89,13.09,0.09,0.69,"78,681","10,260",2.00,2.26
2017-09-19,华斯股份,1002494,13.10,13.18,12.97,13.00,-0.08,-0.61,"65,672","8,568",1.61,1.88
2017-09-18,华斯股份,1002494,13.24,13.25,12.96,13.08,-0.21,-1.58,"91,193","11,910",2.18,2.62
2017-09-15,华斯股份,1002494,12.88,13.49,12.83,13.29,0.39,3.02,"174,010","23,091",5.12,4.99
2017-09-14,华斯股份,1002494,13.12,13.13,12.89,12.90,-0.24,-1.83,"92,148","11,962",1.83,2.64
2017-09-13,华斯股份,1002494,13.13,13.27,13.08,13.14,0.02,0.15,"58,234","7,660",1.45,1.67
2017-09-12,华斯股份,1002494,13.23,13.37,13.09,13.12,-0.13,-0.98,"86,103","11,389",2.11,2.47
2017-09-11,华斯股份,1002494,13.15,13.32,13.13,13.25,0.04,0.30,"59,321","7,850",1.44,1.70
2017-09-08,华斯股份,1002494,13.09,13.24,13.09,13.21,0.07,0.53,"73,830","9,717",1.14,2.12
2017-09-07,华斯股份,1002494,13.19,13.37,13.11,13.14,-0.05,-0.38,"98,570","13,055",1.97,2.83
2017-09-06,华斯股份,1002494,13.26,13.33,13.06,13.19,-0.14,-1.05,"95,728","12,614",2.03,2.75
2017-09-05,华斯股份,1002494,13.40,13.47,13.29,13.33,-0.09,-0.67,"95,351","12,736",1.34,2.74
2017-09-04,华斯股份,1002494,13.49,13.60,13.32,13.42,-0.09,-0.67,"124,420","16,715",2.07,3.57
2017-09-01,华斯股份,1002494,13.41,13.65,13.41,13.51,0.06,0.45,"101,596","13,746",1.78,2.92
2017-08-31,华斯股份,1002494,13.60,13.63,13.37,13.45,-0.21,-1.54,"128,981","17,386",1.90,3.70
2017-08-30,华斯股份,1002494,13.77,13.96,13.65,13.66,-0.26,-1.87,"168,158","23,178",2.23,4.83
2017-08-29,华斯股份,1002494,13.60,14.25,13.60,13.92,0.08,0.58,"235,267","32,798",4.70,6.75
2017-08-28,华斯股份,1002494,14.40,14.56,13.76,13.84,0.60,4.53,"341,481","48,097",6.04,9.80
2017-08-25,华斯股份,1002494,13.08,13.41,13.06,13.24,0.09,0.68,"73,875","9,765",2.66,2.12
2017-08-24,华斯股份,1002494,13.01,13.33,13.00,13.15,0.13,1.00,"87,769","11,539",2.53,2.52
2017-08-23,华斯股份,1002494,13.35,13.40,12.98,13.02,-0.41,-3.05,"112,469","14,829",3.13,3.23
2017-08-22,华斯股份,1002494,13.75,13.82,13.41,13.43,-0.26,-1.90,"113,982","15,515",2.99,3.27
2017-08-21,华斯股份,1002494,13.77,13.85,13.45,13.69,0.13,0.96,"102,010","13,983",2.95,2.93
2017-08-18,华斯股份,1002494,13.66,13.98,13.55,13.56,-0.26,-1.88,"156,105","21,463",3.11,4.48
2017-08-17,华斯股份,1002494,13.62,13.94,13.41,13.82,0.18,1.32,"177,431","24,247",3.89,5.09
2017-08-16,华斯股份,1002494,13.68,13.85,13.52,13.64,-0.02,-0.15,"120,989","16,548",2.42,3.47
2017-08-15,华斯股份,1002494,13.70,13.80,13.54,13.66,-0.11,-0.80,"129,253","17,645",1.89,3.71
2017-08-14,华斯股份,1002494,13.55,13.85,13.47,13.77,0.27,2.00,"221,882","30,346",2.81,6.37
2017-08-11,华斯股份,1002494,12.83,13.98,12.81,13.50,0.59,4.57,"292,346","39,373",9.06,8.39
2017-08-10,华斯股份,1002494,13.22,13.33,12.78,12.91,-0.29,-2.20,"119,104","15,482",4.17,3.42
2017-08-09,华斯股份,1002494,13.21,13.44,13.08,13.20,-0.07,-0.53,"88,538","11,754",2.71,2.54
2017-08-08,华斯股份,1002494,13.59,13.79,13.22,13.27,0.00,0.00,"118,493","15,936",4.30,3.40
2017-08-07,华斯股份,1002494,12.99,13.39,12.90,13.27,0.23,1.76,"100,084","13,270",3.76,2.87
2017-08-04,华斯股份,1002494,13.40,13.58,12.89,13.04,-0.42,-3.12,"158,804","21,089",5.13,4.56
2017-08-03,华斯股份,1002494,13.40,14.08,13.40,13.46,-0.16,-1.17,"226,737","31,038",4.99,6.51
2017-08-02,华斯股份,1002494,12.78,14.13,12.65,13.62,0.75,5.83,"297,650","39,627",11.50,8.54
2017-08-01,华斯股份,1002494,12.47,13.06,12.42,12.87,0.39,3.13,"193,626","24,807",5.13,5.56
2017-07-31,华斯股份,1002494,12.51,12.64,12.39,12.48,-0.16,-1.27,"99,211","12,389",1.98,2.85
2017-07-28,华斯股份,1002494,12.40,12.87,12.40,12.64,0.24,1.94,"169,935","21,478",3.79,4.88
2017-07-27,华斯股份,1002494,12.26,12.47,12.13,12.40,0.14,1.14,"95,824","11,804",2.77,2.75
2017-07-26,华斯股份,1002494,12.31,12.36,12.10,12.26,0.02,0.16,"78,580","9,604",2.12,2.25
2017-07-25,华斯股份,1002494,12.45,12.59,12.22,12.24,-0.28,-2.24,"94,170","11,623",2.96,2.70
2017-07-24,华斯股份,1002494,12.29,12.65,12.22,12.52,0.15,1.21,"123,430","15,360",3.48,3.54
2017-07-21,华斯股份,1002494,12.20,12.56,12.07,12.37,0.11,0.90,"133,210","16,437",4.00,3.82
2017-07-20,华斯股份,1002494,12.31,12.50,12.26,12.26,-0.04,-0.33,"107,645","13,352",1.95,3.09
2017-07-19,华斯股份,1002494,12.20,12.47,12.11,12.30,0.05,0.41,"102,350","12,609",2.94,2.94
