日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,中晟高科,1002778,34.60,35.30,34.60,34.84,0.30,0.87,"11,432","3,999",2.03,2.06
2017-03-30,中晟高科,1002778,37.10,37.11,34.11,34.54,-2.50,-6.75,"19,650","6,963",8.10,3.54
2017-03-29,中晟高科,1002778,38.95,38.95,37.00,37.04,-1.78,-4.59,"14,741","5,566",5.02,2.65
2017-03-28,中晟高科,1002778,38.77,39.21,38.66,38.82,0.14,0.36,"8,212","3,193",1.42,1.48
2017-03-27,中晟高科,1002778,39.15,39.17,38.35,38.68,-0.33,-0.85,"10,798","4,179",2.10,1.94
2017-03-24,中晟高科,1002778,38.93,39.25,38.69,39.01,0.14,0.36,"11,199","4,357",1.44,2.02
2017-03-23,中晟高科,1002778,39.50,39.84,38.50,38.87,-0.63,-1.59,"12,468","4,879",3.39,2.25
2017-03-22,中晟高科,1002778,40.15,40.15,39.02,39.50,-0.73,-1.81,"12,997","5,141",2.81,2.34
2017-03-21,中晟高科,1002778,40.00,40.30,39.89,40.23,0.34,0.85,"11,178","4,482",1.03,2.01
2017-03-20,中晟高科,1002778,40.28,40.49,39.55,39.89,-0.51,-1.26,"18,646","7,433",2.33,3.36
2017-03-17,中晟高科,1002778,41.49,41.50,40.30,40.40,-1.10,-2.65,"27,760","11,343",2.89,5.00
2017-03-16,中晟高科,1002778,40.88,41.66,40.88,41.50,0.66,1.62,"31,680","13,080",1.91,5.70
2017-03-15,中晟高科,1002778,40.76,41.55,40.50,40.84,0.06,0.15,"16,707","6,861",2.57,3.01
2017-03-14,中晟高科,1002778,41.18,41.30,40.62,40.78,-0.40,-0.97,"10,314","4,222",1.65,1.86
2017-03-13,中晟高科,1002778,40.97,41.63,40.00,41.18,-0.16,-0.39,"15,406","6,294",3.94,2.77
2017-03-10,中晟高科,1002778,40.72,41.88,40.70,41.34,0.44,1.08,"17,888","7,374",2.89,3.22
2017-03-09,中晟高科,1002778,41.39,41.57,40.68,40.90,-0.58,-1.40,"11,079","4,546",2.15,1.99
2017-03-08,中晟高科,1002778,41.82,41.82,41.20,41.48,-0.23,-0.55,"14,025","5,822",1.49,2.53
2017-03-07,中晟高科,1002778,42.00,42.20,41.25,41.71,-0.72,-1.70,"25,538","10,634",2.24,4.60
2017-03-06,中晟高科,1002778,40.91,42.55,40.72,42.43,1.65,4.05,"43,921","18,285",4.49,7.91
2017-03-03,中晟高科,1002778,40.77,41.10,40.30,40.78,0.03,0.07,"6,679","2,711",1.96,1.20
2017-03-02,中晟高科,1002778,40.91,41.36,40.66,40.75,-0.05,-0.12,"8,812","3,603",1.72,1.59
2017-03-01,中晟高科,1002778,41.18,41.95,40.62,40.80,-0.35,-0.85,"15,974","6,600",3.23,2.88
2017-02-28,中晟高科,1002778,40.48,41.49,40.41,41.15,0.49,1.21,"9,294","3,821",2.66,1.67
2017-02-27,中晟高科,1002778,41.41,41.59,40.58,40.66,-0.64,-1.55,"7,892","3,246",2.45,1.42
2017-02-24,中晟高科,1002778,41.13,41.90,40.91,41.30,-0.10,-0.24,"15,526","6,429",2.39,2.80
2017-02-23,中晟高科,1002778,40.61,41.49,40.20,41.40,0.59,1.45,"10,141","4,145",3.16,1.83
2017-02-22,中晟高科,1002778,40.93,41.53,40.62,40.81,-0.44,-1.07,"9,388","3,855",2.21,1.69
2017-02-21,中晟高科,1002778,40.74,41.69,40.66,41.25,0.51,1.25,"13,943","5,724",2.53,2.51
2017-02-20,中晟高科,1002778,40.68,42.29,39.98,40.74,-0.51,-1.24,"9,641","3,900",5.60,1.74
2017-02-17,中晟高科,1002778,41.40,41.45,40.19,41.25,-0.15,-0.36,"18,122","7,439",3.04,3.26
2017-02-16,中晟高科,1002778,41.26,41.60,41.00,41.40,0.04,0.10,"11,181","4,606",1.45,2.01
2017-02-15,中晟高科,1002778,41.30,41.80,41.00,41.36,-0.13,-0.31,"9,104","3,763",1.93,1.64
2017-02-14,中晟高科,1002778,41.32,41.95,41.01,41.49,0.19,0.46,"9,570","3,954",2.28,1.72
2017-02-13,中晟高科,1002778,41.18,41.88,40.50,41.30,0.04,0.10,"14,926","6,167",3.34,2.69
2017-02-10,中晟高科,1002778,41.17,42.19,40.25,41.26,0.10,0.24,"13,781","5,640",4.71,2.48
2017-02-09,中晟高科,1002778,39.73,42.47,39.55,41.16,1.29,3.24,"14,513","5,975",7.32,2.61
2017-02-08,中晟高科,1002778,39.40,39.90,39.00,39.87,0.47,1.19,"12,133","4,772",2.28,2.18
2017-02-07,中晟高科,1002778,39.65,39.87,39.38,39.40,-0.25,-0.63,"9,189","3,637",1.24,1.65
2017-02-06,中晟高科,1002778,39.20,39.72,39.20,39.65,0.45,1.15,"6,784","2,675",1.33,1.22
2017-02-03,中晟高科,1002778,39.80,39.97,38.83,39.20,-0.06,-0.15,"4,672","1,832",2.90,0.84
2017-01-26,中晟高科,1002778,39.29,39.85,39.00,39.26,-0.02,-0.05,"4,491","1,769",2.16,0.81
2017-01-25,中晟高科,1002778,38.67,39.50,38.41,39.28,0.61,1.58,"6,038","2,367",2.82,1.09
2017-01-24,中晟高科,1002778,39.25,39.45,38.38,38.67,-0.54,-1.38,"7,373","2,870",2.73,1.33
2017-01-23,中晟高科,1002778,37.99,39.48,37.83,39.21,1.02,2.67,"9,399","3,676",4.32,1.69
2017-01-20,中晟高科,1002778,37.38,38.27,36.85,38.19,0.93,2.50,"10,141","3,839",3.81,1.83
2017-01-19,中晟高科,1002778,36.12,37.39,36.11,37.26,0.36,0.98,"8,585","3,172",3.47,1.55
2017-01-18,中晟高科,1002778,38.55,38.55,36.70,36.90,-1.93,-4.97,"9,208","3,439",4.76,1.66
2017-01-17,中晟高科,1002778,38.66,39.46,35.11,38.83,0.17,0.44,"17,860","6,698",11.25,3.22
2017-01-16,中晟高科,1002778,39.28,40.50,37.48,38.66,-2.24,-5.48,"16,053","6,273",7.38,2.89
2017-01-13,中晟高科,1002778,44.00,44.00,40.21,40.90,-2.80,-6.41,"10,821","4,540",8.67,1.95
2017-01-12,中晟高科,1002778,43.06,44.28,43.06,43.70,0.42,0.97,"8,666","3,793",2.82,1.56
2017-01-11,中晟高科,1002778,45.63,45.63,42.91,43.28,-2.39,-5.23,"11,337","5,004",5.96,2.04
2017-01-10,中晟高科,1002778,45.75,46.42,45.30,45.67,-0.08,-0.17,"5,629","2,589",2.45,1.01
2017-01-09,中晟高科,1002778,45.59,46.20,45.25,45.75,-0.14,-0.31,"6,999","3,198",2.07,1.26
2017-01-06,中晟高科,1002778,47.66,47.68,45.58,45.89,-2.01,-4.20,"14,043","6,513",4.38,2.53
2017-01-05,中晟高科,1002778,47.59,48.35,47.35,47.90,0.35,0.74,"14,913","7,155",2.10,6.69
2017-01-04,中晟高科,1002778,47.46,48.07,47.16,47.55,0.12,0.25,"10,739","5,108",1.92,4.82
2017-01-03,中晟高科,1002778,46.88,47.73,46.60,47.43,0.83,1.78,"9,717","4,583",2.42,4.36
2017-06-30,中晟高科,1002778,28.44,28.70,28.22,28.57,0.13,0.46,"4,479","1,276",1.69,0.81
2017-06-29,中晟高科,1002778,28.20,28.82,28.16,28.44,0.24,0.85,"5,330","1,523",2.34,0.96
2017-06-28,中晟高科,1002778,28.24,28.53,28.09,28.20,-0.32,-1.12,"3,483",984,1.54,0.63
2017-06-27,中晟高科,1002778,28.50,28.85,28.41,28.52,0.05,0.18,"5,207","1,487",1.55,0.94
2017-06-26,中晟高科,1002778,28.32,28.96,28.00,28.47,-0.03,-0.11,"6,386","1,811",3.37,1.15
2017-06-23,中晟高科,1002778,28.48,28.93,27.91,28.50,0.11,0.39,"6,853","1,947",3.59,1.23
2017-06-22,中晟高科,1002778,29.29,29.29,28.35,28.39,-0.84,-2.87,"8,940","2,585",3.22,1.61
2017-06-21,中晟高科,1002778,29.52,29.79,29.06,29.23,-0.24,-0.81,"6,666","1,949",2.48,1.20
2017-06-20,中晟高科,1002778,29.86,29.99,29.34,29.47,-0.34,-1.14,"8,700","2,581",2.18,1.57
2017-06-19,中晟高科,1002778,29.50,29.81,29.22,29.81,0.36,1.22,"6,893","2,039",2.00,1.24
2017-06-16,中晟高科,1002778,29.82,29.99,29.40,29.45,-0.41,-1.37,"18,193","5,378",1.98,3.28
2017-06-15,中晟高科,1002778,29.24,30.47,29.08,29.86,0.66,2.26,"22,815","6,780",4.76,4.11
2017-06-14,中晟高科,1002778,28.93,29.45,28.60,29.28,0.37,1.28,"13,296","3,862",2.94,2.39
2017-06-13,中晟高科,1002778,28.40,29.05,28.40,28.91,0.26,0.91,"11,097","3,204",2.27,2.00
2017-06-12,中晟高科,1002778,29.20,29.63,28.57,28.65,-0.81,-2.75,"8,740","2,525",3.60,1.57
2017-06-09,中晟高科,1002778,29.60,29.84,29.05,29.46,-0.26,-0.87,"12,693","3,740",2.66,2.29
2017-06-08,中晟高科,1002778,29.39,30.25,29.30,29.72,0.36,1.23,"22,893","6,829",3.24,4.12
2017-06-07,中晟高科,1002778,28.81,29.45,28.60,29.36,0.46,1.59,"18,569","5,426",2.94,3.34
