日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,冠农股份,0600251,9.44,9.53,9.20,9.30,-0.12,-1.27,"311,104","29,089",3.50,3.96
2017-09-28,冠农股份,0600251,9.48,9.66,9.37,9.42,-0.10,-1.05,"313,931","29,785",3.05,4.00
2017-09-27,冠农股份,0600251,9.67,9.77,9.47,9.52,-0.23,-2.36,"368,001","35,316",3.08,4.69
2017-09-26,冠农股份,0600251,9.44,9.76,9.34,9.75,0.25,2.63,"390,581","37,455",4.42,4.98
2017-09-25,冠农股份,0600251,9.74,9.94,9.48,9.50,-0.36,-3.65,"389,587","37,787",4.67,4.96
2017-09-22,冠农股份,0600251,9.78,10.05,9.60,9.86,-0.01,-0.10,"438,287","43,147",4.56,5.58
2017-09-21,冠农股份,0600251,10.34,10.40,9.73,9.87,-0.74,-6.97,"836,390","84,065",6.31,10.66
2017-09-20,冠农股份,0600251,10.00,11.04,9.91,10.61,0.38,3.71,"1,217,666","128,066",11.05,15.51
2017-09-19,冠农股份,0600251,9.86,10.36,9.75,10.23,-0.17,-1.63,"1,189,181","118,905",5.87,15.15
2017-09-18,冠农股份,0600251,10.40,10.40,10.05,10.40,0.95,10.05,"961,578","99,732",3.70,12.25
2017-09-15,冠农股份,0600251,8.54,9.45,8.46,9.45,0.86,10.01,"372,430","33,558",11.53,4.75
2017-09-14,冠农股份,0600251,8.75,8.90,8.56,8.59,-0.12,-1.38,"224,716","19,557",3.90,2.86
2017-09-13,冠农股份,0600251,8.50,8.78,8.50,8.71,0.18,2.11,"236,041","20,424",3.28,3.01
2017-09-12,冠农股份,0600251,8.50,8.67,8.46,8.53,-0.05,-0.58,"267,060","22,903",2.45,3.40
2017-09-11,冠农股份,0600251,8.40,8.74,8.33,8.58,0.22,2.63,"328,542","28,188",4.90,4.19
2017-09-08,冠农股份,0600251,8.08,8.38,8.04,8.36,0.26,3.21,"162,231","13,344",4.20,2.07
2017-09-07,冠农股份,0600251,8.28,8.33,8.08,8.10,-0.18,-2.17,"126,015","10,332",3.02,1.61
2017-09-06,冠农股份,0600251,8.29,8.31,8.18,8.28,-0.05,-0.60,"97,157","8,003",1.56,1.24
2017-09-05,冠农股份,0600251,8.37,8.39,8.24,8.33,-0.09,-1.07,"109,353","9,081",1.78,1.39
2017-09-04,冠农股份,0600251,8.15,8.44,8.15,8.42,0.24,2.93,"182,842","15,177",3.55,2.33
2017-09-01,冠农股份,0600251,8.14,8.33,8.08,8.18,0.03,0.37,"167,804","13,819",3.07,2.14
2017-08-31,冠农股份,0600251,8.18,8.19,8.09,8.15,-0.04,-0.49,"62,140","5,059",1.22,0.79
2017-08-30,冠农股份,0600251,8.04,8.19,8.04,8.19,0.15,1.87,"94,267","7,675",1.87,1.20
2017-08-29,冠农股份,0600251,8.22,8.22,8.00,8.04,-0.15,-1.83,"102,493","8,312",2.69,1.31
2017-08-28,冠农股份,0600251,8.15,8.25,8.11,8.19,0.04,0.49,"99,685","8,173",1.72,1.27
2017-08-25,冠农股份,0600251,8.01,8.18,8.00,8.15,0.09,1.12,"92,355","7,487",2.23,1.18
2017-08-24,冠农股份,0600251,8.10,8.20,8.03,8.06,-0.06,-0.74,"86,524","7,028",2.09,1.10
2017-08-23,冠农股份,0600251,8.25,8.25,8.07,8.12,-0.14,-1.69,"119,328","9,714",2.18,1.52
2017-08-22,冠农股份,0600251,8.31,8.36,8.11,8.26,-0.05,-0.60,"173,081","14,188",3.01,2.21
2017-08-21,冠农股份,0600251,8.38,8.56,8.28,8.31,-0.09,-1.07,"171,334","14,377",3.33,2.18
2017-08-18,冠农股份,0600251,8.34,8.55,8.24,8.40,-0.02,-0.24,"268,738","22,631",3.68,3.42
2017-08-17,冠农股份,0600251,8.08,8.74,8.02,8.42,0.32,3.95,"419,497","35,123",8.89,5.35
2017-08-16,冠农股份,0600251,8.04,8.12,7.86,8.10,0.09,1.12,"144,142","11,538",3.25,1.84
2017-08-15,冠农股份,0600251,7.81,8.02,7.79,8.01,0.22,2.82,"107,239","8,508",2.95,1.37
2017-08-14,冠农股份,0600251,7.60,7.82,7.55,7.79,0.19,2.50,"78,610","6,080",3.55,1.00
2017-08-11,冠农股份,0600251,7.71,7.85,7.59,7.60,-0.18,-2.31,"98,539","7,623",3.34,1.26
2017-08-10,冠农股份,0600251,7.96,8.00,7.71,7.78,-0.24,-2.99,"121,886","9,553",3.62,1.55
2017-08-09,冠农股份,0600251,8.12,8.15,7.93,8.02,-0.14,-1.72,"138,002","11,046",2.70,1.76
2017-08-08,冠农股份,0600251,8.02,8.20,7.97,8.16,0.14,1.75,"179,642","14,591",2.87,2.29
2017-08-07,冠农股份,0600251,7.89,8.04,7.83,8.02,0.11,1.39,"84,943","6,729",2.65,1.08
2017-08-04,冠农股份,0600251,8.09,8.13,7.85,7.91,-0.22,-2.71,"147,032","11,808",3.44,1.87
2017-08-03,冠农股份,0600251,7.93,8.15,7.86,8.13,0.17,2.14,"191,711","15,389",3.64,2.44
2017-08-02,冠农股份,0600251,7.89,8.15,7.76,7.96,0.11,1.40,"205,520","16,436",4.97,2.62
2017-08-01,冠农股份,0600251,7.91,7.98,7.75,7.85,-0.09,-1.13,"110,455","8,681",2.90,1.41
2017-07-31,冠农股份,0600251,7.77,7.97,7.76,7.94,0.15,1.93,"127,429","10,059",2.70,1.62
2017-07-28,冠农股份,0600251,7.72,7.85,7.70,7.79,0.01,0.13,"104,036","8,088",1.93,1.33
2017-07-27,冠农股份,0600251,7.58,7.99,7.58,7.78,0.14,1.83,"203,457","15,902",5.37,2.59
2017-07-26,冠农股份,0600251,7.49,7.66,7.35,7.64,0.12,1.60,"108,966","8,192",4.12,1.39
2017-07-25,冠农股份,0600251,7.61,7.70,7.45,7.52,-0.09,-1.18,"75,449","5,704",3.29,0.96
2017-07-24,冠农股份,0600251,7.45,7.65,7.41,7.61,0.16,2.15,"101,788","7,688",3.22,1.30
2017-07-21,冠农股份,0600251,7.49,7.55,7.37,7.45,-0.06,-0.80,"86,513","6,459",2.40,1.10
2017-07-20,冠农股份,0600251,7.47,7.60,7.42,7.51,0.05,0.67,"117,269","8,790",2.41,1.49
2017-07-19,冠农股份,0600251,7.20,7.50,7.17,7.46,0.20,2.75,"137,037","10,104",4.55,1.75
2017-07-18,冠农股份,0600251,7.14,7.27,6.99,7.26,0.09,1.26,"163,357","11,618",3.91,2.08
2017-07-17,冠农股份,0600251,7.70,7.71,7.00,7.17,-0.57,-7.36,"146,277","10,744",9.17,1.86
2017-07-14,冠农股份,0600251,7.74,7.78,7.54,7.74,-0.06,-0.77,"150,126","11,491",3.08,1.91
2017-07-13,冠农股份,0600251,7.62,7.83,7.50,7.80,0.13,1.69,"186,062","14,320",4.30,2.37
2017-07-12,冠农股份,0600251,7.67,7.71,7.35,7.67,-0.03,-0.39,"209,183","15,765",4.68,2.67
2017-07-11,冠农股份,0600251,7.99,8.12,7.64,7.70,-0.34,-4.23,"229,890","18,124",5.97,2.93
2017-07-10,冠农股份,0600251,8.14,8.17,7.91,8.04,-0.15,-1.83,"183,677","14,770",3.17,2.34
2017-07-07,冠农股份,0600251,8.24,8.29,8.08,8.19,-0.11,-1.33,"145,453","11,859",2.53,1.85
2017-07-06,冠农股份,0600251,8.19,8.55,8.18,8.30,0.06,0.73,"349,223","29,170",4.49,4.45
2017-07-05,冠农股份,0600251,8.05,8.38,7.99,8.24,0.15,1.85,"279,415","22,979",4.82,3.56
2017-07-04,冠农股份,0600251,8.02,8.13,7.96,8.09,0.03,0.37,"104,122","8,376",2.11,1.33
2017-07-03,冠农股份,0600251,7.99,8.18,7.95,8.06,0.09,1.13,"169,257","13,635",2.89,2.16
2017-06-30,冠农股份,0600251,7.95,8.08,7.92,7.97,-0.04,-0.50,"113,492","9,075",2.00,1.45
2017-06-29,冠农股份,0600251,8.05,8.11,7.93,8.01,-0.16,-1.96,"142,012","11,373",2.20,1.81
2017-06-28,冠农股份,0600251,8.15,8.40,8.01,8.17,-0.09,-1.09,"261,934","21,378",4.72,3.34
2017-06-27,冠农股份,0600251,7.79,8.45,7.76,8.26,0.42,5.36,"444,672","36,305",8.80,5.67
