日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,新 希 望,1000876,7.42,7.46,7.40,7.45,0.04,0.54,"112,724","8,373",0.81,0.27
2017-12-28,新 希 望,1000876,7.46,7.48,7.40,7.41,-0.05,-0.67,"182,841","13,594",1.07,0.44
2017-12-27,新 希 望,1000876,7.54,7.55,7.45,7.46,-0.09,-1.19,"149,766","11,224",1.32,0.36
2017-12-26,新 希 望,1000876,7.50,7.56,7.49,7.55,0.06,0.80,"163,728","12,319",0.93,0.39
2017-12-25,新 希 望,1000876,7.52,7.60,7.47,7.49,-0.04,-0.53,"152,320","11,454",1.73,0.37
2017-12-22,新 希 望,1000876,7.61,7.64,7.49,7.53,-0.08,-1.05,"122,752","9,305",1.97,0.29
2017-12-21,新 希 望,1000876,7.56,7.62,7.53,7.61,0.05,0.66,"127,447","9,669",1.19,0.31
2017-12-20,新 希 望,1000876,7.54,7.60,7.50,7.56,0.05,0.67,"143,486","10,823",1.33,0.34
2017-12-19,新 希 望,1000876,7.49,7.54,7.47,7.51,0.02,0.27,"83,523","6,273",0.93,0.20
2017-12-18,新 希 望,1000876,7.51,7.56,7.46,7.49,-0.05,-0.66,"93,095","6,996",1.33,0.22
2017-12-15,新 希 望,1000876,7.50,7.58,7.43,7.54,0.04,0.53,"159,469","11,986",2.00,0.38
2017-12-14,新 希 望,1000876,7.59,7.59,7.48,7.50,-0.09,-1.19,"185,166","13,912",1.45,0.44
2017-12-13,新 希 望,1000876,7.57,7.62,7.54,7.59,0.00,0.00,"113,587","8,605",1.05,0.27
2017-12-12,新 希 望,1000876,7.66,7.70,7.58,7.59,-0.08,-1.04,"132,550","10,128",1.56,0.32
2017-12-11,新 希 望,1000876,7.60,7.67,7.55,7.67,0.04,0.52,"174,888","13,319",1.57,0.42
2017-12-08,新 希 望,1000876,7.65,7.68,7.59,7.63,-0.01,-0.13,"191,973","14,663",1.18,0.46
2017-12-07,新 希 望,1000876,7.68,7.70,7.61,7.64,-0.07,-0.91,"148,383","11,349",1.17,0.36
2017-12-06,新 希 望,1000876,7.61,7.73,7.59,7.71,0.06,0.78,"270,284","20,763",1.83,0.65
2017-12-05,新 希 望,1000876,7.60,7.70,7.47,7.65,0.06,0.79,"408,197","31,043",3.03,0.98
