日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,正虹科技,1000702,8.66,8.79,8.65,8.79,0.16,1.85,"42,186","3,689",1.62,1.58
2017-09-28,正虹科技,1000702,8.66,8.88,8.61,8.63,-0.07,-0.80,"48,078","4,207",3.10,1.80
2017-09-27,正虹科技,1000702,8.65,8.72,8.58,8.70,0.05,0.58,"39,199","3,388",1.62,1.47
2017-09-26,正虹科技,1000702,8.62,8.68,8.54,8.65,0.03,0.35,"43,577","3,744",1.62,1.63
2017-09-25,正虹科技,1000702,8.83,8.90,8.61,8.62,-0.24,-2.71,"52,854","4,636",3.27,1.98
2017-09-22,正虹科技,1000702,9.06,9.06,8.71,8.86,-0.21,-2.32,"64,890","5,756",3.86,2.43
2017-09-21,正虹科技,1000702,9.24,9.24,9.06,9.07,-0.20,-2.16,"61,014","5,574",1.94,2.29
2017-09-20,正虹科技,1000702,9.10,9.27,9.10,9.27,0.17,1.87,"75,688","6,970",1.87,2.84
2017-09-19,正虹科技,1000702,9.01,9.19,9.01,9.10,0.09,1.00,"82,160","7,481",2.00,3.08
2017-09-18,正虹科技,1000702,8.96,9.05,8.90,9.01,0.02,0.22,"59,019","5,299",1.67,2.21
2017-09-15,正虹科技,1000702,9.09,9.10,8.95,8.99,-0.10,-1.10,"73,450","6,615",1.65,2.75
2017-09-14,正虹科技,1000702,9.23,9.25,9.07,9.09,-0.11,-1.20,"89,133","8,152",1.96,3.34
2017-09-13,正虹科技,1000702,9.18,9.35,9.16,9.20,0.01,0.11,"107,100","9,896",2.07,4.02
2017-09-12,正虹科技,1000702,9.61,9.63,9.18,9.19,-0.40,-4.17,"212,970","19,793",4.69,7.99
2017-09-11,正虹科技,1000702,9.74,9.78,9.55,9.59,-0.16,-1.64,"186,181","17,965",2.36,6.98
2017-09-08,正虹科技,1000702,9.80,9.94,9.54,9.75,-0.04,-0.41,"237,563","23,152",4.09,8.91
2017-09-07,正虹科技,1000702,10.60,10.61,9.50,9.79,-0.54,-5.23,"344,666","34,146",10.75,12.93
2017-09-06,正虹科技,1000702,10.50,10.79,10.27,10.33,0.00,0.00,"334,597","34,940",5.03,12.55
2017-09-05,正虹科技,1000702,10.50,10.51,10.11,10.33,-0.11,-1.05,"297,437","30,512",3.83,11.16
2017-09-04,正虹科技,1000702,10.20,10.49,9.99,10.44,0.46,4.61,"408,764","41,702",5.01,15.33
2017-09-01,正虹科技,1000702,10.03,10.04,9.71,9.98,-0.03,-0.30,"314,723","31,040",3.30,11.80
2017-08-31,正虹科技,1000702,9.70,10.08,9.70,10.01,0.31,3.20,"438,245","43,346",3.92,16.44
2017-08-30,正虹科技,1000702,10.00,10.00,9.50,9.70,-0.38,-3.77,"325,542","31,595",4.96,12.21
2017-08-29,正虹科技,1000702,9.40,10.29,9.22,10.08,0.73,7.81,"385,752","37,824",11.44,14.47
2017-08-28,正虹科技,1000702,9.03,9.64,9.03,9.35,0.34,3.77,"224,586","21,102",6.77,8.42
2017-08-25,正虹科技,1000702,9.08,9.12,8.93,9.01,-0.12,-1.31,"78,386","7,087",2.08,2.94
2017-08-24,正虹科技,1000702,9.00,9.33,8.80,9.13,0.00,0.00,"164,502","14,894",5.81,6.17
2017-08-23,正虹科技,1000702,9.10,9.45,8.94,9.13,-0.01,-0.11,"182,150","16,772",5.58,6.83
2017-08-22,正虹科技,1000702,8.76,9.17,8.69,9.14,0.36,4.10,"104,372","9,290",5.47,3.91
2017-08-21,正虹科技,1000702,8.78,8.90,8.73,8.78,0.00,0.00,"58,066","5,105",1.94,2.18
2017-08-18,正虹科技,1000702,8.74,8.84,8.62,8.78,0.03,0.34,"51,431","4,498",2.51,1.93
2017-08-17,正虹科技,1000702,8.59,9.00,8.58,8.75,0.16,1.86,"97,450","8,554",4.89,3.65
2017-08-16,正虹科技,1000702,8.76,8.85,8.56,8.59,-0.10,-1.15,"77,608","6,728",3.34,2.91
2017-08-15,正虹科技,1000702,8.49,8.96,8.44,8.69,0.26,3.08,"159,976","14,010",6.17,6.00
2017-08-14,正虹科技,1000702,8.17,8.46,8.13,8.43,0.31,3.82,"71,653","5,978",4.06,2.69
2017-08-11,正虹科技,1000702,8.20,8.26,8.03,8.12,-0.17,-2.05,"71,840","5,868",2.77,2.69
2017-08-10,正虹科技,1000702,8.62,8.70,8.26,8.29,-0.35,-4.05,"85,085","7,175",5.09,3.19
2017-08-09,正虹科技,1000702,8.70,8.76,8.58,8.64,-0.13,-1.48,"83,767","7,268",2.05,3.14
2017-08-08,正虹科技,1000702,8.46,8.88,8.31,8.77,0.32,3.79,"125,553","10,795",6.75,4.71
2017-08-07,正虹科技,1000702,8.50,8.57,8.40,8.45,-0.04,-0.47,"56,468","4,772",2.00,2.12
2017-08-04,正虹科技,1000702,8.46,8.64,8.44,8.49,0.04,0.47,"79,203","6,745",2.37,2.97
2017-08-03,正虹科技,1000702,8.46,8.68,8.40,8.45,-0.04,-0.47,"91,273","7,797",3.30,3.42
2017-08-02,正虹科技,1000702,8.67,8.69,8.40,8.49,-0.21,-2.41,"111,484","9,486",3.33,4.18
2017-08-01,正虹科技,1000702,8.85,8.93,8.68,8.70,-0.23,-2.58,"128,397","11,288",2.80,4.82
2017-07-31,正虹科技,1000702,8.93,9.10,8.65,8.93,0.00,0.00,"276,301","24,557",5.04,10.36
2017-07-28,正虹科技,1000702,8.10,8.93,8.10,8.93,0.81,9.98,"295,907","25,672",10.22,11.10
2017-07-27,正虹科技,1000702,7.95,8.14,7.93,8.12,0.17,2.14,"75,927","6,122",2.64,2.85
2017-07-26,正虹科技,1000702,8.01,8.05,7.92,7.95,-0.07,-0.87,"55,613","4,434",1.62,2.09
2017-07-25,正虹科技,1000702,8.01,8.04,7.97,8.02,0.01,0.12,"52,920","4,237",0.87,1.98
2017-07-24,正虹科技,1000702,7.93,8.02,7.88,8.01,0.01,0.13,"64,577","5,143",1.75,2.42
2017-07-21,正虹科技,1000702,8.08,8.14,8.00,8.00,-0.17,-2.08,"91,020","7,333",1.71,3.41
2017-07-20,正虹科技,1000702,8.14,8.22,8.00,8.17,0.00,0.00,"190,962","15,482",2.69,7.16
2017-07-19,正虹科技,1000702,8.03,8.26,7.93,8.17,0.11,1.36,"210,171","17,108",4.09,7.88
2017-07-18,正虹科技,1000702,7.97,8.19,7.85,8.06,-0.45,-5.29,"256,021","20,574",4.00,9.60
2017-07-17,正虹科技,1000702,8.51,9.15,8.51,8.51,-0.95,-10.04,"454,534","39,040",6.77,17.05
2017-07-14,正虹科技,1000702,9.46,9.46,9.46,9.46,-1.05,-9.99,"188,968","17,876",0.00,7.09
2017-07-13,正虹科技,1000702,10.51,10.51,10.51,10.51,-1.17,-10.02,"8,095",851,0.00,0.30
