日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,退市昌鱼,0600275,11.77,12.54,11.41,12.08,0.06,0.50,"151,459","18,170",9.40,2.98
2017-03-30,退市昌鱼,0600275,13.00,13.00,11.93,12.02,-1.17,-8.87,"248,944","30,416",8.11,4.89
2017-03-29,退市昌鱼,0600275,14.02,14.03,13.00,13.19,-1.18,-8.21,"291,629","39,009",7.17,5.73
2017-03-28,退市昌鱼,0600275,14.46,14.79,14.30,14.37,0.19,1.34,"143,788","20,843",3.46,2.83
2017-03-27,退市昌鱼,0600275,14.39,14.45,14.01,14.18,-0.30,-2.07,"113,571","16,050",3.04,2.23
2017-03-24,退市昌鱼,0600275,14.30,15.38,14.30,14.48,0.43,3.06,"225,851","33,053",7.69,4.44
2017-03-23,退市昌鱼,0600275,14.08,14.22,14.00,14.05,-0.09,-0.64,"62,936","8,869",1.56,1.24
2017-03-22,退市昌鱼,0600275,14.30,14.30,14.10,14.14,-0.18,-1.26,"62,206","8,809",1.40,1.22
2017-03-21,退市昌鱼,0600275,14.22,14.40,14.14,14.32,0.15,1.06,"73,041","10,450",1.83,1.44
2017-03-20,退市昌鱼,0600275,14.23,14.34,14.08,14.17,-0.06,-0.42,"75,476","10,690",1.83,1.48
2017-03-17,退市昌鱼,0600275,14.40,14.63,14.17,14.23,-0.15,-1.04,"154,294","22,172",3.20,3.03
2017-03-16,退市昌鱼,0600275,14.23,14.52,14.23,14.38,0.01,0.07,"84,881","12,224",2.02,1.67
2017-03-15,退市昌鱼,0600275,14.36,14.60,14.24,14.37,-0.08,-0.55,"86,181","12,458",2.49,1.69
2017-03-14,退市昌鱼,0600275,14.40,14.62,14.19,14.45,0.02,0.14,"127,168","18,283",2.98,2.50
2017-03-13,退市昌鱼,0600275,14.65,14.80,14.31,14.43,-0.39,-2.63,"123,674","17,871",3.31,2.43
2017-03-10,退市昌鱼,0600275,15.00,15.09,14.77,14.82,-0.33,-2.18,"125,661","18,706",2.11,2.47
2017-03-09,退市昌鱼,0600275,14.65,15.48,14.37,15.15,0.51,3.48,"267,752","39,912",7.58,5.26
2017-03-08,退市昌鱼,0600275,14.83,14.98,14.59,14.64,-0.15,-1.01,"138,697","20,461",2.64,2.73
2017-03-07,退市昌鱼,0600275,14.68,14.86,14.66,14.79,0.08,0.54,"111,821","16,521",1.36,2.20
2017-03-06,退市昌鱼,0600275,14.68,14.95,14.58,14.71,-0.11,-0.74,"128,152","18,881",2.50,2.52
2017-03-03,退市昌鱼,0600275,14.70,15.10,14.30,14.82,0.06,0.41,"272,999","40,051",5.42,5.37
2017-03-02,退市昌鱼,0600275,15.50,15.50,14.56,14.76,-0.37,-2.45,"364,306","54,230",6.21,7.16
2017-03-01,退市昌鱼,0600275,13.75,15.13,13.62,15.13,1.38,10.04,"247,024","36,122",10.98,4.85
2017-02-28,退市昌鱼,0600275,13.68,13.79,13.66,13.75,0.06,0.44,"82,245","11,284",0.95,1.62
2017-02-27,退市昌鱼,0600275,13.80,13.85,13.60,13.69,-0.17,-1.23,"91,832","12,569",1.80,1.80
2017-02-24,退市昌鱼,0600275,14.11,14.13,13.68,13.86,-0.25,-1.77,"157,983","21,801",3.19,3.10
2017-02-23,退市昌鱼,0600275,14.48,14.53,14.01,14.11,-0.38,-2.62,"197,770","28,055",3.59,3.89
2017-02-22,退市昌鱼,0600275,14.51,14.84,14.22,14.49,-0.24,-1.63,"165,024","23,908",4.21,3.24
2017-02-21,退市昌鱼,0600275,14.78,14.79,14.60,14.73,-0.15,-1.01,"103,225","15,162",1.28,2.03
2017-02-20,退市昌鱼,0600275,14.80,14.90,14.20,14.88,0.09,0.61,"178,969","26,056",4.73,3.52
2017-02-17,退市昌鱼,0600275,14.88,15.10,14.75,14.79,-0.06,-0.40,"159,146","23,751",2.36,3.13
2017-02-16,退市昌鱼,0600275,14.51,14.86,14.51,14.85,0.12,0.81,"107,014","15,781",2.38,2.10
2017-02-15,退市昌鱼,0600275,14.93,15.08,14.65,14.73,-0.20,-1.34,"127,825","18,916",2.88,2.51
2017-02-14,退市昌鱼,0600275,14.85,15.09,14.84,14.93,-0.02,-0.13,"113,304","16,919",1.67,2.23
2017-02-13,退市昌鱼,0600275,14.61,15.21,14.60,14.95,0.34,2.33,"203,202","30,459",4.18,3.99
2017-02-10,退市昌鱼,0600275,15.00,15.18,14.60,14.61,-0.43,-2.86,"232,000","34,372",3.86,4.56
2017-02-09,退市昌鱼,0600275,14.99,15.27,14.88,15.04,-0.40,-2.59,"204,123","30,781",2.53,4.01
