日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,道道全,1002852,75.20,76.50,74.98,76.00,0.43,0.57,"8,722","6,623",2.01,3.49
2017-06-29,道道全,1002852,75.60,76.08,75.24,75.57,0.38,0.51,"6,835","5,172",1.12,2.73
2017-06-28,道道全,1002852,76.22,76.39,74.89,75.19,-1.31,-1.71,"7,776","5,857",1.96,3.11
2017-06-27,道道全,1002852,76.40,78.35,76.21,76.50,0.09,0.12,"8,744","6,728",2.80,3.50
2017-06-26,道道全,1002852,75.55,76.55,74.76,76.41,0.98,1.30,"8,760","6,639",2.37,3.50
2017-06-23,道道全,1002852,75.48,75.97,73.89,75.43,-0.27,-0.36,"12,010","8,999",2.75,4.80
2017-06-22,道道全,1002852,77.77,77.80,75.70,75.70,-1.96,-2.52,"11,605","8,926",2.70,4.64
2017-06-21,道道全,1002852,78.60,78.68,76.98,77.66,-0.54,-0.69,"11,214","8,711",2.17,4.49
2017-06-20,道道全,1002852,79.98,79.98,78.18,78.20,-1.04,-1.31,"11,200","8,874",2.27,4.48
2017-06-19,道道全,1002852,79.55,80.10,78.80,79.24,-0.28,-0.35,"9,344","7,409",1.63,3.74
2017-06-16,道道全,1002852,80.79,81.39,79.42,79.52,-1.20,-1.49,"15,587","12,486",2.44,6.23
2017-06-15,道道全,1002852,79.40,81.46,79.30,80.72,1.27,1.60,"25,582","20,669",2.72,10.23
2017-06-14,道道全,1002852,79.60,80.30,78.81,79.45,-0.55,-0.69,"11,497","9,159",1.86,4.60
2017-06-13,道道全,1002852,77.70,80.48,77.60,80.00,2.10,2.70,"14,014","11,167",3.70,5.61
2017-06-12,道道全,1002852,80.01,80.19,77.70,77.90,-3.00,-3.71,"11,009","8,685",3.08,4.40
2017-06-09,道道全,1002852,80.99,81.18,79.50,80.90,-0.19,-0.23,"9,730","7,826",2.07,3.89
2017-06-08,道道全,1002852,81.01,81.74,80.02,81.09,0.09,0.11,"13,891","11,239",2.12,5.56
2017-06-07,道道全,1002852,77.69,82.95,77.10,81.00,3.28,4.22,"22,020","17,678",7.53,8.81
2017-06-06,道道全,1002852,77.15,78.59,76.11,77.72,0.02,0.03,"10,257","7,931",3.19,4.10
2017-06-05,道道全,1002852,77.42,78.48,77.38,77.70,0.35,0.45,"11,067","8,626",1.42,4.43
2017-06-02,道道全,1002852,73.56,77.66,73.56,77.35,2.86,3.84,"14,056","10,598",5.50,5.62
2017-06-01,道道全,1002852,80.85,80.85,74.47,74.49,-6.11,-7.58,"16,151","12,478",7.92,6.46
2017-05-31,道道全,1002852,83.49,84.25,80.60,80.60,-1.07,-1.31,"19,223","15,870",4.47,7.69
2017-05-26,道道全,1002852,79.50,83.42,78.78,81.67,1.91,2.39,"19,285","15,658",5.82,7.71
2017-05-25,道道全,1002852,81.57,81.57,77.50,79.76,0.38,0.48,"14,907","11,831",5.13,5.96
2017-05-24,道道全,1002852,75.90,79.99,73.65,79.38,3.03,3.97,"21,637","16,746",8.30,8.65
2017-05-23,道道全,1002852,81.50,82.47,75.66,76.35,-5.49,-6.71,"20,269","15,960",8.32,8.11
2017-05-22,道道全,1002852,87.86,88.26,81.81,81.84,-6.56,-7.42,"23,341","19,839",7.30,9.34
2017-05-19,道道全,1002852,89.64,90.44,88.36,88.40,-1.11,-1.24,"10,060","8,957",2.32,4.02
2017-05-18,道道全,1002852,90.73,91.00,89.50,89.51,-1.99,-2.17,"12,014","10,839",1.64,4.81
2017-05-17,道道全,1002852,91.00,92.25,90.71,91.50,0.03,0.03,"19,729","18,065",1.68,7.89
2017-05-16,道道全,1002852,88.70,91.55,86.00,91.47,2.21,2.48,"27,871","24,790",6.22,11.15
2017-05-15,道道全,1002852,92.00,92.26,89.20,89.26,-2.41,-2.63,"15,045","13,571",3.34,6.02
2017-05-12,道道全,1002852,91.35,92.87,90.82,91.67,-0.01,-0.01,"15,542","14,245",2.24,6.22
2017-05-11,道道全,1002852,90.97,91.68,88.00,91.68,-0.02,-0.02,"21,898","19,649",4.01,8.76
2017-05-10,道道全,1002852,91.18,94.65,91.05,91.70,1.28,1.42,"33,305","30,988",3.98,13.32
2017-05-09,道道全,1002852,88.60,90.54,88.10,90.42,1.25,1.40,"16,730","15,003",2.74,6.69
2017-05-08,道道全,1002852,90.00,91.66,88.70,89.17,-0.88,-0.98,"12,666","11,404",3.29,5.07
2017-05-05,道道全,1002852,91.01,93.00,90.00,90.05,-1.95,-2.12,"17,278","15,776",3.26,6.91
2017-05-04,道道全,1002852,94.19,94.19,91.81,92.00,-2.18,-2.31,"15,269","14,197",2.53,6.11
2017-05-03,道道全,1002852,93.50,94.34,91.40,94.18,1.03,1.11,"19,084","17,807",3.16,7.63
2017-05-02,道道全,1002852,93.60,94.57,92.91,93.15,-0.54,-0.58,"13,180","12,326",1.77,5.27
2017-04-28,道道全,1002852,93.44,94.24,93.07,93.69,-0.79,-0.84,"17,410","16,288",1.24,6.96
2017-04-27,道道全,1002852,90.01,94.88,88.56,94.48,3.71,4.09,"32,254","29,733",6.96,12.90
2017-04-26,道道全,1002852,90.18,91.99,89.67,90.77,0.62,0.69,"16,805","15,290",2.57,6.72
2017-04-25,道道全,1002852,90.49,91.87,90.01,90.15,0.35,0.39,"16,484","14,995",2.07,6.59
2017-04-24,道道全,1002852,92.01,92.44,87.90,89.80,-2.56,-2.77,"18,392","16,464",4.92,7.36
