日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-29,金健米业,0600127,5.61,5.70,5.61,5.64,0.05,0.89,"45,574","2,574",1.61,0.71
2017-06-28,金健米业,0600127,5.67,5.67,5.57,5.59,-0.11,-1.93,"40,429","2,274",1.75,0.63
2017-06-27,金健米业,0600127,5.64,5.71,5.60,5.70,0.07,1.24,"54,252","3,066",1.95,0.85
2017-06-26,金健米业,0600127,5.58,5.64,5.56,5.63,0.05,0.90,"46,689","2,615",1.43,0.73
2017-06-23,金健米业,0600127,5.58,5.65,5.49,5.58,-0.04,-0.71,"40,042","2,227",2.85,0.62
2017-06-22,金健米业,0600127,5.71,5.76,5.61,5.62,-0.14,-2.43,"65,097","3,707",2.60,1.01
2017-06-21,金健米业,0600127,5.75,5.80,5.70,5.76,-0.03,-0.52,"43,439","2,501",1.73,0.68
2017-06-20,金健米业,0600127,5.71,5.85,5.68,5.79,0.08,1.40,"89,653","5,179",2.98,1.40
2017-06-19,金健米业,0600127,5.69,5.73,5.65,5.71,0.01,0.18,"37,469","2,133",1.40,0.58
2017-06-16,金健米业,0600127,5.62,5.73,5.62,5.70,0.05,0.89,"55,768","3,166",1.95,0.87
2017-06-15,金健米业,0600127,5.58,5.66,5.55,5.65,0.08,1.44,"42,329","2,380",1.97,0.66
2017-06-14,金健米业,0600127,5.56,5.60,5.54,5.57,0.00,0.00,"30,969","1,724",1.08,0.48
2017-06-13,金健米业,0600127,5.49,5.58,5.48,5.57,0.06,1.09,"27,190","1,509",1.81,0.42
2017-06-12,金健米业,0600127,5.61,5.64,5.49,5.51,-0.12,-2.13,"31,867","1,766",2.66,0.50
2017-06-09,金健米业,0600127,5.67,5.67,5.59,5.63,-0.04,-0.71,"24,192","1,360",1.41,0.38
2017-06-08,金健米业,0600127,5.65,5.68,5.63,5.67,0.02,0.35,"44,032","2,492",0.89,0.69
2017-06-07,金健米业,0600127,5.53,5.65,5.53,5.65,0.10,1.80,"47,104","2,648",2.16,0.73
2017-06-06,金健米业,0600127,5.53,5.55,5.49,5.55,0.03,0.54,"22,389","1,238",1.09,0.35
2017-06-05,金健米业,0600127,5.50,5.54,5.48,5.52,0.04,0.73,"23,443","1,291",1.09,0.37
2017-06-02,金健米业,0600127,5.45,5.50,5.32,5.48,0.04,0.74,"32,497","1,757",3.31,0.51
2017-06-01,金健米业,0600127,5.67,5.67,5.42,5.44,-0.23,-4.06,"35,673","1,978",4.41,0.56
2017-05-31,金健米业,0600127,5.67,5.73,5.66,5.67,0.03,0.53,"22,067","1,255",1.24,0.34
2017-05-26,金健米业,0600127,5.65,5.67,5.60,5.64,-0.02,-0.35,"31,367","1,767",1.24,0.49
2017-05-25,金健米业,0600127,5.49,5.69,5.48,5.66,0.15,2.72,"63,426","3,554",3.81,0.99
2017-05-24,金健米业,0600127,5.50,5.54,5.37,5.51,-0.02,-0.36,"50,270","2,748",3.07,0.78
2017-05-23,金健米业,0600127,5.75,5.83,5.50,5.53,-0.23,-3.99,"60,223","3,412",5.73,0.94
2017-05-22,金健米业,0600127,5.98,6.08,5.75,5.76,-0.21,-3.52,"60,592","3,586",5.53,0.94
2017-05-19,金健米业,0600127,5.90,5.98,5.89,5.97,0.06,1.02,"29,283","1,742",1.52,0.46
2017-05-18,金健米业,0600127,5.93,5.97,5.88,5.91,-0.02,-0.34,"35,975","2,134",1.52,0.56
2017-05-17,金健米业,0600127,5.91,5.97,5.88,5.93,0.03,0.51,"46,494","2,759",1.53,0.72
2017-05-16,金健米业,0600127,5.86,5.93,5.70,5.90,0.06,1.03,"59,177","3,438",3.94,0.92
2017-05-15,金健米业,0600127,5.94,5.98,5.83,5.84,-0.06,-1.02,"31,918","1,890",2.54,0.50
2017-05-12,金健米业,0600127,6.02,6.04,5.90,5.90,-0.14,-2.32,"39,708","2,370",2.32,0.62
2017-05-11,金健米业,0600127,6.18,6.21,5.81,6.04,-0.13,-2.11,"94,192","5,646",6.48,1.47
2017-05-10,金健米业,0600127,6.31,6.41,6.15,6.17,-0.13,-2.06,"45,830","2,896",4.13,0.71
2017-05-09,金健米业,0600127,6.21,6.40,6.18,6.30,0.04,0.64,"33,325","2,088",3.51,0.52
2017-05-08,金健米业,0600127,6.33,6.36,6.26,6.26,-0.07,-1.11,"36,496","2,304",1.58,0.57
2017-05-05,金健米业,0600127,6.39,6.45,6.25,6.33,-0.07,-1.09,"49,185","3,124",3.13,0.77
2017-05-04,金健米业,0600127,6.45,6.48,6.38,6.40,-0.08,-1.23,"39,281","2,524",1.54,0.61
2017-05-03,金健米业,0600127,6.44,6.51,6.40,6.48,0.04,0.62,"47,172","3,045",1.71,0.74
2017-05-02,金健米业,0600127,6.48,6.54,6.38,6.44,-0.05,-0.77,"36,325","2,337",2.47,0.57
2017-04-28,金健米业,0600127,6.38,6.51,6.33,6.49,0.07,1.09,"43,482","2,807",2.80,0.68
2017-04-27,金健米业,0600127,6.42,6.43,6.10,6.42,0.02,0.31,"83,141","5,210",5.16,1.30
2017-04-26,金健米业,0600127,6.45,6.52,6.37,6.40,-0.06,-0.93,"61,585","3,958",2.32,0.96
2017-04-25,金健米业,0600127,6.51,6.55,6.36,6.46,0.01,0.16,"59,411","3,839",2.95,0.93
2017-04-24,金健米业,0600127,6.88,6.89,6.44,6.45,-0.40,-5.84,"128,156","8,432",6.57,2.00
2017-04-21,金健米业,0600127,6.81,6.94,6.76,6.85,0.07,1.03,"58,597","4,010",2.65,0.91
2017-04-20,金健米业,0600127,6.85,6.94,6.70,6.78,-0.08,-1.17,"79,504","5,414",3.50,1.24
2017-04-19,金健米业,0600127,7.07,7.11,6.68,6.86,-0.21,-2.97,"151,887","10,466",6.08,2.37
2017-04-18,金健米业,0600127,7.35,7.36,7.05,7.07,-0.34,-4.59,"195,553","14,095",4.18,3.05
2017-04-17,金健米业,0600127,7.48,7.63,7.37,7.41,-0.13,-1.72,"195,788","14,681",3.45,3.05
2017-04-14,金健米业,0600127,7.39,7.58,7.34,7.54,0.14,1.89,"228,745","17,088",3.24,3.56
2017-04-13,金健米业,0600127,7.41,7.45,7.37,7.40,-0.07,-0.94,"150,111","11,109",1.07,2.34
2017-04-12,金健米业,0600127,7.28,7.73,7.27,7.47,0.11,1.49,"299,113","22,439",6.25,4.66
2017-04-11,金健米业,0600127,7.29,7.38,7.19,7.36,0.07,0.96,"118,614","8,639",2.61,1.85
2017-04-10,金健米业,0600127,7.26,7.47,7.26,7.29,0.10,1.39,"139,062","10,229",2.92,2.17
2017-04-07,金健米业,0600127,7.28,7.29,7.18,7.19,-0.08,-1.10,"64,582","4,661",1.51,1.01
2017-04-06,金健米业,0600127,7.27,7.31,7.23,7.27,0.00,0.00,"55,179","4,013",1.10,0.86
2017-04-05,金健米业,0600127,7.09,7.28,7.09,7.27,0.18,2.54,"64,457","4,651",2.68,1.00
2017-12-29,金健米业,0600127,4.55,4.56,4.50,4.56,0.03,0.66,"28,053","1,269",1.32,0.44
2017-12-28,金健米业,0600127,4.54,4.55,4.50,4.53,0.00,0.00,"26,800","1,213",1.10,0.42
2017-12-27,金健米业,0600127,4.55,4.55,4.51,4.53,-0.04,-0.88,"24,197","1,095",0.88,0.38
2017-12-26,金健米业,0600127,4.50,4.57,4.46,4.57,0.11,2.47,"37,414","1,688",2.47,0.58
2017-12-25,金健米业,0600127,4.47,4.52,4.43,4.46,-0.03,-0.67,"26,682","1,193",2.00,0.42
2017-12-22,金健米业,0600127,4.45,4.50,4.43,4.49,0.01,0.22,"13,929",623,1.56,0.22
2017-12-21,金健米业,0600127,4.49,4.49,4.43,4.48,-0.01,-0.22,"24,331","1,085",1.34,0.38
2017-12-20,金健米业,0600127,4.54,4.56,4.47,4.49,-0.06,-1.32,"20,364",918,1.98,0.32
2017-12-19,金健米业,0600127,4.53,4.56,4.51,4.55,0.01,0.22,"22,958","1,041",1.10,0.36
2017-12-18,金健米业,0600127,4.51,4.58,4.50,4.54,0.02,0.44,"27,926","1,269",1.77,0.44
2017-12-15,金健米业,0600127,4.51,4.52,4.48,4.52,-0.01,-0.22,"25,958","1,167",0.88,0.40
2017-12-14,金健米业,0600127,4.56,4.56,4.50,4.53,-0.05,-1.09,"32,703","1,478",1.31,0.51
2017-12-13,金健米业,0600127,4.55,4.58,4.50,4.58,0.05,1.10,"41,677","1,894",1.77,0.65
2017-12-12,金健米业,0600127,4.52,4.59,4.47,4.53,0.01,0.22,"42,547","1,926",2.65,0.66
2017-12-11,金健米业,0600127,4.49,4.52,4.47,4.52,0.03,0.67,"22,962","1,033",1.11,0.36
2017-12-08,金健米业,0600127,4.46,4.49,4.44,4.49,0.03,0.67,"30,675","1,373",1.12,0.48
2017-12-07,金健米业,0600127,4.45,4.48,4.41,4.46,-0.02,-0.45,"26,754","1,188",1.56,0.42
2017-12-06,金健米业,0600127,4.45,4.49,4.39,4.48,0.04,0.90,"28,001","1,243",2.25,0.44
2017-12-05,金健米业,0600127,4.56,4.58,4.38,4.44,-0.12,-2.63,"41,712","1,866",4.39,0.65
2017-12-04,金健米业,0600127,4.60,4.63,4.55,4.56,-0.05,-1.08,"23,542","1,081",1.74,0.37
2017-12-01,金健米业,0600127,4.55,4.62,4.52,4.61,0.07,1.54,"40,272","1,849",2.20,0.63
2017-11-30,金健米业,0600127,4.58,4.58,4.51,4.54,-0.04,-0.87,"33,323","1,514",1.53,0.52
2017-11-29,金健米业,0600127,4.56,4.59,4.51,4.58,0.03,0.66,"30,724","1,399",1.76,0.48
2017-11-28,金健米业,0600127,4.51,4.56,4.49,4.55,0.04,0.89,"21,515",975,1.55,0.34
2017-11-27,金健米业,0600127,4.55,4.57,4.50,4.51,-0.05,-1.10,"30,608","1,386",1.54,0.48
2017-11-24,金健米业,0600127,4.61,4.63,4.48,4.56,-0.05,-1.08,"53,965","2,452",3.25,0.84
2017-11-23,金健米业,0600127,4.71,4.75,4.60,4.61,-0.11,-2.33,"46,300","2,163",3.18,0.72
2017-11-22,金健米业,0600127,4.80,4.81,4.69,4.72,-0.07,-1.46,"45,904","2,173",2.51,0.72
2017-11-21,金健米业,0600127,4.84,4.87,4.76,4.79,-0.05,-1.03,"34,452","1,658",2.27,0.54
2017-11-20,金健米业,0600127,4.87,4.88,4.73,4.84,-0.05,-1.02,"28,272","1,359",3.07,0.44
2017-11-17,金健米业,0600127,5.01,5.03,4.85,4.89,-0.12,-2.40,"63,879","3,152",3.59,1.00
2017-11-16,金健米业,0600127,5.04,5.04,5.00,5.01,-0.02,-0.40,"23,207","1,163",0.80,0.36
2017-11-15,金健米业,0600127,5.01,5.05,4.99,5.03,0.03,0.60,"28,389","1,425",1.20,0.44
2017-11-14,金健米业,0600127,5.07,5.07,4.99,5.00,-0.06,-1.19,"50,058","2,509",1.58,0.78
2017-11-13,金健米业,0600127,5.08,5.09,5.05,5.06,-0.02,-0.39,"27,511","1,394",0.79,0.43
2017-11-10,金健米业,0600127,5.13,5.13,5.06,5.08,-0.05,-0.97,"36,544","1,858",1.36,0.57
2017-11-09,金健米业,0600127,5.11,5.14,5.09,5.13,0.01,0.20,"23,479","1,200",0.98,0.37
2017-11-08,金健米业,0600127,5.05,5.14,5.05,5.12,0.06,1.19,"49,037","2,502",1.78,0.76
2017-11-07,金健米业,0600127,5.10,5.10,5.03,5.06,-0.04,-0.78,"47,998","2,428",1.37,0.75
2017-11-06,金健米业,0600127,5.06,5.11,5.02,5.10,0.02,0.39,"26,707","1,351",1.77,0.42
2017-11-03,金健米业,0600127,5.12,5.15,5.05,5.08,-0.02,-0.39,"35,069","1,787",1.96,0.55
2017-11-02,金健米业,0600127,5.18,5.18,5.09,5.10,-0.07,-1.35,"46,357","2,371",1.74,0.72
2017-11-01,金健米业,0600127,5.22,5.23,5.17,5.17,-0.05,-0.96,"31,683","1,648",1.15,0.49
2017-10-31,金健米业,0600127,5.22,5.23,5.17,5.22,0.00,0.00,"38,570","2,007",1.15,0.60
2017-10-30,金健米业,0600127,5.38,5.38,5.12,5.22,-0.18,-3.33,"66,760","3,500",4.81,1.04
2017-10-27,金健米业,0600127,5.40,5.41,5.34,5.40,0.01,0.19,"43,340","2,329",1.30,0.68
2017-10-26,金健米业,0600127,5.37,5.42,5.36,5.39,0.02,0.37,"37,881","2,041",1.12,0.59
2017-10-25,金健米业,0600127,5.34,5.38,5.33,5.37,0.01,0.19,"30,589","1,639",0.93,0.48
2017-10-24,金健米业,0600127,5.38,5.39,5.33,5.36,-0.03,-0.56,"33,023","1,768",1.11,0.51
2017-10-23,金健米业,0600127,5.36,5.41,5.33,5.39,0.02,0.37,"29,570","1,589",1.49,0.46
2017-10-20,金健米业,0600127,5.34,5.37,5.30,5.37,0.05,0.94,"37,746","2,016",1.32,0.59
2017-10-19,金健米业,0600127,5.41,5.45,5.30,5.32,-0.14,-2.56,"74,026","3,959",2.75,1.15
2017-10-18,金健米业,0600127,5.44,5.61,5.42,5.46,0.01,0.18,"64,781","3,554",3.49,1.01
2017-10-17,金健米业,0600127,5.53,5.53,5.31,5.45,-0.12,-2.15,"64,480","3,520",3.95,1.00
2017-10-16,金健米业,0600127,5.58,5.74,5.50,5.57,0.00,0.00,"125,584","7,044",4.31,1.96
2017-10-13,金健米业,0600127,5.54,5.57,5.52,5.57,0.03,0.54,"43,911","2,435",0.90,0.68
2017-10-12,金健米业,0600127,5.60,5.60,5.50,5.54,-0.08,-1.42,"74,643","4,129",1.78,1.16
2017-10-11,金健米业,0600127,5.58,5.63,5.55,5.62,0.03,0.54,"61,998","3,469",1.43,0.97
2017-10-10,金健米业,0600127,5.51,5.60,5.49,5.59,0.08,1.45,"71,197","3,950",2.00,1.11
2017-10-09,金健米业,0600127,5.55,5.57,5.49,5.51,0.02,0.36,"62,907","3,471",1.46,0.98
2017-03-31,金健米业,0600127,7.17,7.24,7.04,7.09,-0.09,-1.25,"97,339","6,961",2.79,1.52
2017-03-30,金健米业,0600127,7.25,7.32,7.15,7.18,-0.11,-1.51,"111,696","8,073",2.33,1.74
2017-03-29,金健米业,0600127,7.39,7.43,7.21,7.29,-0.12,-1.62,"108,471","7,920",2.97,1.69
2017-03-28,金健米业,0600127,7.45,7.46,7.37,7.41,-0.04,-0.54,"77,801","5,761",1.21,1.21
2017-03-27,金健米业,0600127,7.47,7.50,7.37,7.45,-0.03,-0.40,"123,896","9,201",1.74,1.93
2017-03-24,金健米业,0600127,7.33,7.52,7.26,7.48,0.10,1.36,"180,044","13,366",3.52,2.81
2017-03-23,金健米业,0600127,7.34,7.44,7.23,7.38,0.04,0.55,"122,132","8,983",2.86,1.90
2017-03-22,金健米业,0600127,7.26,7.36,7.20,7.34,0.06,0.82,"79,141","5,751",2.20,1.23
2017-03-21,金健米业,0600127,7.25,7.31,7.25,7.28,0.04,0.55,"61,531","4,480",0.83,0.96
2017-03-20,金健米业,0600127,7.22,7.25,7.18,7.24,0.04,0.56,"58,696","4,231",0.97,0.91
2017-03-17,金健米业,0600127,7.28,7.35,7.19,7.20,-0.08,-1.10,"74,764","5,446",2.20,1.16
2017-03-16,金健米业,0600127,7.25,7.30,7.22,7.28,0.05,0.69,"64,810","4,714",1.11,1.01
2017-03-15,金健米业,0600127,7.31,7.33,7.19,7.23,-0.11,-1.50,"86,580","6,271",1.91,1.35
2017-03-14,金健米业,0600127,7.41,7.48,7.31,7.34,-0.10,-1.34,"96,420","7,107",2.28,1.50
2017-03-13,金健米业,0600127,7.47,7.47,7.36,7.44,-0.04,-0.53,"97,667","7,245",1.47,1.52
2017-03-10,金健米业,0600127,7.28,7.48,7.25,7.48,0.20,2.75,"179,321","13,258",3.16,2.79
2017-03-09,金健米业,0600127,7.36,7.39,7.25,7.28,-0.14,-1.89,"100,678","7,349",1.89,1.57
2017-03-08,金健米业,0600127,7.28,7.47,7.25,7.42,0.14,1.92,"153,693","11,311",3.02,2.39
2017-03-07,金健米业,0600127,7.31,7.31,7.25,7.28,-0.03,-0.41,"61,818","4,498",0.82,0.96
2017-03-06,金健米业,0600127,7.23,7.32,7.21,7.31,0.07,0.97,"83,252","6,063",1.52,1.30
2017-03-03,金健米业,0600127,7.18,7.26,7.13,7.24,0.03,0.42,"79,856","5,755",1.80,1.24
2017-03-02,金健米业,0600127,7.40,7.41,7.18,7.21,-0.16,-2.17,"151,209","10,970",3.12,2.36
