日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,金新农,1002548,10.84,10.90,10.83,10.88,-0.01,-0.09,"4,915",534,0.64,0.15
2017-12-28,金新农,1002548,10.82,10.95,10.72,10.89,0.05,0.46,"10,946","1,187",2.12,0.34
2017-12-27,金新农,1002548,10.98,10.99,10.78,10.84,-0.21,-1.90,"14,551","1,581",1.90,0.45
2017-12-26,金新农,1002548,11.08,11.22,11.01,11.05,0.04,0.36,"27,089","3,016",1.91,0.85
2017-12-25,金新农,1002548,10.99,11.08,10.92,11.01,-0.01,-0.09,"10,943","1,204",1.45,0.34
2017-12-22,金新农,1002548,11.10,11.20,11.02,11.02,-0.13,-1.17,"12,453","1,380",1.61,0.39
2017-12-21,金新农,1002548,10.90,11.35,10.75,11.15,0.22,2.01,"29,097","3,220",5.49,0.91
2017-12-20,金新农,1002548,10.87,10.98,10.82,10.93,0.00,0.00,"8,158",890,1.46,0.25
2017-12-19,金新农,1002548,10.91,11.00,10.88,10.93,0.02,0.18,"10,763","1,178",1.10,0.34
2017-12-18,金新农,1002548,10.87,10.98,10.82,10.91,0.01,0.09,"11,532","1,259",1.47,0.36
2017-12-15,金新农,1002548,10.75,10.93,10.73,10.90,0.15,1.40,"14,656","1,588",1.86,0.46
2017-12-14,金新农,1002548,10.85,10.87,10.72,10.75,-0.13,-1.19,"7,452",803,1.38,0.23
2017-12-13,金新农,1002548,10.89,10.95,10.75,10.88,0.02,0.18,"10,244","1,113",1.84,0.32
2017-12-12,金新农,1002548,10.73,10.94,10.68,10.86,0.13,1.21,"14,935","1,617",2.42,0.47
2017-12-11,金新农,1002548,10.61,10.78,10.60,10.73,0.12,1.13,"14,221","1,523",1.70,0.44
2017-12-08,金新农,1002548,10.61,10.65,10.54,10.61,0.03,0.28,"6,591",699,1.04,0.21
2017-12-07,金新农,1002548,10.59,10.78,10.53,10.58,0.01,0.09,"11,374","1,214",2.37,0.36
2017-12-06,金新农,1002548,10.45,10.61,10.45,10.57,0.14,1.34,"13,392","1,411",1.53,0.42
2017-12-05,金新农,1002548,10.91,11.03,10.35,10.43,-0.45,-4.14,"20,464","2,192",6.25,0.64
2017-12-04,金新农,1002548,10.82,10.95,10.79,10.88,-0.05,-0.46,"9,645","1,049",1.46,0.30
2017-12-01,金新农,1002548,10.81,10.95,10.78,10.93,0.07,0.64,"8,635",940,1.57,0.27
2017-11-30,金新农,1002548,10.95,11.03,10.75,10.86,-0.09,-0.82,"10,866","1,180",2.56,0.34
2017-11-29,金新农,1002548,10.98,11.00,10.81,10.95,-0.03,-0.27,"9,558","1,043",1.73,0.30
2017-11-28,金新农,1002548,10.83,11.08,10.83,10.98,0.07,0.64,"17,949","1,969",2.29,0.56
2017-11-27,金新农,1002548,10.67,11.00,10.57,10.91,0.26,2.44,"21,813","2,362",4.04,0.68
2017-11-24,金新农,1002548,10.59,10.75,10.50,10.65,0.06,0.57,"9,785","1,042",2.36,0.31
2017-11-23,金新农,1002548,10.87,10.87,10.59,10.59,-0.21,-1.94,"19,735","2,116",2.59,0.62
2017-11-22,金新农,1002548,10.86,11.04,10.77,10.80,-0.21,-1.91,"21,371","2,326",2.45,0.67
2017-11-21,金新农,1002548,11.47,11.50,10.93,11.01,0.03,0.27,"53,902","6,030",5.19,1.68
2017-11-20,金新农,1002548,10.54,10.98,10.20,10.98,0.43,4.08,"25,577","2,739",7.39,0.80
2017-11-17,金新农,1002548,10.66,10.69,10.42,10.55,-0.11,-1.03,"18,624","1,960",2.53,0.58
2017-11-16,金新农,1002548,10.40,10.71,10.35,10.66,0.26,2.50,"26,094","2,765",3.46,0.82
2017-11-15,金新农,1002548,10.37,10.58,10.32,10.40,0.04,0.39,"13,956","1,459",2.51,0.44
2017-11-14,金新农,1002548,10.60,10.64,10.35,10.36,-0.30,-2.81,"21,513","2,249",2.72,0.67
