日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,迎丰股份,0605055,9.66,9.70,9.50,9.52,-0.20,-2.06,"42,976","4,106",2.06,5.37
2021-06-29,迎丰股份,0605055,9.62,9.86,9.41,9.72,0.11,1.14,"69,326","6,654",4.68,8.67
2021-06-28,迎丰股份,0605055,9.70,9.71,9.49,9.61,0.01,0.10,"44,786","4,289",2.29,5.60
2021-06-25,迎丰股份,0605055,9.57,9.64,9.40,9.60,0.04,0.42,"48,835","4,655",2.51,6.10
2021-06-24,迎丰股份,0605055,9.86,9.89,9.56,9.56,-0.30,-3.04,"65,555","6,321",3.35,8.19
2021-06-23,迎丰股份,0605055,10.01,10.02,9.85,9.86,-0.20,-1.99,"61,803","6,118",1.69,7.73
2021-06-22,迎丰股份,0605055,9.82,10.15,9.82,10.06,0.14,1.41,"74,934","7,499",3.33,9.37
2021-06-21,迎丰股份,0605055,9.87,10.15,9.72,9.92,0.25,2.59,"73,322","7,266",4.45,9.17
2021-06-18,迎丰股份,0605055,9.59,9.73,9.50,9.67,0.14,1.47,"59,886","5,772",2.41,7.49
2021-06-17,迎丰股份,0605055,9.52,9.75,9.51,9.53,-0.09,-0.94,"71,803","6,883",2.49,8.98
2021-06-16,迎丰股份,0605055,10.10,10.10,9.60,9.62,-0.50,-4.94,"113,510","11,107",4.94,14.19
2021-06-15,迎丰股份,0605055,11.09,11.09,10.06,10.12,-1.06,-9.48,"159,536","16,579",9.21,19.94
2021-06-11,迎丰股份,0605055,10.93,11.66,10.87,11.18,0.34,3.14,"159,027","17,963",7.29,19.88
2021-06-10,迎丰股份,0605055,10.90,10.98,10.72,10.84,-0.07,-0.64,"87,366","9,451",2.38,10.92
2021-06-09,迎丰股份,0605055,11.35,11.35,10.89,10.91,-0.44,-3.88,"117,915","13,030",4.05,14.74
2021-06-08,迎丰股份,0605055,11.36,11.50,11.21,11.35,-0.19,-1.65,"115,755","13,094",2.51,14.47
2021-06-07,迎丰股份,0605055,11.19,11.65,11.10,11.54,0.34,3.04,"168,933","19,196",4.91,21.12
