日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,中迪投资,1000609,14.10,14.30,14.09,14.16,0.10,0.71,"14,047","1,988",1.49,0.49
2017-09-28,中迪投资,1000609,14.40,14.40,14.05,14.06,-0.39,-2.70,"20,890","2,974",2.42,0.72
2017-09-27,中迪投资,1000609,14.35,14.45,14.27,14.45,0.15,1.05,"20,146","2,894",1.26,0.70
2017-09-26,中迪投资,1000609,14.51,14.61,14.21,14.30,-0.21,-1.45,"29,700","4,267",2.76,1.03
2017-09-25,中迪投资,1000609,14.75,14.79,14.50,14.51,-0.23,-1.56,"21,981","3,211",1.97,0.76
2017-09-22,中迪投资,1000609,15.05,15.16,14.66,14.74,-0.31,-2.06,"34,239","5,085",3.32,1.19
2017-09-21,中迪投资,1000609,15.34,15.36,15.04,15.05,-0.34,-2.21,"43,192","6,552",2.08,1.50
2017-09-20,中迪投资,1000609,15.51,15.53,15.23,15.39,-0.21,-1.35,"53,746","8,245",1.92,1.86
2017-09-19,中迪投资,1000609,15.37,15.86,15.30,15.70,0.41,2.68,"84,349","13,166",3.66,2.92
2017-09-18,中迪投资,1000609,15.47,15.71,15.19,15.29,-0.17,-1.10,"49,513","7,615",3.36,1.72
2017-09-15,中迪投资,1000609,15.25,15.63,15.20,15.46,0.19,1.24,"64,329","9,942",2.82,2.23
2017-09-14,中迪投资,1000609,15.26,15.42,15.16,15.27,-0.05,-0.33,"29,281","4,471",1.70,1.01
2017-09-13,中迪投资,1000609,15.33,15.43,15.16,15.32,-0.02,-0.13,"28,207","4,308",1.76,0.98
2017-09-12,中迪投资,1000609,15.20,15.44,15.18,15.34,0.06,0.39,"40,303","6,170",1.70,1.40
2017-09-11,中迪投资,1000609,15.39,15.46,15.15,15.28,-0.21,-1.36,"41,486","6,341",2.00,1.44
2017-09-08,中迪投资,1000609,15.43,15.68,15.30,15.49,0.10,0.65,"45,500","7,040",2.47,1.58
2017-09-07,中迪投资,1000609,15.70,15.83,15.36,15.39,-0.29,-1.85,"61,777","9,589",3.00,2.14
2017-09-06,中迪投资,1000609,15.78,16.00,15.52,15.68,-0.12,-0.76,"78,307","12,329",3.04,2.71
2017-09-05,中迪投资,1000609,16.21,16.21,15.62,15.80,-0.73,-4.42,"140,816","22,404",3.57,4.88
2017-09-04,中迪投资,1000609,16.53,16.53,16.30,16.53,1.50,9.98,"220,119","36,383",1.53,7.63
2017-08-21,中迪投资,1000609,14.93,15.12,14.92,15.03,0.10,0.67,"7,691","1,157",1.34,0.27
2017-08-18,中迪投资,1000609,14.79,14.98,14.59,14.93,0.12,0.81,"12,238","1,822",2.63,0.42
2017-08-17,中迪投资,1000609,14.76,14.92,14.71,14.81,0.11,0.75,"7,603","1,125",1.43,0.26
2017-08-16,中迪投资,1000609,14.51,14.99,14.51,14.70,0.19,1.31,"12,891","1,907",3.31,0.45
