日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,东亚机械,1301028,13.22,13.38,13.11,13.32,0.27,2.07,"39,603","5,267",2.07,4.40
2021-09-29,东亚机械,1301028,13.53,13.85,13.11,13.21,-0.53,-3.86,"61,651","8,277",5.39,6.84
2021-09-28,东亚机械,1301028,13.65,14.11,13.64,13.74,0.05,0.37,"70,657","9,807",3.43,7.84
2021-09-27,东亚机械,1301028,14.25,14.30,13.20,13.69,-0.72,-5.00,"142,063","19,540",7.63,15.77
2021-09-24,东亚机械,1301028,16.60,17.09,14.15,14.41,-2.50,-14.78,"239,692","37,222",17.39,26.60
2021-09-23,东亚机械,1301028,16.37,17.47,16.26,16.91,0.34,2.05,"158,415","26,902",7.30,17.58
2021-09-22,东亚机械,1301028,16.43,16.91,16.18,16.57,-0.56,-3.27,"135,709","22,415",4.26,15.06
2021-09-17,东亚机械,1301028,16.66,17.95,16.60,17.13,0.29,1.72,"216,693","37,680",8.02,24.05
2021-09-16,东亚机械,1301028,16.40,16.98,16.20,16.84,0.24,1.45,"161,984","27,027",4.70,17.98
2021-09-15,东亚机械,1301028,16.33,16.89,15.99,16.60,-0.01,-0.06,"159,256","26,196",5.42,17.67
2021-09-14,东亚机械,1301028,16.15,16.77,15.56,16.61,0.47,2.91,"216,873","35,070",7.50,24.07
2021-09-13,东亚机械,1301028,15.85,16.20,15.68,16.14,0.35,2.22,"141,559","22,639",3.29,15.71
2021-09-10,东亚机械,1301028,16.53,16.73,15.72,15.79,-0.61,-3.72,"161,125","25,876",6.16,17.88
2021-09-09,东亚机械,1301028,16.91,17.00,16.20,16.40,-0.56,-3.30,"188,509","31,033",4.72,20.92
2021-09-08,东亚机械,1301028,17.85,18.08,16.83,16.96,-0.86,-4.83,"270,670","46,591",7.01,30.04
2021-09-07,东亚机械,1301028,17.70,18.88,16.70,17.82,0.01,0.06,"455,334","80,999",12.24,50.53
2021-09-06,东亚机械,1301028,15.49,17.81,15.49,17.81,2.97,20.01,"329,140","57,174",15.63,36.53
2021-09-03,东亚机械,1301028,15.02,15.57,14.65,14.84,-0.42,-2.75,"129,731","19,540",6.03,14.40
2021-09-02,东亚机械,1301028,14.73,15.46,14.51,15.26,0.33,2.21,"125,802","19,093",6.36,13.96
2021-09-01,东亚机械,1301028,15.01,15.27,14.28,14.93,-0.13,-0.86,"157,172","23,035",6.57,17.44
2021-08-31,东亚机械,1301028,16.09,16.27,15.01,15.06,-1.38,-8.39,"198,883","30,759",7.66,22.07
2021-08-30,东亚机械,1301028,16.09,16.55,15.58,16.44,0.36,2.24,"227,808","36,420",6.03,25.28
2021-08-27,东亚机械,1301028,15.55,16.69,15.28,16.08,0.84,5.51,"265,267","42,516",9.25,29.44
2021-08-26,东亚机械,1301028,15.38,15.77,15.03,15.24,-0.47,-2.99,"197,610","30,283",4.71,21.93
2021-08-25,东亚机械,1301028,14.59,16.13,14.28,15.71,0.95,6.44,"279,593","43,294",12.53,31.03
2021-08-24,东亚机械,1301028,14.67,15.39,14.60,14.76,-0.04,-0.27,"252,039","37,648",5.34,27.97
2021-08-23,东亚机械,1301028,13.45,15.05,13.40,14.80,1.35,10.04,"276,282","39,998",12.27,30.66
2021-08-20,东亚机械,1301028,13.43,13.86,13.37,13.45,0.10,0.75,"112,242","15,250",3.67,12.46
2021-08-19,东亚机械,1301028,14.17,14.17,13.31,13.35,-0.85,-5.99,"159,266","21,709",6.06,17.68
2021-08-18,东亚机械,1301028,13.63,14.30,13.30,14.20,0.37,2.68,"171,053","23,748",7.23,18.98
2021-08-17,东亚机械,1301028,14.30,15.05,13.80,13.83,-0.21,-1.50,"250,240","35,790",8.90,27.77
2021-08-16,东亚机械,1301028,13.30,14.25,13.30,14.04,0.78,5.88,"215,716","29,955",7.16,23.94
2021-08-13,东亚机械,1301028,13.55,13.91,13.19,13.26,-0.38,-2.79,"134,276","18,036",5.28,14.90
2021-08-12,东亚机械,1301028,13.90,13.95,13.51,13.64,-0.41,-2.92,"153,860","21,019",3.13,17.08
2021-08-11,东亚机械,1301028,13.16,14.12,13.16,14.05,0.90,6.84,"252,577","34,870",7.30,28.03
2021-08-10,东亚机械,1301028,12.76,13.22,12.75,13.15,0.25,1.94,"129,428","16,889",3.64,14.36
2021-08-09,东亚机械,1301028,12.59,13.26,12.50,12.90,0.24,1.90,"98,935","12,761",6.00,10.98
2021-08-06,东亚机械,1301028,12.99,13.04,12.60,12.66,-0.45,-3.43,"108,880","13,863",3.36,12.08
2021-08-05,东亚机械,1301028,12.89,13.30,12.63,13.11,0.20,1.55,"153,016","19,900",5.19,16.98
2021-08-04,东亚机械,1301028,12.45,13.08,12.41,12.91,0.42,3.36,"161,735","20,582",5.36,17.95
2021-08-03,东亚机械,1301028,12.41,12.59,12.33,12.49,-0.20,-1.58,"123,413","15,359",2.05,13.70
2021-08-02,东亚机械,1301028,11.80,13.57,11.63,12.69,0.88,7.45,"196,352","24,578",16.43,21.79
2021-07-30,东亚机械,1301028,12.18,12.19,11.81,11.81,-0.56,-4.53,"138,125","16,518",3.07,15.33
2021-07-29,东亚机械,1301028,12.13,12.64,12.03,12.37,0.24,1.98,"147,329","18,064",5.03,16.35
2021-07-28,东亚机械,1301028,12.03,12.57,11.88,12.13,0.11,0.92,"170,625","20,901",5.74,18.94
2021-07-27,东亚机械,1301028,12.80,12.87,12.00,12.02,-0.69,-5.43,"175,674","21,603",6.85,19.50
2021-07-26,东亚机械,1301028,13.28,13.28,12.41,12.71,-0.69,-5.15,"178,169","22,814",6.49,19.77
2021-07-23,东亚机械,1301028,13.60,13.96,13.40,13.40,-0.16,-1.18,"190,996","26,045",4.13,21.20
2021-07-22,东亚机械,1301028,13.96,14.30,13.38,13.56,-0.84,-5.83,"298,963","40,923",6.39,33.18
2021-07-21,东亚机械,1301028,15.00,15.45,13.89,14.40,-2.37,-14.13,"413,980","59,949",9.30,45.94
2021-07-20,东亚机械,1301028,22.80,22.80,16.70,16.77,11.46,215.82,"578,041","106,483",114.88,64.15
2021-12-31,东亚机械,1301028,13.86,14.02,13.71,13.77,-0.10,-0.72,"28,950","4,010",2.24,3.21
2021-12-30,东亚机械,1301028,13.98,14.13,13.83,13.87,-0.02,-0.14,"33,776","4,720",2.16,3.75
2021-12-29,东亚机械,1301028,13.81,14.13,13.54,13.89,0.17,1.24,"43,565","6,057",4.30,4.83
2021-12-28,东亚机械,1301028,13.55,13.81,13.50,13.72,0.28,2.08,"36,589","4,999",2.31,4.06
2021-12-27,东亚机械,1301028,13.42,13.58,13.35,13.44,0.01,0.07,"28,503","3,832",1.71,3.16
2021-12-24,东亚机械,1301028,14.40,14.54,13.40,13.43,-0.94,-6.54,"74,797","10,289",7.93,8.30
2021-12-23,东亚机械,1301028,14.69,14.69,14.35,14.37,-0.06,-0.42,"33,312","4,818",2.36,3.70
2021-12-22,东亚机械,1301028,14.82,14.82,14.35,14.43,-0.29,-1.97,"57,813","8,408",3.19,6.42
2021-12-21,东亚机械,1301028,14.60,14.84,14.58,14.72,0.01,0.07,"39,876","5,864",1.77,4.43
2021-12-20,东亚机械,1301028,14.80,15.10,14.55,14.71,-0.17,-1.14,"49,110","7,269",3.70,5.45
2021-12-17,东亚机械,1301028,15.43,15.43,14.86,14.88,-0.46,-3.00,"72,692","10,921",3.72,8.07
2021-12-16,东亚机械,1301028,15.20,15.39,15.01,15.34,0.05,0.33,"87,044","13,247",2.49,9.66
2021-12-15,东亚机械,1301028,14.79,15.33,14.45,15.29,0.66,4.51,"119,549","17,874",6.02,13.27
2021-12-14,东亚机械,1301028,14.48,14.71,14.33,14.63,0.15,1.04,"51,002","7,423",2.62,5.66
2021-12-13,东亚机械,1301028,14.80,14.80,14.34,14.48,-0.24,-1.63,"59,865","8,704",3.13,6.64
2021-12-10,东亚机械,1301028,14.62,14.82,14.46,14.72,0.10,0.68,"57,232","8,397",2.46,6.35
2021-12-09,东亚机械,1301028,14.58,14.88,14.49,14.62,0.13,0.90,"71,764","10,531",2.69,7.96
2021-12-08,东亚机械,1301028,14.43,14.73,14.40,14.49,0.01,0.07,"65,884","9,581",2.28,7.31
2021-12-07,东亚机械,1301028,14.90,14.92,14.22,14.48,-0.15,-1.03,"72,657","10,491",4.78,8.06
2021-12-06,东亚机械,1301028,15.46,15.52,14.60,14.63,-0.79,-5.12,"128,111","19,017",5.97,14.22
2021-12-03,东亚机械,1301028,16.21,16.54,15.21,15.42,-0.77,-4.76,"177,942","28,025",8.21,19.75
2021-12-02,东亚机械,1301028,16.52,17.42,16.10,16.19,-0.16,-0.98,"202,712","33,756",8.07,22.50
2021-12-01,东亚机械,1301028,15.41,16.79,15.41,16.35,0.95,6.17,"223,072","36,501",8.96,24.76
2021-11-30,东亚机械,1301028,15.89,16.05,15.17,15.40,-0.46,-2.90,"139,168","21,668",5.55,15.45
2021-11-29,东亚机械,1301028,15.51,16.55,15.51,15.86,-0.06,-0.38,"153,800","24,854",6.53,17.07
2021-11-26,东亚机械,1301028,16.10,16.18,15.68,15.92,0.01,0.06,"111,198","17,673",3.14,12.34
