日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,中亚股份,1300512,20.60,20.60,19.90,20.28,-0.37,-1.79,"25,563","5,176",3.39,3.27
2017-06-29,中亚股份,1300512,20.90,20.98,20.63,20.65,-0.09,-0.43,"13,733","2,854",1.69,1.76
2017-06-28,中亚股份,1300512,21.22,21.22,20.63,20.74,-0.49,-2.31,"19,415","4,049",2.78,2.48
2017-06-27,中亚股份,1300512,21.50,21.50,21.20,21.23,-0.24,-1.12,"23,734","5,060",1.40,3.04
2017-06-26,中亚股份,1300512,21.55,21.97,21.42,21.92,0.38,1.76,"26,534","5,768",2.55,3.39
2017-06-23,中亚股份,1300512,21.02,21.57,20.84,21.54,0.48,2.28,"20,668","4,387",3.47,2.64
2017-06-22,中亚股份,1300512,21.35,21.60,21.05,21.06,-0.39,-1.82,"17,867","3,818",2.56,2.28
2017-06-21,中亚股份,1300512,21.60,21.87,21.30,21.45,-0.10,-0.46,"20,743","4,460",2.65,2.65
2017-06-20,中亚股份,1300512,21.93,22.29,21.51,21.55,-0.28,-1.28,"28,943","6,336",3.57,3.70
2017-06-19,中亚股份,1300512,21.62,21.92,21.47,21.83,0.12,0.55,"24,217","5,257",2.07,3.10
2017-06-16,中亚股份,1300512,22.00,22.13,21.46,21.71,-0.42,-1.90,"36,659","7,959",3.03,4.69
2017-06-15,中亚股份,1300512,21.03,22.58,20.90,22.13,1.00,4.73,"78,262","17,115",7.95,10.01
2017-06-14,中亚股份,1300512,20.49,21.22,20.37,21.13,0.63,3.07,"41,224","8,573",4.15,5.27
2017-06-13,中亚股份,1300512,19.80,20.56,19.76,20.50,0.55,2.76,"26,248","5,334",4.01,3.36
2017-06-12,中亚股份,1300512,20.50,20.50,19.88,19.95,-0.83,-3.99,"24,600","4,947",2.98,3.15
2017-06-09,中亚股份,1300512,20.51,20.84,20.24,20.78,0.25,1.22,"17,818","3,663",2.92,2.28
2017-06-08,中亚股份,1300512,20.89,20.90,20.36,20.53,-0.33,-1.58,"25,372","5,240",2.59,3.24
2017-06-07,中亚股份,1300512,20.29,20.96,20.16,20.86,0.59,2.91,"30,666","6,325",3.95,3.92
2017-06-06,中亚股份,1300512,20.18,20.51,20.04,20.27,0.03,0.15,"17,176","3,476",2.32,2.20
2017-06-05,中亚股份,1300512,20.10,20.79,20.10,20.24,0.44,2.22,"21,696","4,433",3.48,2.77
2017-06-02,中亚股份,1300512,19.00,19.99,18.75,19.80,0.59,3.07,"24,049","4,686",6.46,3.08
2017-06-01,中亚股份,1300512,20.50,20.96,19.10,19.21,-1.37,-6.66,"31,322","6,278",9.04,4.01
2017-05-31,中亚股份,1300512,20.38,21.63,20.19,20.58,0.92,4.68,"40,677","8,599",7.32,5.20
2017-05-26,中亚股份,1300512,19.45,19.85,19.21,19.66,0.25,1.29,"15,825","3,109",3.30,2.02
2017-05-25,中亚股份,1300512,19.55,19.65,18.93,19.41,-0.05,-0.26,"17,163","3,305",3.70,2.54
2017-05-24,中亚股份,1300512,19.00,19.75,18.62,19.46,0.26,1.35,"17,405","3,353",5.89,2.58
2017-05-23,中亚股份,1300512,20.78,21.09,19.08,19.20,-1.75,-8.35,"20,784","4,202",9.59,3.08
2017-05-22,中亚股份,1300512,22.03,22.04,20.94,20.95,-1.04,-4.73,"18,073","3,871",5.00,2.68
2017-05-19,中亚股份,1300512,22.02,22.35,21.93,21.99,-0.29,-1.30,"10,531","2,331",1.89,1.56
2017-05-18,中亚股份,1300512,22.10,22.50,21.52,22.28,0.01,0.04,"12,704","2,821",4.40,1.88
2017-05-17,中亚股份,1300512,22.20,22.58,22.05,22.27,-0.08,-0.36,"19,305","4,310",2.37,2.86
2017-05-16,中亚股份,1300512,21.70,22.40,20.92,22.35,0.57,2.62,"24,527","5,278",6.80,3.63
2017-05-15,中亚股份,1300512,21.93,22.20,21.73,21.78,-0.16,-0.73,"9,873","2,166",2.14,1.46
2017-05-12,中亚股份,1300512,22.49,22.49,21.69,21.94,-0.51,-2.27,"16,553","3,641",3.56,2.45
2017-05-11,中亚股份,1300512,23.17,23.17,21.12,22.45,-1.00,-4.26,"25,099","5,613",8.74,3.72
2017-05-10,中亚股份,1300512,24.30,24.35,23.45,23.45,-0.72,-2.98,"12,865","3,092",3.72,1.91
2017-05-09,中亚股份,1300512,23.69,24.23,23.63,24.17,0.36,1.51,"12,206","2,929",2.52,1.81
2017-05-08,中亚股份,1300512,24.16,24.30,23.80,23.81,-0.29,-1.20,"11,874","2,851",2.07,1.76
2017-05-05,中亚股份,1300512,24.54,24.66,24.08,24.10,-0.43,-1.75,"11,994","2,921",2.36,1.78
2017-05-04,中亚股份,1300512,24.96,24.96,24.52,24.53,-0.43,-1.72,"16,173","3,986",1.76,2.40
2017-05-03,中亚股份,1300512,24.96,25.17,24.60,24.96,0.00,0.00,"13,673","3,401",2.28,2.03
2017-05-02,中亚股份,1300512,24.99,25.13,24.91,24.96,0.01,0.04,"10,272","2,568",0.88,1.52
2017-04-28,中亚股份,1300512,25.03,25.18,24.76,24.95,-0.06,-0.24,"16,523","4,119",1.68,2.45
2017-04-27,中亚股份,1300512,24.40,25.09,24.22,25.01,0.79,3.26,"26,557","6,557",3.59,3.93
2017-04-26,中亚股份,1300512,24.10,24.49,23.90,24.22,0.12,0.50,"9,783","2,373",2.45,1.45
2017-04-25,中亚股份,1300512,23.91,24.35,23.91,24.10,0.24,1.01,"10,846","2,617",1.84,1.61
2017-04-24,中亚股份,1300512,24.80,24.97,23.71,23.86,-0.99,-3.98,"12,812","3,080",5.07,1.90
2017-04-21,中亚股份,1300512,24.86,25.17,24.82,24.85,-0.19,-0.76,"9,695","2,421",1.40,1.44
2017-04-20,中亚股份,1300512,25.20,25.38,24.77,25.04,-0.24,-0.95,"13,729","3,442",2.41,2.03
2017-04-19,中亚股份,1300512,24.93,25.31,24.11,25.28,0.34,1.36,"18,804","4,660",4.81,2.79
2017-04-18,中亚股份,1300512,25.30,25.48,24.92,24.94,-0.34,-1.34,"13,410","3,374",2.22,1.99
2017-04-17,中亚股份,1300512,25.71,25.71,25.01,25.28,-0.64,-2.47,"16,599","4,190",2.70,2.46
2017-04-14,中亚股份,1300512,26.22,26.37,25.90,25.92,-0.30,-1.14,"13,648","3,548",1.79,2.02
2017-04-13,中亚股份,1300512,26.05,26.55,26.04,26.22,0.06,0.23,"12,128","3,186",1.95,1.80
2017-04-12,中亚股份,1300512,26.75,26.75,26.15,26.16,-0.43,-1.62,"16,711","4,398",2.26,2.48
2017-04-11,中亚股份,1300512,26.04,26.66,26.04,26.59,0.55,2.11,"22,152","5,831",2.38,3.28
2017-04-10,中亚股份,1300512,27.33,27.38,25.83,26.04,-1.20,-4.41,"37,735","9,930",5.69,5.59
2017-04-07,中亚股份,1300512,27.62,27.76,27.21,27.24,-0.38,-1.38,"19,748","5,407",1.99,2.93
2017-04-06,中亚股份,1300512,27.81,27.95,27.58,27.62,-0.18,-0.65,"18,648","5,179",1.33,2.76
2017-04-05,中亚股份,1300512,27.32,27.92,27.18,27.80,0.56,2.06,"20,274","5,587",2.72,3.00
2017-09-29,中亚股份,1300512,19.43,19.65,19.42,19.60,0.17,0.87,"11,366","2,224",1.18,1.45
2017-09-28,中亚股份,1300512,19.69,19.70,19.42,19.43,-0.26,-1.32,"12,829","2,515",1.42,1.64
2017-09-27,中亚股份,1300512,19.61,19.76,19.50,19.69,0.12,0.61,"11,054","2,171",1.33,1.41
2017-09-26,中亚股份,1300512,19.87,19.98,19.51,19.57,-0.43,-2.15,"24,279","4,778",2.35,3.10
2017-09-25,中亚股份,1300512,20.00,20.34,19.84,20.00,0.00,0.00,"24,707","4,972",2.50,3.16
2017-09-22,中亚股份,1300512,20.17,20.22,19.88,20.00,-0.37,-1.82,"23,936","4,784",1.67,3.06
2017-09-21,中亚股份,1300512,20.10,20.64,20.00,20.37,0.24,1.19,"32,308","6,570",3.18,4.13
2017-09-20,中亚股份,1300512,19.99,20.18,19.92,20.13,0.14,0.70,"16,957","3,402",1.30,2.17
2017-09-19,中亚股份,1300512,20.21,20.31,19.91,19.99,-0.32,-1.58,"19,278","3,873",1.97,2.47
2017-09-18,中亚股份,1300512,20.10,20.35,20.04,20.31,0.21,1.04,"15,744","3,180",1.54,2.01
2017-09-15,中亚股份,1300512,20.05,20.35,19.96,20.10,0.07,0.35,"15,253","3,073",1.95,1.95
2017-09-14,中亚股份,1300512,20.40,20.43,20.02,20.03,-0.44,-2.15,"19,949","4,027",2.00,2.55
2017-09-13,中亚股份,1300512,20.08,20.49,19.88,20.47,0.39,1.94,"30,532","6,159",3.04,3.90
2017-09-12,中亚股份,1300512,20.40,20.81,19.98,20.08,-0.32,-1.57,"34,831","7,102",4.07,4.45
2017-09-11,中亚股份,1300512,20.31,20.62,20.15,20.40,0.04,0.20,"22,589","4,587",2.31,2.89
2017-09-08,中亚股份,1300512,20.69,20.86,20.20,20.36,-0.34,-1.64,"28,442","5,847",3.19,3.64
2017-09-07,中亚股份,1300512,20.50,21.16,20.50,20.70,0.20,0.98,"45,217","9,424",3.22,5.78
2017-09-06,中亚股份,1300512,20.55,20.55,20.20,20.50,-0.12,-0.58,"22,921","4,675",1.70,2.93
2017-09-05,中亚股份,1300512,20.26,20.68,20.16,20.62,0.34,1.68,"28,783","5,868",2.56,3.68
2017-09-04,中亚股份,1300512,20.13,20.38,20.03,20.28,0.14,0.70,"20,753","4,199",1.74,2.65
2017-09-01,中亚股份,1300512,20.32,20.35,20.00,20.14,-0.18,-0.89,"24,555","4,942",1.72,3.14
2017-08-31,中亚股份,1300512,20.17,20.54,20.10,20.32,0.09,0.44,"22,606","4,591",2.18,2.89
2017-08-30,中亚股份,1300512,20.57,20.57,20.22,20.23,-0.35,-1.70,"29,055","5,913",1.70,3.72
2017-08-29,中亚股份,1300512,20.26,20.80,20.15,20.58,0.36,1.78,"45,398","9,322",3.21,5.81
2017-08-28,中亚股份,1300512,20.00,20.59,19.87,20.22,0.06,0.30,"37,996","7,683",3.57,4.86
2017-08-25,中亚股份,1300512,19.71,20.20,19.52,20.16,0.28,1.41,"35,811","7,140",3.42,4.58
2017-08-24,中亚股份,1300512,19.42,20.50,19.30,19.88,0.62,3.22,"55,508","11,108",6.23,7.10
2017-08-23,中亚股份,1300512,19.30,19.35,18.97,19.26,0.06,0.31,"13,658","2,619",1.98,1.75
2017-08-22,中亚股份,1300512,19.39,19.44,19.12,19.20,-0.15,-0.78,"14,221","2,742",1.65,1.82
