日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,中金环境,1300145,27.89,28.50,27.65,28.38,0.81,2.94,"67,275","18,996",3.08,1.20
2017-03-30,中金环境,1300145,27.55,27.92,27.30,27.57,0.02,0.07,"29,740","8,207",2.25,0.53
2017-03-29,中金环境,1300145,28.00,28.25,27.50,27.55,-0.25,-0.90,"29,641","8,236",2.70,0.53
2017-03-28,中金环境,1300145,27.96,28.06,27.56,27.80,-0.21,-0.75,"25,792","7,160",1.79,0.46
2017-03-27,中金环境,1300145,28.40,28.85,27.75,28.01,-0.38,-1.34,"40,901","11,600",3.87,0.73
2017-03-24,中金环境,1300145,27.38,28.48,27.31,28.39,1.01,3.69,"56,332","15,797",4.27,1.00
2017-03-23,中金环境,1300145,27.09,27.50,26.80,27.38,0.28,1.03,"30,003","8,186",2.58,0.53
2017-03-22,中金环境,1300145,27.33,27.78,26.75,27.10,-0.51,-1.85,"55,786","15,140",3.73,0.99
2017-03-21,中金环境,1300145,27.50,28.04,27.25,27.61,0.14,0.51,"52,762","14,632",2.88,0.94
2017-03-20,中金环境,1300145,26.72,27.47,26.64,27.47,0.74,2.77,"67,685","18,378",3.11,1.20
2017-03-17,中金环境,1300145,26.79,27.26,26.63,26.73,-0.06,-0.22,"39,066","10,536",2.35,0.69
2017-03-16,中金环境,1300145,26.79,27.10,26.48,26.79,-0.07,-0.26,"29,978","8,010",2.31,0.53
2017-03-15,中金环境,1300145,26.80,27.20,26.50,26.86,0.10,0.37,"31,134","8,350",2.62,0.55
2017-03-14,中金环境,1300145,27.25,27.25,26.56,26.76,-0.54,-1.98,"28,967","7,778",2.53,0.52
2017-03-13,中金环境,1300145,27.44,27.46,26.84,27.30,-0.10,-0.37,"47,880","12,962",2.26,0.85
2017-03-10,中金环境,1300145,27.10,27.41,26.80,27.40,0.28,1.03,"29,824","8,067",2.25,0.53
2017-03-09,中金环境,1300145,27.21,27.36,26.60,27.12,-0.27,-0.99,"28,520","7,692",2.77,0.51
2017-03-08,中金环境,1300145,27.15,27.80,27.10,27.39,0.21,0.77,"44,039","12,081",2.58,0.78
2017-03-07,中金环境,1300145,26.79,27.30,26.68,27.18,0.43,1.61,"50,055","13,504",2.32,0.89
2017-03-06,中金环境,1300145,26.85,27.22,26.51,26.75,-0.08,-0.30,"62,873","16,818",2.65,1.12
2017-03-03,中金环境,1300145,26.57,26.87,26.33,26.83,0.15,0.56,"41,391","11,043",2.02,0.74
2017-03-02,中金环境,1300145,25.65,27.17,25.65,26.68,0.87,3.37,"88,500","23,633",5.89,1.57
2017-03-01,中金环境,1300145,24.99,25.92,24.81,25.81,0.81,3.24,"73,959","18,856",4.44,1.32
2017-02-28,中金环境,1300145,25.20,25.29,24.79,25.00,-0.15,-0.60,"42,778","10,690",1.99,0.76
2017-02-27,中金环境,1300145,25.16,25.30,24.92,25.15,-0.05,-0.20,"36,378","9,141",1.51,0.65
2017-02-24,中金环境,1300145,24.62,25.36,24.62,25.20,0.45,1.82,"44,519","11,186",2.99,0.79
2017-02-23,中金环境,1300145,24.93,25.05,24.64,24.75,-0.09,-0.36,"18,954","4,703",1.65,0.34
2017-02-22,中金环境,1300145,24.51,24.97,24.51,24.84,0.24,0.98,"24,848","6,156",1.87,0.44
