日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,凯尔达,0688255,40.03,40.30,40.03,40.16,0.10,0.25,"4,151","1,668",0.67,2.48
2021-12-30,凯尔达,0688255,40.01,40.35,39.98,40.06,-0.01,-0.03,"5,437","2,181",0.92,3.25
2021-12-29,凯尔达,0688255,40.12,40.30,39.80,40.07,-0.46,-1.14,"5,261","2,106",1.23,3.14
2021-12-28,凯尔达,0688255,39.52,40.96,39.45,40.53,1.01,2.56,"8,688","3,508",3.82,5.19
2021-12-27,凯尔达,0688255,39.60,39.89,39.44,39.52,0.04,0.10,"2,695","1,066",1.14,1.61
2021-12-24,凯尔达,0688255,40.26,40.30,39.46,39.48,-0.82,-2.03,"5,868","2,331",2.08,3.51
2021-12-23,凯尔达,0688255,41.23,41.25,40.23,40.30,-0.80,-1.95,"5,425","2,197",2.48,3.24
2021-12-22,凯尔达,0688255,41.14,41.46,40.90,41.10,-0.01,-0.02,"3,952","1,625",1.36,2.36
2021-12-21,凯尔达,0688255,41.45,41.45,40.73,41.11,-0.25,-0.60,"6,181","2,534",1.74,3.69
2021-12-20,凯尔达,0688255,42.00,42.42,41.25,41.36,-0.65,-1.55,"8,488","3,548",2.79,5.07
2021-12-17,凯尔达,0688255,41.23,42.38,40.85,42.01,0.80,1.94,"16,497","6,905",3.71,9.86
2021-12-16,凯尔达,0688255,41.11,41.33,40.46,41.21,0.20,0.49,"8,067","3,294",2.12,4.82
2021-12-15,凯尔达,0688255,40.33,41.13,40.10,41.01,0.77,1.91,"10,054","4,084",2.56,6.01
2021-12-14,凯尔达,0688255,40.25,40.31,39.97,40.24,0.11,0.27,"4,165","1,674",0.85,2.49
2021-12-13,凯尔达,0688255,39.92,40.38,39.90,40.13,0.20,0.50,"4,076","1,634",1.20,2.44
2021-12-10,凯尔达,0688255,40.06,40.16,39.84,39.93,-0.15,-0.37,"5,219","2,086",0.80,3.12
2021-12-09,凯尔达,0688255,40.16,40.23,39.97,40.08,-0.07,-0.17,"7,255","2,908",0.65,4.34
2021-12-08,凯尔达,0688255,39.99,40.33,39.84,40.15,0.17,0.43,"5,618","2,254",1.23,3.36
2021-12-07,凯尔达,0688255,40.36,40.65,39.81,39.98,-0.27,-0.67,"6,771","2,712",2.09,4.05
2021-12-06,凯尔达,0688255,41.35,41.57,40.08,40.25,-1.45,-3.48,"11,112","4,507",3.57,6.64
2021-12-03,凯尔达,0688255,42.33,42.80,41.26,41.70,-0.95,-2.23,"12,914","5,400",3.61,7.72
2021-12-02,凯尔达,0688255,42.00,43.99,42.00,42.65,1.33,3.22,"28,457","12,261",4.82,17.01
2021-12-01,凯尔达,0688255,40.54,41.41,40.54,41.32,0.33,0.81,"6,584","2,709",2.12,3.94
2021-11-30,凯尔达,0688255,41.82,42.14,40.84,40.99,-0.57,-1.37,"9,020","3,736",3.13,5.39
2021-11-29,凯尔达,0688255,41.63,41.88,41.53,41.56,-0.70,-1.66,"8,004","3,335",0.83,4.78
2021-11-26,凯尔达,0688255,43.00,43.00,41.89,42.26,-0.94,-2.18,"12,989","5,484",2.57,7.76
2021-11-25,凯尔达,0688255,42.70,43.63,42.15,43.20,0.70,1.65,"17,821","7,657",3.48,10.65
2021-11-24,凯尔达,0688255,41.88,42.60,41.61,42.50,0.86,2.07,"11,819","4,992",2.38,7.06
2021-11-23,凯尔达,0688255,41.85,42.13,41.48,41.64,-0.37,-0.88,"8,895","3,706",1.55,5.32
2021-11-22,凯尔达,0688255,42.08,42.76,41.88,42.01,0.03,0.07,"8,829","3,727",2.10,5.28
2021-11-19,凯尔达,0688255,41.60,42.15,41.31,41.98,0.65,1.57,"9,940","4,160",2.03,5.94
2021-11-18,凯尔达,0688255,42.57,42.85,41.20,41.33,-1.01,-2.39,"12,953","5,438",3.90,7.74
2021-11-17,凯尔达,0688255,41.96,42.81,41.96,42.34,0.49,1.17,"11,252","4,768",2.03,6.73
2021-11-16,凯尔达,0688255,43.12,43.76,41.77,41.85,-1.85,-4.23,"19,076","8,121",4.55,11.40
2021-11-15,凯尔达,0688255,43.38,44.58,42.98,43.70,0.32,0.74,"25,489","11,107",3.69,15.24
2021-11-12,凯尔达,0688255,42.00,43.76,41.60,43.38,1.17,2.77,"25,790","11,028",5.12,15.42
2021-11-11,凯尔达,0688255,41.33,42.67,41.01,42.21,0.88,2.13,"20,033","8,428",4.02,11.97
2021-11-10,凯尔达,0688255,40.82,42.00,40.60,41.33,0.38,0.93,"14,774","6,090",3.42,8.83
2021-11-09,凯尔达,0688255,40.21,41.23,39.90,40.95,0.85,2.12,"14,695","6,008",3.32,8.78
2021-11-08,凯尔达,0688255,40.03,40.66,39.50,40.10,-0.01,-0.02,"12,513","4,990",2.89,7.48
2021-11-05,凯尔达,0688255,39.90,41.32,39.61,40.11,0.45,1.13,"19,746","8,002",4.31,11.80
2021-11-04,凯尔达,0688255,40.19,40.19,39.57,39.66,0.04,0.10,"14,187","5,655",1.56,8.48
2021-11-03,凯尔达,0688255,38.51,40.58,38.02,39.62,1.22,3.18,"17,352","6,855",6.67,10.37
2021-11-02,凯尔达,0688255,40.13,40.84,38.40,38.40,-1.48,-3.71,"19,324","7,625",6.12,11.55
2021-11-01,凯尔达,0688255,39.30,40.49,38.41,39.88,0.36,0.91,"19,452","7,663",5.26,11.63
2021-10-29,凯尔达,0688255,40.80,40.80,39.41,39.52,-0.48,-1.20,"19,688","7,878",3.48,11.77
2021-10-28,凯尔达,0688255,41.01,41.90,39.56,40.00,-1.77,-4.24,"32,784","13,236",5.60,19.60
2021-10-27,凯尔达,0688255,44.44,44.69,41.44,41.77,-3.43,-7.59,"51,010","21,735",7.19,30.49
2021-10-26,凯尔达,0688255,50.00,50.00,45.01,45.20,-6.98,-13.38,"92,315","43,397",9.56,55.18
2021-10-25,凯尔达,0688255,44.80,58.68,44.10,52.18,5.07,10.76,"121,144","62,299",30.95,72.41
2022-03-31,凯尔达,0688255,31.50,31.87,31.36,31.69,0.10,0.32,"1,026",325,1.61,0.61
2022-03-30,凯尔达,0688255,31.38,31.70,31.30,31.59,0.21,0.67,903,285,1.27,0.54
2022-03-29,凯尔达,0688255,31.52,31.70,31.06,31.38,-0.13,-0.41,"1,321",414,2.03,0.79
2022-03-28,凯尔达,0688255,32.01,32.05,31.21,31.51,-0.62,-1.93,"1,607",508,2.61,0.96
2022-03-25,凯尔达,0688255,32.38,32.69,31.99,32.13,-0.34,-1.05,"1,050",339,2.16,0.63
2022-03-24,凯尔达,0688255,32.69,32.92,32.32,32.47,-0.43,-1.31,826,269,1.82,0.49
2022-03-23,凯尔达,0688255,33.07,33.28,32.85,32.90,-0.14,-0.42,868,286,1.30,0.52
2022-03-22,凯尔达,0688255,33.25,33.48,32.80,33.04,-0.16,-0.48,944,311,2.05,0.56
2022-03-21,凯尔达,0688255,33.00,33.20,32.61,33.20,0.40,1.22,"1,063",351,1.80,0.64
2022-03-18,凯尔达,0688255,32.21,32.98,32.21,32.80,0.29,0.89,889,291,2.37,0.53
2022-03-17,凯尔达,0688255,33.00,33.00,32.37,32.51,0.47,1.47,"1,655",540,1.97,0.99
2022-03-16,凯尔达,0688255,31.00,32.90,31.00,32.04,0.43,1.36,"1,716",544,6.01,1.03
2022-03-15,凯尔达,0688255,33.01,33.02,31.51,31.61,-1.56,-4.70,"2,434",782,4.55,1.45
2022-03-14,凯尔达,0688255,34.14,34.14,33.10,33.17,-0.97,-2.84,"1,791",599,3.05,1.07
2022-03-11,凯尔达,0688255,32.50,34.77,32.08,34.14,1.34,4.09,"3,800","1,279",8.20,2.27
2022-03-10,凯尔达,0688255,32.58,32.99,32.58,32.80,0.50,1.55,"1,577",518,1.27,0.94
2022-03-09,凯尔达,0688255,33.69,33.92,31.50,32.30,-1.37,-4.07,"2,638",862,7.19,1.58
2022-03-08,凯尔达,0688255,34.90,34.90,33.53,33.67,-1.23,-3.52,"3,397","1,156",3.93,2.03
2022-03-07,凯尔达,0688255,35.39,35.54,34.86,34.90,-0.73,-2.05,"2,394",841,1.91,1.43
2022-03-04,凯尔达,0688255,35.67,35.98,35.51,35.63,-0.02,-0.06,"1,006",359,1.32,0.60
2022-03-03,凯尔达,0688255,36.10,36.50,35.55,35.65,-0.45,-1.25,"2,064",741,2.63,1.23
2022-03-02,凯尔达,0688255,35.80,36.22,35.75,36.10,0.11,0.31,"1,259",452,1.31,0.75
2022-03-01,凯尔达,0688255,36.24,36.25,35.70,35.99,0.04,0.11,941,338,1.53,0.56
2022-02-28,凯尔达,0688255,36.50,36.52,35.51,35.95,-0.46,-1.26,"1,726",620,2.77,1.03
2022-02-25,凯尔达,0688255,36.35,37.00,36.35,36.41,0.25,0.69,"1,110",407,1.80,0.66
2022-02-24,凯尔达,0688255,36.90,37.43,35.89,36.16,-0.91,-2.45,"2,867","1,050",4.15,1.71
2022-02-23,凯尔达,0688255,36.52,37.07,36.50,37.07,0.74,2.04,"1,504",555,1.57,0.90
2022-02-22,凯尔达,0688255,36.85,36.99,36.25,36.33,-0.70,-1.89,"1,924",701,2.00,1.15
2022-02-21,凯尔达,0688255,36.74,37.06,36.74,37.03,0.09,0.24,"1,263",466,0.87,0.76
2022-02-18,凯尔达,0688255,36.95,37.09,36.58,36.94,-0.05,-0.14,864,318,1.38,0.52
2022-02-17,凯尔达,0688255,37.28,37.50,36.70,36.99,-0.17,-0.46,"1,255",466,2.15,0.75
2022-02-16,凯尔达,0688255,37.00,37.28,36.90,37.16,0.41,1.12,"1,516",562,1.03,0.91
2022-02-15,凯尔达,0688255,36.88,37.10,36.58,36.75,0.20,0.55,990,364,1.42,0.59
2022-02-14,凯尔达,0688255,36.60,37.16,36.50,36.55,-0.30,-0.81,913,336,1.79,0.55
2022-02-11,凯尔达,0688255,37.38,37.38,36.85,36.85,-0.53,-1.42,"1,007",372,1.42,0.60
2022-02-10,凯尔达,0688255,37.35,37.41,36.51,37.38,-0.01,-0.03,"1,580",586,2.41,0.94
2022-02-09,凯尔达,0688255,38.00,38.00,36.61,37.39,1.00,2.75,"2,647",989,3.82,1.58
2022-02-08,凯尔达,0688255,36.05,36.43,36.03,36.39,0.17,0.47,963,349,1.10,0.58
2022-02-07,凯尔达,0688255,36.56,36.56,35.85,36.22,0.43,1.20,"1,539",558,1.98,0.92
2022-01-28,凯尔达,0688255,35.95,36.35,35.29,35.79,0.03,0.08,"1,561",560,2.96,0.93
2022-01-27,凯尔达,0688255,36.76,36.96,35.50,35.76,-1.04,-2.83,"2,489",898,3.97,1.49
2022-01-26,凯尔达,0688255,36.55,37.31,36.55,36.80,-0.03,-0.08,"1,929",712,2.06,1.15
2022-01-25,凯尔达,0688255,38.29,38.38,36.69,36.83,-1.67,-4.34,"4,509","1,688",4.39,2.70
2022-01-24,凯尔达,0688255,38.54,38.72,38.32,38.50,-0.04,-0.10,964,371,1.04,0.58
2022-01-21,凯尔达,0688255,38.91,38.95,38.36,38.54,-0.36,-0.93,"2,937","1,133",1.52,1.76
2022-01-20,凯尔达,0688255,39.84,39.95,38.89,38.90,-0.91,-2.29,"5,056","1,984",2.66,3.02
2022-01-19,凯尔达,0688255,39.90,40.01,39.75,39.81,-0.11,-0.28,"2,706","1,079",0.65,1.62
2022-01-18,凯尔达,0688255,40.32,40.32,39.41,39.92,-0.39,-0.97,"3,957","1,580",2.26,2.37
2022-01-17,凯尔达,0688255,40.24,40.45,39.85,40.31,0.27,0.67,"3,144","1,264",1.50,1.88
2022-01-14,凯尔达,0688255,40.03,40.17,39.88,40.04,-0.03,-0.07,"2,896","1,159",0.72,1.73
2022-01-13,凯尔达,0688255,40.59,40.61,40.03,40.07,-0.41,-1.01,"3,458","1,392",1.43,2.07
2022-01-12,凯尔达,0688255,40.28,40.67,40.11,40.48,0.07,0.17,"4,068","1,642",1.39,2.43
2022-01-11,凯尔达,0688255,40.11,40.53,40.00,40.41,0.32,0.80,"5,424","2,183",1.32,3.24
2022-01-10,凯尔达,0688255,40.04,40.19,39.64,40.09,0.22,0.55,"3,777","1,510",1.38,2.26
2022-01-07,凯尔达,0688255,40.36,40.36,39.80,39.87,-0.29,-0.72,"4,473","1,793",1.39,2.67
