日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,华中数控,1300161,25.05,25.48,24.74,24.86,-0.25,-1.00,"27,570","6,913",2.95,1.66
2017-03-30,华中数控,1300161,26.36,26.55,25.11,25.11,-1.53,-5.74,"48,260","12,442",5.41,2.90
2017-03-29,华中数控,1300161,26.50,26.98,25.85,26.64,0.14,0.53,"37,516","9,905",4.26,2.25
2017-03-28,华中数控,1300161,26.35,26.66,26.26,26.50,0.08,0.30,"20,309","5,378",1.51,1.22
2017-03-27,华中数控,1300161,26.37,26.63,26.05,26.42,0.04,0.15,"27,945","7,350",2.20,1.68
2017-03-24,华中数控,1300161,26.42,26.69,26.10,26.38,-0.14,-0.53,"26,579","7,012",2.22,1.60
2017-03-23,华中数控,1300161,26.96,26.98,26.17,26.52,-0.40,-1.49,"34,147","9,064",3.01,2.05
2017-03-22,华中数控,1300161,26.62,27.06,26.47,26.92,0.03,0.11,"32,675","8,759",2.19,1.96
2017-03-21,华中数控,1300161,27.01,27.18,26.61,26.89,-0.28,-1.03,"36,375","9,775",2.10,2.19
2017-03-20,华中数控,1300161,27.30,27.49,26.70,27.17,0.04,0.15,"64,018","17,338",2.91,3.85
2017-03-17,华中数控,1300161,26.36,28.73,26.36,27.13,1.01,3.87,"119,806","33,145",9.07,7.20
2017-03-16,华中数控,1300161,25.68,26.17,25.66,26.12,0.47,1.83,"28,646","7,418",1.99,1.72
2017-03-15,华中数控,1300161,26.10,26.15,25.52,25.65,-0.59,-2.25,"33,843","8,721",2.40,2.03
2017-03-14,华中数控,1300161,26.12,26.58,26.03,26.24,0.15,0.57,"31,632","8,304",2.11,1.90
2017-03-13,华中数控,1300161,26.28,26.59,26.09,26.09,-0.11,-0.42,"35,311","9,298",1.91,2.12
2017-03-10,华中数控,1300161,25.71,26.28,25.64,26.20,0.26,1.00,"37,142","9,639",2.47,2.23
2017-03-09,华中数控,1300161,25.80,26.30,25.71,25.94,0.07,0.27,"31,915","8,315",2.28,1.92
2017-03-08,华中数控,1300161,26.37,26.58,25.87,25.87,-0.62,-2.34,"42,936","11,233",2.68,2.58
2017-03-07,华中数控,1300161,26.62,27.05,26.35,26.49,-0.41,-1.52,"53,634","14,301",2.60,3.22
2017-03-06,华中数控,1300161,26.47,27.06,26.03,26.90,1.45,5.70,"91,566","24,402",4.05,5.50
2017-03-03,华中数控,1300161,25.41,25.75,25.20,25.45,-0.05,-0.20,"19,500","4,967",2.16,1.17
2017-03-02,华中数控,1300161,25.57,25.85,25.45,25.50,0.02,0.08,"26,386","6,759",1.57,1.59
2017-03-01,华中数控,1300161,25.95,26.26,25.42,25.48,-0.62,-2.38,"49,271","12,702",3.22,2.96
2017-02-28,华中数控,1300161,26.62,26.70,26.03,26.10,-0.30,-1.14,"51,543","13,569",2.54,3.10
2017-02-27,华中数控,1300161,26.21,26.78,25.98,26.40,0.00,0.00,"44,558","11,748",3.03,2.68
2017-02-24,华中数控,1300161,26.28,26.69,25.85,26.40,0.62,2.41,"58,795","15,434",3.26,3.53
2017-02-23,华中数控,1300161,25.80,25.97,25.46,25.78,-0.15,-0.58,"46,774","12,024",1.97,2.81
2017-02-22,华中数控,1300161,25.85,26.63,25.14,25.93,0.40,1.57,"96,234","24,802",5.84,5.78
2017-02-21,华中数控,1300161,24.48,26.00,24.28,25.53,0.97,3.95,"62,026","15,645",7.00,3.73
2017-02-20,华中数控,1300161,25.17,25.17,24.05,24.56,-0.97,-3.80,"62,205","15,259",4.39,3.74
2017-02-17,华中数控,1300161,25.20,27.06,24.87,25.53,0.93,3.78,"95,051","24,922",8.90,5.71
2017-02-16,华中数控,1300161,24.04,24.65,24.04,24.60,0.39,1.61,"21,353","5,186",2.52,1.28
2017-02-15,华中数控,1300161,24.36,24.36,24.06,24.21,0.00,0.00,"16,888","4,078",1.24,1.01
2017-02-14,华中数控,1300161,24.15,24.28,24.01,24.21,-0.04,-0.16,"16,215","3,914",1.11,0.97
2017-02-13,华中数控,1300161,24.00,24.36,23.81,24.25,0.27,1.13,"21,625","5,215",2.29,1.30
2017-02-10,华中数控,1300161,24.30,24.30,23.94,23.98,-0.30,-1.24,"17,492","4,215",1.48,1.05
2017-02-09,华中数控,1300161,23.92,24.75,23.92,24.28,0.30,1.25,"25,105","6,128",3.46,1.51
